,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,reserva,reserva,sing,1,default,1.2064926977473078e-06,plural,plural,grandes,s,[MASK] reserva [MASK],"[CLS] , [MASK] , reserva , [MASK] , [SEP]",single-token,13.62779300432624,3.2064571855973494,-3.20645718559735
3,3,reserva,reservas,plur,1,default,2.6360201445641e-05,plural,plural,grandes,s,[MASK] reservas [MASK],"[CLS] , [MASK] , reservas , [MASK] , [SEP]",single-token,10.543655206263532,-3.1608028073462524,3.1608028073462533
5,5,reserva,reserva##s,plur,2,artificial,4.254839950590394e-05,plural,plural,grandes,s,[MASK] reserva##s [MASK],"[CLS] , [MASK] , reserva , ##s , [MASK] , [SEP]",single-token,10.064868318084672,-4.22369954214288,4.223699542142881
7,7,dólar,dólar,sing,1,default,3.537815587151272e-07,plural,plural,grandes,es,[MASK] dólar [MASK],"[CLS] , [MASK] , dólar , [MASK] , [SEP]",single-token,14.854586180052555,3.913121211570223,-3.913121211570224
9,9,dólar,dólares,plur,1,default,2.361455517529976e-05,plural,plural,grandes,es,[MASK] dólares [MASK],"[CLS] , [MASK] , dólares , [MASK] , [SEP]",single-token,10.65364729132548,-3.16660683040074,3.166606830400742
11,11,dólar,dólar##es,plur,2,artificial,0.000127210500068,plural,plural,grandes,es,[MASK] dólar##es [MASK],"[CLS] , [MASK] , dólar , ##es , [MASK] , [SEP]",single-token,8.969667362760479,-3.899724978243375,3.8997249782431296
13,13,activo,activo,sing,1,default,6.952892590561532e-07,plural,plural,grandes,s,[MASK] activo [MASK],"[CLS] , [MASK] , activo , [MASK] , [SEP]",single-token,14.178937877888051,2.2762345627904867,-2.2762345627904876
15,15,activo,activos,plur,1,default,3.390304482309148e-05,plural,plural,grandes,s,[MASK] activos [MASK],"[CLS] , [MASK] , activos , [MASK] , [SEP]",single-token,10.292005729820938,-4.909989294249462,4.909989294249463
17,17,activo,activo##s,plur,2,artificial,2.8607919375645e-05,plural,plural,grandes,s,[MASK] activo##s [MASK],"[CLS] , [MASK] , activo , ##s , [MASK] , [SEP]",single-token,10.461826977222213,-4.558861777414407,4.558861777414407
19,19,permiso,permiso,sing,1,default,4.222975746870361e-07,plural,plural,grandes,s,[MASK] permiso [MASK],"[CLS] , [MASK] , permiso , [MASK] , [SEP]",single-token,14.677555618127348,3.7240228828539035,-3.724022882853903
21,21,permiso,permisos,plur,1,default,9.867941116681322e-06,plural,plural,grandes,s,[MASK] permisos [MASK],"[CLS] , [MASK] , permisos , [MASK] , [SEP]",single-token,11.526219326412525,-4.551408757225376,4.551408757225378
23,23,permiso,permiso##s,plur,2,artificial,1.3178359040466605e-05,plural,plural,grandes,s,[MASK] permiso##s [MASK],"[CLS] , [MASK] , permiso , ##s , [MASK] , [SEP]",single-token,11.236934540399371,-4.7046966595983015,4.704696659598298
25,25,cálculo,cálculo,sing,1,default,4.852533947996562e-07,plural,plural,grandes,s,[MASK] cálculo [MASK],"[CLS] , [MASK] , cálculo , [MASK] , [SEP]",single-token,14.53859461894102,1.7516040719800312,-1.751604071980031
27,27,cálculo,cálculos,plur,1,default,2.1070252842037007e-05,plural,plural,grandes,s,[MASK] cálculos [MASK],"[CLS] , [MASK] , cálculos , [MASK] , [SEP]",single-token,10.7676483301235,-5.837592071182296,5.837592071182297
29,29,cálculo,cálculo##s,plur,2,artificial,1.7656282579991966e-05,plural,plural,grandes,s,[MASK] cálculo##s [MASK],"[CLS] , [MASK] , cálculo , ##s , [MASK] , [SEP]",single-token,10.94441888438078,-5.307292959462224,5.307292959462225
31,31,empleo,empleo,sing,1,default,8.424643027638012e-08,plural,plural,grandes,s,[MASK] empleo [MASK],"[CLS] , [MASK] , empleo , [MASK] , [SEP]",single-token,16.289519639218362,3.3305473434626016,-3.330547343462604
33,33,empleo,empleos,plur,1,default,1.9567200070014223e-05,plural,plural,grandes,s,[MASK] empleos [MASK],"[CLS] , [MASK] , empleos , [MASK] , [SEP]",single-token,10.84165585935146,-2.938797978005635,2.938797978005638
35,35,empleo,empleo##s,plur,2,artificial,1.6057856555562466e-05,plural,plural,grandes,s,[MASK] empleo##s [MASK],"[CLS] , [MASK] , empleo , ##s , [MASK] , [SEP]",single-token,11.03931232313728,-3.7218027594536167,3.7218027594536167
37,37,sector,sector,sing,1,default,2.272563506267033e-06,plural,plural,grandes,es,[MASK] sector [MASK],"[CLS] , [MASK] , sector , [MASK] , [SEP]",single-token,12.994602065733195,3.2257423117959867,-3.2257423117959885
39,39,sector,sectores,plur,1,default,7.383563206531107e-05,plural,plural,grandes,es,[MASK] sectores [MASK],"[CLS] , [MASK] , sectores , [MASK] , [SEP]",single-token,9.51366912356443,-4.6582089214779785,4.6582089214779785
41,41,sector,sector##es,plur,2,artificial,4.8998030251823366e-05,plural,plural,grandes,es,[MASK] sector##es [MASK],"[CLS] , [MASK] , sector , ##es , [MASK] , [SEP]",single-token,9.923730459604029,-4.937127969930259,4.937127969930262
43,43,empresario,empresario,sing,1,default,7.395781409513803e-08,plural,plural,grandes,s,[MASK] empresario [MASK],"[CLS] , [MASK] , empresario , [MASK] , [SEP]",single-token,16.419770986094942,4.498633423047766,-4.4986334230477665
45,45,empresario,empresarios,plur,1,default,1.1330426787026228e-05,plural,plural,grandes,s,[MASK] empresarios [MASK],"[CLS] , [MASK] , empresarios , [MASK] , [SEP]",single-token,11.388018814875975,-5.0718412212127735,5.071841221212771
47,47,empresario,empresario##s,plur,2,artificial,1.9801047528744675e-05,plural,plural,grandes,s,[MASK] empresario##s [MASK],"[CLS] , [MASK] , empresario , ##s , [MASK] , [SEP]",single-token,10.829775716171076,-4.839981142640491,4.839981142640491
49,49,sindicato,sindicato,sing,1,default,6.635438154489749e-08,plural,plural,grandes,s,[MASK] sindicato [MASK],"[CLS] , [MASK] , sindicato , [MASK] , [SEP]",single-token,16.52825604150004,4.443185801775103,-4.443185801775103
51,51,sindicato,sindicatos,plur,1,default,5.215320197748952e-05,plural,plural,grandes,s,[MASK] sindicatos [MASK],"[CLS] , [MASK] , sindicatos , [MASK] , [SEP]",single-token,9.86132497902576,-4.837998428000001,4.837998427999999
53,53,sindicato,sindicato##s,plur,2,artificial,2.0818610209971663e-05,plural,plural,grandes,s,[MASK] sindicato##s [MASK],"[CLS] , [MASK] , sindicato , ##s , [MASK] , [SEP]",single-token,10.77966324964856,-3.9418266868174996,3.941826686817501
