,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal
0,reserva,reserva,sing,1,default,0.009484621696174145,singular,singular,es,s,[MASK] reserva [MASK],"[CLS] , [MASK] , reserva , [MASK] , [SEP]",single-token,4.658083560821335
1,reserva,reserva,sing,1,default,0.00047383710625581443,plural,plural,son,s,[MASK] reserva [MASK],"[CLS] , [MASK] , reserva , [MASK] , [SEP]",single-token,7.654646953021189
2,reserva,reservas,plur,1,default,0.0017977743409574032,singular,singular,es,s,[MASK] reservas [MASK],"[CLS] , [MASK] , reservas , [MASK] , [SEP]",single-token,6.32120585639462
3,reserva,reservas,plur,1,default,0.0022066824603825808,plural,plural,son,s,[MASK] reservas [MASK],"[CLS] , [MASK] , reservas , [MASK] , [SEP]",single-token,6.11626504045387
4,reserva,reserva##s,plur,2,artificial,0.0015480942092835903,singular,singular,es,s,[MASK] reserva##s [MASK],"[CLS] , [MASK] , reserva , ##s , [MASK] , [SEP]",single-token,6.470730646956088
5,reserva,reserva##s,plur,2,artificial,0.0060158600099384785,plural,plural,son,s,[MASK] reserva##s [MASK],"[CLS] , [MASK] , reserva , ##s , [MASK] , [SEP]",single-token,5.113355962229928
6,dólar,dólar,sing,1,default,0.007273645605891943,singular,singular,es,es,[MASK] dólar [MASK],"[CLS] , [MASK] , dólar , [MASK] , [SEP]",single-token,4.923497654267972
7,dólar,dólar,sing,1,default,0.0015451152576133609,plural,plural,son,es,[MASK] dólar [MASK],"[CLS] , [MASK] , dólar , [MASK] , [SEP]",single-token,6.472656771017903
8,dólar,dólares,plur,1,default,0.0011819761712104082,singular,singular,es,es,[MASK] dólares [MASK],"[CLS] , [MASK] , dólares , [MASK] , [SEP]",single-token,6.740567519921908
9,dólar,dólares,plur,1,default,0.0013925216626375914,plural,plural,son,es,[MASK] dólares [MASK],"[CLS] , [MASK] , dólares , [MASK] , [SEP]",single-token,6.576639029632068
10,dólar,dólar##es,plur,2,artificial,0.0035025302786380053,singular,singular,es,es,[MASK] dólar##es [MASK],"[CLS] , [MASK] , dólar , ##es , [MASK] , [SEP]",single-token,5.654269634925952
11,dólar,dólar##es,plur,2,artificial,0.014321169815957546,plural,plural,son,es,[MASK] dólar##es [MASK],"[CLS] , [MASK] , dólar , ##es , [MASK] , [SEP]",single-token,4.246016429727683
12,activo,activo,sing,1,default,0.0011881438549607992,singular,singular,es,s,[MASK] activo [MASK],"[CLS] , [MASK] , activo , [MASK] , [SEP]",single-token,6.735362975338147
13,activo,activo,sing,1,default,0.00017044608830474317,plural,plural,son,s,[MASK] activo [MASK],"[CLS] , [MASK] , activo , [MASK] , [SEP]",single-token,8.677091508867852
14,activo,activos,plur,1,default,0.0005417810170911252,singular,singular,es,s,[MASK] activos [MASK],"[CLS] , [MASK] , activos , [MASK] , [SEP]",single-token,7.520648665672881
15,activo,activos,plur,1,default,0.0008831684826873243,plural,plural,son,s,[MASK] activos [MASK],"[CLS] , [MASK] , activos , [MASK] , [SEP]",single-token,7.031994568441265
16,activo,activo##s,plur,2,artificial,0.0005245593492873013,singular,singular,es,s,[MASK] activo##s [MASK],"[CLS] , [MASK] , activo , ##s , [MASK] , [SEP]",single-token,7.55295198250209
17,activo,activo##s,plur,2,artificial,0.0008175536640919745,plural,plural,son,s,[MASK] activo##s [MASK],"[CLS] , [MASK] , activo , ##s , [MASK] , [SEP]",single-token,7.109194013198144
18,permiso,permiso,sing,1,default,0.00347391446121037,singular,singular,es,s,[MASK] permiso [MASK],"[CLS] , [MASK] , permiso , [MASK] , [SEP]",single-token,5.662473234031024
19,permiso,permiso,sing,1,default,0.00013661294360645115,plural,plural,son,s,[MASK] permiso [MASK],"[CLS] , [MASK] , permiso , [MASK] , [SEP]",single-token,8.898358859778897
