,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,article_probs,article_number,article_type,article,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,schwua,schwua,sing,4,default,0.0001159189851023,plural,definite,Las,s,[MASK] schwua,"[CLS] , [MASK] , s , ##ch , ##w , ##ua , [SEP]",morphemic,9.062619015146094,2.776843024204278,-2.776843024204467
3,3,schwua,schwuas,plur,5,default,0.0036636034492403,plural,definite,Las,s,[MASK] schwuas,"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [SEP]",morphemic,5.60930806694655,-0.9386234689236197,0.9386234689236497
5,5,schwua,schwua##s,plur,5,artificial,0.0036636034492403,plural,definite,Las,s,[MASK] schwua##s,"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [SEP]",morphemic,5.60930806694655,-0.9386234689236197,0.9386234689236497
7,7,schwua,schwua,sing,4,default,2.934696112788515e-06,plural,indefinite,Unas,s,[MASK] schwua,"[CLS] , [MASK] , s , ##ch , ##w , ##ua , [SEP]",morphemic,12.738906649128737,3.5248994395327973,-3.524899439532797
9,9,schwua,schwuas,plur,5,default,5.349503771867603e-05,plural,indefinite,Unas,s,[MASK] schwuas,"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [SEP]",morphemic,9.835921661286076,1.3443956757985251,-1.3443956757980935
11,11,schwua,schwua##s,plur,5,artificial,5.349503771867603e-05,plural,indefinite,Unas,s,[MASK] schwua##s,"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [SEP]",morphemic,9.835921661286076,1.3443956757985251,-1.3443956757980935
13,13,mio,mio,sing,1,default,0.0002101859281538,plural,definite,Los,s,[MASK] mio,"[CLS] , [MASK] , mio , [SEP]",morphemic,8.46751804679657,3.207873287976989,-3.2078732879770016
15,15,mio,mios,plur,2,default,0.0686838701367378,plural,definite,Los,s,[MASK] mios,"[CLS] , [MASK] , mio , ##s , [SEP]",morphemic,2.678240894267651,-6.241096455918866,6.241096455919118
17,17,mio,mio##s,plur,2,artificial,0.0686838701367378,plural,definite,Los,s,[MASK] mio##s,"[CLS] , [MASK] , mio , ##s , [SEP]",morphemic,2.678240894267651,-6.241096455918866,6.241096455919118
19,19,mio,mio,sing,1,default,1.3339649740373716e-06,plural,indefinite,Unos,s,[MASK] mio,"[CLS] , [MASK] , mio , [SEP]",morphemic,13.527354867159346,5.316689467910502,-5.3166894679102015
21,21,mio,mios,plur,2,default,0.0005423393449746,plural,indefinite,Unos,s,[MASK] mios,"[CLS] , [MASK] , mio , ##s , [SEP]",morphemic,7.519618654702918,-3.6109252142616066,3.6109252142615937
23,23,mio,mio##s,plur,2,artificial,0.0005423393449746,plural,indefinite,Unos,s,[MASK] mio##s,"[CLS] , [MASK] , mio , ##s , [SEP]",morphemic,7.519618654702918,-3.6109252142616066,3.6109252142615937
25,25,srua,srua,sing,2,default,0.0008409564034081,plural,definite,Las,s,[MASK] srua,"[CLS] , [MASK] , sr , ##ua , [SEP]",morphemic,7.080970738326452,4.497611025938936,-4.497611025939055
27,27,srua,sruas,plur,3,default,0.0311764068901538,plural,definite,Las,s,[MASK] sruas,"[CLS] , [MASK] , sr , ##ua , ##s , [SEP]",morphemic,3.4680936596402803,-3.283539779264021,3.283539779264102
29,29,srua,srua##s,plur,3,artificial,0.0311764068901538,plural,definite,Las,s,[MASK] srua##s,"[CLS] , [MASK] , sr , ##ua , ##s , [SEP]",morphemic,3.4680936596402803,-3.283539779264021,3.283539779264102
31,31,srua,srua,sing,2,default,1.3977629350847565e-05,plural,indefinite,Unas,s,[MASK] srua,"[CLS] , [MASK] , sr , ##ua , [SEP]",morphemic,11.178052409869323,5.705251226854179,-5.705251226854166
33,33,srua,sruas,plur,3,default,0.0001609312748769,plural,indefinite,Unas,s,[MASK] sruas,"[CLS] , [MASK] , sr , ##ua , ##s , [SEP]",morphemic,8.734533148230682,-0.5161794631286547,0.5161794631284692
35,35,srua,srua##s,plur,3,artificial,0.0001609312748769,plural,indefinite,Unas,s,[MASK] srua##s,"[CLS] , [MASK] , sr , ##ua , ##s , [SEP]",morphemic,8.734533148230682,-0.5161794631286547,0.5161794631284692
37,37,qaa,qaa,sing,2,default,9.305108505941462e-06,plural,definite,Las,s,[MASK] qaa,"[CLS] , [MASK] , q , ##aa , [SEP]",morphemic,11.58494700690189,4.299593836084466,-4.299593836084439
39,39,qaa,qaas,plur,3,default,0.0014915658393874,plural,definite,Las,s,[MASK] qaas,"[CLS] , [MASK] , q , ##aa , ##s , [SEP]",morphemic,6.507928811914705,-1.834956720409358,1.8349567204097146
41,41,qaa,qaa##s,plur,3,artificial,0.0014915658393874,plural,definite,Las,s,[MASK] qaa##s,"[CLS] , [MASK] , q , ##aa , ##s , [SEP]",morphemic,6.507928811914705,-1.834956720409358,1.8349567204097146
43,43,qaa,qaa,sing,2,default,9.9534963737824e-07,plural,indefinite,Unas,s,[MASK] qaa,"[CLS] , [MASK] , q , ##aa , [SEP]",morphemic,13.820171767162364,4.3804292315859765,-4.3804292315859765
