,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,no,no,sing,1,default,0.0012822390999644,plural,plural,son,s,El no [MASK],"[CLS] , El , no , [MASK] , [SEP]",single-token,6.659147432441108,2.9188681616290206,-2.9188681616290975
3,3,no,nos,plur,1,default,0.0155497658997774,plural,plural,son,s,Los nos [MASK],"[CLS] , Los , nos , [MASK] , [SEP]",single-token,4.163709695146911,-3.4015207215262784,3.4015207215263605
5,5,no,no##s,plur,2,artificial,0.0806172117590904,plural,plural,son,s,Los no##s [MASK],"[CLS] , Los , no , ##s , [MASK] , [SEP]",single-token,2.5180431068689835,-3.536456135014528,3.5364561350145576
7,7,gra,gra,sing,1,default,7.464399095624685e-05,plural,plural,son,s,La gra [MASK],"[CLS] , La , gra , [MASK] , [SEP]",single-token,9.50278053345153,4.295285231816347,-4.295285231816332
9,9,gra,gras,plur,1,default,0.045463427901268,plural,plural,son,s,Las gras [MASK],"[CLS] , Las , gras , [MASK] , [SEP]",single-token,3.0908470586212147,-1.7762966470485217,1.7762966470485306
11,11,gra,gra##s,plur,2,artificial,0.0033172599505633,plural,plural,son,s,Las gra##s [MASK],"[CLS] , Las , gra , ##s , [MASK] , [SEP]",single-token,5.70861615290996,-2.096813219547805,2.0968132195479665
13,13,crea,crea,sing,1,default,0.0001107252610381,plural,plural,son,s,La crea [MASK],"[CLS] , La , crea , [MASK] , [SEP]",single-token,9.10845855062183,2.8673411280221472,-2.8673411280227645
15,15,crea,creas,plur,1,default,0.0024938867427408,plural,plural,son,s,Las creas [MASK],"[CLS] , Las , creas , [MASK] , [SEP]",single-token,5.993912844647637,-2.407150822028214,2.4071508220281985
17,17,crea,crea##s,plur,2,artificial,0.0340904556214809,plural,plural,son,s,Las crea##s [MASK],"[CLS] , Las , crea , ##s , [MASK] , [SEP]",single-token,3.3787378276684583,-4.013193151822671,4.013193151822764
19,19,pla,pla,sing,1,default,0.0002240322792204,plural,plural,son,s,La pla [MASK],"[CLS] , La , pla , [MASK] , [SEP]",single-token,8.403720412828626,3.4219984972272774,-3.421998497227307
21,21,pla,plas,plur,1,default,0.0133980996906757,plural,plural,son,s,Las plas [MASK],"[CLS] , Las , plas , [MASK] , [SEP]",single-token,4.3126423962105225,-1.173963493317979,1.1739634933179808
23,23,pla,pla##s,plur,2,artificial,0.0286134015768766,plural,plural,son,s,Las pla##s [MASK],"[CLS] , Las , pla , ##s , [MASK] , [SEP]",single-token,3.5538800843046703,-2.084983797926986,2.084983797926995
25,25,va,va,sing,1,default,5.430031887954101e-05,plural,plural,son,s,La va [MASK],"[CLS] , La , va , [MASK] , [SEP]",single-token,9.820980458490228,1.6883306160522302,-1.6883306160520295
27,27,va,vas,plur,1,default,0.0006912866374477,plural,plural,son,s,Las vas [MASK],"[CLS] , Las , vas , [MASK] , [SEP]",single-token,7.276956004799506,-2.5711631583410304,2.571163158340922
29,29,va,va##s,plur,2,artificial,0.0269800573587417,plural,plural,son,s,Las va##s [MASK],"[CLS] , Las , va , ##s , [MASK] , [SEP]",single-token,3.6126573022321495,-3.375996548975056,3.3759965489750803
31,31,ga,ga,sing,1,default,9.6737225248944e-05,plural,plural,son,s,La ga [MASK],"[CLS] , La , ga , [MASK] , [SEP]",single-token,9.243512273542873,3.243374323800486,-3.2433743238004658
33,33,ga,gas,plur,1,default,0.0246682744473218,plural,plural,son,s,Las gas [MASK],"[CLS] , Las , gas , [MASK] , [SEP]",single-token,3.702237296273387,-2.1189132407639035,2.11891324076392
35,35,ga,ga##s,plur,2,artificial,0.0432190038263797,plural,plural,son,s,Las ga##s [MASK],"[CLS] , Las , ga , ##s , [MASK] , [SEP]",single-token,3.141474977072781,-3.2347203274487897,3.234720327448797
37,37,pro,pro,sing,1,default,0.0004912684089504,plural,plural,son,s,El pro [MASK],"[CLS] , El , pro , [MASK] , [SEP]",single-token,7.6185199217925055,2.3458065675213398,-2.345806567521364
39,39,pro,pros,plur,1,default,0.067931517958641,plural,plural,son,s,Los pros [MASK],"[CLS] , Los , pros , [MASK] , [SEP]",single-token,2.689255170104244,-4.273328359223072,4.273328359223093
41,41,pro,pro##s,plur,2,artificial,0.0036283212248235,plural,plural,son,s,Los pro##s [MASK],"[CLS] , Los , pro , ##s , [MASK] , [SEP]",single-token,5.618985210179154,-1.2746553281301054,1.2746553281300865
43,43,gro,gro,sing,1,default,0.0007236373494379,plural,plural,son,s,El gro [MASK],"[CLS] , El , gro , [MASK] , [SEP]",single-token,7.231220189636557,3.2048005885140425,-3.2048005885140705
45,45,gro,gros,plur,1,default,0.1673581600189209,plural,plural,son,s,Los gros [MASK],"[CLS] , Los , gros , [MASK] , [SEP]",single-token,1.7876190923168225,-3.6380138428927205,3.6380138428927267
47,47,gro,gro##s,plur,2,artificial,0.1086151972413063,plural,plural,son,s,Los gro##s [MASK],"[CLS] , Los , gro , ##s , [MASK] , [SEP]",single-token,2.219943943507426,-5.061390364413111,5.061390364413169
49,49,fa,fa,sing,1,default,0.0002493959036655,plural,plural,son,s,La fa [MASK],"[CLS] , La , fa , [MASK] , [SEP]",single-token,8.296468949610354,3.983922057698397,-3.9839220576986825
51,51,fa,fas,plur,1,default,0.0146825993433594,plural,plural,son,s,Las fas [MASK],"[CLS] , Las , fas , [MASK] , [SEP]",single-token,4.221092204483936,-1.2147139232695947,1.2147139232695952
53,53,fa,fa##s,plur,2,artificial,0.009017395786941,plural,plural,son,s,Las fa##s [MASK],"[CLS] , Las , fa , ##s , [MASK] , [SEP]",single-token,4.70859970201066,-2.22620962617391,2.2262096261739823
55,55,ro,ro,sing,1,default,0.0009874491952359,plural,plural,son,s,El ro [MASK],"[CLS] , El , ro , [MASK] , [SEP]",single-token,6.920385510374795,2.6972956659229235,-2.697295665922991
57,57,ro,ros,plur,1,default,0.0445445850491523,plural,plural,son,s,Los ros [MASK],"[CLS] , Los , ros , [MASK] , [SEP]",single-token,3.111264680171082,-3.184267993078459,3.1842679930784885
