,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,article_probs,article_number,article_type,article,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,sco,sco,sing,2,default,5.498606333276257e-05,plural,definite,Los,s,[MASK] sco,"[CLS] , [MASK] , s , ##co , [SEP]",nonmorphemic,9.808430798791246,4.07494680678189,-4.074946806781874
3,3,sco,scos,plur,2,default,0.0195585750043392,plural,definite,Los,s,[MASK] scos,"[CLS] , [MASK] , s , ##cos , [SEP]",nonmorphemic,3.934341469568236,-3.4250826851340617,3.425082685134207
5,5,sco,sco##s,plur,3,artificial,0.0019357850542291,plural,definite,Los,s,[MASK] sco##s,"[CLS] , [MASK] , s , ##co , ##s , [SEP]",nonmorphemic,6.24724232199962,-0.1999226244849659,0.19992262448497103
7,7,sco,sco,sing,2,default,4.6038430809858255e-06,plural,indefinite,Unos,s,[MASK] sco,"[CLS] , [MASK] , s , ##co , [SEP]",nonmorphemic,12.288619150877093,5.842579744585031,-5.8425797445849925
9,9,sco,scos,plur,2,default,0.0003883620956912,plural,indefinite,Unos,s,[MASK] scos,"[CLS] , [MASK] , s , ##cos , [SEP]",nonmorphemic,7.853572417217585,-0.5673151359099187,0.5673151359101349
11,11,sco,sco##s,plur,3,artificial,2.519382906029932e-05,plural,indefinite,Unos,s,[MASK] sco##s,"[CLS] , [MASK] , s , ##co , ##s , [SEP]",nonmorphemic,10.588911471994097,2.8808851740059014,-2.880885174005721
13,13,drua,drua,sing,3,default,0.0002508501056581,plural,definite,Las,s,[MASK] drua,"[CLS] , [MASK] , d , ##ru , ##a , [SEP]",nonmorphemic,8.29065498583349,4.764261216174095,-4.7642612161743845
15,15,drua,druas,plur,3,default,0.0384983979165554,plural,definite,Las,s,[MASK] druas,"[CLS] , [MASK] , d , ##ru , ##as , [SEP]",nonmorphemic,3.2571386511112275,-4.414567448126999,4.414567448127102
17,17,drua,drua##s,plur,4,artificial,0.0007867240346968,plural,definite,Las,s,[MASK] drua##s,"[CLS] , [MASK] , d , ##ru , ##a , ##s , [SEP]",nonmorphemic,7.147633025809604,-1.1475003984465086,1.147500398446739
19,19,drua,drua,sing,3,default,2.65602693616529e-06,plural,indefinite,Unas,s,[MASK] drua,"[CLS] , [MASK] , d , ##ru , ##a , [SEP]",nonmorphemic,12.838679184773016,6.218812961655943,-6.2188129616559396
