,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,remedio,remedio,sing,1,default,0.0013473744038492,plural,plural,son,s,[MASK] remedio [MASK],"[CLS] , [MASK] , remedio , [MASK] , [SEP]",morphemic,6.609597466316059,2.9814372536686355,-2.9814372536686653
3,3,remedio,remedios,plur,2,default,0.0183160472661256,plural,plural,son,s,[MASK] remedios [MASK],"[CLS] , [MASK] , remedio , ##s , [MASK] , [SEP]",morphemic,3.9999777035984754,-2.8017596913216036,2.801759691321663
5,5,remedio,remedio##s,plur,2,artificial,0.0183160472661256,plural,plural,son,s,[MASK] remedio##s [MASK],"[CLS] , [MASK] , remedio , ##s , [MASK] , [SEP]",morphemic,3.9999777035984754,-2.8017596913216036,2.801759691321663
7,7,cierre,cierre,sing,1,default,0.0005168923526071,plural,plural,son,s,[MASK] cierre [MASK],"[CLS] , [MASK] , cierre , [MASK] , [SEP]",morphemic,7.567675920595846,2.326296337447113,-2.32629633744711
9,9,cierre,cierres,plur,2,default,0.0055156210437417,plural,plural,son,s,[MASK] cierres [MASK],"[CLS] , [MASK] , cierre , ##s , [MASK] , [SEP]",morphemic,5.200171022690727,-1.8011975798210242,1.8011975798210675
11,11,cierre,cierre##s,plur,2,artificial,0.0055156210437417,plural,plural,son,s,[MASK] cierre##s [MASK],"[CLS] , [MASK] , cierre , ##s , [MASK] , [SEP]",morphemic,5.200171022690727,-1.8011975798210242,1.8011975798210675
13,13,gestor,gestor,sing,1,default,8.806231198832393e-05,plural,plural,son,es,[MASK] gestor [MASK],"[CLS] , [MASK] , gestor , [MASK] , [SEP]",morphemic,9.337465903287653,2.783896914791576,-2.7838969147915154
15,15,gestor,gestores,plur,2,default,0.001557869487442,plural,plural,son,es,[MASK] gestores [MASK],"[CLS] , [MASK] , gestor , ##es , [MASK] , [SEP]",morphemic,6.464436104335058,-1.1561961361734534,1.1561961361734259
17,17,gestor,gestor##es,plur,2,artificial,0.001557869487442,plural,plural,son,es,[MASK] gestor##es [MASK],"[CLS] , [MASK] , gestor , ##es , [MASK] , [SEP]",morphemic,6.464436104335058,-1.1561961361734534,1.1561961361734259
19,19,monopolio,monopolio,sing,1,default,0.0020413221791386,plural,plural,son,s,[MASK] monopolio [MASK],"[CLS] , [MASK] , monopolio , [MASK] , [SEP]",morphemic,6.194157554040872,2.254881464155845,-2.25488146415587
21,21,monopolio,monopolios,plur,2,default,0.0224760919809341,plural,plural,son,s,[MASK] monopolios [MASK],"[CLS] , [MASK] , monopolio , ##s , [MASK] , [SEP]",morphemic,3.795303113333808,-2.9450659646862882,2.945065964686362
23,23,monopolio,monopolio##s,plur,2,artificial,0.0224760919809341,plural,plural,son,s,[MASK] monopolio##s [MASK],"[CLS] , [MASK] , monopolio , ##s , [MASK] , [SEP]",morphemic,3.795303113333808,-2.9450659646862882,2.945065964686362
25,25,retorno,retorno,sing,1,default,0.0004439382173586,plural,plural,son,s,[MASK] retorno [MASK],"[CLS] , [MASK] , retorno , [MASK] , [SEP]",morphemic,7.719825155307421,2.4875506791014477,-2.4875506791015796
27,27,retorno,retornos,plur,2,default,0.0119943721219897,plural,plural,son,s,[MASK] retornos [MASK],"[CLS] , [MASK] , retorno , ##s , [MASK] , [SEP]",morphemic,4.423317729038455,-1.7780199895693851,1.7780199895693964
29,29,retorno,retorno##s,plur,2,artificial,0.0119943721219897,plural,plural,son,s,[MASK] retorno##s [MASK],"[CLS] , [MASK] , retorno , ##s , [MASK] , [SEP]",morphemic,4.423317729038455,-1.7780199895693851,1.7780199895693964
31,31,planteamiento,planteamiento,sing,1,default,0.000377574498998,plural,plural,son,s,[MASK] planteamiento [MASK],"[CLS] , [MASK] , planteamiento , [MASK] , [SEP]",morphemic,7.881742660406741,2.8512296543665423,-2.8512296543665414
33,33,planteamiento,planteamientos,plur,2,default,0.0021060514263808,plural,plural,son,s,[MASK] planteamientos [MASK],"[CLS] , [MASK] , planteamiento , ##s , [MASK] , [SEP]",morphemic,6.162940446584222,-0.9266453060526967,0.926645306052701
35,35,planteamiento,planteamiento##s,plur,2,artificial,0.0021060514263808,plural,plural,son,s,[MASK] planteamiento##s [MASK],"[CLS] , [MASK] , planteamiento , ##s , [MASK] , [SEP]",morphemic,6.162940446584222,-0.9266453060526967,0.926645306052701
37,37,plantilla,plantilla,sing,1,default,0.0001795903226593,plural,plural,son,s,[MASK] plantilla [MASK],"[CLS] , [MASK] , plantilla , [MASK] , [SEP]",morphemic,8.624832286290937,2.8216085446616956,-2.821608544661968
39,39,plantilla,plantillas,plur,2,default,0.0035624140873551,plural,plural,son,s,[MASK] plantillas [MASK],"[CLS] , [MASK] , plantilla , ##s , [MASK] , [SEP]",morphemic,5.637316849508297,-0.962174910285511,0.9621749102855082
41,41,plantilla,plantilla##s,plur,2,artificial,0.0035624140873551,plural,plural,son,s,[MASK] plantilla##s [MASK],"[CLS] , [MASK] , plantilla , ##s , [MASK] , [SEP]",morphemic,5.637316849508297,-0.962174910285511,0.9621749102855082
43,43,gesto,gesto,sing,1,default,0.0008575412211939,plural,plural,son,s,[MASK] gesto [MASK],"[CLS] , [MASK] , gesto , [MASK] , [SEP]",morphemic,7.061441308716341,2.783235564500303,-2.7832355645003783
45,45,gesto,gestos,plur,2,default,0.0083133317530155,plural,plural,son,s,[MASK] gestos [MASK],"[CLS] , [MASK] , gesto , ##s , [MASK] , [SEP]",morphemic,4.789894817492739,-2.0406413306420577,2.0406413306421163
47,47,gesto,gesto##s,plur,2,artificial,0.0083133317530155,plural,plural,son,s,[MASK] gesto##s [MASK],"[CLS] , [MASK] , gesto , ##s , [MASK] , [SEP]",morphemic,4.789894817492739,-2.0406413306420577,2.0406413306421163
49,49,trazado,trazado,sing,1,default,0.0004347031353972,plural,plural,son,s,[MASK] trazado [MASK],"[CLS] , [MASK] , trazado , [MASK] , [SEP]",morphemic,7.740847207211354,2.358660202802769,-2.358660202802958
51,51,trazado,trazados,plur,2,default,0.0033104333560913,plural,plural,son,s,[MASK] trazados [MASK],"[CLS] , [MASK] , trazado , ##s , [MASK] , [SEP]",morphemic,5.710676174872424,-1.4010052187059516,1.4010052187059527
53,53,trazado,trazado##s,plur,2,artificial,0.0033104333560913,plural,plural,son,s,[MASK] trazado##s [MASK],"[CLS] , [MASK] , trazado , ##s , [MASK] , [SEP]",morphemic,5.710676174872424,-1.4010052187059516,1.4010052187059527
55,55,ciclista,ciclista,sing,1,default,0.0002078414836432,plural,plural,son,s,[MASK] ciclista [MASK],"[CLS] , [MASK] , ciclista , [MASK] , [SEP]",morphemic,8.478734866676016,2.498308652483262,-2.4983086524836335
57,57,ciclista,ciclistas,plur,2,default,0.0010150460293516,plural,plural,son,s,[MASK] ciclistas [MASK],"[CLS] , [MASK] , ciclista , ##s , [MASK] , [SEP]",morphemic,6.892821318401698,-2.646706652416289,2.6467066524162375
59,59,ciclista,ciclista##s,plur,2,artificial,0.0010150460293516,plural,plural,son,s,[MASK] ciclista##s [MASK],"[CLS] , [MASK] , ciclista , ##s , [MASK] , [SEP]",morphemic,6.892821318401698,-2.646706652416289,2.6467066524162375
61,61,coincidencia,coincidencia,sing,1,default,0.000856858852785,plural,plural,son,s,[MASK] coincidencia [MASK],"[CLS] , [MASK] , coincidencia , [MASK] , [SEP]",morphemic,7.062237352131503,3.4014140278041802,-3.401414027804271
63,63,coincidencia,coincidencias,plur,2,default,0.0138297891244292,plural,plural,son,s,[MASK] coincidencias [MASK],"[CLS] , [MASK] , coincidencia , ##s , [MASK] , [SEP]",morphemic,4.280930381113024,-2.586015703528245,2.5860157035282496
65,65,coincidencia,coincidencia##s,plur,2,artificial,0.0138297891244292,plural,plural,son,s,[MASK] coincidencia##s [MASK],"[CLS] , [MASK] , coincidencia , ##s , [MASK] , [SEP]",morphemic,4.280930381113024,-2.586015703528245,2.5860157035282496
67,67,arteria,arteria,sing,1,default,0.0004484846140258,plural,plural,son,s,[MASK] arteria [MASK],"[CLS] , [MASK] , arteria , [MASK] , [SEP]",morphemic,7.709636182458992,3.4769978875355534,-3.4769978875355507
69,69,arteria,arterias,plur,2,default,0.0122707774862647,plural,plural,son,s,[MASK] arterias [MASK],"[CLS] , [MASK] , arteria , ##s , [MASK] , [SEP]",morphemic,4.400534657453033,-3.0294742580206044,3.0294742580206675
