,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal
0,patrono,patrono,sing,2,default,1.602862357685808e-05,singular,singular,grande,s,El patrono [MASK],"[CLS] , El , patr , ##ono , [MASK] , [SEP]",non_morphemic,11.041134460478116
1,patrono,patrono,sing,2,default,6.492314241768327e-08,plural,plural,grandes,s,El patrono [MASK],"[CLS] , El , patr , ##ono , [MASK] , [SEP]",non_morphemic,16.550061691009322
2,patrono,patronos,plur,2,default,5.4995057396922675e-09,singular,singular,grande,s,Los patronos [MASK],"[CLS] , Los , patr , ##onos , [MASK] , [SEP]",non_morphemic,19.01860761425663
3,patrono,patronos,plur,2,default,4.7341976028292265e-07,plural,plural,grandes,s,Los patronos [MASK],"[CLS] , Los , patr , ##onos , [MASK] , [SEP]",non_morphemic,14.563283399540111
4,patrono,patrono##s,plur,3,artificial,3.91850285552664e-08,singular,singular,grande,s,Los patrono##s [MASK],"[CLS] , Los , patr , ##ono , ##s , [MASK] , [SEP]",non_morphemic,17.054971087712325
5,patrono,patrono##s,plur,3,artificial,1.2769255590683315e-05,plural,plural,grandes,s,Los patrono##s [MASK],"[CLS] , Los , patr , ##ono , ##s , [MASK] , [SEP]",non_morphemic,11.268470183222464
6,premisa,premisa,sing,2,default,7.433249720634194e-06,singular,singular,grande,s,La premisa [MASK],"[CLS] , La , premis , ##a , [MASK] , [SEP]",non_morphemic,11.80954741657475
7,premisa,premisa,sing,2,default,1.608425570509553e-08,plural,plural,grandes,s,La premisa [MASK],"[CLS] , La , premis , ##a , [MASK] , [SEP]",non_morphemic,17.94542494993433
8,premisa,premisas,plur,2,default,1.7583986489100312e-09,singular,singular,grande,s,Las premisas [MASK],"[CLS] , Las , premis , ##as , [MASK] , [SEP]",non_morphemic,20.158862300642753
9,premisa,premisas,plur,2,default,1.2708459280474926e-06,plural,plural,grandes,s,Las premisas [MASK],"[CLS] , Las , premis , ##as , [MASK] , [SEP]",non_morphemic,13.575827794153215
10,premisa,premisa##s,plur,3,artificial,4.535579911646437e-09,singular,singular,grande,s,Las premisa##s [MASK],"[CLS] , Las , premis , ##a , ##s , [MASK] , [SEP]",non_morphemic,19.211312886880613
11,premisa,premisa##s,plur,3,artificial,1.9402932593948208e-06,plural,plural,grandes,s,Las premisa##s [MASK],"[CLS] , Las , premis , ##a , ##s , [MASK] , [SEP]",non_morphemic,13.152671431676755
12,kilo,kilo,sing,2,default,3.448041752562858e-05,singular,singular,grande,s,El kilo [MASK],"[CLS] , El , k , ##ilo , [MASK] , [SEP]",non_morphemic,10.275119003030133
13,kilo,kilo,sing,2,default,7.378550321845978e-07,plural,plural,grandes,s,El kilo [MASK],"[CLS] , El , k , ##ilo , [MASK] , [SEP]",non_morphemic,14.1195184649957
14,kilo,kilos,plur,2,default,1.066604454535991e-06,singular,singular,grande,s,Los kilos [MASK],"[CLS] , Los , k , ##ilos , [MASK] , [SEP]",non_morphemic,13.751030362400115
15,kilo,kilos,plur,2,default,4.157525472692214e-05,plural,plural,grandes,s,Los kilos [MASK],"[CLS] , Los , k , ##ilos , [MASK] , [SEP]",non_morphemic,10.088005405978684
16,kilo,kilo##s,plur,3,artificial,5.037090318182891e-07,singular,singular,grande,s,Los kilo##s [MASK],"[CLS] , Los , k , ##ilo , ##s , [MASK] , [SEP]",non_morphemic,14.501267053407998
17,kilo,kilo##s,plur,3,artificial,2.6194709789706394e-05,plural,plural,grandes,s,Los kilo##s [MASK],"[CLS] , Los , k , ##ilo , ##s , [MASK] , [SEP]",non_morphemic,10.549953084008509
18,bebedor,bebedor,sing,2,default,1.5119249837880488e-05,singular,singular,grande,es,El bebedor [MASK],"[CLS] , El , bebe , ##dor , [MASK] , [SEP]",non_morphemic,11.09954180234049
19,bebedor,bebedor,sing,2,default,4.842436140961581e-08,plural,plural,grandes,es,El bebedor [MASK],"[CLS] , El , bebe , ##dor , [MASK] , [SEP]",non_morphemic,16.843262814944932
20,bebedor,bebedores,plur,2,default,4.4103299501330184e-07,singular,singular,grande,es,Los bebedores [MASK],"[CLS] , Los , bebe , ##dores , [MASK] , [SEP]",non_morphemic,14.634146145674071
21,bebedor,bebedores,plur,2,default,3.396915417397395e-05,plural,plural,grandes,es,Los bebedores [MASK],"[CLS] , Los , bebe , ##dores , [MASK] , [SEP]",non_morphemic,10.29005767530772
22,bebedor,bebedor##es,plur,3,artificial,1.1064373239833003e-07,singular,singular,grande,es,Los bebedor##es [MASK],"[CLS] , Los , bebe , ##dor , ##es , [MASK] , [SEP]",non_morphemic,16.01695041553915
23,bebedor,bebedor##es,plur,3,artificial,1.3725325516134035e-05,plural,plural,grandes,es,Los bebedor##es [MASK],"[CLS] , Los , bebe , ##dor , ##es , [MASK] , [SEP]",non_morphemic,11.196267853827408
