,lemma,word_form,word_number,n_tokens,tokenization_type,article_probs,article_number,article_type,article,affix,sentence,model_token_inputs,source,surprisal
0,dynuo,dynuo,sing,3,default,0.028237653896212578,singular,definite,El,s,[MASK] dynuo,"[CLS] , [MASK] , d , ##yn , ##uo , [SEP]",morphemic,3.567098947137791
1,dynuo,dynuo,sing,3,default,9.919492003973573e-05,plural,definite,Los,s,[MASK] dynuo,"[CLS] , [MASK] , d , ##yn , ##uo , [SEP]",morphemic,9.218423754261543
2,dynuo,dynuos,plur,4,default,0.000602643471211195,singular,definite,El,s,[MASK] dynuos,"[CLS] , [MASK] , d , ##yn , ##uo , ##s , [SEP]",morphemic,7.414184794455467
3,dynuo,dynuos,plur,4,default,0.003107287222519517,plural,definite,Los,s,[MASK] dynuos,"[CLS] , [MASK] , d , ##yn , ##uo , ##s , [SEP]",morphemic,5.774005209162028
4,dynuo,dynuo##s,plur,4,artificial,0.000602643471211195,singular,definite,El,s,[MASK] dynuo##s,"[CLS] , [MASK] , d , ##yn , ##uo , ##s , [SEP]",morphemic,7.414184794455467
5,dynuo,dynuo##s,plur,4,artificial,0.003107287222519517,plural,definite,Los,s,[MASK] dynuo##s,"[CLS] , [MASK] , d , ##yn , ##uo , ##s , [SEP]",morphemic,5.774005209162028
6,dynuo,dynuo,sing,3,default,0.0018066531047224998,singular,indefinite,Un,s,[MASK] dynuo,"[CLS] , [MASK] , d , ##yn , ##uo , [SEP]",morphemic,6.316279258838029
7,dynuo,dynuo,sing,3,default,1.0275641670887126e-06,plural,indefinite,Unos,s,[MASK] dynuo,"[CLS] , [MASK] , d , ##yn , ##uo , [SEP]",morphemic,13.78831944280455
8,dynuo,dynuos,plur,4,default,0.00011647061910480261,singular,indefinite,Un,s,[MASK] dynuos,"[CLS] , [MASK] , d , ##yn , ##uo , ##s , [SEP]",morphemic,9.05787151329071
9,dynuo,dynuos,plur,4,default,4.788010483025573e-05,plural,indefinite,Unos,s,[MASK] dynuos,"[CLS] , [MASK] , d , ##yn , ##uo , ##s , [SEP]",morphemic,9.946810487839643
10,dynuo,dynuo##s,plur,4,artificial,0.00011647061910480261,singular,indefinite,Un,s,[MASK] dynuo##s,"[CLS] , [MASK] , d , ##yn , ##uo , ##s , [SEP]",morphemic,9.05787151329071
11,dynuo,dynuo##s,plur,4,artificial,4.788010483025573e-05,plural,indefinite,Unos,s,[MASK] dynuo##s,"[CLS] , [MASK] , d , ##yn , ##uo , ##s , [SEP]",morphemic,9.946810487839643
12,zua,zua,sing,2,default,0.02153041586279869,singular,definite,La,s,[MASK] zua,"[CLS] , [MASK] , z , ##ua , [SEP]",morphemic,3.83828865228852
13,zua,zua,sing,2,default,0.00045883830171078444,plural,definite,Las,s,[MASK] zua,"[CLS] , [MASK] , z , ##ua , [SEP]",morphemic,7.686812693824764
14,zua,zuas,plur,3,default,0.0011806420516222715,singular,definite,La,s,[MASK] zuas,"[CLS] , [MASK] , z , ##ua , ##s , [SEP]",morphemic,6.741696876935278
15,zua,zuas,plur,3,default,0.03976069390773773,plural,definite,Las,s,[MASK] zuas,"[CLS] , [MASK] , z , ##ua , ##s , [SEP]",morphemic,3.2248764449381646
16,zua,zua##s,plur,3,artificial,0.0011806420516222715,singular,definite,La,s,[MASK] zua##s,"[CLS] , [MASK] , z , ##ua , ##s , [SEP]",morphemic,6.741696876935278
17,zua,zua##s,plur,3,artificial,0.03976069390773773,plural,definite,Las,s,[MASK] zua##s,"[CLS] , [MASK] , z , ##ua , ##s , [SEP]",morphemic,3.2248764449381646
18,zua,zua,sing,2,default,0.0008426163112744689,singular,indefinite,Una,s,[MASK] zua,"[CLS] , [MASK] , z , ##ua , [SEP]",morphemic,7.078998850341276
