,lemma,word_form,word_number,n_tokens,tokenization_type,article_probs,article_number,article_type,article,affix,sentence,model_token_inputs,source,surprisal
0,bo,bo,sing,1,default,0.00328149925917387,singular,definite,El,s,[MASK] bo,"[CLS] , [MASK] , bo , [SEP]",single-token,5.719454869808904
1,bo,bo,sing,1,default,0.0002916963421739638,plural,definite,Los,s,[MASK] bo,"[CLS] , [MASK] , bo , [SEP]",single-token,8.139797220853952
2,bo,bos,plur,1,default,0.0030881036072969437,singular,definite,El,s,[MASK] bos,"[CLS] , [MASK] , bos , [SEP]",single-token,5.780198095796651
3,bo,bos,plur,1,default,0.00025855618878267705,plural,definite,Los,s,[MASK] bos,"[CLS] , [MASK] , bos , [SEP]",single-token,8.260397522906189
4,bo,bo##s,plur,2,artificial,0.0021968830842524767,singular,definite,El,s,[MASK] bo##s,"[CLS] , [MASK] , bo , ##s , [SEP]",single-token,6.120715703084686
5,bo,bo##s,plur,2,artificial,0.0022935359738767147,plural,definite,Los,s,[MASK] bo##s,"[CLS] , [MASK] , bo , ##s , [SEP]",single-token,6.077660558906516
6,bo,bo,sing,1,default,0.00045684128417633474,singular,indefinite,Un,s,[MASK] bo,"[CLS] , [MASK] , bo , [SEP]",single-token,7.6911745267878
7,bo,bo,sing,1,default,2.0006873455713503e-06,plural,indefinite,Unos,s,[MASK] bo,"[CLS] , [MASK] , bo , [SEP]",single-token,13.122019763660619
8,bo,bos,plur,1,default,0.0003957581357099116,singular,indefinite,Un,s,[MASK] bos,"[CLS] , [MASK] , bos , [SEP]",single-token,7.834707301714114
9,bo,bos,plur,1,default,4.084600732312538e-06,plural,indefinite,Unos,s,[MASK] bos,"[CLS] , [MASK] , bos , [SEP]",single-token,12.408286574377138
10,bo,bo##s,plur,2,artificial,0.0006072548567317426,singular,indefinite,Un,s,[MASK] bo##s,"[CLS] , [MASK] , bo , ##s , [SEP]",single-token,7.406561992202501
11,bo,bo##s,plur,2,artificial,1.627752135391347e-05,plural,indefinite,Unos,s,[MASK] bo##s,"[CLS] , [MASK] , bo , ##s , [SEP]",single-token,11.025725459969355
