,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal
0,schwua,schwua,sing,4,default,1.430702286597807e-05,singular,singular,grande,s,[MASK] schwua [MASK],"[CLS] , [MASK] , s , ##ch , ##w , ##ua , [MASK] , [SEP]",morphemic,11.154760031744262
1,schwua,schwua,sing,4,default,2.511933132609556e-07,plural,plural,grandes,s,[MASK] schwua [MASK],"[CLS] , [MASK] , s , ##ch , ##w , ##ua , [MASK] , [SEP]",morphemic,15.197043021890758
2,schwua,schwuas,plur,5,default,3.948912308260333e-06,singular,singular,grande,s,[MASK] schwuas [MASK],"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,12.44207038196853
3,schwua,schwuas,plur,5,default,9.640036296332255e-06,plural,plural,grandes,s,[MASK] schwuas [MASK],"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,11.549585684169214
4,schwua,schwua##s,plur,5,artificial,3.948912308260333e-06,singular,singular,grande,s,[MASK] schwua##s [MASK],"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,12.44207038196853
5,schwua,schwua##s,plur,5,artificial,9.640036296332255e-06,plural,plural,grandes,s,[MASK] schwua##s [MASK],"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,11.549585684169214
6,mio,mio,sing,1,default,2.678750934137497e-05,singular,singular,grande,s,[MASK] mio [MASK],"[CLS] , [MASK] , mio , [MASK] , [SEP]",morphemic,10.527574848443223
7,mio,mio,sing,1,default,1.0150780553885852e-06,plural,plural,grandes,s,[MASK] mio [MASK],"[CLS] , [MASK] , mio , [MASK] , [SEP]",morphemic,13.800545046566645
8,mio,mios,plur,2,default,8.630898378214624e-07,singular,singular,grande,s,[MASK] mios [MASK],"[CLS] , [MASK] , mio , ##s , [MASK] , [SEP]",morphemic,13.962747051835459
9,mio,mios,plur,2,default,5.839006189489737e-05,plural,plural,grandes,s,[MASK] mios [MASK],"[CLS] , [MASK] , mio , ##s , [MASK] , [SEP]",morphemic,9.748364855643745
10,mio,mio##s,plur,2,artificial,8.630898378214624e-07,singular,singular,grande,s,[MASK] mio##s [MASK],"[CLS] , [MASK] , mio , ##s , [MASK] , [SEP]",morphemic,13.962747051835459
11,mio,mio##s,plur,2,artificial,5.839006189489737e-05,plural,plural,grandes,s,[MASK] mio##s [MASK],"[CLS] , [MASK] , mio , ##s , [MASK] , [SEP]",morphemic,9.748364855643745
12,srua,srua,sing,2,default,4.509120844886638e-05,singular,singular,grande,s,[MASK] srua [MASK],"[CLS] , [MASK] , sr , ##ua , [MASK] , [SEP]",morphemic,10.0068232650728
13,srua,srua,sing,2,default,8.726065630071389e-07,plural,plural,grandes,s,[MASK] srua [MASK],"[CLS] , [MASK] , sr , ##ua , [MASK] , [SEP]",morphemic,13.951781055075996
14,srua,sruas,plur,3,default,2.6548946152615827e-06,singular,singular,grande,s,[MASK] sruas [MASK],"[CLS] , [MASK] , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,12.839105596991647
15,srua,sruas,plur,3,default,4.420079858391546e-05,plural,plural,grandes,s,[MASK] sruas [MASK],"[CLS] , [MASK] , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,10.026767701534437
16,srua,srua##s,plur,3,artificial,2.6548946152615827e-06,singular,singular,grande,s,[MASK] srua##s [MASK],"[CLS] , [MASK] , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,12.839105596991647
17,srua,srua##s,plur,3,artificial,4.420079858391546e-05,plural,plural,grandes,s,[MASK] srua##s [MASK],"[CLS] , [MASK] , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,10.026767701534437
18,qaa,qaa,sing,2,default,9.08447600522777e-06,singular,singular,grande,s,[MASK] qaa [MASK],"[CLS] , [MASK] , q , ##aa , [MASK] , [SEP]",morphemic,11.608943534694458
19,qaa,qaa,sing,2,default,2.487723520516738e-07,plural,plural,grandes,s,[MASK] qaa [MASK],"[CLS] , [MASK] , q , ##aa , [MASK] , [SEP]",morphemic,15.206727607450485
20,qaa,qaas,plur,3,default,1.4040709856999456e-06,singular,singular,grande,s,[MASK] qaas [MASK],"[CLS] , [MASK] , q , ##aa , ##s , [MASK] , [SEP]",morphemic,13.476134694023402
21,qaa,qaas,plur,3,default,5.367248377297074e-06,plural,plural,grandes,s,[MASK] qaas [MASK],"[CLS] , [MASK] , q , ##aa , ##s , [MASK] , [SEP]",morphemic,12.135195187230925
22,qaa,qaa##s,plur,3,artificial,1.4040709856999456e-06,singular,singular,grande,s,[MASK] qaa##s [MASK],"[CLS] , [MASK] , q , ##aa , ##s , [MASK] , [SEP]",morphemic,13.476134694023402
23,qaa,qaa##s,plur,3,artificial,5.367248377297074e-06,plural,plural,grandes,s,[MASK] qaa##s [MASK],"[CLS] , [MASK] , q , ##aa , ##s , [MASK] , [SEP]",morphemic,12.135195187230925
24,gnio,gnio,sing,2,default,5.546317697735503e-05,singular,singular,grande,s,[MASK] gnio [MASK],"[CLS] , [MASK] , g , ##nio , [MASK] , [SEP]",morphemic,9.799791235296237
25,gnio,gnio,sing,2,default,2.326309186173603e-06,plural,plural,grandes,s,[MASK] gnio [MASK],"[CLS] , [MASK] , g , ##nio , [MASK] , [SEP]",morphemic,12.97122758657375
26,gnio,gnios,plur,3,default,2.6522773168835556e-06,singular,singular,grande,s,[MASK] gnios [MASK],"[CLS] , [MASK] , g , ##nio , ##s , [MASK] , [SEP]",morphemic,12.840091922146994
27,gnio,gnios,plur,3,default,7.601380639243871e-05,plural,plural,grandes,s,[MASK] gnios [MASK],"[CLS] , [MASK] , g , ##nio , ##s , [MASK] , [SEP]",morphemic,9.484595571118275
28,gnio,gnio##s,plur,3,artificial,2.6522773168835556e-06,singular,singular,grande,s,[MASK] gnio##s [MASK],"[CLS] , [MASK] , g , ##nio , ##s , [MASK] , [SEP]",morphemic,12.840091922146994
29,gnio,gnio##s,plur,3,artificial,7.601380639243871e-05,plural,plural,grandes,s,[MASK] gnio##s [MASK],"[CLS] , [MASK] , g , ##nio , ##s , [MASK] , [SEP]",morphemic,9.484595571118275
30,sqaa,sqaa,sing,3,default,1.6899384718271904e-06,singular,singular,grande,s,[MASK] sqaa [MASK],"[CLS] , [MASK] , s , ##q , ##aa , [MASK] , [SEP]",morphemic,13.290818436894897
31,sqaa,sqaa,sing,3,default,1.1225329998865163e-08,plural,plural,grandes,s,[MASK] sqaa [MASK],"[CLS] , [MASK] , s , ##q , ##aa , [MASK] , [SEP]",morphemic,18.305093005187626
32,sqaa,sqaas,plur,4,default,1.333704290118476e-06,singular,singular,grande,s,[MASK] sqaas [MASK],"[CLS] , [MASK] , s , ##q , ##aa , ##s , [MASK] , [SEP]",morphemic,13.527550306618974
33,sqaa,sqaas,plur,4,default,3.3324251944577554e-06,plural,plural,grandes,s,[MASK] sqaas [MASK],"[CLS] , [MASK] , s , ##q , ##aa , ##s , [MASK] , [SEP]",morphemic,12.611810232419984
34,sqaa,sqaa##s,plur,4,artificial,1.333704290118476e-06,singular,singular,grande,s,[MASK] sqaa##s [MASK],"[CLS] , [MASK] , s , ##q , ##aa , ##s , [MASK] , [SEP]",morphemic,13.527550306618974
35,sqaa,sqaa##s,plur,4,artificial,3.3324251944577554e-06,plural,plural,grandes,s,[MASK] sqaa##s [MASK],"[CLS] , [MASK] , s , ##q , ##aa , ##s , [MASK] , [SEP]",morphemic,12.611810232419984
36,dynoa,dynoa,sing,3,default,3.513518822728656e-05,singular,singular,grande,s,[MASK] dynoa [MASK],"[CLS] , [MASK] , d , ##yn , ##oa , [MASK] , [SEP]",morphemic,10.256307416075702
37,dynoa,dynoa,sing,3,default,2.497706418580492e-06,plural,plural,grandes,s,[MASK] dynoa [MASK],"[CLS] , [MASK] , d , ##yn , ##oa , [MASK] , [SEP]",morphemic,12.900137679756753
38,dynoa,dynoas,plur,4,default,4.187881586403819e-06,singular,singular,grande,s,[MASK] dynoas [MASK],"[CLS] , [MASK] , d , ##yn , ##oa , ##s , [MASK] , [SEP]",morphemic,12.38331553985337
39,dynoa,dynoas,plur,4,default,3.30149669025559e-05,plural,plural,grandes,s,[MASK] dynoas [MASK],"[CLS] , [MASK] , d , ##yn , ##oa , ##s , [MASK] , [SEP]",morphemic,10.318549556815412
40,dynoa,dynoa##s,plur,4,artificial,4.187881586403819e-06,singular,singular,grande,s,[MASK] dynoa##s [MASK],"[CLS] , [MASK] , d , ##yn , ##oa , ##s , [MASK] , [SEP]",morphemic,12.38331553985337
41,dynoa,dynoa##s,plur,4,artificial,3.30149669025559e-05,plural,plural,grandes,s,[MASK] dynoa##s [MASK],"[CLS] , [MASK] , d , ##yn , ##oa , ##s , [MASK] , [SEP]",morphemic,10.318549556815412
42,mcoa,mcoa,sing,2,default,2.5399638616363518e-05,singular,singular,grande,s,[MASK] mcoa [MASK],"[CLS] , [MASK] , m , ##coa , [MASK] , [SEP]",morphemic,10.580775611743222
43,mcoa,mcoa,sing,2,default,4.507243431817187e-07,plural,plural,grandes,s,[MASK] mcoa [MASK],"[CLS] , [MASK] , m , ##coa , [MASK] , [SEP]",morphemic,14.6124098967676
44,mcoa,mcoas,plur,3,default,2.296099637533189e-06,singular,singular,grande,s,[MASK] mcoas [MASK],"[CLS] , [MASK] , m , ##coa , ##s , [MASK] , [SEP]",morphemic,12.98429868431039
45,mcoa,mcoas,plur,3,default,1.7639418729231693e-05,plural,plural,grandes,s,[MASK] mcoas [MASK],"[CLS] , [MASK] , m , ##coa , ##s , [MASK] , [SEP]",morphemic,10.945374459786168
46,mcoa,mcoa##s,plur,3,artificial,2.296099637533189e-06,singular,singular,grande,s,[MASK] mcoa##s [MASK],"[CLS] , [MASK] , m , ##coa , ##s , [MASK] , [SEP]",morphemic,12.98429868431039
47,mcoa,mcoa##s,plur,3,artificial,1.7639418729231693e-05,plural,plural,grandes,s,[MASK] mcoa##s [MASK],"[CLS] , [MASK] , m , ##coa , ##s , [MASK] , [SEP]",morphemic,10.945374459786168
48,skoo,skoo,sing,3,default,2.5244527932954952e-05,singular,singular,grande,s,[MASK] skoo [MASK],"[CLS] , [MASK] , s , ##k , ##oo , [MASK] , [SEP]",morphemic,10.586901141255645
49,skoo,skoo,sing,3,default,9.859578540272196e-07,plural,plural,grandes,s,[MASK] skoo [MASK],"[CLS] , [MASK] , s , ##k , ##oo , [MASK] , [SEP]",morphemic,13.829652227651644
50,skoo,skoos,plur,4,default,3.6493568131845677e-06,singular,singular,grande,s,[MASK] skoos [MASK],"[CLS] , [MASK] , s , ##k , ##oo , ##s , [MASK] , [SEP]",morphemic,12.520959621463533
51,skoo,skoos,plur,4,default,2.8004575142404065e-05,plural,plural,grandes,s,[MASK] skoos [MASK],"[CLS] , [MASK] , s , ##k , ##oo , ##s , [MASK] , [SEP]",morphemic,10.483142663194057
52,skoo,skoo##s,plur,4,artificial,3.6493568131845677e-06,singular,singular,grande,s,[MASK] skoo##s [MASK],"[CLS] , [MASK] , s , ##k , ##oo , ##s , [MASK] , [SEP]",morphemic,12.520959621463533
53,skoo,skoo##s,plur,4,artificial,2.8004575142404065e-05,plural,plural,grandes,s,[MASK] skoo##s [MASK],"[CLS] , [MASK] , s , ##k , ##oo , ##s , [MASK] , [SEP]",morphemic,10.483142663194057
54,dwoo,dwoo,sing,3,default,1.3212454177846666e-05,singular,singular,grande,s,[MASK] dwoo [MASK],"[CLS] , [MASK] , d , ##w , ##oo , [MASK] , [SEP]",morphemic,11.234350674865007
55,dwoo,dwoo,sing,3,default,1.0753019523690455e-06,plural,plural,grandes,s,[MASK] dwoo [MASK],"[CLS] , [MASK] , d , ##w , ##oo , [MASK] , [SEP]",morphemic,13.742909049901021
56,dwoo,dwoos,plur,4,default,4.993838501832215e-06,singular,singular,grande,s,[MASK] dwoos [MASK],"[CLS] , [MASK] , d , ##w , ##oo , ##s , [MASK] , [SEP]",morphemic,12.207305705069276
57,dwoo,dwoos,plur,4,default,3.1588981073582545e-05,plural,plural,grandes,s,[MASK] dwoos [MASK],"[CLS] , [MASK] , d , ##w , ##oo , ##s , [MASK] , [SEP]",morphemic,10.362702198384545
58,dwoo,dwoo##s,plur,4,artificial,4.993838501832215e-06,singular,singular,grande,s,[MASK] dwoo##s [MASK],"[CLS] , [MASK] , d , ##w , ##oo , ##s , [MASK] , [SEP]",morphemic,12.207305705069276
59,dwoo,dwoo##s,plur,4,artificial,3.1588981073582545e-05,plural,plural,grandes,s,[MASK] dwoo##s [MASK],"[CLS] , [MASK] , d , ##w , ##oo , ##s , [MASK] , [SEP]",morphemic,10.362702198384545
60,syniao,syniao,sing,3,default,5.2253850299166515e-05,singular,singular,grande,s,[MASK] syniao [MASK],"[CLS] , [MASK] , s , ##yn , ##iao , [MASK] , [SEP]",morphemic,9.859396979898122
61,syniao,syniao,sing,3,default,1.1402138397897943e-06,plural,plural,grandes,s,[MASK] syniao [MASK],"[CLS] , [MASK] , s , ##yn , ##iao , [MASK] , [SEP]",morphemic,13.684294734385588
62,syniao,syniaos,plur,4,default,2.3696750304225134e-06,singular,singular,grande,s,[MASK] syniaos [MASK],"[CLS] , [MASK] , s , ##yn , ##iao , ##s , [MASK] , [SEP]",morphemic,12.952757730183945
63,syniao,syniaos,plur,4,default,1.826314655772876e-05,plural,plural,grandes,s,[MASK] syniaos [MASK],"[CLS] , [MASK] , s , ##yn , ##iao , ##s , [MASK] , [SEP]",morphemic,10.910625377942416
64,syniao,syniao##s,plur,4,artificial,2.3696750304225134e-06,singular,singular,grande,s,[MASK] syniao##s [MASK],"[CLS] , [MASK] , s , ##yn , ##iao , ##s , [MASK] , [SEP]",morphemic,12.952757730183945
65,syniao,syniao##s,plur,4,artificial,1.826314655772876e-05,plural,plural,grandes,s,[MASK] syniao##s [MASK],"[CLS] , [MASK] , s , ##yn , ##iao , ##s , [MASK] , [SEP]",morphemic,10.910625377942416
66,mckoa,mckoa,sing,4,default,4.278632695786655e-05,singular,singular,grande,s,[MASK] mckoa [MASK],"[CLS] , [MASK] , m , ##c , ##k , ##oa , [MASK] , [SEP]",morphemic,10.059291970017139
67,mckoa,mckoa,sing,4,default,1.2345404911684454e-06,plural,plural,grandes,s,[MASK] mckoa [MASK],"[CLS] , [MASK] , m , ##c , ##k , ##oa , [MASK] , [SEP]",morphemic,13.604811729048652
68,mckoa,mckoas,plur,5,default,7.450890279869782e-06,singular,singular,grande,s,[MASK] mckoas [MASK],"[CLS] , [MASK] , m , ##c , ##k , ##oa , ##s , [MASK] , [SEP]",morphemic,11.807177032058778
69,mckoa,mckoas,plur,5,default,6.459856376750395e-05,plural,plural,grandes,s,[MASK] mckoas [MASK],"[CLS] , [MASK] , m , ##c , ##k , ##oa , ##s , [MASK] , [SEP]",morphemic,9.647318380124045
70,mckoa,mckoa##s,plur,5,artificial,7.450890279869782e-06,singular,singular,grande,s,[MASK] mckoa##s [MASK],"[CLS] , [MASK] , m , ##c , ##k , ##oa , ##s , [MASK] , [SEP]",morphemic,11.807177032058778
71,mckoa,mckoa##s,plur,5,artificial,6.459856376750395e-05,plural,plural,grandes,s,[MASK] mckoa##s [MASK],"[CLS] , [MASK] , m , ##c , ##k , ##oa , ##s , [MASK] , [SEP]",morphemic,9.647318380124045
72,dro,dro,sing,1,default,2.8567059416673146e-05,singular,singular,grande,s,[MASK] dro [MASK],"[CLS] , [MASK] , dro , [MASK] , [SEP]",morphemic,10.463256272581509
73,dro,dro,sing,1,default,1.4635925253969617e-06,plural,plural,grandes,s,[MASK] dro [MASK],"[CLS] , [MASK] , dro , [MASK] , [SEP]",morphemic,13.434616510812923
74,dro,dros,plur,2,default,7.601337074447656e-06,singular,singular,grande,s,[MASK] dros [MASK],"[CLS] , [MASK] , dro , ##s , [MASK] , [SEP]",morphemic,11.78718639529763
75,dro,dros,plur,2,default,3.896509952028282e-05,plural,plural,grandes,s,[MASK] dros [MASK],"[CLS] , [MASK] , dro , ##s , [MASK] , [SEP]",morphemic,10.152844196577751
76,dro,dro##s,plur,2,artificial,7.601337074447656e-06,singular,singular,grande,s,[MASK] dro##s [MASK],"[CLS] , [MASK] , dro , ##s , [MASK] , [SEP]",morphemic,11.78718639529763
77,dro,dro##s,plur,2,artificial,3.896509952028282e-05,plural,plural,grandes,s,[MASK] dro##s [MASK],"[CLS] , [MASK] , dro , ##s , [MASK] , [SEP]",morphemic,10.152844196577751
78,via,via,sing,1,default,4.18908784922678e-05,singular,singular,grande,s,[MASK] via [MASK],"[CLS] , [MASK] , via , [MASK] , [SEP]",morphemic,10.080442451817545
79,via,via,sing,1,default,1.1541006642801221e-05,plural,plural,grandes,s,[MASK] via [MASK],"[CLS] , [MASK] , via , [MASK] , [SEP]",morphemic,11.36960406994336
80,via,vias,plur,2,default,9.05727461031347e-07,singular,singular,grande,s,[MASK] vias [MASK],"[CLS] , [MASK] , via , ##s , [MASK] , [SEP]",morphemic,13.914527391796222
81,via,vias,plur,2,default,8.313824946526438e-05,plural,plural,grandes,s,[MASK] vias [MASK],"[CLS] , [MASK] , via , ##s , [MASK] , [SEP]",morphemic,9.39500567962649
82,via,via##s,plur,2,artificial,9.05727461031347e-07,singular,singular,grande,s,[MASK] via##s [MASK],"[CLS] , [MASK] , via , ##s , [MASK] , [SEP]",morphemic,13.914527391796222
