,lemma,word_form,word_number,n_tokens,tokenization_type,article_probs,article_number,article_type,article,affix,sentence,model_token_inputs,source,surprisal
0,spaio,spaio,sing,2,default,0.04427879676222801,singular,definite,El,s,[MASK] spaio,"[CLS] , [MASK] , spa , ##io , [SEP]",nonmorphemic,3.117249344902322
1,spaio,spaio,sing,2,default,0.0002074273506877944,plural,definite,Los,s,[MASK] spaio,"[CLS] , [MASK] , spa , ##io , [SEP]",nonmorphemic,8.480729396766103
2,spaio,spaios,plur,2,default,0.0017093948554247618,singular,definite,El,s,[MASK] spaios,"[CLS] , [MASK] , spa , ##ios , [SEP]",nonmorphemic,6.371615856816409
3,spaio,spaios,plur,2,default,0.04789681360125542,plural,definite,Los,s,[MASK] spaios,"[CLS] , [MASK] , spa , ##ios , [SEP]",nonmorphemic,3.038706298672406
4,spaio,spaio##s,plur,3,artificial,0.0016346033662557602,singular,definite,El,s,[MASK] spaio##s,"[CLS] , [MASK] , spa , ##io , ##s , [SEP]",nonmorphemic,6.416355093508518
5,spaio,spaio##s,plur,3,artificial,0.027762124314904213,plural,definite,Los,s,[MASK] spaio##s,"[CLS] , [MASK] , spa , ##io , ##s , [SEP]",nonmorphemic,3.584082621959258
6,spaio,spaio,sing,2,default,0.008332404308021069,singular,indefinite,Un,s,[MASK] spaio,"[CLS] , [MASK] , spa , ##io , [SEP]",nonmorphemic,4.787603232034214
7,spaio,spaio,sing,2,default,2.4600690267106984e-06,plural,indefinite,Unos,s,[MASK] spaio,"[CLS] , [MASK] , spa , ##io , [SEP]",nonmorphemic,12.915321148775172
8,spaio,spaios,plur,2,default,0.00036005076253786683,singular,indefinite,Un,s,[MASK] spaios,"[CLS] , [MASK] , spa , ##ios , [SEP]",nonmorphemic,7.929265529405048
9,spaio,spaios,plur,2,default,8.521283598383889e-05,plural,indefinite,Unos,s,[MASK] spaios,"[CLS] , [MASK] , spa , ##ios , [SEP]",nonmorphemic,9.370358478389333
10,spaio,spaio##s,plur,3,artificial,0.0005491338670253754,singular,indefinite,Un,s,[MASK] spaio##s,"[CLS] , [MASK] , spa , ##io , ##s , [SEP]",nonmorphemic,7.507168308245092
11,spaio,spaio##s,plur,3,artificial,5.6877754104789346e-05,plural,indefinite,Unos,s,[MASK] spaio##s,"[CLS] , [MASK] , spa , ##io , ##s , [SEP]",nonmorphemic,9.774606258045083
12,shrao,shrao,sing,3,default,0.011698171496391296,singular,definite,El,s,[MASK] shrao,"[CLS] , [MASK] , sh , ##ra , ##o , [SEP]",nonmorphemic,4.448322731751506
13,shrao,shrao,sing,3,default,0.0005873487680219114,plural,definite,Los,s,[MASK] shrao,"[CLS] , [MASK] , sh , ##ra , ##o , [SEP]",nonmorphemic,7.439891761216097
14,shrao,shraos,plur,3,default,0.001387453987263143,singular,definite,El,s,[MASK] shraos,"[CLS] , [MASK] , sh , ##ra , ##os , [SEP]",nonmorphemic,6.580284875226437
15,shrao,shraos,plur,3,default,0.10204808413982391,plural,definite,Los,s,[MASK] shraos,"[CLS] , [MASK] , sh , ##ra , ##os , [SEP]",nonmorphemic,2.2823111636426012
16,shrao,shrao##s,plur,4,artificial,0.0008021007524803281,singular,definite,El,s,[MASK] shrao##s,"[CLS] , [MASK] , sh , ##ra , ##o , ##s , [SEP]",nonmorphemic,7.128276331454037
17,shrao,shrao##s,plur,4,artificial,0.009028463624417782,plural,definite,Los,s,[MASK] shrao##s,"[CLS] , [MASK] , sh , ##ra , ##o , ##s , [SEP]",nonmorphemic,4.7073730672893985
