,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,spaio,spaio,sing,2,default,0.0008363747620023,plural,plural,son,s,[MASK] spaio [MASK],"[CLS] , [MASK] , spa , ##io , [MASK] , [SEP]",nonmorphemic,7.086433765419841,1.9738593717078752,-1.9738593717079564
3,3,spaio,spaios,plur,2,default,0.0083505241200327,plural,plural,son,s,[MASK] spaios [MASK],"[CLS] , [MASK] , spa , ##ios , [MASK] , [SEP]",nonmorphemic,4.785430973223054,-0.7724366101936093,0.7724366101936221
5,5,spaio,spaio##s,plur,3,artificial,0.0086937686428427,plural,plural,son,s,[MASK] spaio##s [MASK],"[CLS] , [MASK] , spa , ##io , ##s , [MASK] , [SEP]",nonmorphemic,4.745148757898815,-0.8423066128450802,0.8423066128450912
7,7,shrao,shrao,sing,3,default,0.0009353767964057,plural,plural,son,s,[MASK] shrao [MASK],"[CLS] , [MASK] , sh , ##ra , ##o , [MASK] , [SEP]",nonmorphemic,6.974561119046272,1.572226086760823,-1.5722260867608713
9,9,shrao,shraos,plur,3,default,0.0080856150016188,plural,plural,son,s,[MASK] shraos [MASK],"[CLS] , [MASK] , sh , ##ra , ##os , [MASK] , [SEP]",nonmorphemic,4.817668721855431,-0.36942575238014186,0.3694257523801373
11,11,shrao,shrao##s,plur,4,artificial,0.0055564558133482,plural,plural,son,s,[MASK] shrao##s [MASK],"[CLS] , [MASK] , sh , ##ra , ##o , ##s , [MASK] , [SEP]",nonmorphemic,5.192794817615618,-0.1632165623151911,0.16321656231518167
13,13,mceo,mceo,sing,3,default,0.0013611774193122,plural,plural,son,s,[MASK] mceo [MASK],"[CLS] , [MASK] , m , ##ce , ##o , [MASK] , [SEP]",nonmorphemic,6.599405204284774,2.839420809322554,-2.839420809322625
15,15,mceo,mceos,plur,3,default,0.0239739976823329,plural,plural,son,s,[MASK] mceos [MASK],"[CLS] , [MASK] , m , ##ce , ##os , [MASK] , [SEP]",nonmorphemic,3.730785465871423,-1.0431566106887282,1.0431566106887333
17,17,mceo,mceo##s,plur,4,artificial,0.0159992314875125,plural,plural,son,s,[MASK] mceo##s [MASK],"[CLS] , [MASK] , m , ##ce , ##o , ##s , [MASK] , [SEP]",nonmorphemic,4.135214589926394,-0.13310395313135537,0.133103953131356
19,19,lia,lia,sing,2,default,0.0003832931688521,plural,plural,son,s,[MASK] lia [MASK],"[CLS] , [MASK] , li , ##a , [MASK] , [SEP]",nonmorphemic,7.866710407672122,2.9290256179573815,-2.9290256179573912
