,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal
0,schwua,schwua,sing,4,default,0.024366920813918114,singular,singular,es,s,La schwua [MASK],"[CLS] , La , s , ##ch , ##w , ##ua , [MASK] , [SEP]",morphemic,3.714528770829149
1,schwua,schwua,sing,4,default,0.00045504039735533297,plural,plural,son,s,La schwua [MASK],"[CLS] , La , s , ##ch , ##w , ##ua , [MASK] , [SEP]",morphemic,7.695124357558178
2,schwua,schwuas,plur,5,default,0.005808996502310038,singular,singular,es,s,Las schwuas [MASK],"[CLS] , Las , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,5.148347442087599
3,schwua,schwuas,plur,5,default,0.102113276720047,plural,plural,son,s,Las schwuas [MASK],"[CLS] , Las , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,2.2816725258301935
4,schwua,schwua##s,plur,5,artificial,0.005808996502310038,singular,singular,es,s,Las schwua##s [MASK],"[CLS] , Las , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,5.148347442087599
5,schwua,schwua##s,plur,5,artificial,0.102113276720047,plural,plural,son,s,Las schwua##s [MASK],"[CLS] , Las , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,2.2816725258301935
6,mio,mio,sing,1,default,0.11432046443223953,singular,singular,es,s,El mio [MASK],"[CLS] , El , mio , [MASK] , [SEP]",morphemic,2.1687496828054504
7,mio,mio,sing,1,default,0.0013544923858717084,plural,plural,son,s,El mio [MASK],"[CLS] , El , mio , [MASK] , [SEP]",morphemic,6.604328517812098
8,mio,mios,plur,2,default,0.0007131571182981133,singular,singular,es,s,Los mios [MASK],"[CLS] , Los , mio , ##s , [MASK] , [SEP]",morphemic,7.245808799556733
9,mio,mios,plur,2,default,0.16050198674201965,plural,plural,son,s,Los mios [MASK],"[CLS] , Los , mio , ##s , [MASK] , [SEP]",morphemic,1.8294489580337279
10,mio,mio##s,plur,2,artificial,0.0007131571182981133,singular,singular,es,s,Los mio##s [MASK],"[CLS] , Los , mio , ##s , [MASK] , [SEP]",morphemic,7.245808799556733
11,mio,mio##s,plur,2,artificial,0.16050198674201965,plural,plural,son,s,Los mio##s [MASK],"[CLS] , Los , mio , ##s , [MASK] , [SEP]",morphemic,1.8294489580337279
12,srua,srua,sing,2,default,0.00857956986874342,singular,singular,es,s,La srua [MASK],"[CLS] , La , sr , ##ua , [MASK] , [SEP]",morphemic,4.758371498586995
13,srua,srua,sing,2,default,0.0001307446218561381,plural,plural,son,s,La srua [MASK],"[CLS] , La , sr , ##ua , [MASK] , [SEP]",morphemic,8.942264588896677
14,srua,sruas,plur,3,default,0.000494661508128047,singular,singular,es,s,Las sruas [MASK],"[CLS] , Las , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,7.6116368512720065
15,srua,sruas,plur,3,default,0.02397385612130165,plural,plural,son,s,Las sruas [MASK],"[CLS] , Las , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,3.7307913706625704
16,srua,srua##s,plur,3,artificial,0.000494661508128047,singular,singular,es,s,Las srua##s [MASK],"[CLS] , Las , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,7.6116368512720065
17,srua,srua##s,plur,3,artificial,0.02397385612130165,plural,plural,son,s,Las srua##s [MASK],"[CLS] , Las , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,3.7307913706625704
18,qaa,qaa,sing,2,default,0.0505402609705925,singular,singular,es,s,La qaa [MASK],"[CLS] , La , q , ##aa , [MASK] , [SEP]",morphemic,2.984985013390931
19,qaa,qaa,sing,2,default,0.0005918624228797853,plural,plural,son,s,La qaa [MASK],"[CLS] , La , q , ##aa , [MASK] , [SEP]",morphemic,7.4322363438720345
20,qaa,qaas,plur,3,default,0.0013242511777207255,singular,singular,es,s,Las qaas [MASK],"[CLS] , Las , q , ##aa , ##s , [MASK] , [SEP]",morphemic,6.626908128190798
21,qaa,qaas,plur,3,default,0.07779818028211594,plural,plural,son,s,Las qaas [MASK],"[CLS] , Las , q , ##aa , ##s , [MASK] , [SEP]",morphemic,2.5536372377613605
22,qaa,qaa##s,plur,3,artificial,0.0013242511777207255,singular,singular,es,s,Las qaa##s [MASK],"[CLS] , Las , q , ##aa , ##s , [MASK] , [SEP]",morphemic,6.626908128190798
23,qaa,qaa##s,plur,3,artificial,0.07779818028211594,plural,plural,son,s,Las qaa##s [MASK],"[CLS] , Las , q , ##aa , ##s , [MASK] , [SEP]",morphemic,2.5536372377613605
24,gnio,gnio,sing,2,default,0.0569789782166481,singular,singular,es,s,El gnio [MASK],"[CLS] , El , g , ##nio , [MASK] , [SEP]",morphemic,2.865072882388919
25,gnio,gnio,sing,2,default,0.0005726164090447128,plural,plural,son,s,El gnio [MASK],"[CLS] , El , g , ##nio , [MASK] , [SEP]",morphemic,7.4652945086296345
26,gnio,gnios,plur,3,default,0.0002097580290865153,singular,singular,es,s,Los gnios [MASK],"[CLS] , Los , g , ##nio , ##s , [MASK] , [SEP]",morphemic,8.469555934033668
27,gnio,gnios,plur,3,default,0.11765962094068527,plural,plural,son,s,Los gnios [MASK],"[CLS] , Los , g , ##nio , ##s , [MASK] , [SEP]",morphemic,2.1399593912008106
28,gnio,gnio##s,plur,3,artificial,0.0002097580290865153,singular,singular,es,s,Los gnio##s [MASK],"[CLS] , Los , g , ##nio , ##s , [MASK] , [SEP]",morphemic,8.469555934033668
29,gnio,gnio##s,plur,3,artificial,0.11765962094068527,plural,plural,son,s,Los gnio##s [MASK],"[CLS] , Los , g , ##nio , ##s , [MASK] , [SEP]",morphemic,2.1399593912008106
30,sqaa,sqaa,sing,3,default,0.05214731767773628,singular,singular,es,s,La sqaa [MASK],"[CLS] , La , s , ##q , ##aa , [MASK] , [SEP]",morphemic,2.95368253360915
31,sqaa,sqaa,sing,3,default,0.001117527368478477,plural,plural,son,s,La sqaa [MASK],"[CLS] , La , s , ##q , ##aa , [MASK] , [SEP]",morphemic,6.796636740967965
32,sqaa,sqaas,plur,4,default,0.0010107874404639006,singular,singular,es,s,Las sqaas [MASK],"[CLS] , Las , s , ##q , ##aa , ##s , [MASK] , [SEP]",morphemic,6.897025607869832
