,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,spaio,spaio,sing,2,default,0.0004715564427897,plural,plural,son,s,El spaio [MASK],"[CLS] , El , spa , ##io , [MASK] , [SEP]",nonmorphemic,7.6594717540633,3.935920675326659,-3.935920675326727
3,3,spaio,spaios,plur,2,default,0.1417167037725448,plural,plural,son,s,Los spaios [MASK],"[CLS] , Los , spa , ##ios , [MASK] , [SEP]",nonmorphemic,1.9539252579870443,-5.883621752574049,5.883621752574301
5,5,spaio,spaio##s,plur,3,artificial,0.1188564673066139,plural,plural,son,s,Los spaio##s [MASK],"[CLS] , Los , spa , ##io , ##s , [MASK] , [SEP]",nonmorphemic,2.129838670950787,-5.54086409162675,5.540864091626956
7,7,shrao,shrao,sing,3,default,0.0012108455412089,plural,plural,son,s,El shrao [MASK],"[CLS] , El , sh , ##ra , ##o , [MASK] , [SEP]",nonmorphemic,6.7164363690290125,3.4203767952742727,-3.4203767952743385
9,9,shrao,shraos,plur,3,default,0.1080813333392143,plural,plural,son,s,Los shraos [MASK],"[CLS] , Los , sh , ##ra , ##os , [MASK] , [SEP]",nonmorphemic,2.2248712488110414,-6.530272031318827,6.53027203131918
11,11,shrao,shrao##s,plur,4,artificial,0.1060497164726257,plural,plural,son,s,Los shrao##s [MASK],"[CLS] , Los , sh , ##ra , ##o , ##s , [MASK] , [SEP]",nonmorphemic,2.2438472715004725,-6.521314535734943,6.521314535735479
13,13,mceo,mceo,sing,3,default,0.0008541918941773,plural,plural,son,s,El mceo [MASK],"[CLS] , El , m , ##ce , ##o , [MASK] , [SEP]",nonmorphemic,7.065354688975209,4.206846340800453,-4.206846340800508
15,15,mceo,mceos,plur,3,default,0.0747514963150024,plural,plural,son,s,Los mceos [MASK],"[CLS] , Los , m , ##ce , ##os , [MASK] , [SEP]",nonmorphemic,2.5935860493196845,-4.565808320529537,4.565808320529638
17,17,mceo,mceo##s,plur,4,artificial,0.1107619404792785,plural,plural,son,s,Los mceo##s [MASK],"[CLS] , Los , m , ##ce , ##o , ##s , [MASK] , [SEP]",nonmorphemic,2.2003720611571613,-4.575088509001205,4.575088509001271
19,19,lia,lia,sing,2,default,0.0004378003941383,plural,plural,son,s,La lia [MASK],"[CLS] , La , li , ##a , [MASK] , [SEP]",nonmorphemic,7.733747472605653,4.159581251113092,-4.159581251113138
21,21,lia,lias,plur,2,default,0.1061323806643486,plural,plural,son,s,Las lias [MASK],"[CLS] , Las , li , ##as , [MASK] , [SEP]",nonmorphemic,2.243068089872799,-4.546887950227114,4.546887950227161
23,23,lia,lia##s,plur,3,artificial,0.0896255373954773,plural,plural,son,s,Las lia##s [MASK],"[CLS] , Las , li , ##a , ##s , [MASK] , [SEP]",nonmorphemic,2.412114984035952,-3.6167846187368466,3.6167846187368484
25,25,krio,krio,sing,2,default,0.0002138869749614,plural,plural,son,s,El krio [MASK],"[CLS] , El , k , ##rio , [MASK] , [SEP]",nonmorphemic,8.450062836850607,4.798800383312545,-4.798800383312998
27,27,krio,krios,plur,2,default,0.05918575450778,plural,plural,son,s,Los krios [MASK],"[CLS] , Los , k , ##rios , [MASK] , [SEP]",nonmorphemic,2.827074399363544,-3.246310221691495,3.2463102216915316
29,29,krio,krio##s,plur,3,artificial,0.0981387421488761,plural,plural,son,s,Los krio##s [MASK],"[CLS] , Los , k , ##rio , ##s , [MASK] , [SEP]",nonmorphemic,2.321373065308201,-3.475949777396922,3.4759497773969286
31,31,floa,floa,sing,2,default,0.0001862794306362,plural,plural,son,s,La floa [MASK],"[CLS] , La , flo , ##a , [MASK] , [SEP]",nonmorphemic,8.588262696349268,3.247936309399698,-3.2479363093997065
33,33,floa,floas,plur,2,default,0.0511863976716995,plural,plural,son,s,Las floas [MASK],"[CLS] , Las , flo , ##as , [MASK] , [SEP]",nonmorphemic,2.972281452707946,-3.999344337940149,3.999344337940206
35,35,floa,floa##s,plur,3,artificial,0.0542713850736618,plural,plural,son,s,Las floa##s [MASK],"[CLS] , Las , flo , ##a , ##s , [MASK] , [SEP]",nonmorphemic,2.91375816932976,-3.8840647548912313,3.8840647548913085
37,37,cea,cea,sing,2,default,0.0002551608195062,plural,plural,son,s,La cea [MASK],"[CLS] , La , ce , ##a , [MASK] , [SEP]",nonmorphemic,8.273616546860794,3.885231846467108,-3.8852318464673883
39,39,cea,ceas,plur,2,default,0.0585543140769004,plural,plural,son,s,Las ceas [MASK],"[CLS] , Las , ce , ##as , [MASK] , [SEP]",nonmorphemic,2.837800509724516,-4.647542943310691,4.6475429433107305
41,41,cea,cea##s,plur,3,artificial,0.0556721687316894,plural,plural,son,s,Las cea##s [MASK],"[CLS] , Las , ce , ##a , ##s , [MASK] , [SEP]",nonmorphemic,2.888274920626365,-4.081651614253703,4.081651614253799
43,43,thro,thro,sing,2,default,0.0002173388347728,plural,plural,son,s,El thro [MASK],"[CLS] , El , th , ##ro , [MASK] , [SEP]",nonmorphemic,8.434052971654248,4.268944815078211,-4.268944815078292
45,45,thro,thros,plur,2,default,0.0111288372427225,plural,plural,son,s,Los thros [MASK],"[CLS] , Los , th , ##ros , [MASK] , [SEP]",nonmorphemic,4.498215589707143,-4.117301037860924,4.117301037860942
47,47,thro,thro##s,plur,3,artificial,0.0935168266296386,plural,plural,son,s,Los thro##s [MASK],"[CLS] , Los , th , ##ro , ##s , [MASK] , [SEP]",nonmorphemic,2.3696138949257106,-4.536957744268066,4.536957744268162
49,49,caio,caio,sing,2,default,0.0005720322951674,plural,plural,son,s,El caio [MASK],"[CLS] , El , ca , ##io , [MASK] , [SEP]",nonmorphemic,7.466315108095339,3.680865778842238,-3.680865778842319
51,51,caio,caios,plur,2,default,0.0529467947781086,plural,plural,son,s,Los caios [MASK],"[CLS] , Los , ca , ##ios , [MASK] , [SEP]",nonmorphemic,2.9384677417582563,-5.195850835516165,5.195850835516308
53,53,caio,caio##s,plur,3,artificial,0.0573304407298564,plural,plural,son,s,Los caio##s [MASK],"[CLS] , Los , ca , ##io , ##s , [MASK] , [SEP]",nonmorphemic,2.858923544495782,-4.977268222473997,4.97726822247417
