,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal
0,schwua,schwua,sing,4,default,0.0011814191238954663,singular,singular,es,s,[MASK] schwua [MASK],"[CLS] , [MASK] , s , ##ch , ##w , ##ua , [MASK] , [SEP]",morphemic,6.741038915736573
1,schwua,schwua,sing,4,default,0.00011045415158150718,plural,plural,son,s,[MASK] schwua [MASK],"[CLS] , [MASK] , s , ##ch , ##w , ##ua , [MASK] , [SEP]",morphemic,9.110910040923095
2,schwua,schwuas,plur,5,default,0.0011113777291029692,singular,singular,es,s,[MASK] schwuas [MASK],"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,6.802154835916521
3,schwua,schwuas,plur,5,default,0.0008038444793783128,plural,plural,son,s,[MASK] schwuas [MASK],"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,7.126104741105065
4,schwua,schwua##s,plur,5,artificial,0.0011113777291029692,singular,singular,es,s,[MASK] schwua##s [MASK],"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,6.802154835916521
5,schwua,schwua##s,plur,5,artificial,0.0008038444793783128,plural,plural,son,s,[MASK] schwua##s [MASK],"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,7.126104741105065
6,mio,mio,sing,1,default,0.008146203123033047,singular,singular,es,s,[MASK] mio [MASK],"[CLS] , [MASK] , mio , [MASK] , [SEP]",morphemic,4.810203334757068
7,mio,mio,sing,1,default,0.0007508373819291592,plural,plural,son,s,[MASK] mio [MASK],"[CLS] , [MASK] , mio , [MASK] , [SEP]",morphemic,7.194321465027923
8,mio,mios,plur,2,default,0.00267414259724319,singular,singular,es,s,[MASK] mios [MASK],"[CLS] , [MASK] , mio , ##s , [MASK] , [SEP]",morphemic,5.924126474408159
9,mio,mios,plur,2,default,0.018212517723441124,plural,plural,son,s,[MASK] mios [MASK],"[CLS] , [MASK] , mio , ##s , [MASK] , [SEP]",morphemic,4.005646134314211
10,mio,mio##s,plur,2,artificial,0.00267414259724319,singular,singular,es,s,[MASK] mio##s [MASK],"[CLS] , [MASK] , mio , ##s , [MASK] , [SEP]",morphemic,5.924126474408159
11,mio,mio##s,plur,2,artificial,0.018212517723441124,plural,plural,son,s,[MASK] mio##s [MASK],"[CLS] , [MASK] , mio , ##s , [MASK] , [SEP]",morphemic,4.005646134314211
12,srua,srua,sing,2,default,0.012182947248220444,singular,singular,es,s,[MASK] srua [MASK],"[CLS] , [MASK] , sr , ##ua , [MASK] , [SEP]",morphemic,4.407718071569135
13,srua,srua,sing,2,default,0.000620983773842454,plural,plural,son,s,[MASK] srua [MASK],"[CLS] , [MASK] , sr , ##ua , [MASK] , [SEP]",morphemic,7.384205605450339
14,srua,sruas,plur,3,default,0.005207337439060211,singular,singular,es,s,[MASK] sruas [MASK],"[CLS] , [MASK] , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,5.257686602011509
15,srua,sruas,plur,3,default,0.011416186578571796,plural,plural,son,s,[MASK] sruas [MASK],"[CLS] , [MASK] , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,4.472723055338162
16,srua,srua##s,plur,3,artificial,0.005207337439060211,singular,singular,es,s,[MASK] srua##s [MASK],"[CLS] , [MASK] , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,5.257686602011509
17,srua,srua##s,plur,3,artificial,0.011416186578571796,plural,plural,son,s,[MASK] srua##s [MASK],"[CLS] , [MASK] , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,4.472723055338162
18,qaa,qaa,sing,2,default,0.0030337939970195293,singular,singular,es,s,[MASK] qaa [MASK],"[CLS] , [MASK] , q , ##aa , [MASK] , [SEP]",morphemic,5.797941298508795
19,qaa,qaa,sing,2,default,0.00026797890313901007,plural,plural,son,s,[MASK] qaa [MASK],"[CLS] , [MASK] , q , ##aa , [MASK] , [SEP]",morphemic,8.22460230018253
20,qaa,qaas,plur,3,default,0.003432617289945483,singular,singular,es,s,[MASK] qaas [MASK],"[CLS] , [MASK] , q , ##aa , ##s , [MASK] , [SEP]",morphemic,5.67443225049211
21,qaa,qaas,plur,3,default,0.005949643440544605,plural,plural,son,s,[MASK] qaas [MASK],"[CLS] , [MASK] , q , ##aa , ##s , [MASK] , [SEP]",morphemic,5.124423987179121
22,qaa,qaa##s,plur,3,artificial,0.003432617289945483,singular,singular,es,s,[MASK] qaa##s [MASK],"[CLS] , [MASK] , q , ##aa , ##s , [MASK] , [SEP]",morphemic,5.67443225049211
23,qaa,qaa##s,plur,3,artificial,0.005949643440544605,plural,plural,son,s,[MASK] qaa##s [MASK],"[CLS] , [MASK] , q , ##aa , ##s , [MASK] , [SEP]",morphemic,5.124423987179121
24,gnio,gnio,sing,2,default,0.005157750099897385,singular,singular,es,s,[MASK] gnio [MASK],"[CLS] , [MASK] , g , ##nio , [MASK] , [SEP]",morphemic,5.267254821727815
25,gnio,gnio,sing,2,default,0.0007646082667633891,plural,plural,son,s,[MASK] gnio [MASK],"[CLS] , [MASK] , g , ##nio , [MASK] , [SEP]",morphemic,7.176146924880487
26,gnio,gnios,plur,3,default,0.0017777524190023541,singular,singular,es,s,[MASK] gnios [MASK],"[CLS] , [MASK] , g , ##nio , ##s , [MASK] , [SEP]",morphemic,6.332405398491487
27,gnio,gnios,plur,3,default,0.008406639099121094,plural,plural,son,s,[MASK] gnios [MASK],"[CLS] , [MASK] , g , ##nio , ##s , [MASK] , [SEP]",morphemic,4.778733516366936
28,gnio,gnio##s,plur,3,artificial,0.0017777524190023541,singular,singular,es,s,[MASK] gnio##s [MASK],"[CLS] , [MASK] , g , ##nio , ##s , [MASK] , [SEP]",morphemic,6.332405398491487
29,gnio,gnio##s,plur,3,artificial,0.008406639099121094,plural,plural,son,s,[MASK] gnio##s [MASK],"[CLS] , [MASK] , g , ##nio , ##s , [MASK] , [SEP]",morphemic,4.778733516366936
30,sqaa,sqaa,sing,3,default,0.0015812210040166974,singular,singular,es,s,[MASK] sqaa [MASK],"[CLS] , [MASK] , s , ##q , ##aa , [MASK] , [SEP]",morphemic,6.449557943037321
31,sqaa,sqaa,sing,3,default,7.899913180153817e-05,plural,plural,son,s,[MASK] sqaa [MASK],"[CLS] , [MASK] , s , ##q , ##aa , [MASK] , [SEP]",morphemic,9.446073695411588
32,sqaa,sqaas,plur,4,default,0.0023004000540822744,singular,singular,es,s,[MASK] sqaas [MASK],"[CLS] , [MASK] , s , ##q , ##aa , ##s , [MASK] , [SEP]",morphemic,6.074672234614732
33,sqaa,sqaas,plur,4,default,0.003868355182930827,plural,plural,son,s,[MASK] sqaas [MASK],"[CLS] , [MASK] , s , ##q , ##aa , ##s , [MASK] , [SEP]",morphemic,5.554925879616448
34,sqaa,sqaa##s,plur,4,artificial,0.0023004000540822744,singular,singular,es,s,[MASK] sqaa##s [MASK],"[CLS] , [MASK] , s , ##q , ##aa , ##s , [MASK] , [SEP]",morphemic,6.074672234614732
35,sqaa,sqaa##s,plur,4,artificial,0.003868355182930827,plural,plural,son,s,[MASK] sqaa##s [MASK],"[CLS] , [MASK] , s , ##q , ##aa , ##s , [MASK] , [SEP]",morphemic,5.554925879616448
36,dynoa,dynoa,sing,3,default,0.0037817521952092648,singular,singular,es,s,[MASK] dynoa [MASK],"[CLS] , [MASK] , d , ##yn , ##oa , [MASK] , [SEP]",morphemic,5.577567833047681
37,dynoa,dynoa,sing,3,default,0.00035577622475102544,plural,plural,son,s,[MASK] dynoa [MASK],"[CLS] , [MASK] , d , ##yn , ##oa , [MASK] , [SEP]",morphemic,7.941208606912877
38,dynoa,dynoas,plur,4,default,0.0023554356303066015,singular,singular,es,s,[MASK] dynoas [MASK],"[CLS] , [MASK] , d , ##yn , ##oa , ##s , [MASK] , [SEP]",morphemic,6.051029587598724
