,lemma,word_form,word_number,n_tokens,tokenization_type,article_probs,article_number,article_type,article,affix,sentence,model_token_inputs,source,surprisal
0,sqeo,sqeo,sing,3,default,0.037150394171476364,singular,definite,El,s,[MASK] sqeo,"[CLS] , [MASK] , s , ##q , ##eo , [SEP]",nonmorphemic,3.292780897606115
1,sqeo,sqeo,sing,3,default,0.0003494167176540941,plural,definite,Los,s,[MASK] sqeo,"[CLS] , [MASK] , s , ##q , ##eo , [SEP]",nonmorphemic,7.959245314659956
2,sqeo,sqeos,plur,3,default,0.0005761528154835105,singular,definite,El,s,[MASK] sqeos,"[CLS] , [MASK] , s , ##q , ##eos , [SEP]",nonmorphemic,7.459137627796568
3,sqeo,sqeos,plur,3,default,0.02004796452820301,plural,definite,Los,s,[MASK] sqeos,"[CLS] , [MASK] , s , ##q , ##eos , [SEP]",nonmorphemic,3.909627650173415
4,sqeo,sqeo##s,plur,4,artificial,0.001536246039904654,singular,definite,El,s,[MASK] sqeo##s,"[CLS] , [MASK] , s , ##q , ##eo , ##s , [SEP]",nonmorphemic,6.478413474854868
5,sqeo,sqeo##s,plur,4,artificial,0.020603908225893974,plural,definite,Los,s,[MASK] sqeo##s,"[CLS] , [MASK] , s , ##q , ##eo , ##s , [SEP]",nonmorphemic,3.8822745014775175
6,sqeo,sqeo,sing,3,default,0.0022165209520608187,singular,indefinite,Un,s,[MASK] sqeo,"[CLS] , [MASK] , s , ##q , ##eo , [SEP]",nonmorphemic,6.111816451055597
7,sqeo,sqeo,sing,3,default,2.4462849523843033e-06,plural,indefinite,Unos,s,[MASK] sqeo,"[CLS] , [MASK] , s , ##q , ##eo , [SEP]",nonmorphemic,12.920940030189277
8,sqeo,sqeos,plur,3,default,7.230145274661481e-05,singular,indefinite,Un,s,[MASK] sqeos,"[CLS] , [MASK] , s , ##q , ##eos , [SEP]",nonmorphemic,9.534666335687248
9,sqeo,sqeos,plur,3,default,0.00010301075963070616,plural,indefinite,Unos,s,[MASK] sqeos,"[CLS] , [MASK] , s , ##q , ##eos , [SEP]",nonmorphemic,9.180677112756419
10,sqeo,sqeo##s,plur,4,artificial,0.00019884076027665287,singular,indefinite,Un,s,[MASK] sqeo##s,"[CLS] , [MASK] , s , ##q , ##eo , ##s , [SEP]",nonmorphemic,8.5230062531852
11,sqeo,sqeo##s,plur,4,artificial,2.3263793991645798e-05,plural,indefinite,Unos,s,[MASK] sqeo##s,"[CLS] , [MASK] , s , ##q , ##eo , ##s , [SEP]",nonmorphemic,10.668612311894558
12,cruo,cruo,sing,2,default,0.062318943440914154,singular,definite,El,s,[MASK] cruo,"[CLS] , [MASK] , cru , ##o , [SEP]",nonmorphemic,2.7754898313355985
13,cruo,cruo,sing,2,default,0.00015852026990614831,plural,definite,Los,s,[MASK] cruo,"[CLS] , [MASK] , cru , ##o , [SEP]",nonmorphemic,8.74962808698043
14,cruo,cruos,plur,2,default,0.0007028572144918144,singular,definite,El,s,[MASK] cruos,"[CLS] , [MASK] , cru , ##os , [SEP]",nonmorphemic,7.2603567956139905
15,cruo,cruos,plur,2,default,0.03498587757349014,plural,definite,Los,s,[MASK] cruos,"[CLS] , [MASK] , cru , ##os , [SEP]",nonmorphemic,3.3528107968201875
16,cruo,cruo##s,plur,3,artificial,0.0014664237387478352,singular,definite,El,s,[MASK] cruo##s,"[CLS] , [MASK] , cru , ##o , ##s , [SEP]",nonmorphemic,6.524928673116568
17,cruo,cruo##s,plur,3,artificial,0.005788830108940601,plural,definite,Los,s,[MASK] cruo##s,"[CLS] , [MASK] , cru , ##o , ##s , [SEP]",nonmorphemic,5.151825061536394
18,cruo,cruo,sing,2,default,0.005121232010424137,singular,indefinite,Un,s,[MASK] cruo,"[CLS] , [MASK] , cru , ##o , [SEP]",nonmorphemic,5.274360241840798
19,cruo,cruo,sing,2,default,2.7777427931141574e-06,plural,indefinite,Unos,s,[MASK] cruo,"[CLS] , [MASK] , cru , ##o , [SEP]",nonmorphemic,12.793871904990507
20,cruo,cruos,plur,2,default,0.00010181470133829862,singular,indefinite,Un,s,[MASK] cruos,"[CLS] , [MASK] , cru , ##os , [SEP]",nonmorphemic,9.192356050342333
21,cruo,cruos,plur,2,default,0.00020282914920244366,plural,indefinite,Unos,s,[MASK] cruos,"[CLS] , [MASK] , cru , ##os , [SEP]",nonmorphemic,8.50314656283609
22,cruo,cruo##s,plur,3,artificial,0.00015652863658033311,singular,indefinite,Un,s,[MASK] cruo##s,"[CLS] , [MASK] , cru , ##o , ##s , [SEP]",nonmorphemic,8.762271583379128
23,cruo,cruo##s,plur,3,artificial,7.030725828371942e-05,plural,indefinite,Unos,s,[MASK] cruo##s,"[CLS] , [MASK] , cru , ##o , ##s , [SEP]",nonmorphemic,9.562635517198206
24,wroa,wroa,sing,3,default,0.007539147511124611,singular,definite,La,s,[MASK] wroa,"[CLS] , [MASK] , w , ##ro , ##a , [SEP]",nonmorphemic,4.887646165539348
25,wroa,wroa,sing,3,default,0.00041072964086197317,plural,definite,Las,s,[MASK] wroa,"[CLS] , [MASK] , w , ##ro , ##a , [SEP]",nonmorphemic,7.797575368040449
26,wroa,wroas,plur,3,default,0.0016470372211188078,singular,definite,La,s,[MASK] wroas,"[CLS] , [MASK] , w , ##ro , ##as , [SEP]",nonmorphemic,6.408777228698456
27,wroa,wroas,plur,3,default,0.0010805298807099462,plural,definite,Las,s,[MASK] wroas,"[CLS] , [MASK] , w , ##ro , ##as , [SEP]",nonmorphemic,6.830303727878707
28,wroa,wroa##s,plur,4,artificial,0.0022099630441516638,singular,definite,La,s,[MASK] wroa##s,"[CLS] , [MASK] , w , ##ro , ##a , ##s , [SEP]",nonmorphemic,6.114779485695611
29,wroa,wroa##s,plur,4,artificial,0.002594598801806569,plural,definite,Las,s,[MASK] wroa##s,"[CLS] , [MASK] , w , ##ro , ##a , ##s , [SEP]",nonmorphemic,5.9543233786302245
30,wroa,wroa,sing,3,default,0.0009010176290757954,singular,indefinite,Una,s,[MASK] wroa,"[CLS] , [MASK] , w , ##ro , ##a , [SEP]",nonmorphemic,7.01198573442549
31,wroa,wroa,sing,3,default,7.578321856271941e-06,plural,indefinite,Unas,s,[MASK] wroa,"[CLS] , [MASK] , w , ##ro , ##a , [SEP]",nonmorphemic,11.790218773813745
32,wroa,wroas,plur,3,default,0.00046484958147630095,singular,indefinite,Una,s,[MASK] wroas,"[CLS] , [MASK] , w , ##ro , ##as , [SEP]",nonmorphemic,7.673796685404211
33,wroa,wroas,plur,3,default,2.6162006179220043e-05,plural,indefinite,Unas,s,[MASK] wroas,"[CLS] , [MASK] , w , ##ro , ##as , [SEP]",nonmorphemic,10.551202345507606
34,wroa,wroa##s,plur,4,artificial,0.0003591659478843212,singular,indefinite,Una,s,[MASK] wroa##s,"[CLS] , [MASK] , w , ##ro , ##a , ##s , [SEP]",nonmorphemic,7.931726025906634
35,wroa,wroa##s,plur,4,artificial,3.1997060432331637e-05,plural,indefinite,Unas,s,[MASK] wroa##s,"[CLS] , [MASK] , w , ##ro , ##a , ##s , [SEP]",nonmorphemic,10.349866520873709
36,spla,spla,sing,2,default,0.006460060365498066,singular,definite,La,s,[MASK] spla,"[CLS] , [MASK] , sp , ##la , [SEP]",nonmorphemic,5.042116616726942
37,spla,spla,sing,2,default,0.0002296316670253873,plural,definite,Las,s,[MASK] spla,"[CLS] , [MASK] , sp , ##la , [SEP]",nonmorphemic,8.379033980444868
38,spla,splas,plur,2,default,0.0005438075750134885,singular,definite,La,s,[MASK] splas,"[CLS] , [MASK] , sp , ##las , [SEP]",nonmorphemic,7.516915096084532
39,spla,splas,plur,2,default,0.007941583171486855,plural,definite,Las,s,[MASK] splas,"[CLS] , [MASK] , sp , ##las , [SEP]",nonmorphemic,4.835642631724092
40,spla,spla##s,plur,3,artificial,0.001133081503212452,singular,definite,La,s,[MASK] spla##s,"[CLS] , [MASK] , sp , ##la , ##s , [SEP]",nonmorphemic,6.782814363766723
41,spla,spla##s,plur,3,artificial,0.0020848580170422792,plural,definite,Las,s,[MASK] spla##s,"[CLS] , [MASK] , sp , ##la , ##s , [SEP]",nonmorphemic,6.173054523391934
42,spla,spla,sing,2,default,0.0017934894422069192,singular,indefinite,Una,s,[MASK] spla,"[CLS] , [MASK] , sp , ##la , [SEP]",nonmorphemic,6.323592147707385
43,spla,spla,sing,2,default,1.1679053386615124e-05,plural,indefinite,Unas,s,[MASK] spla,"[CLS] , [MASK] , sp , ##la , [SEP]",nonmorphemic,11.357713629515084
44,spla,splas,plur,2,default,0.0001580229727551341,singular,indefinite,Una,s,[MASK] splas,"[CLS] , [MASK] , sp , ##las , [SEP]",nonmorphemic,8.75277013832206
45,spla,splas,plur,2,default,0.00018161421758122742,plural,indefinite,Unas,s,[MASK] splas,"[CLS] , [MASK] , sp , ##las , [SEP]",nonmorphemic,8.613625804216108
46,spla,spla##s,plur,3,artificial,0.00023382159997709095,singular,indefinite,Una,s,[MASK] spla##s,"[CLS] , [MASK] , sp , ##la , ##s , [SEP]",nonmorphemic,8.360952126636406
47,spla,spla##s,plur,3,artificial,5.192805110709742e-05,plural,indefinite,Unas,s,[MASK] spla##s,"[CLS] , [MASK] , sp , ##la , ##s , [SEP]",nonmorphemic,9.865651430042067
48,chraa,chraa,sing,3,default,0.022029530256986618,singular,definite,La,s,[MASK] chraa,"[CLS] , [MASK] , ch , ##ra , ##a , [SEP]",nonmorphemic,3.8153714412737223
49,chraa,chraa,sing,3,default,0.000301757623674348,plural,definite,Las,s,[MASK] chraa,"[CLS] , [MASK] , ch , ##ra , ##a , [SEP]",nonmorphemic,8.105886433436362
50,chraa,chraas,plur,3,default,0.000838997948449105,singular,definite,La,s,[MASK] chraas,"[CLS] , [MASK] , ch , ##ra , ##as , [SEP]",nonmorphemic,7.083302296733544
51,chraa,chraas,plur,3,default,0.014709756709635258,plural,definite,Las,s,[MASK] chraas,"[CLS] , [MASK] , ch , ##ra , ##as , [SEP]",nonmorphemic,4.219244283619414
52,chraa,chraa##s,plur,4,artificial,0.0006276593776419759,singular,definite,La,s,[MASK] chraa##s,"[CLS] , [MASK] , ch , ##ra , ##a , ##s , [SEP]",nonmorphemic,7.373512930933831
53,chraa,chraa##s,plur,4,artificial,0.0026980224065482616,plural,definite,Las,s,[MASK] chraa##s,"[CLS] , [MASK] , ch , ##ra , ##a , ##s , [SEP]",nonmorphemic,5.915236216357722
54,chraa,chraa,sing,3,default,0.001717680017463863,singular,indefinite,Una,s,[MASK] chraa,"[CLS] , [MASK] , ch , ##ra , ##a , [SEP]",nonmorphemic,6.3667807256987
55,chraa,chraa,sing,3,default,8.873134902387392e-06,plural,indefinite,Unas,s,[MASK] chraa,"[CLS] , [MASK] , ch , ##ra , ##a , [SEP]",nonmorphemic,11.632482396531461
56,chraa,chraas,plur,3,default,5.5941782193258405e-05,singular,indefinite,Una,s,[MASK] chraas,"[CLS] , [MASK] , ch , ##ra , ##as , [SEP]",nonmorphemic,9.791199011683675
57,chraa,chraas,plur,3,default,0.00012061457528034225,plural,indefinite,Unas,s,[MASK] chraas,"[CLS] , [MASK] , ch , ##ra , ##as , [SEP]",nonmorphemic,9.022910424586152
58,chraa,chraa##s,plur,4,artificial,5.2697607316076756e-05,singular,indefinite,Una,s,[MASK] chraa##s,"[CLS] , [MASK] , ch , ##ra , ##a , ##s , [SEP]",nonmorphemic,9.850940505419636
59,chraa,chraa##s,plur,4,artificial,4.1075400076806545e-05,plural,indefinite,Unas,s,[MASK] chraa##s,"[CLS] , [MASK] , ch , ##ra , ##a , ##s , [SEP]",nonmorphemic,10.10010115393484
60,klua,klua,sing,3,default,0.0585552453994751,singular,definite,La,s,[MASK] klua,"[CLS] , [MASK] , k , ##lu , ##a , [SEP]",nonmorphemic,2.8377846045741797
61,klua,klua,sing,3,default,0.0002737448376137763,plural,definite,Las,s,[MASK] klua,"[CLS] , [MASK] , k , ##lu , ##a , [SEP]",nonmorphemic,8.203314135043247
62,klua,kluas,plur,3,default,0.0011114259250462055,singular,definite,La,s,[MASK] kluas,"[CLS] , [MASK] , k , ##lu , ##as , [SEP]",nonmorphemic,6.80211147091381
63,klua,kluas,plur,3,default,0.029815765097737312,plural,definite,Las,s,[MASK] kluas,"[CLS] , [MASK] , k , ##lu , ##as , [SEP]",nonmorphemic,3.512717995232468
64,klua,klua##s,plur,4,artificial,0.0016384164337068796,singular,definite,La,s,[MASK] klua##s,"[CLS] , [MASK] , k , ##lu , ##a , ##s , [SEP]",nonmorphemic,6.414025092830717
65,klua,klua##s,plur,4,artificial,0.008472823537886143,plural,definite,Las,s,[MASK] klua##s,"[CLS] , [MASK] , k , ##lu , ##a , ##s , [SEP]",nonmorphemic,4.770891468385829
66,klua,klua,sing,3,default,0.0027197638992220163,singular,indefinite,Una,s,[MASK] klua,"[CLS] , [MASK] , k , ##lu , ##a , [SEP]",nonmorphemic,5.907210204198333
67,klua,klua,sing,3,default,7.2721340984571725e-06,plural,indefinite,Unas,s,[MASK] klua,"[CLS] , [MASK] , k , ##lu , ##a , [SEP]",nonmorphemic,11.831460760877219
68,klua,kluas,plur,3,default,5.39403481525369e-05,singular,indefinite,Una,s,[MASK] kluas,"[CLS] , [MASK] , k , ##lu , ##as , [SEP]",nonmorphemic,9.827631785832716
69,klua,kluas,plur,3,default,0.00023527529265265912,plural,indefinite,Unas,s,[MASK] kluas,"[CLS] , [MASK] , k , ##lu , ##as , [SEP]",nonmorphemic,8.35475427134533
70,klua,klua##s,plur,4,artificial,8.557018736610189e-05,singular,indefinite,Una,s,[MASK] klua##s,"[CLS] , [MASK] , k , ##lu , ##a , ##s , [SEP]",nonmorphemic,9.366173613912986
71,klua,klua##s,plur,4,artificial,0.00010841061157407239,plural,indefinite,Unas,s,[MASK] klua##s,"[CLS] , [MASK] , k , ##lu , ##a , ##s , [SEP]",nonmorphemic,9.129584581000165
72,schluo,schluo,sing,4,default,0.01514152716845274,singular,definite,El,s,[MASK] schluo,"[CLS] , [MASK] , s , ##ch , ##lu , ##o , [SEP]",nonmorphemic,4.190314166280936
73,schluo,schluo,sing,4,default,0.00044717223499901593,plural,definite,Los,s,[MASK] schluo,"[CLS] , [MASK] , s , ##ch , ##lu , ##o , [SEP]",nonmorphemic,7.712566724367869
74,schluo,schluos,plur,4,default,0.0007223714492283762,singular,definite,El,s,[MASK] schluos,"[CLS] , [MASK] , s , ##ch , ##lu , ##os , [SEP]",nonmorphemic,7.232971078751631
75,schluo,schluos,plur,4,default,0.07048928737640381,plural,definite,Los,s,[MASK] schluos,"[CLS] , [MASK] , s , ##ch , ##lu , ##os , [SEP]",nonmorphemic,2.6522945328175527
