,lemma,word_form,word_number,n_tokens,tokenization_type,article_probs,article_number,article_type,article,affix,sentence,model_token_inputs,source,surprisal
0,reserva,reserva,sing,1,default,0.02046068385243416,singular,definite,La,s,[MASK] reserva,"[CLS] , [MASK] , reserva , [SEP]",single-token,3.8892500951445848
1,reserva,reserva,sing,1,default,6.493105320259929e-05,plural,definite,Las,s,[MASK] reserva,"[CLS] , [MASK] , reserva , [SEP]",single-token,9.642184570990196
2,reserva,reservas,plur,1,default,0.0002312450233148411,singular,definite,La,s,[MASK] reservas,"[CLS] , [MASK] , reservas , [SEP]",single-token,8.372032702604002
3,reserva,reservas,plur,1,default,0.010269718244671822,plural,definite,Las,s,[MASK] reservas,"[CLS] , [MASK] , reservas , [SEP]",single-token,4.578555690211407
4,reserva,reserva##s,plur,2,artificial,0.00024467206094413996,singular,definite,La,s,[MASK] reserva##s,"[CLS] , [MASK] , reserva , ##s , [SEP]",single-token,8.315591770805296
5,reserva,reserva##s,plur,2,artificial,0.0496101900935173,plural,definite,Las,s,[MASK] reserva##s,"[CLS] , [MASK] , reserva , ##s , [SEP]",single-token,3.0035590209184617
6,reserva,reserva,sing,1,default,0.005777974147349596,singular,indefinite,Una,s,[MASK] reserva,"[CLS] , [MASK] , reserva , [SEP]",single-token,5.153702151273199
7,reserva,reserva,sing,1,default,3.2249656669591786e-06,plural,indefinite,Unas,s,[MASK] reserva,"[CLS] , [MASK] , reserva , [SEP]",single-token,12.644588253677338
8,reserva,reservas,plur,1,default,1.2569091268233024e-05,singular,indefinite,Una,s,[MASK] reservas,"[CLS] , [MASK] , reservas , [SEP]",single-token,11.28426983167209
9,reserva,reservas,plur,1,default,3.8034686440369114e-05,plural,indefinite,Unas,s,[MASK] reservas,"[CLS] , [MASK] , reservas , [SEP]",single-token,10.17701201352509
10,reserva,reserva##s,plur,2,artificial,2.4219507395173423e-05,singular,indefinite,Una,s,[MASK] reserva##s,"[CLS] , [MASK] , reserva , ##s , [SEP]",single-token,10.628352158808616
11,reserva,reserva##s,plur,2,artificial,0.00022553149028681219,plural,indefinite,Unas,s,[MASK] reserva##s,"[CLS] , [MASK] , reserva , ##s , [SEP]",single-token,8.397050762266495
12,dólar,dólar,sing,1,default,0.011966080404818058,singular,definite,El,es,[MASK] dólar,"[CLS] , [MASK] , dólar , [SEP]",single-token,4.425679264596955
13,dólar,dólar,sing,1,default,5.496551693795482e-06,plural,definite,Los,es,[MASK] dólar,"[CLS] , [MASK] , dólar , [SEP]",single-token,12.111389627114903
14,dólar,dólares,plur,1,default,6.401253631338477e-05,singular,definite,El,es,[MASK] dólares,"[CLS] , [MASK] , dólares , [SEP]",single-token,9.656431613889927
15,dólar,dólares,plur,1,default,0.0024064229801297188,plural,definite,Los,es,[MASK] dólares,"[CLS] , [MASK] , dólares , [SEP]",single-token,6.02961387466587
16,dólar,dólar##es,plur,2,artificial,0.00040639311191625893,singular,definite,El,es,[MASK] dólar##es,"[CLS] , [MASK] , dólar , ##es , [SEP]",single-token,7.808189610868592
17,dólar,dólar##es,plur,2,artificial,0.02278074622154236,plural,definite,Los,es,[MASK] dólar##es,"[CLS] , [MASK] , dólar , ##es , [SEP]",single-token,3.7818395637497404
18,dólar,dólar,sing,1,default,0.00692342221736908,singular,indefinite,Un,es,[MASK] dólar,"[CLS] , [MASK] , dólar , [SEP]",single-token,4.972845091514967
19,dólar,dólar,sing,1,default,8.091316772151913e-07,plural,indefinite,Unos,es,[MASK] dólar,"[CLS] , [MASK] , dólar , [SEP]",single-token,14.027304167724624
20,dólar,dólares,plur,1,default,6.83436228428036e-05,singular,indefinite,Un,es,[MASK] dólares,"[CLS] , [MASK] , dólares , [SEP]",single-token,9.590962300642364
21,dólar,dólares,plur,1,default,0.00014225747145246714,plural,indefinite,Unos,es,[MASK] dólares,"[CLS] , [MASK] , dólares , [SEP]",single-token,8.857871962945454
22,dólar,dólar##es,plur,2,artificial,0.00011679519229801372,singular,indefinite,Un,es,[MASK] dólar##es,"[CLS] , [MASK] , dólar , ##es , [SEP]",single-token,9.055088650249393
23,dólar,dólar##es,plur,2,artificial,0.00015682373486924917,plural,indefinite,Unos,es,[MASK] dólar##es,"[CLS] , [MASK] , dólar , ##es , [SEP]",single-token,8.760388091163701
24,activo,activo,sing,1,default,0.0001657720422372222,singular,definite,El,s,[MASK] activo,"[CLS] , [MASK] , activo , [SEP]",single-token,8.704896952900048
25,activo,activo,sing,1,default,2.0156462596787605e-06,plural,definite,Los,s,[MASK] activo,"[CLS] , [MASK] , activo , [SEP]",single-token,13.114570689580374
