,lemma,word_form,word_number,n_tokens,tokenization_type,article_probs,article_number,article_type,article,affix,sentence,model_token_inputs,source,surprisal
0,schwua,schwua,sing,4,default,0.0018626110395416617,singular,definite,La,s,[MASK] schwua,"[CLS] , [MASK] , s , ##ch , ##w , ##ua , [SEP]",morphemic,6.285775990941816
1,schwua,schwua,sing,4,default,0.00011591898510232568,plural,definite,Las,s,[MASK] schwua,"[CLS] , [MASK] , s , ##ch , ##w , ##ua , [SEP]",morphemic,9.062619015146094
2,schwua,schwuas,plur,5,default,0.0014330768026411533,singular,definite,La,s,[MASK] schwuas,"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [SEP]",morphemic,6.54793153587017
3,schwua,schwuas,plur,5,default,0.003663603449240327,plural,definite,Las,s,[MASK] schwuas,"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [SEP]",morphemic,5.60930806694655
4,schwua,schwua##s,plur,5,artificial,0.0014330768026411533,singular,definite,La,s,[MASK] schwua##s,"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [SEP]",morphemic,6.54793153587017
5,schwua,schwua##s,plur,5,artificial,0.003663603449240327,plural,definite,Las,s,[MASK] schwua##s,"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [SEP]",morphemic,5.60930806694655
6,schwua,schwua,sing,4,default,9.963398770196363e-05,singular,indefinite,Una,s,[MASK] schwua,"[CLS] , [MASK] , s , ##ch , ##w , ##ua , [SEP]",morphemic,9.21400720959594
7,schwua,schwua,sing,4,default,2.934696112788515e-06,plural,indefinite,Unas,s,[MASK] schwua,"[CLS] , [MASK] , s , ##ch , ##w , ##ua , [SEP]",morphemic,12.738906649128737
8,schwua,schwuas,plur,5,default,0.00020519988902378827,singular,indefinite,Una,s,[MASK] schwuas,"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [SEP]",morphemic,8.49152598548755
9,schwua,schwuas,plur,5,default,5.349503771867603e-05,plural,indefinite,Unas,s,[MASK] schwuas,"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [SEP]",morphemic,9.835921661286076
10,schwua,schwua##s,plur,5,artificial,0.00020519988902378827,singular,indefinite,Una,s,[MASK] schwua##s,"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [SEP]",morphemic,8.49152598548755
11,schwua,schwua##s,plur,5,artificial,5.349503771867603e-05,plural,indefinite,Unas,s,[MASK] schwua##s,"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [SEP]",morphemic,9.835921661286076
