,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal
0,patrono,patrono,sing,2,default,7.368324986600783e-06,singular,singular,grande,s,[MASK] patrono [MASK],"[CLS] , [MASK] , patr , ##ono , [MASK] , [SEP]",non_morphemic,11.818320152139151
1,patrono,patrono,sing,2,default,7.580573679888403e-08,plural,plural,grandes,s,[MASK] patrono [MASK],"[CLS] , [MASK] , patr , ##ono , [MASK] , [SEP]",non_morphemic,16.39509186379934
2,patrono,patronos,plur,2,default,2.990297431892941e-08,singular,singular,grande,s,[MASK] patronos [MASK],"[CLS] , [MASK] , patr , ##onos , [MASK] , [SEP]",non_morphemic,17.325307885947655
3,patrono,patronos,plur,2,default,1.976360636035679e-06,plural,plural,grandes,s,[MASK] patronos [MASK],"[CLS] , [MASK] , patr , ##onos , [MASK] , [SEP]",non_morphemic,13.134253467175956
4,patrono,patrono##s,plur,3,artificial,3.065941314162046e-07,singular,singular,grande,s,[MASK] patrono##s [MASK],"[CLS] , [MASK] , patr , ##ono , ##s , [MASK] , [SEP]",non_morphemic,14.99774101153923
5,patrono,patrono##s,plur,3,artificial,1.8532406102167442e-05,plural,plural,grandes,s,[MASK] patrono##s [MASK],"[CLS] , [MASK] , patr , ##ono , ##s , [MASK] , [SEP]",non_morphemic,10.895989677086003
6,premisa,premisa,sing,2,default,9.134293577517383e-06,singular,singular,grande,s,[MASK] premisa [MASK],"[CLS] , [MASK] , premis , ##a , [MASK] , [SEP]",non_morphemic,11.603474702540254
7,premisa,premisa,sing,2,default,1.0154631979730766e-07,plural,plural,grandes,s,[MASK] premisa [MASK],"[CLS] , [MASK] , premis , ##a , [MASK] , [SEP]",non_morphemic,16.10275078987895
8,premisa,premisas,plur,2,default,1.1920876730187047e-08,singular,singular,grande,s,[MASK] premisas [MASK],"[CLS] , [MASK] , premis , ##as , [MASK] , [SEP]",non_morphemic,18.244974626823776
9,premisa,premisas,plur,2,default,3.8439620766439475e-06,plural,plural,grandes,s,[MASK] premisas [MASK],"[CLS] , [MASK] , premis , ##as , [MASK] , [SEP]",non_morphemic,12.469006932502202
10,premisa,premisa##s,plur,3,artificial,4.257635666249371e-08,singular,singular,grande,s,[MASK] premisa##s [MASK],"[CLS] , [MASK] , premis , ##a , ##s , [MASK] , [SEP]",non_morphemic,16.97196674566768
11,premisa,premisa##s,plur,3,artificial,6.35461901765666e-06,plural,plural,grandes,s,[MASK] premisa##s [MASK],"[CLS] , [MASK] , premis , ##a , ##s , [MASK] , [SEP]",non_morphemic,11.966328605134619
12,kilo,kilo,sing,2,default,5.732037243433297e-05,singular,singular,grande,s,[MASK] kilo [MASK],"[CLS] , [MASK] , k , ##ilo , [MASK] , [SEP]",non_morphemic,9.766854457566707
13,kilo,kilo,sing,2,default,8.631383025203831e-06,plural,plural,grandes,s,[MASK] kilo [MASK],"[CLS] , [MASK] , k , ##ilo , [MASK] , [SEP]",non_morphemic,11.660105807863683
