,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,article_probs,article_number,article_type,article,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,cao,cao,sing,2,default,0.0002734629961196,plural,definite,Los,s,[MASK] cao,"[CLS] , [MASK] , ca , ##o , [SEP]",single-token,8.204344242807393,3.4476875760232204,-3.447687576023334
3,3,cao,caos,plur,1,default,9.737581422086804e-05,plural,definite,Los,s,[MASK] caos,"[CLS] , [MASK] , caos , [SEP]",single-token,9.236932692104926,7.088810456364927,-7.088810456364927
5,5,cao,cao##s,plur,3,artificial,0.0009391533676534,plural,definite,Los,s,[MASK] cao##s,"[CLS] , [MASK] , ca , ##o , ##s , [SEP]",single-token,6.970531761258653,1.274434546783997,-1.274434546784084
7,7,cao,cao,sing,2,default,7.796411409799475e-06,plural,indefinite,Unos,s,[MASK] cao,"[CLS] , [MASK] , ca , ##o , [SEP]",single-token,11.761847005802744,5.231377340796303,-5.2313773407962385
9,9,cao,caos,plur,1,default,2.406341081950813e-06,plural,indefinite,Unos,s,[MASK] caos,"[CLS] , [MASK] , caos , [SEP]",single-token,12.937403187387396,8.540771602819165,-8.540771602819161
11,11,cao,cao##s,plur,3,artificial,1.752120442688465e-05,plural,indefinite,Unos,s,[MASK] cao##s,"[CLS] , [MASK] , ca , ##o , ##s , [SEP]",single-token,10.952098728992166,3.2874185133136544,-3.287418513313527
13,13,va,va,sing,1,default,0.0004510536964517,plural,definite,Las,s,[MASK] va,"[CLS] , [MASK] , va , [SEP]",single-token,7.703924164680245,3.7043729794261604,-3.704372979426179
15,15,va,vas,plur,1,default,0.0007734695682302,plural,definite,Las,s,[MASK] vas,"[CLS] , [MASK] , vas , [SEP]",single-token,7.164624231672474,0.1338400515074296,-0.13384005150736528
17,17,va,va##s,plur,2,artificial,0.025044247508049,plural,definite,Las,s,[MASK] va##s,"[CLS] , [MASK] , va , ##s , [SEP]",single-token,3.6871111182199017,-3.5187945654018224,3.5187945654019424
19,19,va,va,sing,1,default,6.291205409070244e-06,plural,indefinite,Unas,s,[MASK] va,"[CLS] , [MASK] , va , [SEP]",single-token,11.976357866650442,5.495193999936242,-5.495193999936219
21,21,va,vas,plur,1,default,2.444320443828474e-06,plural,indefinite,Unas,s,[MASK] vas,"[CLS] , [MASK] , vas , [SEP]",single-token,12.921743410753578,2.6785217235674015,-2.6785217235674024
23,23,va,va##s,plur,2,artificial,0.0002031528565566,plural,indefinite,Unas,s,[MASK] va##s,"[CLS] , [MASK] , va , ##s , [SEP]",single-token,8.501551874311659,-0.7084283551242816,0.7084283551241487
25,25,dia,dia,sing,1,default,3.5492078040988417e-06,plural,definite,Las,s,[MASK] dia,"[CLS] , [MASK] , dia , [SEP]",single-token,12.548786133154431,2.314310161912969,-2.3143101619129705
27,27,dia,dias,plur,1,default,5.988054908812046e-05,plural,definite,Las,s,[MASK] dias,"[CLS] , [MASK] , dias , [SEP]",single-token,9.723158828646598,-0.3966150826753143,0.39661508267531537
29,29,dia,dia##s,plur,2,artificial,0.0005121341673657,plural,definite,Las,s,[MASK] dia##s,"[CLS] , [MASK] , dia , ##s , [SEP]",single-token,7.576923921616536,-2.53023422114702,2.5302342211469613
31,31,dia,dia,sing,1,default,6.429049790313002e-07,plural,indefinite,Unas,s,[MASK] dia,"[CLS] , [MASK] , dia , [SEP]",single-token,14.257268901185268,6.0240698396148105,-6.024069839614805
33,33,dia,dias,plur,1,default,7.502817425120156e-06,plural,indefinite,Unas,s,[MASK] dias,"[CLS] , [MASK] , dias , [SEP]",single-token,11.800231951280628,1.7756461792619724,-1.7756461792619724
35,35,dia,dia##s,plur,2,artificial,2.0178234990453348e-05,plural,indefinite,Unas,s,[MASK] dia##s,"[CLS] , [MASK] , dia , ##s , [SEP]",single-token,10.810906010171514,0.37908744174270304,-0.3790874417427016
37,37,sa,sa,sing,1,default,0.0001326849014731,plural,definite,Las,s,[MASK] sa,"[CLS] , [MASK] , sa , [SEP]",single-token,8.927533402503304,3.4721517502772556,-3.472151750277347
39,39,sa,sas,plur,1,default,0.0057560657151043,plural,definite,Las,s,[MASK] sas,"[CLS] , [MASK] , sas , [SEP]",single-token,5.157501073221572,-1.78232436849874,1.7823243684988257
41,41,sa,sa##s,plur,2,artificial,0.0007041267235763,plural,definite,Las,s,[MASK] sa##s,"[CLS] , [MASK] , sa , ##s , [SEP]",single-token,7.258552212925178,0.5046053582896137,-0.5046053582896262
