,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,schwua,schwua,sing,4,default,3.185921286785743e-07,plural,plural,grandes,s,La schwua [MASK],"[CLS] , La , s , ##ch , ##w , ##ua , [MASK] , [SEP]",morphemic,14.959354145743726,5.3444595754638815,-5.3444595754638815
3,3,schwua,schwuas,plur,5,default,3.458478386164643e-05,plural,plural,grandes,s,Las schwuas [MASK],"[CLS] , Las , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,10.272096745413792,-2.602331021755454,2.6023310217554543
5,5,schwua,schwua##s,plur,5,artificial,3.458478386164643e-05,plural,plural,grandes,s,Las schwua##s [MASK],"[CLS] , Las , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,10.272096745413792,-2.602331021755454,2.6023310217554543
7,7,mio,mio,sing,1,default,6.265788101700309e-07,plural,plural,grandes,s,El mio [MASK],"[CLS] , El , mio , [MASK] , [SEP]",morphemic,14.282991276156164,5.283012363812706,-5.283012363812043
9,9,mio,mios,plur,2,default,0.0001111523451982,plural,plural,grandes,s,Los mios [MASK],"[CLS] , Los , mio , ##s , [MASK] , [SEP]",morphemic,9.104608818377589,-4.570705407717821,4.570705407717762
11,11,mio,mio##s,plur,2,artificial,0.0001111523451982,plural,plural,grandes,s,Los mio##s [MASK],"[CLS] , Los , mio , ##s , [MASK] , [SEP]",morphemic,9.104608818377589,-4.570705407717821,4.570705407717762
13,13,srua,srua,sing,2,default,2.330304624820201e-07,plural,plural,grandes,s,La srua [MASK],"[CLS] , La , sr , ##ua , [MASK] , [SEP]",morphemic,15.272096651660291,5.249906507482843,-5.249906507482845
15,15,srua,sruas,plur,3,default,1.0932430996035691e-05,plural,plural,grandes,s,Las sruas [MASK],"[CLS] , Las , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,11.423776865498535,-4.094275514949651,4.094275514949649
17,17,srua,srua##s,plur,3,artificial,1.0932430996035691e-05,plural,plural,grandes,s,Las srua##s [MASK],"[CLS] , Las , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,11.423776865498535,-4.094275514949651,4.094275514949649
19,19,qaa,qaa,sing,2,default,1.2434732354904554e-07,plural,plural,grandes,s,La qaa [MASK],"[CLS] , La , q , ##aa , [MASK] , [SEP]",morphemic,15.900187190458624,5.190460300945659,-5.1904603009456585
21,21,qaa,qaas,plur,3,default,1.2402369975461625e-06,plural,plural,grandes,s,Las qaas [MASK],"[CLS] , Las , q , ##aa , ##s , [MASK] , [SEP]",morphemic,13.60020806955642,-3.1874665865482577,3.187466586548258
23,23,qaa,qaa##s,plur,3,artificial,1.2402369975461625e-06,plural,plural,grandes,s,Las qaa##s [MASK],"[CLS] , Las , q , ##aa , ##s , [MASK] , [SEP]",morphemic,13.60020806955642,-3.1874665865482577,3.187466586548258
25,25,gnio,gnio,sing,2,default,1.878989337456005e-07,plural,plural,grandes,s,El gnio [MASK],"[CLS] , El , g , ##nio , [MASK] , [SEP]",morphemic,15.487361605127443,5.201004968852493,-5.201004968852493
27,27,gnio,gnios,plur,3,default,3.499836748233065e-05,plural,plural,grandes,s,Los gnios [MASK],"[CLS] , Los , g , ##nio , ##s , [MASK] , [SEP]",morphemic,10.260209140924678,-4.884698874445915,4.884698874445913
29,29,gnio,gnio##s,plur,3,artificial,3.499836748233065e-05,plural,plural,grandes,s,Los gnio##s [MASK],"[CLS] , Los , g , ##nio , ##s , [MASK] , [SEP]",morphemic,10.260209140924678,-4.884698874445915,4.884698874445913
31,31,sqaa,sqaa,sing,3,default,3.6422154181536825e-08,plural,plural,grandes,s,La sqaa [MASK],"[CLS] , La , s , ##q , ##aa , [MASK] , [SEP]",morphemic,17.12808861608376,5.9566154565709795,-5.956615456570981
33,33,sqaa,sqaas,plur,4,default,1.0780328238979564e-06,plural,plural,grandes,s,Las sqaas [MASK],"[CLS] , Las , s , ##q , ##aa , ##s , [MASK] , [SEP]",morphemic,13.740372637056096,-2.6391716259046643,2.6391716259046647
35,35,sqaa,sqaa##s,plur,4,artificial,1.0780328238979564e-06,plural,plural,grandes,s,Las sqaa##s [MASK],"[CLS] , Las , s , ##q , ##aa , ##s , [MASK] , [SEP]",morphemic,13.740372637056096,-2.6391716259046643,2.6391716259046647
37,37,dynoa,dynoa,sing,3,default,6.944605246417268e-08,plural,plural,grandes,s,La dynoa [MASK],"[CLS] , La , d , ##yn , ##oa , [MASK] , [SEP]",morphemic,16.482715609330228,4.955850631744843,-4.955850631744842
39,39,dynoa,dynoas,plur,4,default,9.90556782198837e-06,plural,plural,grandes,s,Las dynoas [MASK],"[CLS] , Las , d , ##yn , ##oa , ##s , [MASK] , [SEP]",morphemic,11.522413552653408,-4.726324033361706,4.726324033361704
41,41,dynoa,dynoa##s,plur,4,artificial,9.90556782198837e-06,plural,plural,grandes,s,Las dynoa##s [MASK],"[CLS] , Las , d , ##yn , ##oa , ##s , [MASK] , [SEP]",morphemic,11.522413552653408,-4.726324033361706,4.726324033361704
43,43,mcoa,mcoa,sing,2,default,3.6563822192192674e-08,plural,plural,grandes,s,La mcoa [MASK],"[CLS] , La , m , ##coa , [MASK] , [SEP]",morphemic,17.124206550086676,6.427485549156399,-6.4274855491563985
45,45,mcoa,mcoas,plur,3,default,2.3995285118871834e-06,plural,plural,grandes,s,Las mcoas [MASK],"[CLS] , Las , m , ##coa , ##s , [MASK] , [SEP]",morphemic,12.940238293290207,-4.065057893128493,4.065057893128492
47,47,mcoa,mcoa##s,plur,3,artificial,2.3995285118871834e-06,plural,plural,grandes,s,Las mcoa##s [MASK],"[CLS] , Las , m , ##coa , ##s , [MASK] , [SEP]",morphemic,12.940238293290207,-4.065057893128493,4.065057893128492
49,49,skoo,skoo,sing,3,default,1.069978452505893e-06,plural,plural,grandes,s,El skoo [MASK],"[CLS] , El , s , ##k , ##oo , [MASK] , [SEP]",morphemic,13.747872047538188,3.829917955601367,-3.8299179556013665
51,51,skoo,skoos,plur,4,default,0.0001051420185831,plural,plural,grandes,s,Los skoos [MASK],"[CLS] , Los , s , ##k , ##oo , ##s , [MASK] , [SEP]",morphemic,9.160198563754632,-4.559907905676512,4.559907905676156
53,53,skoo,skoo##s,plur,4,artificial,0.0001051420185831,plural,plural,grandes,s,Los skoo##s [MASK],"[CLS] , Los , s , ##k , ##oo , ##s , [MASK] , [SEP]",morphemic,9.160198563754632,-4.559907905676512,4.559907905676156
55,55,dwoo,dwoo,sing,3,default,7.690029519835662e-07,plural,plural,grandes,s,El dwoo [MASK],"[CLS] , El , d , ##w , ##oo , [MASK] , [SEP]",morphemic,14.07817102871788,3.7393693682016025,-3.7393693682016016
57,57,dwoo,dwoos,plur,4,default,0.0001427352399332,plural,plural,grandes,s,Los dwoos [MASK],"[CLS] , Los , d , ##w , ##oo , ##s , [MASK] , [SEP]",morphemic,8.854519112789896,-4.520938958451948,4.520938958451632
59,59,dwoo,dwoo##s,plur,4,artificial,0.0001427352399332,plural,plural,grandes,s,Los dwoo##s [MASK],"[CLS] , Los , d , ##w , ##oo , ##s , [MASK] , [SEP]",morphemic,8.854519112789896,-4.520938958451948,4.520938958451632
