,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,article_probs,article_number,article_type,article,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,zua,zua,sing,2,default,0.0004588383017107,plural,definite,Las,s,[MASK] zua,"[CLS] , [MASK] , z , ##ua , [SEP]",morphemic,7.686812693824764,3.8485240415362436,-3.848524041536423
3,3,zua,zuas,plur,3,default,0.0397606939077377,plural,definite,Las,s,[MASK] zuas,"[CLS] , [MASK] , z , ##ua , ##s , [SEP]",morphemic,3.2248764449381646,-3.5168204319971137,3.5168204319971728
5,5,zua,zua##s,plur,3,artificial,0.0397606939077377,plural,definite,Las,s,[MASK] zua##s,"[CLS] , [MASK] , z , ##ua , ##s , [SEP]",morphemic,3.2248764449381646,-3.5168204319971137,3.5168204319971728
7,7,zua,zua,sing,2,default,5.314841018844163e-06,plural,indefinite,Unas,s,[MASK] zua,"[CLS] , [MASK] , z , ##ua , [SEP]",morphemic,12.14500745840622,5.066008608064943,-5.066008608064864
9,9,zua,zuas,plur,3,default,0.0002679697063285,plural,indefinite,Unas,s,[MASK] zuas,"[CLS] , [MASK] , z , ##ua , ##s , [SEP]",morphemic,8.224636619929845,-1.144567939050841,1.1445679390505215
11,11,zua,zua##s,plur,3,artificial,0.0002679697063285,plural,indefinite,Unas,s,[MASK] zua##s,"[CLS] , [MASK] , z , ##ua , ##s , [SEP]",morphemic,8.224636619929845,-1.144567939050841,1.1445679390505215
13,13,twoa,twoa,sing,3,default,0.000173317050212,plural,definite,Las,s,[MASK] twoa,"[CLS] , [MASK] , t , ##w , ##oa , [SEP]",morphemic,8.660387980553903,2.017014111936154,-2.017014111936456
15,15,twoa,twoas,plur,4,default,0.00046145109809,plural,definite,Las,s,[MASK] twoas,"[CLS] , [MASK] , t , ##w , ##oa , ##s , [SEP]",morphemic,7.681134472604338,-0.7547497192742618,0.7547497192741922
17,17,twoa,twoa##s,plur,4,artificial,0.00046145109809,plural,definite,Las,s,[MASK] twoa##s,"[CLS] , [MASK] , t , ##w , ##oa , ##s , [SEP]",morphemic,7.681134472604338,-0.7547497192742618,0.7547497192741922
19,19,twoa,twoa,sing,3,default,6.2488611547451e-06,plural,indefinite,Unas,s,[MASK] twoa,"[CLS] , [MASK] , t , ##w , ##oa , [SEP]",morphemic,11.983111326059962,4.0456962804634164,-4.0456962804634
21,21,twoa,twoas,plur,4,default,1.6661677364027128e-05,plural,indefinite,Unas,s,[MASK] twoas,"[CLS] , [MASK] , t , ##w , ##oa , ##s , [SEP]",morphemic,11.002399244179207,1.444385566681909,-1.44438556668191
23,23,twoa,twoa##s,plur,4,artificial,1.6661677364027128e-05,plural,indefinite,Unas,s,[MASK] twoa##s,"[CLS] , [MASK] , t , ##w , ##oa , ##s , [SEP]",morphemic,11.002399244179207,1.444385566681909,-1.44438556668191
25,25,gliao,gliao,sing,2,default,0.0003076580178458,plural,definite,Los,s,[MASK] gliao,"[CLS] , [MASK] , gl , ##iao , [SEP]",morphemic,8.086521723534975,4.172066198376041,-4.1720661983761165
27,27,gliao,gliaos,plur,3,default,0.0346708074212074,plural,definite,Los,s,[MASK] gliaos,"[CLS] , [MASK] , gl , ##iao , ##s , [SEP]",morphemic,3.3618572307993198,-4.007750086015602,4.007750086015668
29,29,gliao,gliao##s,plur,3,artificial,0.0346708074212074,plural,definite,Los,s,[MASK] gliao##s,"[CLS] , [MASK] , gl , ##iao , ##s , [SEP]",morphemic,3.3618572307993198,-4.007750086015602,4.007750086015668
31,31,gliao,gliao,sing,2,default,1.801702410375583e-06,plural,indefinite,Unos,s,[MASK] gliao,"[CLS] , [MASK] , gl , ##iao , [SEP]",morphemic,13.226778556491617,7.258081912711397,-7.2580819127113685
