,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal
0,patrono,patrono,sing,2,default,2.6168772819801234e-05,singular,grande,s,[MASK] patrono [MASK],"[CLS] , [MASK] , patr , ##ono , [MASK] , [SEP]",nonmorphemic,10.550943735154451
1,patrono,patrono,sing,2,default,2.62418950569554e-07,plural,grandes,s,[MASK] patrono [MASK],"[CLS] , [MASK] , patr , ##ono , [MASK] , [SEP]",nonmorphemic,15.153323562325866
2,patrono,patyonos,plur,3,default,4.955480108037591e-05,singular,grande,s,[MASK] patyonos [MASK],"[CLS] , [MASK] , pa , ##ty , ##onos , [MASK] , [SEP]",nonmorphemic,9.912431408231791
3,patrono,patyonos,plur,3,default,0.0010268419282510877,plural,grandes,s,[MASK] patyonos [MASK],"[CLS] , [MASK] , pa , ##ty , ##onos , [MASK] , [SEP]",nonmorphemic,6.88126727589847
4,patrono,patrono##s,plur,3,artificial,3.375386768311728e-06,singular,grande,s,[MASK] patrono##s [MASK],"[CLS] , El , patr , ##ono , ##s , [MASK] , [SEP]",nonmorphemic,12.599000642187342
5,patrono,patrono##s,plur,3,artificial,3.990868935943581e-05,plural,grandes,s,[MASK] patrono##s [MASK],"[CLS] , El , patr , ##ono , ##s , [MASK] , [SEP]",nonmorphemic,10.128916479346762
6,premisa,premisa,sing,2,default,1.2940813576278742e-06,singular,grande,s,[MASK] premisa [MASK],"[CLS] , [MASK] , premis , ##a , [MASK] , [SEP]",nonmorphemic,13.55770949088836
7,premisa,premisa,sing,2,default,2.837327031102177e-07,plural,grandes,s,[MASK] premisa [MASK],"[CLS] , [MASK] , premis , ##a , [MASK] , [SEP]",nonmorphemic,15.0752332282107
8,premisa,pkemisas,plur,4,default,8.003166840353515e-06,singular,grande,s,[MASK] pkemisas [MASK],"[CLS] , [MASK] , p , ##k , ##emi , ##sas , [MASK] , [SEP]",nonmorphemic,11.735673239570186
9,premisa,pkemisas,plur,4,default,9.871538350125775e-05,plural,grandes,s,[MASK] pkemisas [MASK],"[CLS] , [MASK] , p , ##k , ##emi , ##sas , [MASK] , [SEP]",nonmorphemic,9.22326976246165
10,premisa,premisa##s,plur,3,artificial,8.535789675079286e-06,singular,grande,s,[MASK] premisa##s [MASK],"[CLS] , La , premis , ##a , ##s , [MASK] , [SEP]",nonmorphemic,11.67124268402011
11,premisa,premisa##s,plur,3,artificial,9.247098205378279e-06,plural,grandes,s,[MASK] premisa##s [MASK],"[CLS] , La , premis , ##a , ##s , [MASK] , [SEP]",nonmorphemic,11.591200763183112
12,kilo,kilo,sing,2,default,3.319821189506911e-05,singular,grande,s,[MASK] kilo [MASK],"[CLS] , [MASK] , k , ##ilo , [MASK] , [SEP]",nonmorphemic,10.313014542074512
13,kilo,kilo,sing,2,default,8.88311205926584e-06,plural,grandes,s,[MASK] kilo [MASK],"[CLS] , [MASK] , k , ##ilo , [MASK] , [SEP]",nonmorphemic,11.631358605231418
