,lemma,word_form,word_number,n_tokens,tokenization_type,article_probs,article_number,article_type,article,affix,sentence,model_token_inputs,source,surprisal
0,remedio,remedio,sing,1,default,0.08468218892812729,singular,definite,El,s,[MASK] remedio,"[CLS] , [MASK] , remedio , [SEP]",morphemic,2.468849983638518
1,remedio,remedio,sing,1,default,4.816842920263298e-05,plural,definite,Los,s,[MASK] remedio,"[CLS] , [MASK] , remedio , [SEP]",morphemic,9.940806747307176
2,remedio,remedios,plur,2,default,3.0765273550059646e-05,singular,definite,El,s,[MASK] remedios,"[CLS] , [MASK] , remedio , ##s , [SEP]",morphemic,10.389123986211818
3,remedio,remedios,plur,2,default,0.07571044564247131,plural,definite,Los,s,[MASK] remedios,"[CLS] , [MASK] , remedio , ##s , [SEP]",morphemic,2.5808391407071047
4,remedio,remedio##s,plur,2,artificial,3.0765273550059646e-05,singular,definite,El,s,[MASK] remedio##s,"[CLS] , [MASK] , remedio , ##s , [SEP]",morphemic,10.389123986211818
5,remedio,remedio##s,plur,2,artificial,0.07571044564247131,plural,definite,Los,s,[MASK] remedio##s,"[CLS] , [MASK] , remedio , ##s , [SEP]",morphemic,2.5808391407071047
6,remedio,remedio,sing,1,default,0.03249140828847885,singular,indefinite,Un,s,[MASK] remedio,"[CLS] , [MASK] , remedio , [SEP]",morphemic,3.4267795849503004
7,remedio,remedio,sing,1,default,4.820762569579529e-06,plural,indefinite,Unos,s,[MASK] remedio,"[CLS] , [MASK] , remedio , [SEP]",morphemic,12.242578432959228
8,remedio,remedios,plur,2,default,1.8058326531900093e-05,singular,indefinite,Un,s,[MASK] remedios,"[CLS] , [MASK] , remedio , ##s , [SEP]",morphemic,10.921903675846853
9,remedio,remedios,plur,2,default,0.0019722299184650183,plural,indefinite,Unos,s,[MASK] remedios,"[CLS] , [MASK] , remedio , ##s , [SEP]",morphemic,6.228590438084255
10,remedio,remedio##s,plur,2,artificial,1.8058326531900093e-05,singular,indefinite,Un,s,[MASK] remedio##s,"[CLS] , [MASK] , remedio , ##s , [SEP]",morphemic,10.921903675846853
11,remedio,remedio##s,plur,2,artificial,0.0019722299184650183,plural,indefinite,Unos,s,[MASK] remedio##s,"[CLS] , [MASK] , remedio , ##s , [SEP]",morphemic,6.228590438084255
12,cierre,cierre,sing,1,default,0.014755945652723312,singular,definite,El,s,[MASK] cierre,"[CLS] , [MASK] , cierre , [SEP]",morphemic,4.216109182317426
13,cierre,cierre,sing,1,default,3.32950621668715e-05,plural,definite,Los,s,[MASK] cierre,"[CLS] , [MASK] , cierre , [SEP]",morphemic,10.31010145525006
14,cierre,cierres,plur,2,default,0.00012579471513163298,singular,definite,El,s,[MASK] cierres,"[CLS] , [MASK] , cierre , ##s , [SEP]",morphemic,8.98085922466279
15,cierre,cierres,plur,2,default,0.03855840116739273,plural,definite,Los,s,[MASK] cierres,"[CLS] , [MASK] , cierre , ##s , [SEP]",morphemic,3.2555812736006526
16,cierre,cierre##s,plur,2,artificial,0.00012579471513163298,singular,definite,El,s,[MASK] cierre##s,"[CLS] , [MASK] , cierre , ##s , [SEP]",morphemic,8.98085922466279
