,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal
0,spaio,spaio,sing,2,default,0.00010055351594928652,singular,singular,grande,s,[MASK] spaio [MASK],"[CLS] , [MASK] , spa , ##io , [MASK] , [SEP]",nonmorphemic,9.204820475183539
1,spaio,spaio,sing,2,default,1.3325368399819126e-06,plural,plural,grandes,s,[MASK] spaio [MASK],"[CLS] , [MASK] , spa , ##io , [MASK] , [SEP]",nonmorphemic,13.528426034022614
2,spaio,spaios,plur,2,default,2.576102133389213e-06,singular,singular,grande,s,[MASK] spaios [MASK],"[CLS] , [MASK] , spa , ##ios , [MASK] , [SEP]",nonmorphemic,12.869233102453311
3,spaio,spaios,plur,2,default,3.6068206100026146e-05,plural,plural,grandes,s,[MASK] spaios [MASK],"[CLS] , [MASK] , spa , ##ios , [MASK] , [SEP]",nonmorphemic,10.230098798135716
4,spaio,spaio##s,plur,3,artificial,4.407278993312502e-06,singular,singular,grande,s,[MASK] spaio##s [MASK],"[CLS] , [MASK] , spa , ##io , ##s , [MASK] , [SEP]",nonmorphemic,12.332253067252648
5,spaio,spaio##s,plur,3,artificial,4.1657796828076243e-05,plural,plural,grandes,s,[MASK] spaio##s [MASK],"[CLS] , [MASK] , spa , ##io , ##s , [MASK] , [SEP]",nonmorphemic,10.086022008117592
6,shrao,shrao,sing,3,default,3.2057731004897505e-05,singular,singular,grande,s,[MASK] shrao [MASK],"[CLS] , [MASK] , sh , ##ra , ##o , [MASK] , [SEP]",nonmorphemic,10.347972186684256
7,shrao,shrao,sing,3,default,2.272701294714352e-06,plural,plural,grandes,s,[MASK] shrao [MASK],"[CLS] , [MASK] , sh , ##ra , ##o , [MASK] , [SEP]",nonmorphemic,12.994541436285456
8,shrao,shraos,plur,3,default,9.540906830807216e-06,singular,singular,grande,s,[MASK] shraos [MASK],"[CLS] , [MASK] , sh , ##ra , ##os , [MASK] , [SEP]",nonmorphemic,11.55992202138141
9,shrao,shraos,plur,3,default,5.3867301176069304e-05,plural,plural,grandes,s,[MASK] shraos [MASK],"[CLS] , [MASK] , sh , ##ra , ##os , [MASK] , [SEP]",nonmorphemic,9.828986921356051
10,shrao,shrao##s,plur,4,artificial,1.0120088518306147e-05,singular,singular,grande,s,[MASK] shrao##s [MASK],"[CLS] , [MASK] , sh , ##ra , ##o , ##s , [MASK] , [SEP]",nonmorphemic,11.500988147275011
11,shrao,shrao##s,plur,4,artificial,2.9712387913605198e-05,plural,plural,grandes,s,[MASK] shrao##s [MASK],"[CLS] , [MASK] , sh , ##ra , ##o , ##s , [MASK] , [SEP]",nonmorphemic,10.423946497650068
12,mceo,mceo,sing,3,default,6.509072409244254e-05,singular,singular,grande,s,[MASK] mceo [MASK],"[CLS] , [MASK] , m , ##ce , ##o , [MASK] , [SEP]",nonmorphemic,9.63972850596125
13,mceo,mceo,sing,3,default,1.2153510624557384e-06,plural,plural,grandes,s,[MASK] mceo [MASK],"[CLS] , [MASK] , m , ##ce , ##o , [MASK] , [SEP]",nonmorphemic,13.62047758261418
14,mceo,mceos,plur,3,default,2.3047234662953997e-06,singular,singular,grande,s,[MASK] mceos [MASK],"[CLS] , [MASK] , m , ##ce , ##os , [MASK] , [SEP]",nonmorphemic,12.980549859951225
15,mceo,mceos,plur,3,default,5.667008372256532e-05,plural,plural,grandes,s,[MASK] mceos [MASK],"[CLS] , [MASK] , m , ##ce , ##os , [MASK] , [SEP]",nonmorphemic,9.778264110413707
