,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,remedio,remedio,sing,1,default,1.7891794357183246e-07,plural,plural,grandes,s,[MASK] remedio [MASK],"[CLS] , [MASK] , remedio , [MASK] , [SEP]",morphemic,15.53633855201012,5.619097674099276,-5.619097674099277
3,3,remedio,remedios,plur,2,default,5.448900083138142e-06,plural,plural,grandes,s,[MASK] remedios [MASK],"[CLS] , [MASK] , remedio , ##s , [MASK] , [SEP]",morphemic,12.12009678926512,-4.80771638136201,4.807716381362009
5,5,remedio,remedio##s,plur,2,artificial,5.448900083138142e-06,plural,plural,grandes,s,[MASK] remedio##s [MASK],"[CLS] , [MASK] , remedio , ##s , [MASK] , [SEP]",morphemic,12.12009678926512,-4.80771638136201,4.807716381362009
7,7,cierre,cierre,sing,1,default,2.591363454484963e-06,plural,plural,grandes,s,[MASK] cierre [MASK],"[CLS] , [MASK] , cierre , [MASK] , [SEP]",morphemic,12.863326390465575,2.790689433168499,-2.7906894331685006
9,9,cierre,cierres,plur,2,default,5.174598845769651e-05,plural,plural,grandes,s,[MASK] cierres [MASK],"[CLS] , [MASK] , cierre , ##s , [MASK] , [SEP]",morphemic,9.86916364654912,-4.592282244443636,4.592282244443633
11,11,cierre,cierre##s,plur,2,artificial,5.174598845769651e-05,plural,plural,grandes,s,[MASK] cierre##s [MASK],"[CLS] , [MASK] , cierre , ##s , [MASK] , [SEP]",morphemic,9.86916364654912,-4.592282244443636,4.592282244443633
13,13,gestor,gestor,sing,1,default,2.651543979936833e-07,plural,plural,grandes,es,[MASK] gestor [MASK],"[CLS] , [MASK] , gestor , [MASK] , [SEP]",morphemic,15.142953546687016,3.2729711557375865,-3.272971155737586
15,15,gestor,gestores,plur,2,default,1.4705045941809658e-05,plural,plural,grandes,es,[MASK] gestores [MASK],"[CLS] , [MASK] , gestor , ##es , [MASK] , [SEP]",morphemic,11.127319861732683,-5.031008716188154,5.0310087161881505
17,17,gestor,gestor##es,plur,2,artificial,1.4705045941809658e-05,plural,plural,grandes,es,[MASK] gestor##es [MASK],"[CLS] , [MASK] , gestor , ##es , [MASK] , [SEP]",morphemic,11.127319861732683,-5.031008716188154,5.0310087161881505
19,19,monopolio,monopolio,sing,1,default,1.259373760831295e-07,plural,plural,grandes,s,[MASK] monopolio [MASK],"[CLS] , [MASK] , monopolio , [MASK] , [SEP]",morphemic,15.887481068761192,4.716484072129148,-4.71648407212915
21,21,monopolio,monopolios,plur,2,default,1.894625893328339e-05,plural,plural,grandes,s,[MASK] monopolios [MASK],"[CLS] , [MASK] , monopolio , ##s , [MASK] , [SEP]",morphemic,10.873904063693978,-4.486781020551499,4.486781020551496
23,23,monopolio,monopolio##s,plur,2,artificial,1.894625893328339e-05,plural,plural,grandes,s,[MASK] monopolio##s [MASK],"[CLS] , [MASK] , monopolio , ##s , [MASK] , [SEP]",morphemic,10.873904063693978,-4.486781020551499,4.486781020551496
25,25,retorno,retorno,sing,1,default,5.58127908334427e-07,plural,plural,grandes,s,[MASK] retorno [MASK],"[CLS] , [MASK] , retorno , [MASK] , [SEP]",morphemic,14.398677674427676,2.464212304496904,-2.4642123044969035
27,27,retorno,retornos,plur,2,default,5.382431845646352e-05,plural,plural,grandes,s,[MASK] retornos [MASK],"[CLS] , [MASK] , retorno , ##s , [MASK] , [SEP]",morphemic,9.82978517700556,-4.963819475056228,4.963819475056227
29,29,retorno,retorno##s,plur,2,artificial,5.382431845646352e-05,plural,plural,grandes,s,[MASK] retorno##s [MASK],"[CLS] , [MASK] , retorno , ##s , [MASK] , [SEP]",morphemic,9.82978517700556,-4.963819475056228,4.963819475056227
31,31,planteamiento,planteamiento,sing,1,default,1.5811311016022958e-07,plural,plural,grandes,s,[MASK] planteamiento [MASK],"[CLS] , [MASK] , planteamiento , [MASK] , [SEP]",morphemic,15.659955172954316,2.9051017869034936,-2.905101786903493
33,33,planteamiento,planteamientos,plur,2,default,1.3248137292976024e-05,plural,plural,grandes,s,[MASK] planteamientos [MASK],"[CLS] , [MASK] , planteamiento , ##s , [MASK] , [SEP]",morphemic,11.231653597076756,-6.938880927163515,6.938880927163514
35,35,planteamiento,planteamiento##s,plur,2,artificial,1.3248137292976024e-05,plural,plural,grandes,s,[MASK] planteamiento##s [MASK],"[CLS] , [MASK] , planteamiento , ##s , [MASK] , [SEP]",morphemic,11.231653597076756,-6.938880927163515,6.938880927163514
37,37,plantilla,plantilla,sing,1,default,2.402942129720032e-07,plural,plural,grandes,s,[MASK] plantilla [MASK],"[CLS] , [MASK] , plantilla , [MASK] , [SEP]",morphemic,15.241401777007487,4.403640739061231,-4.403640739061233
39,39,plantilla,plantillas,plur,2,default,2.331430368940346e-05,plural,plural,grandes,s,[MASK] plantillas [MASK],"[CLS] , [MASK] , plantilla , ##s , [MASK] , [SEP]",morphemic,10.666443493498308,-4.913234715514992,4.913234715514993
41,41,plantilla,plantilla##s,plur,2,artificial,2.331430368940346e-05,plural,plural,grandes,s,[MASK] plantilla##s [MASK],"[CLS] , [MASK] , plantilla , ##s , [MASK] , [SEP]",morphemic,10.666443493498308,-4.913234715514992,4.913234715514993
43,43,gesto,gesto,sing,1,default,2.775128393750492e-07,plural,plural,grandes,s,[MASK] gesto [MASK],"[CLS] , [MASK] , gesto , [MASK] , [SEP]",morphemic,15.097398636812056,4.788701013454817,-4.788701013454821
45,45,gesto,gestos,plur,2,default,2.5335544705740176e-05,plural,plural,grandes,s,[MASK] gestos [MASK],"[CLS] , [MASK] , gesto , ##s , [MASK] , [SEP]",morphemic,10.583302219139632,-6.0526028319888,6.0526028319888
47,47,gesto,gesto##s,plur,2,artificial,2.5335544705740176e-05,plural,plural,grandes,s,[MASK] gesto##s [MASK],"[CLS] , [MASK] , gesto , ##s , [MASK] , [SEP]",morphemic,10.583302219139632,-6.0526028319888,6.0526028319888
49,49,trazado,trazado,sing,1,default,3.4427040418449906e-07,plural,plural,grandes,s,[MASK] trazado [MASK],"[CLS] , [MASK] , trazado , [MASK] , [SEP]",morphemic,14.88183842967946,3.0769253403226138,-3.076925340322614
51,51,trazado,trazados,plur,2,default,5.252697883406654e-05,plural,plural,grandes,s,[MASK] trazados [MASK],"[CLS] , [MASK] , trazado , ##s , [MASK] , [SEP]",morphemic,9.85418363780547,-4.980821546451828,4.980821546451828
53,53,trazado,trazado##s,plur,2,artificial,5.252697883406654e-05,plural,plural,grandes,s,[MASK] trazado##s [MASK],"[CLS] , [MASK] , trazado , ##s , [MASK] , [SEP]",morphemic,9.85418363780547,-4.980821546451828,4.980821546451828
55,55,ciclista,ciclista,sing,1,default,7.164870226006315e-07,plural,plural,grandes,s,[MASK] ciclista [MASK],"[CLS] , [MASK] , ciclista , [MASK] , [SEP]",morphemic,14.148905702053474,2.7900848701563348,-2.7900848701563334
57,57,ciclista,ciclistas,plur,2,default,0.0001502725936006,plural,plural,grandes,s,[MASK] ciclistas [MASK],"[CLS] , [MASK] , ciclista , ##s , [MASK] , [SEP]",morphemic,8.803059622471702,-7.362011854727244,7.362011854726743
59,59,ciclista,ciclista##s,plur,2,artificial,0.0001502725936006,plural,plural,grandes,s,[MASK] ciclista##s [MASK],"[CLS] , [MASK] , ciclista , ##s , [MASK] , [SEP]",morphemic,8.803059622471702,-7.362011854727244,7.362011854726743
61,61,coincidencia,coincidencia,sing,1,default,2.971413266550371e-07,plural,plural,grandes,s,[MASK] coincidencia [MASK],"[CLS] , [MASK] , coincidencia , [MASK] , [SEP]",morphemic,15.029057963999788,4.544506966546573,-4.544506966546571
63,63,coincidencia,coincidencias,plur,2,default,2.134699752787128e-05,plural,plural,grandes,s,[MASK] coincidencias [MASK],"[CLS] , [MASK] , coincidencia , ##s , [MASK] , [SEP]",morphemic,10.754599459192164,-4.150943747753306,4.150943747753307
65,65,coincidencia,coincidencia##s,plur,2,artificial,2.134699752787128e-05,plural,plural,grandes,s,[MASK] coincidencia##s [MASK],"[CLS] , [MASK] , coincidencia , ##s , [MASK] , [SEP]",morphemic,10.754599459192164,-4.150943747753306,4.150943747753307
67,67,arteria,arteria,sing,1,default,1.275199110750691e-06,plural,plural,grandes,s,[MASK] arteria [MASK],"[CLS] , [MASK] , arteria , [MASK] , [SEP]",morphemic,13.572408226251754,4.308615823012195,-4.308615823012196
69,69,arteria,arterias,plur,2,default,8.101659477688372e-05,plural,plural,grandes,s,[MASK] arterias [MASK],"[CLS] , [MASK] , arteria , ##s , [MASK] , [SEP]",morphemic,9.420856550486915,-4.994666167880888,4.994666167880888
71,71,arteria,arteria##s,plur,2,artificial,8.101659477688372e-05,plural,plural,grandes,s,[MASK] arteria##s [MASK],"[CLS] , [MASK] , arteria , ##s , [MASK] , [SEP]",morphemic,9.420856550486915,-4.994666167880888,4.994666167880888
73,73,curioso,curioso,sing,1,default,5.327103735908167e-07,plural,plural,grandes,s,[MASK] curioso [MASK],"[CLS] , [MASK] , curioso , [MASK] , [SEP]",morphemic,14.445287949605376,3.7572899280038126,-3.7572899280038095
75,75,curioso,curiosos,plur,2,default,5.8394874940859154e-05,plural,plural,grandes,s,[MASK] curiosos [MASK],"[CLS] , [MASK] , curioso , ##s , [MASK] , [SEP]",morphemic,9.74828242984304,-4.311507217548128,4.311507217548127
77,77,curioso,curioso##s,plur,2,artificial,5.8394874940859154e-05,plural,plural,grandes,s,[MASK] curioso##s [MASK],"[CLS] , [MASK] , curioso , ##s , [MASK] , [SEP]",morphemic,9.74828242984304,-4.311507217548128,4.311507217548127
79,79,legítima,legítima,sing,1,default,1.4552880145402014e-07,plural,plural,grandes,s,[MASK] legítima [MASK],"[CLS] , [MASK] , legítima , [MASK] , [SEP]",morphemic,15.742891821786417,3.926938041217083,-3.9269380412170816
81,81,legítima,legítimas,plur,2,default,5.180623247724725e-06,plural,plural,grandes,s,[MASK] legítimas [MASK],"[CLS] , [MASK] , legítima , ##s , [MASK] , [SEP]",morphemic,12.170585190836947,-3.960842087546128,3.9608420875461268
83,83,legítima,legítima##s,plur,2,artificial,5.180623247724725e-06,plural,plural,grandes,s,[MASK] legítima##s [MASK],"[CLS] , [MASK] , legítima , ##s , [MASK] , [SEP]",morphemic,12.170585190836947,-3.960842087546128,3.9608420875461268
85,85,canciller,canciller,sing,1,default,6.315749487839639e-07,plural,plural,grandes,es,[MASK] canciller [MASK],"[CLS] , [MASK] , canciller , [MASK] , [SEP]",morphemic,14.275049218454813,3.849334719829992,-3.8493347198299945
87,87,canciller,cancilleres,plur,2,default,5.125554162077606e-05,plural,plural,grandes,es,[MASK] cancilleres [MASK],"[CLS] , [MASK] , canciller , ##es , [MASK] , [SEP]",morphemic,9.878686816605422,-5.116693468397699,5.116693468397699
