,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal
0,remedio,remedio,sing,1,default,0.13663381338119507,singular,singular,es,s,El remedio [MASK],"[CLS] , El , remedio , [MASK] , [SEP]",morphemic,1.9904508267438696
1,remedio,remedio,sing,1,default,0.0010668471222743392,plural,plural,son,s,El remedio [MASK],"[CLS] , El , remedio , [MASK] , [SEP]",morphemic,6.84304759502121
2,remedio,remedios,plur,2,default,0.0010501425713300705,singular,singular,es,s,Los remedios [MASK],"[CLS] , Los , remedio , ##s , [MASK] , [SEP]",morphemic,6.858829341811162
3,remedio,remedios,plur,2,default,0.11420904099941254,plural,plural,son,s,Los remedios [MASK],"[CLS] , Los , remedio , ##s , [MASK] , [SEP]",morphemic,2.169724816772907
4,remedio,remedio##s,plur,2,artificial,0.0010501425713300705,singular,singular,es,s,Los remedio##s [MASK],"[CLS] , Los , remedio , ##s , [MASK] , [SEP]",morphemic,6.858829341811162
5,remedio,remedio##s,plur,2,artificial,0.11420904099941254,plural,plural,son,s,Los remedio##s [MASK],"[CLS] , Los , remedio , ##s , [MASK] , [SEP]",morphemic,2.169724816772907
6,cierre,cierre,sing,1,default,0.05025872215628624,singular,singular,es,s,El cierre [MASK],"[CLS] , El , cierre , [MASK] , [SEP]",morphemic,2.9905711718559154
7,cierre,cierre,sing,1,default,0.0007966100238263607,plural,plural,son,s,El cierre [MASK],"[CLS] , El , cierre , [MASK] , [SEP]",morphemic,7.1351453040340855
8,cierre,cierres,plur,2,default,0.00041190232150256634,singular,singular,es,s,Los cierres [MASK],"[CLS] , Los , cierre , ##s , [MASK] , [SEP]",morphemic,7.794724320455174
9,cierre,cierres,plur,2,default,0.03870582953095436,plural,plural,son,s,Los cierres [MASK],"[CLS] , Los , cierre , ##s , [MASK] , [SEP]",morphemic,3.251765056415754
10,cierre,cierre##s,plur,2,artificial,0.00041190232150256634,singular,singular,es,s,Los cierre##s [MASK],"[CLS] , Los , cierre , ##s , [MASK] , [SEP]",morphemic,7.794724320455174
11,cierre,cierre##s,plur,2,artificial,0.03870582953095436,plural,plural,son,s,Los cierre##s [MASK],"[CLS] , Los , cierre , ##s , [MASK] , [SEP]",morphemic,3.251765056415754
12,gestor,gestor,sing,1,default,0.039160653948783875,singular,singular,es,es,El gestor [MASK],"[CLS] , El , gestor , [MASK] , [SEP]",morphemic,3.240082762052114
13,gestor,gestor,sing,1,default,0.0003987706732004881,plural,plural,son,es,El gestor [MASK],"[CLS] , El , gestor , [MASK] , [SEP]",morphemic,7.8271240601922285
14,gestor,gestores,plur,2,default,0.00023685589258093387,singular,singular,es,es,Los gestores [MASK],"[CLS] , Los , gestor , ##es , [MASK] , [SEP]",morphemic,8.348058649947124
15,gestor,gestores,plur,2,default,0.04100320115685463,plural,plural,son,es,Los gestores [MASK],"[CLS] , Los , gestor , ##es , [MASK] , [SEP]",morphemic,3.194105138329225
16,gestor,gestor##es,plur,2,artificial,0.00023685589258093387,singular,singular,es,es,Los gestor##es [MASK],"[CLS] , Los , gestor , ##es , [MASK] , [SEP]",morphemic,8.348058649947124
17,gestor,gestor##es,plur,2,artificial,0.04100320115685463,plural,plural,son,es,Los gestor##es [MASK],"[CLS] , Los , gestor , ##es , [MASK] , [SEP]",morphemic,3.194105138329225
18,monopolio,monopolio,sing,1,default,0.010453070513904095,singular,singular,es,s,El monopolio [MASK],"[CLS] , El , monopolio , [MASK] , [SEP]",morphemic,4.560859514648896
19,monopolio,monopolio,sing,1,default,0.0005856319330632687,plural,plural,son,s,El monopolio [MASK],"[CLS] , El , monopolio , [MASK] , [SEP]",morphemic,7.44281906629969
20,monopolio,monopolios,plur,2,default,3.7371319194789976e-05,singular,singular,es,s,Los monopolios [MASK],"[CLS] , Los , monopolio , ##s , [MASK] , [SEP]",morphemic,10.194607014185744
21,monopolio,monopolios,plur,2,default,0.009581548161804676,plural,plural,son,s,Los monopolios [MASK],"[CLS] , Los , monopolio , ##s , [MASK] , [SEP]",morphemic,4.6479160965271396
22,monopolio,monopolio##s,plur,2,artificial,3.7371319194789976e-05,singular,singular,es,s,Los monopolio##s [MASK],"[CLS] , Los , monopolio , ##s , [MASK] , [SEP]",morphemic,10.194607014185744
23,monopolio,monopolio##s,plur,2,artificial,0.009581548161804676,plural,plural,son,s,Los monopolio##s [MASK],"[CLS] , Los , monopolio , ##s , [MASK] , [SEP]",morphemic,4.6479160965271396
24,retorno,retorno,sing,1,default,0.009621644392609596,singular,singular,es,s,El retorno [MASK],"[CLS] , El , retorno , [MASK] , [SEP]",morphemic,4.643740094129505
25,retorno,retorno,sing,1,default,0.0006596212042495608,plural,plural,son,s,El retorno [MASK],"[CLS] , El , retorno , [MASK] , [SEP]",morphemic,7.323844820661577
26,retorno,retornos,plur,2,default,0.0004502673982642591,singular,singular,es,s,Los retornos [MASK],"[CLS] , Los , retorno , ##s , [MASK] , [SEP]",morphemic,7.7056689333127135
27,retorno,retornos,plur,2,default,0.058943670243024826,plural,plural,son,s,Los retornos [MASK],"[CLS] , Los , retorno , ##s , [MASK] , [SEP]",morphemic,2.831173032776168
28,retorno,retorno##s,plur,2,artificial,0.0004502673982642591,singular,singular,es,s,Los retorno##s [MASK],"[CLS] , Los , retorno , ##s , [MASK] , [SEP]",morphemic,7.7056689333127135
29,retorno,retorno##s,plur,2,artificial,0.058943670243024826,plural,plural,son,s,Los retorno##s [MASK],"[CLS] , Los , retorno , ##s , [MASK] , [SEP]",morphemic,2.831173032776168
30,planteamiento,planteamiento,sing,1,default,0.006684526801109314,singular,singular,es,s,El planteamiento [MASK],"[CLS] , El , planteamiento , [MASK] , [SEP]",morphemic,5.007959856107993
31,planteamiento,planteamiento,sing,1,default,8.154082752298564e-05,plural,plural,son,s,El planteamiento [MASK],"[CLS] , El , planteamiento , [MASK] , [SEP]",morphemic,9.414406711949344
32,planteamiento,planteamientos,plur,2,default,0.0008764592348597944,singular,singular,es,s,Los planteamientos [MASK],"[CLS] , Los , planteamiento , ##s , [MASK] , [SEP]",morphemic,7.039620363686508
33,planteamiento,planteamientos,plur,2,default,0.0038475622422993183,plural,plural,son,s,Los planteamientos [MASK],"[CLS] , Los , planteamiento , ##s , [MASK] , [SEP]",morphemic,5.560315515046336
34,planteamiento,planteamiento##s,plur,2,artificial,0.0008764592348597944,singular,singular,es,s,Los planteamiento##s [MASK],"[CLS] , Los , planteamiento , ##s , [MASK] , [SEP]",morphemic,7.039620363686508
35,planteamiento,planteamiento##s,plur,2,artificial,0.0038475622422993183,plural,plural,son,s,Los planteamiento##s [MASK],"[CLS] , Los , planteamiento , ##s , [MASK] , [SEP]",morphemic,5.560315515046336
36,plantilla,plantilla,sing,1,default,0.1460094302892685,singular,singular,es,s,La plantilla [MASK],"[CLS] , La , plantilla , [MASK] , [SEP]",morphemic,1.924084068337324
37,plantilla,plantilla,sing,1,default,0.0037663918919861317,plural,plural,son,s,La plantilla [MASK],"[CLS] , La , plantilla , [MASK] , [SEP]",morphemic,5.581637793623092
38,plantilla,plantillas,plur,2,default,0.00039052253123372793,singular,singular,es,s,Las plantillas [MASK],"[CLS] , Las , plantilla , ##s , [MASK] , [SEP]",morphemic,7.848024891927185
39,plantilla,plantillas,plur,2,default,0.02081024833023548,plural,plural,son,s,Las plantillas [MASK],"[CLS] , Las , plantilla , ##s , [MASK] , [SEP]",morphemic,3.8723097054312885
40,plantilla,plantilla##s,plur,2,artificial,0.00039052253123372793,singular,singular,es,s,Las plantilla##s [MASK],"[CLS] , Las , plantilla , ##s , [MASK] , [SEP]",morphemic,7.848024891927185
41,plantilla,plantilla##s,plur,2,artificial,0.02081024833023548,plural,plural,son,s,Las plantilla##s [MASK],"[CLS] , Las , plantilla , ##s , [MASK] , [SEP]",morphemic,3.8723097054312885
42,gesto,gesto,sing,1,default,0.030239075422286987,singular,singular,es,s,El gesto [MASK],"[CLS] , El , gesto , [MASK] , [SEP]",morphemic,3.498620302798041
43,gesto,gesto,sing,1,default,0.001022728276439011,plural,plural,son,s,El gesto [MASK],"[CLS] , El , gesto , [MASK] , [SEP]",morphemic,6.885281441723527
44,gesto,gestos,plur,2,default,0.0004189377941656858,singular,singular,es,s,Los gestos [MASK],"[CLS] , Los , gesto , ##s , [MASK] , [SEP]",morphemic,7.777788111675529
45,gesto,gestos,plur,2,default,0.03927839919924736,plural,plural,son,s,Los gestos [MASK],"[CLS] , Los , gesto , ##s , [MASK] , [SEP]",morphemic,3.2370805499096376
46,gesto,gesto##s,plur,2,artificial,0.0004189377941656858,singular,singular,es,s,Los gesto##s [MASK],"[CLS] , Los , gesto , ##s , [MASK] , [SEP]",morphemic,7.777788111675529
47,gesto,gesto##s,plur,2,artificial,0.03927839919924736,plural,plural,son,s,Los gesto##s [MASK],"[CLS] , Los , gesto , ##s , [MASK] , [SEP]",morphemic,3.2370805499096376
48,trazado,trazado,sing,1,default,0.15959572792053223,singular,singular,es,s,El trazado [MASK],"[CLS] , El , trazado , [MASK] , [SEP]",morphemic,1.835111361739894
49,trazado,trazado,sing,1,default,0.0005977985565550625,plural,plural,son,s,El trazado [MASK],"[CLS] , El , trazado , [MASK] , [SEP]",morphemic,7.422256722712429
50,trazado,trazados,plur,2,default,0.0007341704913415015,singular,singular,es,s,Los trazados [MASK],"[CLS] , Los , trazado , ##s , [MASK] , [SEP]",morphemic,7.216769279289873
51,trazado,trazados,plur,2,default,0.1217854917049408,plural,plural,son,s,Los trazados [MASK],"[CLS] , Los , trazado , ##s , [MASK] , [SEP]",morphemic,2.1054940465241634
52,trazado,trazado##s,plur,2,artificial,0.0007341704913415015,singular,singular,es,s,Los trazado##s [MASK],"[CLS] , Los , trazado , ##s , [MASK] , [SEP]",morphemic,7.216769279289873
53,trazado,trazado##s,plur,2,artificial,0.1217854917049408,plural,plural,son,s,Los trazado##s [MASK],"[CLS] , Los , trazado , ##s , [MASK] , [SEP]",morphemic,2.1054940465241634
54,ciclista,ciclista,sing,1,default,0.014876858331263065,singular,singular,es,s,El ciclista [MASK],"[CLS] , El , ciclista , [MASK] , [SEP]",morphemic,4.207948405520714
55,ciclista,ciclista,sing,1,default,0.0001716830302029848,plural,plural,son,s,El ciclista [MASK],"[CLS] , El , ciclista , [MASK] , [SEP]",morphemic,8.669860628940675
56,ciclista,ciclistas,plur,2,default,8.025210263440385e-05,singular,singular,es,s,Los ciclistas [MASK],"[CLS] , Los , ciclista , ##s , [MASK] , [SEP]",morphemic,9.430337595245629
57,ciclista,ciclistas,plur,2,default,0.029239552095532417,plural,plural,son,s,Los ciclistas [MASK],"[CLS] , Los , ciclista , ##s , [MASK] , [SEP]",morphemic,3.53223296242813
58,ciclista,ciclista##s,plur,2,artificial,8.025210263440385e-05,singular,singular,es,s,Los ciclista##s [MASK],"[CLS] , Los , ciclista , ##s , [MASK] , [SEP]",morphemic,9.430337595245629
59,ciclista,ciclista##s,plur,2,artificial,0.029239552095532417,plural,plural,son,s,Los ciclista##s [MASK],"[CLS] , Los , ciclista , ##s , [MASK] , [SEP]",morphemic,3.53223296242813
60,coincidencia,coincidencia,sing,1,default,0.08441625535488129,singular,singular,es,s,La coincidencia [MASK],"[CLS] , La , coincidencia , [MASK] , [SEP]",morphemic,2.471995296933546
61,coincidencia,coincidencia,sing,1,default,0.000648333749268204,plural,plural,son,s,La coincidencia [MASK],"[CLS] , La , coincidencia , [MASK] , [SEP]",morphemic,7.341104949035255
62,coincidencia,coincidencias,plur,2,default,0.0005110689089633524,singular,singular,es,s,Las coincidencias [MASK],"[CLS] , Las , coincidencia , ##s , [MASK] , [SEP]",morphemic,7.579006125651877
63,coincidencia,coincidencias,plur,2,default,0.0721561461687088,plural,plural,son,s,Las coincidencias [MASK],"[CLS] , Las , coincidencia , ##s , [MASK] , [SEP]",morphemic,2.628922811406887
64,coincidencia,coincidencia##s,plur,2,artificial,0.0005110689089633524,singular,singular,es,s,Las coincidencia##s [MASK],"[CLS] , Las , coincidencia , ##s , [MASK] , [SEP]",morphemic,7.579006125651877
