,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal
0,no,no,sing,1,default,7.851745976950042e-06,singular,singular,grande,s,[MASK] no [MASK],"[CLS] , [MASK] , no , [MASK] , [SEP]",single-token,11.754774633455185
1,no,no,sing,1,default,1.059076339515741e-06,plural,plural,grandes,s,[MASK] no [MASK],"[CLS] , [MASK] , no , [MASK] , [SEP]",single-token,13.758113407525975
2,no,nos,plur,1,default,1.847086059569847e-05,singular,singular,grande,s,[MASK] nos [MASK],"[CLS] , [MASK] , nos , [MASK] , [SEP]",single-token,10.899316170593965
3,no,nos,plur,1,default,4.639999315259047e-05,plural,plural,grandes,s,[MASK] nos [MASK],"[CLS] , [MASK] , nos , [MASK] , [SEP]",single-token,9.978211246305557
4,no,no##s,plur,2,artificial,3.5594378005043836e-06,singular,singular,grande,s,[MASK] no##s [MASK],"[CLS] , [MASK] , no , ##s , [MASK] , [SEP]",single-token,12.545907946777836
5,no,no##s,plur,2,artificial,6.344715075101703e-05,plural,plural,grandes,s,[MASK] no##s [MASK],"[CLS] , [MASK] , no , ##s , [MASK] , [SEP]",single-token,9.66530327023348
6,gra,gra,sing,1,default,1.8879036360885948e-06,singular,singular,grande,s,[MASK] gra [MASK],"[CLS] , [MASK] , gra , [MASK] , [SEP]",single-token,13.180043531750872
7,gra,gra,sing,1,default,2.61096403164629e-07,plural,plural,grandes,s,[MASK] gra [MASK],"[CLS] , [MASK] , gra , [MASK] , [SEP]",single-token,15.158376137036601
8,gra,gras,plur,1,default,1.6514324670424685e-05,singular,singular,grande,s,[MASK] gras [MASK],"[CLS] , [MASK] , gras , [MASK] , [SEP]",single-token,11.011282391848342
9,gra,gras,plur,1,default,3.098217007391213e-07,plural,plural,grandes,s,[MASK] gras [MASK],"[CLS] , [MASK] , gras , [MASK] , [SEP]",single-token,14.987268863840614
10,gra,gra##s,plur,2,artificial,1.5235008277159068e-07,singular,singular,grande,s,[MASK] gra##s [MASK],"[CLS] , [MASK] , gra , ##s , [MASK] , [SEP]",single-token,15.69708478821592
11,gra,gra##s,plur,2,artificial,1.542265266607501e-07,plural,plural,grandes,s,[MASK] gra##s [MASK],"[CLS] , [MASK] , gra , ##s , [MASK] , [SEP]",single-token,15.684843362980915
12,crea,crea,sing,1,default,5.014712587581016e-05,singular,singular,grande,s,[MASK] crea [MASK],"[CLS] , [MASK] , crea , [MASK] , [SEP]",single-token,9.900549355750782
13,crea,crea,sing,1,default,7.040157652227208e-05,plural,plural,grandes,s,[MASK] crea [MASK],"[CLS] , [MASK] , crea , [MASK] , [SEP]",single-token,9.56129490126874
14,crea,creas,plur,1,default,0.00017786427633836865,singular,singular,grande,s,[MASK] creas [MASK],"[CLS] , [MASK] , creas , [MASK] , [SEP]",single-token,8.63448979099851
15,crea,creas,plur,1,default,0.00015012867515906692,plural,plural,grandes,s,[MASK] creas [MASK],"[CLS] , [MASK] , creas , [MASK] , [SEP]",single-token,8.804017797203876
16,crea,crea##s,plur,2,artificial,7.370943421847187e-06,singular,singular,grande,s,[MASK] crea##s [MASK],"[CLS] , [MASK] , crea , ##s , [MASK] , [SEP]",single-token,11.817964851563655
17,crea,crea##s,plur,2,artificial,7.718463893979788e-05,plural,plural,grandes,s,[MASK] crea##s [MASK],"[CLS] , [MASK] , crea , ##s , [MASK] , [SEP]",single-token,9.469310098195944
18,pla,pla,sing,1,default,4.5797889470122755e-05,singular,singular,grande,s,[MASK] pla [MASK],"[CLS] , [MASK] , pla , [MASK] , [SEP]",single-token,9.991272549344284
19,pla,pla,sing,1,default,1.6623611145405448e-06,plural,plural,grandes,s,[MASK] pla [MASK],"[CLS] , [MASK] , pla , [MASK] , [SEP]",single-token,13.30727160803206
20,pla,plas,plur,1,default,1.449285605303885e-06,singular,singular,grande,s,[MASK] plas [MASK],"[CLS] , [MASK] , plas , [MASK] , [SEP]",single-token,13.444439808938737
21,pla,plas,plur,1,default,1.2522350800736604e-07,plural,plural,grandes,s,[MASK] plas [MASK],"[CLS] , [MASK] , plas , [MASK] , [SEP]",single-token,15.893165632268689
22,pla,pla##s,plur,2,artificial,7.784274203004315e-05,singular,singular,grande,s,[MASK] pla##s [MASK],"[CLS] , [MASK] , pla , ##s , [MASK] , [SEP]",single-token,9.460819894216172
23,pla,pla##s,plur,2,artificial,1.148485898738727e-05,plural,plural,grandes,s,[MASK] pla##s [MASK],"[CLS] , [MASK] , pla , ##s , [MASK] , [SEP]",single-token,11.374480999879669
24,va,va,sing,1,default,8.180892473319545e-05,singular,singular,grande,s,[MASK] va [MASK],"[CLS] , [MASK] , va , [MASK] , [SEP]",single-token,9.411124215989224
25,va,va,sing,1,default,1.2182055115772528e-06,plural,plural,grandes,s,[MASK] va [MASK],"[CLS] , [MASK] , va , [MASK] , [SEP]",single-token,13.618131674192702
26,va,vas,plur,1,default,8.180589793482795e-05,singular,singular,grande,s,[MASK] vas [MASK],"[CLS] , [MASK] , vas , [MASK] , [SEP]",single-token,9.411161215062027
27,va,vas,plur,1,default,1.0253250366076827e-05,plural,plural,grandes,s,[MASK] vas [MASK],"[CLS] , [MASK] , vas , [MASK] , [SEP]",single-token,11.487915793762708
28,va,va##s,plur,2,artificial,8.69867653818801e-06,singular,singular,grande,s,[MASK] va##s [MASK],"[CLS] , [MASK] , va , ##s , [MASK] , [SEP]",single-token,11.652339665922824
29,va,va##s,plur,2,artificial,0.00011384725075913593,plural,plural,grandes,s,[MASK] va##s [MASK],"[CLS] , [MASK] , va , ##s , [MASK] , [SEP]",single-token,9.080652913667603
30,ga,ga,sing,1,default,1.2488818356359843e-05,singular,singular,grande,s,[MASK] ga [MASK],"[CLS] , [MASK] , ga , [MASK] , [SEP]",single-token,11.290676845479283
31,ga,ga,sing,1,default,1.604272824806685e-06,plural,plural,grandes,s,[MASK] ga [MASK],"[CLS] , [MASK] , ga , [MASK] , [SEP]",single-token,13.34283997270518
32,ga,gas,plur,1,default,2.847075302270241e-05,singular,singular,grande,s,[MASK] gas [MASK],"[CLS] , [MASK] , gas , [MASK] , [SEP]",single-token,10.466633207333128
33,ga,gas,plur,1,default,5.2880369594277e-07,plural,plural,grandes,s,[MASK] gas [MASK],"[CLS] , [MASK] , gas , [MASK] , [SEP]",single-token,14.452648559131601
