,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,no,no,sing,1,default,7.656182532400636e-08,plural,plural,grandes,s,El no [MASK],"[CLS] , El , no , [MASK] , [SEP]",single-token,16.385167248340803,4.786941577434968,-4.786941577434967
3,3,no,nos,plur,1,default,0.0001388946984661,plural,plural,grandes,s,Los nos [MASK],"[CLS] , Los , nos , [MASK] , [SEP]",single-token,8.881794476922497,-2.8479829371066536,2.8479829371061176
5,5,no,no##s,plur,2,artificial,0.0001708179770503,plural,plural,grandes,s,Los no##s [MASK],"[CLS] , Los , no , ##s , [MASK] , [SEP]",single-token,8.674912030097364,-4.300015404141,4.300015404140888
7,7,gra,gra,sing,1,default,1.3220632366639504e-09,plural,plural,grandes,s,La gra [MASK],"[CLS] , La , gra , [MASK] , [SEP]",single-token,20.444072262573226,5.507038962583252,-5.507038962583248
9,9,gra,gras,plur,1,default,2.387645508861169e-06,plural,plural,grandes,s,Las gras [MASK],"[CLS] , Las , gras , [MASK] , [SEP]",single-token,12.945202820328804,-3.1227302498183978,3.1227302498183964
11,11,gra,gra##s,plur,2,artificial,9.002446432759825e-08,plural,plural,grandes,s,Las gra##s [MASK],"[CLS] , Las , gra , ##s , [MASK] , [SEP]",single-token,16.2231843776919,-4.93700418929123,4.937004189291233
13,13,crea,crea,sing,1,default,3.3896969853230985e-07,plural,plural,grandes,s,La crea [MASK],"[CLS] , La , crea , [MASK] , [SEP]",single-token,14.89735511842147,3.2750207107007405,-3.2750207107007396
15,15,crea,creas,plur,1,default,0.0002229316451121,plural,plural,grandes,s,Las creas [MASK],"[CLS] , Las , creas , [MASK] , [SEP]",single-token,8.40864535765322,-2.4211978803167415,2.421197880316688
17,17,crea,crea##s,plur,2,artificial,1.4699747225677127e-05,plural,plural,grandes,s,Las crea##s [MASK],"[CLS] , Las , crea , ##s , [MASK] , [SEP]",single-token,11.127680259859597,-6.016032230189749,6.016032230189751
19,19,pla,pla,sing,1,default,3.520606810525351e-07,plural,plural,grandes,s,La pla [MASK],"[CLS] , La , pla , [MASK] , [SEP]",single-token,14.859462286851858,7.343657085951516,-7.343657085951395
21,21,pla,plas,plur,1,default,1.3127958027325803e-06,plural,plural,grandes,s,Las plas [MASK],"[CLS] , Las , plas , [MASK] , [SEP]",single-token,13.54335149436289,-3.3516186948387006,3.3516186948386992
23,23,pla,pla##s,plur,2,artificial,2.9259934308356605e-05,plural,plural,grandes,s,Las pla##s [MASK],"[CLS] , Las , pla , ##s , [MASK] , [SEP]",single-token,10.43929140747541,-3.767115579280423,3.7671155792804227
25,25,va,va,sing,1,default,1.081168534255994e-06,plural,plural,grandes,s,La va [MASK],"[CLS] , La , va , [MASK] , [SEP]",single-token,13.737468125579523,3.8339070579071954,-3.8339070579071985
