,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,patrono,patrono,sing,2,default,0.0003648163110483,plural,plural,son,s,[MASK] patrono [MASK],"[CLS] , [MASK] , patr , ##ono , [MASK] , [SEP]",non_morphemic,7.916116588460089,2.4625949805850453,-2.46259498058515
3,3,patrono,patronos,plur,2,default,0.0059186080470681,plural,plural,son,s,[MASK] patronos [MASK],"[CLS] , [MASK] , patr , ##onos , [MASK] , [SEP]",non_morphemic,5.129653984917392,-3.1723841856152175,3.172384185615239
5,5,patrono,patrono##s,plur,3,artificial,0.0142483776435256,plural,plural,son,s,[MASK] patrono##s [MASK],"[CLS] , [MASK] , patr , ##ono , ##s , [MASK] , [SEP]",non_morphemic,4.251112228325983,-2.328212219985163,2.328212219985166
7,7,premisa,premisa,sing,2,default,0.0005001258105039,plural,plural,son,s,[MASK] premisa [MASK],"[CLS] , [MASK] , premis , ##a , [MASK] , [SEP]",non_morphemic,7.60065087018542,3.920880397518079,-3.9208803975181965
9,9,premisa,premisas,plur,2,default,0.0031807313207536,plural,plural,son,s,[MASK] premisas [MASK],"[CLS] , [MASK] , premis , ##as , [MASK] , [SEP]",non_morphemic,5.750644133550488,-1.6961847184722085,1.6961847184723
11,11,premisa,premisa##s,plur,3,artificial,0.0053637842647731,plural,plural,son,s,[MASK] premisa##s [MASK],"[CLS] , [MASK] , premis , ##a , ##s , [MASK] , [SEP]",non_morphemic,5.228085533466755,-0.6313786285066598,0.6313786285066705
13,13,kilo,kilo,sing,2,default,0.0003990827244706,plural,plural,son,s,[MASK] kilo [MASK],"[CLS] , [MASK] , k , ##ilo , [MASK] , [SEP]",non_morphemic,7.826341833063838,2.5676794963131897,-2.5676794963132967
15,15,kilo,kilos,plur,2,default,0.0017603316809982,plural,plural,son,s,[MASK] kilos [MASK],"[CLS] , [MASK] , k , ##ilos , [MASK] , [SEP]",non_morphemic,6.342253032574893,0.167531570156493,-0.16753157015648543
17,17,kilo,kilo##s,plur,3,artificial,0.0022885885555297,plural,plural,son,s,[MASK] kilo##s [MASK],"[CLS] , [MASK] , k , ##ilo , ##s , [MASK] , [SEP]",non_morphemic,6.079820002735603,0.1374602551449886,-0.13746025514498442
19,19,bebedor,bebedor,sing,2,default,0.0003136275045108,plural,plural,son,es,[MASK] bebedor [MASK],"[CLS] , [MASK] , bebe , ##dor , [MASK] , [SEP]",non_morphemic,8.067304567623466,2.680626963869054,-2.6806269638690665
21,21,bebedor,bebedores,plur,2,default,0.0087907901033759,plural,plural,son,es,[MASK] bebedores [MASK],"[CLS] , [MASK] , bebe , ##dores , [MASK] , [SEP]",non_morphemic,4.734050684706191,-2.2080297191324023,2.20802971913246
23,23,bebedor,bebedor##es,plur,3,artificial,0.0152799310162663,plural,plural,son,es,[MASK] bebedor##es [MASK],"[CLS] , [MASK] , bebe , ##dor , ##es , [MASK] , [SEP]",non_morphemic,4.181215009896208,-2.63678410742844,2.6367841074284777
25,25,rumano,rumano,sing,2,default,0.0002930383489001,plural,plural,son,s,[MASK] rumano [MASK],"[CLS] , [MASK] , rum , ##ano , [MASK] , [SEP]",non_morphemic,8.135207073893447,2.5107283868549386,-2.5107283868551136
27,27,rumano,rumanos,plur,2,default,0.0060564414598047,plural,plural,son,s,[MASK] rumanos [MASK],"[CLS] , [MASK] , rum , ##anos , [MASK] , [SEP]",non_morphemic,5.106632869234842,-2.6590651667349032,2.659065166735114
29,29,rumano,rumano##s,plur,3,artificial,0.0092784836888313,plural,plural,son,s,[MASK] rumano##s [MASK],"[CLS] , [MASK] , rum , ##ano , ##s , [MASK] , [SEP]",non_morphemic,4.680057141134616,-2.5101494731583074,2.5101494731583367
31,31,mandatario,mandatario,sing,2,default,0.0007120220689103,plural,plural,son,s,[MASK] mandatario [MASK],"[CLS] , [MASK] , manda , ##tario , [MASK] , [SEP]",non_morphemic,7.247401651372119,2.3953543999844547,-2.3953543999844538
33,33,mandatario,mandatarios,plur,2,default,0.0167951509356498,plural,plural,son,s,[MASK] mandatarios [MASK],"[CLS] , [MASK] , manda , ##tarios , [MASK] , [SEP]",non_morphemic,4.086665069018705,-2.8448914979777644,2.8448914979778426
35,35,mandatario,mandatario##s,plur,3,artificial,0.0181411243975162,plural,plural,son,s,[MASK] mandatario##s [MASK],"[CLS] , [MASK] , manda , ##tario , ##s , [MASK] , [SEP]",non_morphemic,4.009573851788525,-2.1124686752464408,2.1124686752464488
37,37,negociador,negociador,sing,2,default,1.235450599779142e-05,plural,plural,son,es,[MASK] negociador [MASK],"[CLS] , [MASK] , negociado , ##r , [MASK] , [SEP]",non_morphemic,11.301489703314065,3.1955251441844172,-3.195525144184157
39,39,negociador,negociadores,plur,2,default,0.0005194250843487,plural,plural,son,es,[MASK] negociadores [MASK],"[CLS] , [MASK] , negociado , ##res , [MASK] , [SEP]",non_morphemic,7.562787965044704,-1.785798610410298,1.7857986104101675
41,41,negociador,negociador##es,plur,3,artificial,0.0013943193480372,plural,plural,son,es,[MASK] negociador##es [MASK],"[CLS] , [MASK] , negociado , ##r , ##es , [MASK] , [SEP]",non_morphemic,6.575348905335699,-1.9634857303995217,1.9634857303997462
43,43,comicio,comicio,sing,2,default,0.0017756067682057,plural,plural,son,s,[MASK] comicio [MASK],"[CLS] , [MASK] , com , ##icio , [MASK] , [SEP]",non_morphemic,6.333613073226481,2.112903153877494,-2.112903153877526
45,45,comicio,comicios,plur,2,default,0.0010834354907274,plural,plural,son,s,[MASK] comicios [MASK],"[CLS] , [MASK] , com , ##icios , [MASK] , [SEP]",non_morphemic,6.827618276621477,-2.3226751155595142,2.3226751155601053
47,47,comicio,comicio##s,plur,3,artificial,0.010801832191646,plural,plural,son,s,[MASK] comicio##s [MASK],"[CLS] , [MASK] , com , ##icio , ##s , [MASK] , [SEP]",non_morphemic,4.5280395118658125,-3.260124733236186,3.2601247332363714
49,49,sondeo,sondeo,sing,2,default,0.0015744161792099,plural,plural,son,s,[MASK] sondeo [MASK],"[CLS] , [MASK] , son , ##deo , [MASK] , [SEP]",non_morphemic,6.453870755290005,1.7793760230625386,-1.779376023062559
51,51,sondeo,sondeos,plur,2,default,0.0056859757751226,plural,plural,son,s,[MASK] sondeos [MASK],"[CLS] , [MASK] , son , ##deos , [MASK] , [SEP]",non_morphemic,5.169752526205134,-2.59307619733147,2.5930761973316163
53,53,sondeo,sondeo##s,plur,3,artificial,0.0119177950546145,plural,plural,son,s,[MASK] sondeo##s [MASK],"[CLS] , [MASK] , son , ##deo , ##s , [MASK] , [SEP]",non_morphemic,4.429722613095311,-3.0018582688121027,3.00185826881226
55,55,insulto,insulto,sing,2,default,0.0017076429212465,plural,plural,son,s,[MASK] insulto [MASK],"[CLS] , [MASK] , insul , ##to , [MASK] , [SEP]",non_morphemic,6.372641267974368,2.336880761164849,-2.3368807611648954
57,57,insulto,insultos,plur,2,default,0.0139773460105061,plural,plural,son,s,[MASK] insultos [MASK],"[CLS] , [MASK] , insul , ##tos , [MASK] , [SEP]",non_morphemic,4.270317402079543,-2.6511879122667024,2.651187912266765
59,59,insulto,insulto##s,plur,3,artificial,0.0092032151296734,plural,plural,son,s,[MASK] insulto##s [MASK],"[CLS] , [MASK] , insul , ##to , ##s , [MASK] , [SEP]",non_morphemic,4.688202385361093,-1.9397263746492373,1.9397263746492632
61,61,analista,analista,sing,2,default,3.846621257252991e-05,plural,plural,son,s,[MASK] analista [MASK],"[CLS] , [MASK] , anal , ##ista , [MASK] , [SEP]",non_morphemic,10.165730297501636,3.1384659286283156,-3.138465928628271
63,63,analista,analistas,plur,2,default,0.0042101638391613,plural,plural,son,s,[MASK] analistas [MASK],"[CLS] , [MASK] , anal , ##istas , [MASK] , [SEP]",non_morphemic,5.470253715379666,-1.6118816375530063,1.6118816375530776
65,65,analista,analista##s,plur,3,artificial,0.0016895583830773,plural,plural,son,s,[MASK] analista##s [MASK],"[CLS] , [MASK] , anal , ##ista , ##s , [MASK] , [SEP]",non_morphemic,6.38328809598356,-0.3029450966510048,0.3029450966509731
67,67,nexo,nexo,sing,2,default,0.0020516167860478,plural,plural,son,s,[MASK] nexo [MASK],"[CLS] , [MASK] , ne , ##xo , [MASK] , [SEP]",non_morphemic,6.189127120552521,2.0447778809906634,-2.044777880990672
69,69,nexo,nexos,plur,2,default,0.0118404515087604,plural,plural,son,s,[MASK] nexos [MASK],"[CLS] , [MASK] , ne , ##xos , [MASK] , [SEP]",non_morphemic,4.436233516067518,-0.6952714955914949,0.6952714955914989
71,71,nexo,nexo##s,plur,3,artificial,0.0046384860761463,plural,plural,son,s,[MASK] nexo##s [MASK],"[CLS] , [MASK] , ne , ##xo , ##s , [MASK] , [SEP]",non_morphemic,5.373367242676388,-0.564878027279355,0.5648780272793579
73,73,cautivo,cautivo,sing,2,default,0.0008008871809579,plural,plural,son,s,[MASK] cautivo [MASK],"[CLS] , [MASK] , cautiv , ##o , [MASK] , [SEP]",non_morphemic,7.129790468558782,2.373979018204057,-2.3739790182041007
75,75,cautivo,cautivos,plur,2,default,0.0077724177390336,plural,plural,son,s,[MASK] cautivos [MASK],"[CLS] , [MASK] , cautiv , ##os , [MASK] , [SEP]",non_morphemic,4.857173999679048,-1.268914681298928,1.268914681298959
77,77,cautivo,cautivo##s,plur,3,artificial,0.0053040492348372,plural,plural,son,s,[MASK] cautivo##s [MASK],"[CLS] , [MASK] , cautiv , ##o , ##s , [MASK] , [SEP]",non_morphemic,5.239284743555442,-0.9287705689827117,0.9287705689827103
79,79,millar,millar,sing,2,default,0.0002159318537451,plural,plural,son,es,[MASK] millar [MASK],"[CLS] , [MASK] , milla , ##r , [MASK] , [SEP]",non_morphemic,8.440547691978837,1.501110090422764,-1.5011100904228885
81,81,millar,millares,plur,2,default,0.0034179424401372,plural,plural,son,es,[MASK] millares [MASK],"[CLS] , [MASK] , milla , ##res , [MASK] , [SEP]",non_morphemic,5.678716534647837,-1.4723816204129117,1.4723816204129299
83,83,millar,millar##es,plur,3,artificial,0.0021112719550728,plural,plural,son,es,[MASK] millar##es [MASK],"[CLS] , [MASK] , milla , ##r , ##es , [MASK] , [SEP]",non_morphemic,6.160464690809121,-1.2057886281251546,1.2057886281251227
85,85,reformista,reformista,sing,2,default,0.0002259276225231,plural,plural,son,s,[MASK] reformista [MASK],"[CLS] , [MASK] , reform , ##ista , [MASK] , [SEP]",non_morphemic,8.39529586430666,3.6955428725158814,-3.6955428725161377
87,87,reformista,reformistas,plur,2,default,0.0069331931881606,plural,plural,son,s,[MASK] reformistas [MASK],"[CLS] , [MASK] , reform , ##istas , [MASK] , [SEP]",non_morphemic,4.971434794393324,-2.6061368411834573,2.60613684118346
89,89,reformista,reformista##s,plur,3,artificial,0.0074985558167099,plural,plural,son,s,[MASK] reformista##s [MASK],"[CLS] , [MASK] , reform , ##ista , ##s , [MASK] , [SEP]",non_morphemic,4.893044834753501,-1.437228173452744,1.4372281734527694
91,91,uruguaya,uruguaya,sing,2,default,0.0001026428071781,plural,plural,son,s,[MASK] uruguaya [MASK],"[CLS] , [MASK] , uruguay , ##a , [MASK] , [SEP]",non_morphemic,9.18425548828226,2.2445988061666364,-2.244598806167569
93,93,uruguaya,uruguayas,plur,2,default,0.0012033134698867,plural,plural,son,s,[MASK] uruguayas [MASK],"[CLS] , [MASK] , uruguay , ##as , [MASK] , [SEP]",non_morphemic,6.722676302460996,-2.281104027544413,2.281104027544862
95,95,uruguaya,uruguaya##s,plur,3,artificial,0.0012231455184519,plural,plural,son,s,[MASK] uruguaya##s [MASK],"[CLS] , [MASK] , uruguay , ##a , ##s , [MASK] , [SEP]",non_morphemic,6.706329444521279,-2.322210368918313,2.3222103689186175
97,97,mejoría,mejoría,sing,2,default,0.0004602737317327,plural,plural,son,s,[MASK] mejoría [MASK],"[CLS] , [MASK] , mejor , ##ía , [MASK] , [SEP]",non_morphemic,7.683689176480254,2.5163860375683926,-2.516386037568469
99,99,mejoría,mejorías,plur,2,default,0.0103358747437596,plural,plural,son,s,[MASK] mejorías [MASK],"[CLS] , [MASK] , mejor , ##ías , [MASK] , [SEP]",non_morphemic,4.572134450459628,-2.413052474295778,2.413052474295852
101,101,mejoría,mejoría##s,plur,3,artificial,0.0108513869345188,plural,plural,son,s,[MASK] mejoría##s [MASK],"[CLS] , [MASK] , mejor , ##ía , ##s , [MASK] , [SEP]",non_morphemic,4.52346237909873,-2.1336607471076787,2.1336607471077196
103,103,urna,urna,sing,2,default,0.0004144447448197,plural,plural,son,s,[MASK] urna [MASK],"[CLS] , [MASK] , ur , ##na , [MASK] , [SEP]",non_morphemic,7.7885708978966814,3.60984706815188,-3.609847068152059
105,105,urna,urnas,plur,2,default,0.0122855156660079,plural,plural,son,s,[MASK] urnas [MASK],"[CLS] , [MASK] , ur , ##nas , [MASK] , [SEP]",non_morphemic,4.399334298634905,-1.708927614938462,1.7089276149384727
107,107,urna,urna##s,plur,3,artificial,0.0076097417622804,plural,plural,son,s,[MASK] urna##s [MASK],"[CLS] , [MASK] , ur , ##na , ##s , [MASK] , [SEP]",non_morphemic,4.878326041681625,-0.37018681328913594,0.37018681328913916
109,109,injerencia,injerencia,sing,2,default,0.0005467280861921,plural,plural,son,s,[MASK] injerencia [MASK],"[CLS] , [MASK] , injer , ##encia , [MASK] , [SEP]",non_morphemic,7.511558979334704,1.3220729503231414,-1.3220729503232118
111,111,injerencia,injerencias,plur,2,default,0.0017694629495963,plural,plural,son,s,[MASK] injerencias [MASK],"[CLS] , [MASK] , injer , ##encias , [MASK] , [SEP]",non_morphemic,6.337079196744196,-1.7205343175336774,1.720534317533761
113,113,injerencia,injerencia##s,plur,3,artificial,0.0017210816731676,plural,plural,son,s,[MASK] injerencia##s [MASK],"[CLS] , [MASK] , injer , ##encia , ##s , [MASK] , [SEP]",non_morphemic,6.364802306070147,-1.8325581659955388,1.8325581659955466
115,115,pollito,pollito,sing,2,default,0.0006830848869867,plural,plural,son,s,[MASK] pollito [MASK],"[CLS] , [MASK] , pol , ##lito , [MASK] , [SEP]",non_morphemic,7.288891420630542,3.002285019681408,-3.0022850196814965
117,117,pollito,pollitos,plur,2,default,0.0117187667638063,plural,plural,son,s,[MASK] pollitos [MASK],"[CLS] , [MASK] , pol , ##litos , [MASK] , [SEP]",non_morphemic,4.446563725301002,-2.3143062090604456,2.3143062090604722
119,119,pollito,pollito##s,plur,3,artificial,0.0203058887273073,plural,plural,son,s,[MASK] pollito##s [MASK],"[CLS] , [MASK] , pol , ##lito , ##s , [MASK] , [SEP]",non_morphemic,3.896844349911909,-2.554699870106541,2.5546998701065506
121,121,indefinido,indefinido,sing,2,default,0.0001700723951216,plural,plural,son,s,[MASK] indefinido [MASK],"[CLS] , [MASK] , indefin , ##ido , [MASK] , [SEP]",non_morphemic,8.679286357907012,2.5241184687309213,-2.5241184687313547
123,123,indefinido,indefinidos,plur,2,default,0.0008244310738518,plural,plural,son,s,[MASK] indefinidos [MASK],"[CLS] , [MASK] , indefin , ##idos , [MASK] , [SEP]",non_morphemic,7.100817016970447,-1.5767435693643748,1.5767435693648235
125,125,indefinido,indefinido##s,plur,3,artificial,0.0031978555489331,plural,plural,son,s,[MASK] indefinido##s [MASK],"[CLS] , [MASK] , indefin , ##ido , ##s , [MASK] , [SEP]",non_morphemic,5.745274834779668,-1.9799698674501531,1.9799698674503392
127,127,retoque,retoque,sing,2,default,0.0006897429120726,plural,plural,son,s,[MASK] retoque [MASK],"[CLS] , [MASK] , reto , ##que , [MASK] , [SEP]",non_morphemic,7.279191621001319,1.9392600785108876,-1.939260078511
129,129,retoque,retoques,plur,2,default,0.0062908409163355,plural,plural,son,s,[MASK] retoques [MASK],"[CLS] , [MASK] , reto , ##ques , [MASK] , [SEP]",non_morphemic,5.068660526214283,-2.389766318033206,2.3897663180332267
131,131,retoque,retoque##s,plur,3,artificial,0.0042374008335173,plural,plural,son,s,[MASK] retoque##s [MASK],"[CLS] , [MASK] , reto , ##que , ##s , [MASK] , [SEP]",non_morphemic,5.463805208669211,-2.202846066144482,2.2028460661446796
133,133,retroceso,retroceso,sing,2,default,0.0007139414665289,plural,plural,son,s,[MASK] retroceso [MASK],"[CLS] , [MASK] , retroce , ##so , [MASK] , [SEP]",non_morphemic,7.2447095786365745,1.93318082530301,-1.9331808253030367
135,135,retroceso,retrocesos,plur,2,default,0.0043404060415923,plural,plural,son,s,[MASK] retrocesos [MASK],"[CLS] , [MASK] , retroce , ##sos , [MASK] , [SEP]",non_morphemic,5.439787377275508,-2.044415908458652,2.044415908458765
137,137,retroceso,retroceso##s,plur,3,artificial,0.005625182762742,plural,plural,son,s,[MASK] retroceso##s [MASK],"[CLS] , [MASK] , retroce , ##so , ##s , [MASK] , [SEP]",non_morphemic,5.180501840265339,-1.2617750079957508,1.2617750079957892
139,139,kilómetro,kilómetro,sing,2,default,0.0001609030587133,plural,plural,son,s,[MASK] kilómetro [MASK],"[CLS] , [MASK] , k , ##ilómetro , [MASK] , [SEP]",non_morphemic,8.734708494119888,2.722466517424497,-2.7224665174244955
141,141,kilómetro,kilómetros,plur,2,default,0.000240067805862,plural,plural,son,s,[MASK] kilómetros [MASK],"[CLS] , [MASK] , k , ##ilómetros , [MASK] , [SEP]",non_morphemic,8.334589150099568,2.6592225950307338,-2.6592225950309425
143,143,kilómetro,kilómetro##s,plur,3,artificial,0.0009221357759088,plural,plural,son,s,[MASK] kilómetro##s [MASK],"[CLS] , [MASK] , k , ##ilómetro , ##s , [MASK] , [SEP]",non_morphemic,6.98881808287572,0.6726904328259691,-0.6726904328259661
145,145,sable,sable,sing,2,default,0.0006566794472746,plural,plural,son,s,[MASK] sable [MASK],"[CLS] , [MASK] , sab , ##le , [MASK] , [SEP]",non_morphemic,7.328314562234944,2.2526210979230568,-2.252621097923131
147,147,sable,sables,plur,2,default,0.0053538773208856,plural,plural,son,s,[MASK] sables [MASK],"[CLS] , [MASK] , sab , ##les , [MASK] , [SEP]",non_morphemic,5.229934247690452,-1.5346622756545232,1.5346622756545862
149,149,sable,sable##s,plur,3,artificial,0.0081290276721119,plural,plural,son,s,[MASK] sable##s [MASK],"[CLS] , [MASK] , sab , ##le , ##s , [MASK] , [SEP]",non_morphemic,4.812313960100973,-1.5314898936039114,1.5314898936039325
151,151,estamento,estamento,sing,2,default,0.0016803188482299,plural,plural,son,s,[MASK] estamento [MASK],"[CLS] , [MASK] , estam , ##ento , [MASK] , [SEP]",non_morphemic,6.388771712961868,3.009676924098274,-3.0096769240982977
153,153,estamento,estamentos,plur,2,default,0.0100924940779805,plural,plural,son,s,[MASK] estamentos [MASK],"[CLS] , [MASK] , estam , ##entos , [MASK] , [SEP]",non_morphemic,4.5959632920116364,-0.9136991457322807,0.9136991457322923
155,155,estamento,estamento##s,plur,3,artificial,0.02316839620471,plural,plural,son,s,[MASK] estamento##s [MASK],"[CLS] , [MASK] , estam , ##ento , ##s , [MASK] , [SEP]",non_morphemic,3.764966161547727,-1.9772538634858363,1.9772538634858443
157,157,arista,arista,sing,2,default,0.0002459586539771,plural,plural,son,s,[MASK] arista [MASK],"[CLS] , [MASK] , ari , ##sta , [MASK] , [SEP]",non_morphemic,8.31034710942146,3.5193214062981655,-3.5193214062983285
159,159,arista,aristas,plur,2,default,0.0128447236493229,plural,plural,son,s,[MASK] aristas [MASK],"[CLS] , [MASK] , ari , ##stas , [MASK] , [SEP]",non_morphemic,4.354822162912295,-1.9277496580986329,1.9277496580986433
161,161,arista,arista##s,plur,3,artificial,0.0062503097578883,plural,plural,son,s,[MASK] arista##s [MASK],"[CLS] , [MASK] , ari , ##sta , ##s , [MASK] , [SEP]",non_morphemic,5.075124255199815,-1.3146766816962696,1.3146766816963011
163,163,tinte,tinte,sing,2,default,0.0007933425949886,plural,plural,son,s,[MASK] tinte [MASK],"[CLS] , [MASK] , tin , ##te , [MASK] , [SEP]",non_morphemic,7.139255405679575,2.241494201608611,-2.2414942016086563
165,165,tinte,tintes,plur,2,default,0.0042217457666993,plural,plural,son,s,[MASK] tintes [MASK],"[CLS] , [MASK] , tin , ##tes , [MASK] , [SEP]",non_morphemic,5.467506547688526,-1.547404317011746,1.5474043170117586
167,167,tinte,tinte##s,plur,3,artificial,0.0058482801541686,plural,plural,son,s,[MASK] tinte##s [MASK],"[CLS] , [MASK] , tin , ##te , ##s , [MASK] , [SEP]",non_morphemic,5.141607651702531,-1.3484897641888898,1.3484897641889342
169,169,cortesano,cortesano,sing,2,default,0.0005820331280119,plural,plural,son,s,[MASK] cortesano [MASK],"[CLS] , [MASK] , cortes , ##ano , [MASK] , [SEP]",non_morphemic,7.448983190870004,3.494834798934163,-3.4948347989342845
171,171,cortesano,cortesanos,plur,2,default,0.0143429059535264,plural,plural,son,s,[MASK] cortesanos [MASK],"[CLS] , [MASK] , cortes , ##anos , [MASK] , [SEP]",non_morphemic,4.244499817651295,-2.118160300976033,2.1181603009760535
173,173,cortesano,cortesano##s,plur,3,artificial,0.0165674667805433,plural,plural,son,s,[MASK] cortesano##s [MASK],"[CLS] , [MASK] , cortes , ##ano , ##s , [MASK] , [SEP]",non_morphemic,4.100314339101634,-1.8225674111375882,1.8225674111376082
175,175,bajada,bajada,sing,2,default,0.0002215432323282,plural,plural,son,s,[MASK] bajada [MASK],"[CLS] , [MASK] , baja , ##da , [MASK] , [SEP]",non_morphemic,8.414892807712635,2.330014768979402,-2.3300147689796527
177,177,bajada,bajadas,plur,2,default,0.0014114442747086,plural,plural,son,s,[MASK] bajadas [MASK],"[CLS] , [MASK] , baja , ##das , [MASK] , [SEP]",non_morphemic,6.563141790533857,-1.8561033904997277,1.8561033905001123
179,179,bajada,bajada##s,plur,3,artificial,0.0016993207391351,plural,plural,son,s,[MASK] bajada##s [MASK],"[CLS] , [MASK] , baja , ##da , ##s , [MASK] , [SEP]",non_morphemic,6.377526672982037,-1.7968687331176687,1.7968687331179012
181,181,estridencia,estridencia,sing,2,default,0.0020371091086417,plural,plural,son,s,[MASK] estridencia [MASK],"[CLS] , [MASK] , estri , ##dencia , [MASK] , [SEP]",non_morphemic,6.196223579773927,1.561270300191608,-1.5612703001916213
183,183,estridencia,estridencias,plur,2,default,0.0031331034842878,plural,plural,son,s,[MASK] estridencias [MASK],"[CLS] , [MASK] , estri , ##dencias , [MASK] , [SEP]",non_morphemic,5.765731237143321,-1.7732496717805644,1.7732496717806563
185,185,estridencia,estridencia##s,plur,3,artificial,0.0134371677413582,plural,plural,son,s,[MASK] estridencia##s [MASK],"[CLS] , [MASK] , estri , ##dencia , ##s , [MASK] , [SEP]",non_morphemic,4.3097306996244535,-2.571491681893141,2.571491681893165
187,187,formalidad,formalidad,sing,2,default,0.0005805817781947,plural,plural,son,es,[MASK] formalidad [MASK],"[CLS] , [MASK] , formal , ##idad , [MASK] , [SEP]",non_morphemic,7.45147989130518,2.1083120712390953,-2.1083120712391783
189,189,formalidad,formalidades,plur,2,default,0.0009602452628314,plural,plural,son,es,[MASK] formalidades [MASK],"[CLS] , [MASK] , formal , ##idades , [MASK] , [SEP]",non_morphemic,6.948321824016297,-1.4442672850976184,1.4442672850979352
191,191,formalidad,formalidad##es,plur,3,artificial,0.0028793059755116,plural,plural,son,es,[MASK] formalidad##es [MASK],"[CLS] , [MASK] , formal , ##idad , ##es , [MASK] , [SEP]",non_morphemic,5.850205994599918,-1.895896932038747,1.8958969320388974
193,193,cuartilla,cuartilla,sing,2,default,0.0008427834254689,plural,plural,son,s,[MASK] cuartilla [MASK],"[CLS] , [MASK] , cuar , ##tilla , [MASK] , [SEP]",non_morphemic,7.078800542258763,3.036540047564677,-3.036540047564735
