,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal
0,no,no,sing,1,default,9.182365829474293e-06,singular,singular,grande,s,El no [MASK],"[CLS] , El , no , [MASK] , [SEP]",single-token,11.598225670905835
1,no,no,sing,1,default,7.656182532400635e-08,plural,plural,grandes,s,El no [MASK],"[CLS] , El , no , [MASK] , [SEP]",single-token,16.385167248340803
2,no,nos,plur,1,default,8.050491487665568e-06,singular,singular,grande,s,Los nos [MASK],"[CLS] , Los , nos , [MASK] , [SEP]",single-token,11.72977741402915
3,no,nos,plur,1,default,0.0001388946984661743,plural,plural,grandes,s,Los nos [MASK],"[CLS] , Los , nos , [MASK] , [SEP]",single-token,8.881794476922497
4,no,no##s,plur,2,artificial,2.317718099220656e-06,singular,singular,grande,s,Los no##s [MASK],"[CLS] , Los , no , ##s , [MASK] , [SEP]",single-token,12.974927434238365
5,no,no##s,plur,2,artificial,0.00017081797705031931,plural,plural,grandes,s,Los no##s [MASK],"[CLS] , Los , no , ##s , [MASK] , [SEP]",single-token,8.674912030097364
6,gra,gra,sing,1,default,3.257833327552362e-07,singular,singular,grande,s,La gra [MASK],"[CLS] , La , gra , [MASK] , [SEP]",single-token,14.937033299989974
7,gra,gra,sing,1,default,1.3220632366639506e-09,plural,plural,grandes,s,La gra [MASK],"[CLS] , La , gra , [MASK] , [SEP]",single-token,20.444072262573222
8,gra,gras,plur,1,default,1.0514420267782043e-07,singular,singular,grande,s,Las gras [MASK],"[CLS] , Las , gras , [MASK] , [SEP]",single-token,16.067933070147202
9,gra,gras,plur,1,default,2.3876455088611692e-06,plural,plural,grandes,s,Las gras [MASK],"[CLS] , Las , gras , [MASK] , [SEP]",single-token,12.945202820328804
10,gra,gra##s,plur,2,artificial,6.46021347527892e-10,singular,singular,grande,s,Las gra##s [MASK],"[CLS] , Las , gra , ##s , [MASK] , [SEP]",single-token,21.160188566983134
11,gra,gra##s,plur,2,artificial,9.002446432759825e-08,plural,plural,grandes,s,Las gra##s [MASK],"[CLS] , Las , gra , ##s , [MASK] , [SEP]",single-token,16.2231843776919
12,crea,crea,sing,1,default,8.963637810666114e-06,singular,singular,grande,s,La crea [MASK],"[CLS] , La , crea , [MASK] , [SEP]",single-token,11.622334407720729
13,crea,crea,sing,1,default,3.3896969853230985e-07,plural,plural,grandes,s,La crea [MASK],"[CLS] , La , crea , [MASK] , [SEP]",single-token,14.89735511842147
14,crea,creas,plur,1,default,1.979971057153307e-05,singular,singular,grande,s,Las creas [MASK],"[CLS] , Las , creas , [MASK] , [SEP]",single-token,10.829843237969962
15,crea,creas,plur,1,default,0.00022293164511211216,plural,plural,grandes,s,Las creas [MASK],"[CLS] , Las , creas , [MASK] , [SEP]",single-token,8.40864535765322
16,crea,crea##s,plur,2,artificial,3.585752139656506e-08,singular,singular,grande,s,Las crea##s [MASK],"[CLS] , Las , crea , ##s , [MASK] , [SEP]",single-token,17.143712490049346
17,crea,crea##s,plur,2,artificial,1.4699747225677129e-05,plural,plural,grandes,s,Las crea##s [MASK],"[CLS] , Las , crea , ##s , [MASK] , [SEP]",single-token,11.127680259859597
18,pla,pla,sing,1,default,0.0005444114794954658,singular,singular,grande,s,La pla [MASK],"[CLS] , La , pla , [MASK] , [SEP]",single-token,7.515805200900343
19,pla,pla,sing,1,default,3.520606810525351e-07,plural,plural,grandes,s,La pla [MASK],"[CLS] , La , pla , [MASK] , [SEP]",single-token,14.859462286851858
20,pla,plas,plur,1,default,4.5984098306917076e-08,singular,singular,grande,s,Las plas [MASK],"[CLS] , Las , plas , [MASK] , [SEP]",single-token,16.89497018920159
21,pla,plas,plur,1,default,1.3127958027325803e-06,plural,plural,grandes,s,Las plas [MASK],"[CLS] , Las , plas , [MASK] , [SEP]",single-token,13.54335149436289
22,pla,pla##s,plur,2,artificial,6.764502131773042e-07,singular,singular,grande,s,Las pla##s [MASK],"[CLS] , Las , pla , ##s , [MASK] , [SEP]",single-token,14.206406986755834
23,pla,pla##s,plur,2,artificial,2.9259934308356605e-05,plural,plural,grandes,s,Las pla##s [MASK],"[CLS] , Las , pla , ##s , [MASK] , [SEP]",single-token,10.43929140747541
24,va,va,sing,1,default,4.9996324378298596e-05,singular,singular,grande,s,La va [MASK],"[CLS] , La , va , [MASK] , [SEP]",single-token,9.903561067672328
25,va,va,sing,1,default,1.081168534255994e-06,plural,plural,grandes,s,La va [MASK],"[CLS] , La , va , [MASK] , [SEP]",single-token,13.737468125579525
26,va,vas,plur,1,default,2.1639605620293878e-05,singular,singular,grande,s,Las vas [MASK],"[CLS] , Las , vas , [MASK] , [SEP]",single-token,10.740985328722585
27,va,vas,plur,1,default,0.000135239286464639,plural,plural,grandes,s,Las vas [MASK],"[CLS] , Las , vas , [MASK] , [SEP]",single-token,8.908464856205951
28,va,va##s,plur,2,artificial,2.484388687662431e-06,singular,singular,grande,s,Las va##s [MASK],"[CLS] , Las , va , ##s , [MASK] , [SEP]",single-token,12.905483929619548
29,va,va##s,plur,2,artificial,0.0001260004792129621,plural,plural,grandes,s,Las va##s [MASK],"[CLS] , Las , va , ##s , [MASK] , [SEP]",single-token,8.979224847742552
30,ga,ga,sing,1,default,0.0002969973720610142,singular,singular,grande,s,La ga [MASK],"[CLS] , La , ga , [MASK] , [SEP]",single-token,8.121787267480133
31,ga,ga,sing,1,default,4.4778786900678824e-07,plural,plural,grandes,s,La ga [MASK],"[CLS] , La , ga , [MASK] , [SEP]",single-token,14.618946223352392
32,ga,gas,plur,1,default,2.6711467171480763e-07,singular,singular,grande,s,Las gas [MASK],"[CLS] , Las , gas , [MASK] , [SEP]",single-token,15.13558778866926
33,ga,gas,plur,1,default,3.422293730181991e-06,plural,plural,grandes,s,Las gas [MASK],"[CLS] , Las , gas , [MASK] , [SEP]",single-token,12.585199550356217
34,ga,ga##s,plur,2,artificial,8.76581282227562e-07,singular,singular,grande,s,Las ga##s [MASK],"[CLS] , Las , ga , ##s , [MASK] , [SEP]",single-token,13.947236401884675
35,ga,ga##s,plur,2,artificial,6.108690286055207e-05,plural,plural,grandes,s,Las ga##s [MASK],"[CLS] , Las , ga , ##s , [MASK] , [SEP]",single-token,9.703213070565324
36,pro,pro,sing,1,default,8.29116197564872e-06,singular,singular,grande,s,El pro [MASK],"[CLS] , El , pro , [MASK] , [SEP]",single-token,11.70032043269866
37,pro,pro,sing,1,default,1.2774951763105946e-08,plural,plural,grandes,s,El pro [MASK],"[CLS] , El , pro , [MASK] , [SEP]",single-token,18.17577947674589
38,pro,pros,plur,1,default,4.8511846983956275e-08,singular,singular,grande,s,Los pros [MASK],"[CLS] , Los , pros , [MASK] , [SEP]",single-token,16.841457801121035
39,pro,pros,plur,1,default,3.111285195700475e-06,plural,plural,grandes,s,Los pros [MASK],"[CLS] , Los , pros , [MASK] , [SEP]",single-token,12.680474670929888
40,pro,pro##s,plur,2,artificial,2.413951039059725e-09,singular,singular,grande,s,Los pro##s [MASK],"[CLS] , Los , pro , ##s , [MASK] , [SEP]",single-token,19.842000996556404
41,pro,pro##s,plur,2,artificial,5.917523822063231e-07,plural,plural,grandes,s,Los pro##s [MASK],"[CLS] , Los , pro , ##s , [MASK] , [SEP]",single-token,14.340177562863213
42,gro,gro,sing,1,default,1.5312158211600035e-05,singular,singular,grande,s,El gro [MASK],"[CLS] , El , gro , [MASK] , [SEP]",single-token,11.086863390783542
43,gro,gro,sing,1,default,3.521310816267942e-07,plural,plural,grandes,s,El gro [MASK],"[CLS] , El , gro , [MASK] , [SEP]",single-token,14.859262339683417
44,gro,gros,plur,1,default,1.4310755886981497e-06,singular,singular,grande,s,Los gros [MASK],"[CLS] , Los , gros , [MASK] , [SEP]",single-token,13.457084236494198
45,gro,gros,plur,1,default,4.805449862033129e-05,plural,plural,grandes,s,Los gros [MASK],"[CLS] , Los , gros , [MASK] , [SEP]",single-token,9.94317480319822
46,gro,gro##s,plur,2,artificial,7.697876185375208e-07,singular,singular,grande,s,Los gro##s [MASK],"[CLS] , Los , gro , ##s , [MASK] , [SEP]",single-token,14.077151180225178
47,gro,gro##s,plur,2,artificial,5.222710387897678e-05,plural,plural,grandes,s,Los gro##s [MASK],"[CLS] , Los , gro , ##s , [MASK] , [SEP]",single-token,9.859908966431638
48,fa,fa,sing,1,default,1.5670801076339558e-05,singular,singular,grande,s,La fa [MASK],"[CLS] , La , fa , [MASK] , [SEP]",single-token,11.063711381247648
49,fa,fa,sing,1,default,7.012059199951182e-08,plural,plural,grandes,s,La fa [MASK],"[CLS] , La , fa , [MASK] , [SEP]",single-token,16.47304933426627
50,fa,fas,plur,1,default,1.0610305167801926e-07,singular,singular,grande,s,Las fas [MASK],"[CLS] , Las , fas , [MASK] , [SEP]",single-token,16.058855029459053
51,fa,fas,plur,1,default,5.717513431591215e-06,plural,plural,grandes,s,Las fas [MASK],"[CLS] , Las , fas , [MASK] , [SEP]",single-token,12.0719765618452
52,fa,fa##s,plur,2,artificial,1.571046936987841e-08,singular,singular,grande,s,Las fa##s [MASK],"[CLS] , Las , fa , ##s , [MASK] , [SEP]",single-token,17.96893850798462
53,fa,fa##s,plur,2,artificial,1.595584990354837e-06,plural,plural,grandes,s,Las fa##s [MASK],"[CLS] , Las , fa , ##s , [MASK] , [SEP]",single-token,13.348270123856599
54,ro,ro,sing,1,default,9.994152787839994e-05,singular,singular,grande,s,El ro [MASK],"[CLS] , El , ro , [MASK] , [SEP]",single-token,9.210925264208301
55,ro,ro,sing,1,default,9.422632842870371e-07,plural,plural,grandes,s,El ro [MASK],"[CLS] , El , ro , [MASK] , [SEP]",single-token,13.874981106424643
56,ro,ros,plur,1,default,1.8634298157849116e-06,singular,singular,grande,s,Los ros [MASK],"[CLS] , Los , ros , [MASK] , [SEP]",single-token,13.19309178131488
57,ro,ros,plur,1,default,6.450775981647894e-05,plural,plural,grandes,s,Los ros [MASK],"[CLS] , Los , ros , [MASK] , [SEP]",single-token,9.64872503416665
58,ro,ro##s,plur,2,artificial,1.6415639265687787e-06,singular,singular,grande,s,Los ro##s [MASK],"[CLS] , Los , ro , ##s , [MASK] , [SEP]",single-token,13.31986115676746
59,ro,ro##s,plur,2,artificial,6.575501174665987e-05,plural,plural,grandes,s,Los ro##s [MASK],"[CLS] , Los , ro , ##s , [MASK] , [SEP]",single-token,9.629574665527523
60,ho,ho,sing,1,default,0.00023029049043543637,singular,singular,grande,s,El ho [MASK],"[CLS] , El , ho , [MASK] , [SEP]",single-token,8.376169044063834
61,ho,ho,sing,1,default,6.082669870011159e-07,plural,plural,grandes,s,El ho [MASK],"[CLS] , El , ho , [MASK] , [SEP]",single-token,14.312651928009592
62,ho,hos,plur,1,default,9.99668714030122e-07,singular,singular,grande,s,Los hos [MASK],"[CLS] , Los , hos , [MASK] , [SEP]",single-token,13.815841898821471
63,ho,hos,plur,1,default,3.9155918784672394e-05,plural,plural,grandes,s,Los hos [MASK],"[CLS] , Los , hos , [MASK] , [SEP]",single-token,10.147958964714949
64,ho,ho##s,plur,2,artificial,1.8695301378102158e-06,singular,singular,grande,s,Los ho##s [MASK],"[CLS] , Los , ho , ##s , [MASK] , [SEP]",single-token,13.18982342187276
65,ho,ho##s,plur,2,artificial,7.26990110706538e-05,plural,plural,grandes,s,Los ho##s [MASK],"[CLS] , Los , ho , ##s , [MASK] , [SEP]",single-token,9.52918277639691
66,rea,rea,sing,1,default,4.2966774344677106e-05,singular,singular,grande,s,La rea [MASK],"[CLS] , La , rea , [MASK] , [SEP]",single-token,10.055083430607905
67,rea,rea,sing,1,default,2.542722370435513e-07,plural,plural,grandes,s,La rea [MASK],"[CLS] , La , rea , [MASK] , [SEP]",single-token,15.184860344510692
68,rea,reas,plur,1,default,5.6561749062211675e-08,singular,singular,grande,s,Las reas [MASK],"[CLS] , Las , reas , [MASK] , [SEP]",single-token,16.687932891822587
69,rea,reas,plur,1,default,4.228610578138614e-06,plural,plural,grandes,s,Las reas [MASK],"[CLS] , Las , reas , [MASK] , [SEP]",single-token,12.37363708738884
70,rea,rea##s,plur,2,artificial,1.4736703235485038e-07,singular,singular,grande,s,Las rea##s [MASK],"[CLS] , Las , rea , ##s , [MASK] , [SEP]",single-token,15.730339543300328
71,rea,rea##s,plur,2,artificial,4.172608896624297e-06,plural,plural,grandes,s,Las rea##s [MASK],"[CLS] , Las , rea , ##s , [MASK] , [SEP]",single-token,12.386969083099267
72,pa,pa,sing,1,default,0.00021194350847508758,singular,singular,grande,s,La pa [MASK],"[CLS] , La , pa , [MASK] , [SEP]",single-token,8.45919078825869
73,pa,pa,sing,1,default,8.125240356093855e-07,plural,plural,grandes,s,La pa [MASK],"[CLS] , La , pa , [MASK] , [SEP]",single-token,14.023120340891591
74,pa,pas,plur,1,default,5.552807920139458e-07,singular,singular,grande,s,Las pas [MASK],"[CLS] , Las , pas , [MASK] , [SEP]",single-token,14.403791919583536
75,pa,pas,plur,1,default,1.2836407222494017e-05,plural,plural,grandes,s,Las pas [MASK],"[CLS] , Las , pas , [MASK] , [SEP]",single-token,11.263225110189195
76,pa,pa##s,plur,2,artificial,4.42810303979968e-08,singular,singular,grande,s,Las pa##s [MASK],"[CLS] , Las , pa , ##s , [MASK] , [SEP]",single-token,16.93270945932259
77,pa,pa##s,plur,2,artificial,2.4982543891383102e-06,plural,plural,grandes,s,Las pa##s [MASK],"[CLS] , Las , pa , ##s , [MASK] , [SEP]",single-token,12.899918314320912
78,ba,ba,sing,1,default,1.9086786778643727e-05,singular,singular,grande,s,La ba [MASK],"[CLS] , La , ba , [MASK] , [SEP]",single-token,10.866514254004025
79,ba,ba,sing,1,default,8.441188725782922e-08,plural,plural,grandes,s,La ba [MASK],"[CLS] , La , ba , [MASK] , [SEP]",single-token,16.28755760097505
80,ba,bas,plur,1,default,4.2827650759136304e-06,singular,singular,grande,s,Las bas [MASK],"[CLS] , Las , bas , [MASK] , [SEP]",single-token,12.36091171119409
81,ba,bas,plur,1,default,7.453183934558183e-05,plural,plural,grandes,s,Las bas [MASK],"[CLS] , Las , bas , [MASK] , [SEP]",single-token,9.504284150110719
82,ba,ba##s,plur,2,artificial,6.196618329568082e-08,singular,singular,grande,s,Las ba##s [MASK],"[CLS] , Las , ba , ##s , [MASK] , [SEP]",single-token,16.596677031417588
83,ba,ba##s,plur,2,artificial,2.660455038494547e-06,plural,plural,grandes,s,Las ba##s [MASK],"[CLS] , Las , ba , ##s , [MASK] , [SEP]",single-token,12.837013382697762
84,co,co,sing,1,default,3.8095677723504195e-07,singular,singular,grande,s,El co [MASK],"[CLS] , El , co , [MASK] , [SEP]",single-token,14.780579913832463
85,co,co,sing,1,default,9.502683973039439e-09,plural,plural,grandes,s,El co [MASK],"[CLS] , El , co , [MASK] , [SEP]",single-token,18.471691554764323
86,co,cos,plur,1,default,1.5938061892484257e-07,singular,singular,grande,s,Los cos [MASK],"[CLS] , Los , cos , [MASK] , [SEP]",single-token,15.651970665656187
87,co,cos,plur,1,default,5.282473011902766e-06,plural,plural,grandes,s,Los cos [MASK],"[CLS] , Los , cos , [MASK] , [SEP]",single-token,12.151116196432286
88,co,co##s,plur,2,artificial,3.101851220321805e-08,singular,singular,grande,s,Los co##s [MASK],"[CLS] , Los , co , ##s , [MASK] , [SEP]",single-token,17.288681642849287
89,co,co##s,plur,2,artificial,2.865815304176067e-06,plural,plural,grandes,s,Los co##s [MASK],"[CLS] , Los , co , ##s , [MASK] , [SEP]",single-token,12.762657674397595
90,to,to,sing,1,default,5.2452032832661644e-05,singular,singular,grande,s,El to [MASK],"[CLS] , El , to , [MASK] , [SEP]",single-token,9.855611466338958
91,to,to,sing,1,default,8.60236639255163e-07,plural,plural,grandes,s,El to [MASK],"[CLS] , El , to , [MASK] , [SEP]",single-token,13.966058323624349
92,to,tos,plur,1,default,6.369722541421652e-06,singular,singular,grande,s,Los tos [MASK],"[CLS] , Los , tos , [MASK] , [SEP]",single-token,11.963954646405503
93,to,tos,plur,1,default,0.0001316902053076774,plural,plural,grandes,s,Los tos [MASK],"[CLS] , Los , tos , [MASK] , [SEP]",single-token,8.935058323220828
94,to,to##s,plur,2,artificial,1.577320517753833e-06,singular,singular,grande,s,Los to##s [MASK],"[CLS] , Los , to , ##s , [MASK] , [SEP]",single-token,13.359783025388325
95,to,to##s,plur,2,artificial,7.31391046429053e-05,plural,plural,grandes,s,Los to##s [MASK],"[CLS] , Los , to , ##s , [MASK] , [SEP]",single-token,9.52314738700644
96,ha,ha,sing,1,default,1.775183955032844e-05,singular,singular,grande,s,La ha [MASK],"[CLS] , La , ha , [MASK] , [SEP]",single-token,10.939021410774533
