,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal
0,reserva,reserva,sing,1,default,9.758070518728346e-05,singular,singular,grande,s,La reserva [MASK],"[CLS] , La , reserva , [MASK] , [SEP]",single-token,9.234830776842259
1,reserva,reserva,sing,1,default,1.1478942951725912e-07,plural,plural,grandes,s,La reserva [MASK],"[CLS] , La , reserva , [MASK] , [SEP]",single-token,15.980166434676118
2,reserva,reservas,plur,1,default,1.6127827962009178e-08,singular,singular,grande,s,Las reservas [MASK],"[CLS] , Las , reservas , [MASK] , [SEP]",single-token,17.94271961215247
3,reserva,reservas,plur,1,default,3.4855384001275524e-06,plural,plural,grandes,s,Las reservas [MASK],"[CLS] , Las , reservas , [MASK] , [SEP]",single-token,12.56688803497333
4,reserva,reserva##s,plur,2,artificial,4.001448417056963e-08,singular,singular,grande,s,Las reserva##s [MASK],"[CLS] , Las , reserva , ##s , [MASK] , [SEP]",single-token,17.03402434411216
5,reserva,reserva##s,plur,2,artificial,1.3696097084903158e-05,plural,plural,grandes,s,Las reserva##s [MASK],"[CLS] , Las , reserva , ##s , [MASK] , [SEP]",single-token,11.198399650031078
6,dólar,dólar,sing,1,default,1.2008767043880653e-05,singular,singular,grande,es,El dólar [MASK],"[CLS] , El , dólar , [MASK] , [SEP]",single-token,11.32987358793498
7,dólar,dólar,sing,1,default,8.182553301594453e-08,plural,plural,grandes,es,El dólar [MASK],"[CLS] , El , dólar , [MASK] , [SEP]",single-token,16.318676502483903
8,dólar,dólares,plur,1,default,1.1917773008462973e-06,singular,singular,grande,es,Los dólares [MASK],"[CLS] , Los , dólares , [MASK] , [SEP]",single-token,13.640064834924749
9,dólar,dólares,plur,1,default,0.00013124989345669746,plural,plural,grandes,es,Los dólares [MASK],"[CLS] , Los , dólares , [MASK] , [SEP]",single-token,8.938407468251366
10,dólar,dólar##es,plur,2,artificial,1.1392398846510332e-06,singular,singular,grande,es,Los dólar##es [MASK],"[CLS] , Los , dólar , ##es , [MASK] , [SEP]",single-token,13.685149285796383
11,dólar,dólar##es,plur,2,artificial,0.00012933135440107435,plural,plural,grandes,es,Los dólar##es [MASK],"[CLS] , Los , dólar , ##es , [MASK] , [SEP]",single-token,8.953132808148792
12,activo,activo,sing,1,default,4.66401388621307e-06,singular,singular,grande,s,El activo [MASK],"[CLS] , El , activo , [MASK] , [SEP]",single-token,12.275634131602104
13,activo,activo,sing,1,default,3.1155071411603785e-08,plural,plural,grandes,s,El activo [MASK],"[CLS] , El , activo , [MASK] , [SEP]",single-token,17.284288798813428
14,activo,activos,plur,1,default,1.0722644994132224e-08,singular,singular,grande,s,Los activos [MASK],"[CLS] , Los , activos , [MASK] , [SEP]",single-token,18.350907977210454
15,activo,activos,plur,1,default,4.398460532684112e-06,plural,plural,grandes,s,Los activos [MASK],"[CLS] , Los , activos , [MASK] , [SEP]",single-token,12.334255957197403
16,activo,activo##s,plur,2,artificial,1.5993427027183316e-08,singular,singular,grande,s,Los activo##s [MASK],"[CLS] , Los , activo , ##s , [MASK] , [SEP]",single-token,17.951088009913548
17,activo,activo##s,plur,2,artificial,3.810613861787715e-06,plural,plural,grandes,s,Los activo##s [MASK],"[CLS] , Los , activo , ##s , [MASK] , [SEP]",single-token,12.477720263224416
18,permiso,permiso,sing,1,default,1.825227172957966e-06,singular,singular,grande,s,El permiso [MASK],"[CLS] , El , permiso , [MASK] , [SEP]",single-token,13.213806100343472
19,permiso,permiso,sing,1,default,7.285880343488316e-09,plural,plural,grandes,s,El permiso [MASK],"[CLS] , El , permiso , [MASK] , [SEP]",single-token,18.737327561293643
20,permiso,permisos,plur,1,default,2.877134974710316e-09,singular,singular,grande,s,Los permisos [MASK],"[CLS] , Los , permisos , [MASK] , [SEP]",single-token,19.666470838388737
21,permiso,permisos,plur,1,default,1.3270260978970327e-06,plural,plural,grandes,s,Los permisos [MASK],"[CLS] , Los , permisos , [MASK] , [SEP]",single-token,13.532570135967328
22,permiso,permiso##s,plur,2,artificial,4.0638084009003705e-09,singular,singular,grande,s,Los permiso##s [MASK],"[CLS] , Los , permiso , ##s , [MASK] , [SEP]",single-token,19.321145273229355
23,permiso,permiso##s,plur,2,artificial,9.030900969264621e-07,plural,plural,grandes,s,Los permiso##s [MASK],"[CLS] , Los , permiso , ##s , [MASK] , [SEP]",single-token,13.91744351339427
24,cálculo,cálculo,sing,1,default,2.2031845219316892e-06,singular,singular,grande,s,El cálculo [MASK],"[CLS] , El , cálculo , [MASK] , [SEP]",single-token,13.025606734263723
25,cálculo,cálculo,sing,1,default,2.4984474933376077e-08,plural,plural,grandes,s,El cálculo [MASK],"[CLS] , El , cálculo , [MASK] , [SEP]",single-token,17.50501120764519
26,cálculo,cálculos,plur,1,default,9.114428323186985e-09,singular,singular,grande,s,Los cálculos [MASK],"[CLS] , Los , cálculos , [MASK] , [SEP]",single-token,18.513407149028737
