,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,no,no,sing,1,default,1.059076339515741e-06,plural,plural,grandes,s,[MASK] no [MASK],"[CLS] , [MASK] , no , [MASK] , [SEP]",single-token,13.758113407525975,2.003338774070791,-2.0033387740707904
3,3,no,nos,plur,1,default,4.639999315259047e-05,plural,plural,grandes,s,[MASK] nos [MASK],"[CLS] , [MASK] , nos , [MASK] , [SEP]",single-token,9.978211246305555,-0.9211049242884091,0.9211049242884086
5,5,no,no##s,plur,2,artificial,6.344715075101703e-05,plural,plural,grandes,s,[MASK] no##s [MASK],"[CLS] , [MASK] , no , ##s , [MASK] , [SEP]",single-token,9.66530327023348,-2.8806046765443565,2.880604676544356
7,7,gra,gra,sing,1,default,2.61096403164629e-07,plural,plural,grandes,s,[MASK] gra [MASK],"[CLS] , [MASK] , gra , [MASK] , [SEP]",single-token,15.1583761370366,1.9783326052857273,-1.9783326052857275
9,9,gra,gras,plur,1,default,3.098217007391213e-07,plural,plural,grandes,s,[MASK] gras [MASK],"[CLS] , [MASK] , gras , [MASK] , [SEP]",single-token,14.987268863840614,3.9759864719922717,-3.975986471992271
11,11,gra,gra##s,plur,2,artificial,1.542265266607501e-07,plural,plural,grandes,s,[MASK] gra##s [MASK],"[CLS] , [MASK] , gra , ##s , [MASK] , [SEP]",single-token,15.684843362980915,-0.012241425235004044,0.012241425235004447
13,13,crea,crea,sing,1,default,7.040157652227208e-05,plural,plural,grandes,s,[MASK] crea [MASK],"[CLS] , [MASK] , crea , [MASK] , [SEP]",single-token,9.56129490126874,-0.3392544544820417,0.3392544544820418
15,15,crea,creas,plur,1,default,0.000150128675159,plural,plural,grandes,s,[MASK] creas [MASK],"[CLS] , [MASK] , creas , [MASK] , [SEP]",single-token,8.804017797203876,0.16952800620536657,-0.1695280062054264
17,17,crea,crea##s,plur,2,artificial,7.718463893979788e-05,plural,plural,grandes,s,[MASK] crea##s [MASK],"[CLS] , [MASK] , crea , ##s , [MASK] , [SEP]",single-token,9.469310098195944,-2.348654753367713,2.3486547533677116
19,19,pla,pla,sing,1,default,1.6623611145405448e-06,plural,plural,grandes,s,[MASK] pla [MASK],"[CLS] , [MASK] , pla , [MASK] , [SEP]",single-token,13.30727160803206,3.315999058687776,-3.315999058687776
21,21,pla,plas,plur,1,default,1.2522350800736606e-07,plural,plural,grandes,s,[MASK] plas [MASK],"[CLS] , [MASK] , plas , [MASK] , [SEP]",single-token,15.893165632268689,2.448725823329953,-2.4487258233299523
23,23,pla,pla##s,plur,2,artificial,1.148485898738727e-05,plural,plural,grandes,s,[MASK] pla##s [MASK],"[CLS] , [MASK] , pla , ##s , [MASK] , [SEP]",single-token,11.374480999879667,1.9136611056634951,-1.9136611056634978
25,25,va,va,sing,1,default,1.2182055115772528e-06,plural,plural,grandes,s,[MASK] va [MASK],"[CLS] , [MASK] , va , [MASK] , [SEP]",single-token,13.618131674192702,4.207007458203478,-4.207007458203479
27,27,va,vas,plur,1,default,1.0253250366076829e-05,plural,plural,grandes,s,[MASK] vas [MASK],"[CLS] , [MASK] , vas , [MASK] , [SEP]",single-token,11.487915793762708,2.0767545787006796,-2.076754578700682
29,29,va,va##s,plur,2,artificial,0.0001138472507591,plural,plural,grandes,s,[MASK] va##s [MASK],"[CLS] , [MASK] , va , ##s , [MASK] , [SEP]",single-token,9.080652913667604,-2.5716867522552196,2.571686752254905
31,31,ga,ga,sing,1,default,1.604272824806685e-06,plural,plural,grandes,s,[MASK] ga [MASK],"[CLS] , [MASK] , ga , [MASK] , [SEP]",single-token,13.34283997270518,2.0521631272258958,-2.0521631272258976
33,33,ga,gas,plur,1,default,5.2880369594277e-07,plural,plural,grandes,s,[MASK] gas [MASK],"[CLS] , [MASK] , gas , [MASK] , [SEP]",single-token,14.4526485591316,3.9860153517984713,-3.9860153517984735
35,35,ga,ga##s,plur,2,artificial,7.325517799472436e-05,plural,plural,grandes,s,[MASK] ga##s [MASK],"[CLS] , [MASK] , ga , ##s , [MASK] , [SEP]",single-token,9.521561623217698,-2.3326625975139574,2.3326625975139565
37,37,pro,pro,sing,1,default,5.216389581619296e-06,plural,plural,grandes,s,[MASK] pro [MASK],"[CLS] , [MASK] , pro , [MASK] , [SEP]",single-token,12.163705046401436,1.3736724994796994,-1.3736724994797012
39,39,pro,pros,plur,1,default,3.2207658478000667e-06,plural,plural,grandes,s,[MASK] pros [MASK],"[CLS] , [MASK] , pros , [MASK] , [SEP]",single-token,12.64589138575593,-2.108899124751627,2.1088991247516256
41,41,pro,pro##s,plur,2,artificial,2.9989646463945974e-06,plural,plural,grandes,s,[MASK] pro##s [MASK],"[CLS] , [MASK] , pro , ##s , [MASK] , [SEP]",single-token,12.717243446731509,-1.9870977773885734,1.9870977773885734
43,43,gro,gro,sing,1,default,1.5027987956273137e-06,plural,plural,grandes,s,[MASK] gro [MASK],"[CLS] , [MASK] , gro , [MASK] , [SEP]",single-token,13.40818132466606,2.1324338429178447,-2.132433842917843
45,45,gro,gros,plur,1,default,1.1908791748282963e-06,plural,plural,grandes,s,[MASK] gros [MASK],"[CLS] , [MASK] , gros , [MASK] , [SEP]",single-token,13.640818721244246,3.7660989659140505,-3.7660989659140514
47,47,gro,gro##s,plur,2,artificial,2.549362397985533e-05,plural,plural,grandes,s,[MASK] gro##s [MASK],"[CLS] , [MASK] , gro , ##s , [MASK] , [SEP]",single-token,10.577082177070782,-1.7497167863973804,1.749716786397381
49,49,fa,fa,sing,1,default,3.960972208005842e-07,plural,plural,grandes,s,[MASK] fa [MASK],"[CLS] , [MASK] , fa , [MASK] , [SEP]",single-token,14.74160614875168,3.492344879009753,-3.4923448790097513
51,51,fa,fas,plur,1,default,7.476785981452849e-07,plural,plural,grandes,s,[MASK] fas [MASK],"[CLS] , [MASK] , fas , [MASK] , [SEP]",single-token,14.106292632935483,2.0546580010118998,-2.054658001011901
53,53,fa,fa##s,plur,2,artificial,9.127363227889871e-06,plural,plural,grandes,s,[MASK] fa##s [MASK],"[CLS] , [MASK] , fa , ##s , [MASK] , [SEP]",single-token,11.604233708147913,-0.7414673955592637,0.7414673955592631
