,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,schwua,schwua,sing,4,default,2.511933132609556e-07,plural,plural,grandes,s,[MASK] schwua [MASK],"[CLS] , [MASK] , s , ##ch , ##w , ##ua , [MASK] , [SEP]",morphemic,15.197043021890758,4.0422829901464965,-4.042282990146496
3,3,schwua,schwuas,plur,5,default,9.640036296332257e-06,plural,plural,grandes,s,[MASK] schwuas [MASK],"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,11.549585684169214,-0.8924846977993166,0.8924846977993166
5,5,schwua,schwua##s,plur,5,artificial,9.640036296332257e-06,plural,plural,grandes,s,[MASK] schwua##s [MASK],"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,11.549585684169214,-0.8924846977993166,0.8924846977993166
7,7,mio,mio,sing,1,default,1.0150780553885852e-06,plural,plural,grandes,s,[MASK] mio [MASK],"[CLS] , [MASK] , mio , [MASK] , [SEP]",morphemic,13.800545046566643,3.272970198123419,-3.272970198123423
9,9,mio,mios,plur,2,default,5.839006189489737e-05,plural,plural,grandes,s,[MASK] mios [MASK],"[CLS] , [MASK] , mio , ##s , [MASK] , [SEP]",morphemic,9.748364855643745,-4.214382196191716,4.214382196191714
11,11,mio,mio##s,plur,2,artificial,5.839006189489737e-05,plural,plural,grandes,s,[MASK] mio##s [MASK],"[CLS] , [MASK] , mio , ##s , [MASK] , [SEP]",morphemic,9.748364855643745,-4.214382196191716,4.214382196191714
13,13,srua,srua,sing,2,default,8.726065630071389e-07,plural,plural,grandes,s,[MASK] srua [MASK],"[CLS] , [MASK] , sr , ##ua , [MASK] , [SEP]",morphemic,13.951781055075996,3.944957790003196,-3.9449577900031976
15,15,srua,sruas,plur,3,default,4.420079858391546e-05,plural,plural,grandes,s,[MASK] sruas [MASK],"[CLS] , [MASK] , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,10.026767701534435,-2.812337895457212,2.81233789545721
17,17,srua,srua##s,plur,3,artificial,4.420079858391546e-05,plural,plural,grandes,s,[MASK] srua##s [MASK],"[CLS] , [MASK] , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,10.026767701534435,-2.812337895457212,2.81233789545721
19,19,qaa,qaa,sing,2,default,2.487723520516738e-07,plural,plural,grandes,s,[MASK] qaa [MASK],"[CLS] , [MASK] , q , ##aa , [MASK] , [SEP]",morphemic,15.206727607450484,3.597784072756026,-3.597784072756029
21,21,qaa,qaas,plur,3,default,5.367248377297074e-06,plural,plural,grandes,s,[MASK] qaas [MASK],"[CLS] , [MASK] , q , ##aa , ##s , [MASK] , [SEP]",morphemic,12.135195187230924,-1.3409395067924788,1.340939506792478
23,23,qaa,qaa##s,plur,3,artificial,5.367248377297074e-06,plural,plural,grandes,s,[MASK] qaa##s [MASK],"[CLS] , [MASK] , q , ##aa , ##s , [MASK] , [SEP]",morphemic,12.135195187230924,-1.3409395067924788,1.340939506792478
25,25,gnio,gnio,sing,2,default,2.326309186173603e-06,plural,plural,grandes,s,[MASK] gnio [MASK],"[CLS] , [MASK] , g , ##nio , [MASK] , [SEP]",morphemic,12.97122758657375,3.1714363512775137,-3.171436351277514
27,27,gnio,gnios,plur,3,default,7.601380639243871e-05,plural,plural,grandes,s,[MASK] gnios [MASK],"[CLS] , [MASK] , g , ##nio , ##s , [MASK] , [SEP]",morphemic,9.484595571118277,-3.3554963510287177,3.3554963510287195
29,29,gnio,gnio##s,plur,3,artificial,7.601380639243871e-05,plural,plural,grandes,s,[MASK] gnio##s [MASK],"[CLS] , [MASK] , g , ##nio , ##s , [MASK] , [SEP]",morphemic,9.484595571118277,-3.3554963510287177,3.3554963510287195
31,31,sqaa,sqaa,sing,3,default,1.1225329998865163e-08,plural,plural,grandes,s,[MASK] sqaa [MASK],"[CLS] , [MASK] , s , ##q , ##aa , [MASK] , [SEP]",morphemic,18.305093005187626,5.0142745682927305,-5.014274568292728
33,33,sqaa,sqaas,plur,4,default,3.3324251944577554e-06,plural,plural,grandes,s,[MASK] sqaas [MASK],"[CLS] , [MASK] , s , ##q , ##aa , ##s , [MASK] , [SEP]",morphemic,12.611810232419984,-0.9157400741989896,0.9157400741989894
35,35,sqaa,sqaa##s,plur,4,artificial,3.3324251944577554e-06,plural,plural,grandes,s,[MASK] sqaa##s [MASK],"[CLS] , [MASK] , s , ##q , ##aa , ##s , [MASK] , [SEP]",morphemic,12.611810232419984,-0.9157400741989896,0.9157400741989894
