,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal
0,reserva,reserva,sing,1,default,0.00011319320037728176,singular,grande,s,[MASK] reserva [MASK],"[CLS] , [MASK] , reserva , [MASK] , [SEP]",single-token,9.086414461337807
1,reserva,reserva,sing,1,default,2.5539418857079e-05,plural,grandes,s,[MASK] reserva [MASK],"[CLS] , [MASK] , reserva , [MASK] , [SEP]",single-token,10.57528746184433
2,reserva,resedvas,plur,3,default,5.114035047881771e-06,singular,grande,s,[MASK] resedvas [MASK],"[CLS] , [MASK] , rese , ##d , ##vas , [MASK] , [SEP]",single-token,12.183521827798119
3,reserva,resedvas,plur,3,default,0.0006015850231051445,plural,grandes,s,[MASK] resedvas [MASK],"[CLS] , [MASK] , rese , ##d , ##vas , [MASK] , [SEP]",single-token,7.415942680743012
4,reserva,reserva##s,plur,2,artificial,1.887934558908455e-06,singular,grande,s,[MASK] reserva##s [MASK],"[CLS] , La , reserva , ##s , [MASK] , [SEP]",single-token,13.18002715243679
5,reserva,reserva##s,plur,2,artificial,5.4140960855875164e-05,plural,grandes,s,[MASK] reserva##s [MASK],"[CLS] , La , reserva , ##s , [MASK] , [SEP]",single-token,9.823919526320623
6,dólare,dólare,sing,2,default,7.569164881715551e-05,singular,grande,s,[MASK] dólare [MASK],"[CLS] , [MASK] , dólar , ##e , [MASK] , [SEP]",single-token,9.488842723062843
7,dólare,dólare,sing,2,default,7.132964583433932e-06,plural,grandes,s,[MASK] dólare [MASK],"[CLS] , [MASK] , dólar , ##e , [MASK] , [SEP]",single-token,11.850783619851885
8,dólare,dólfres,plur,4,default,2.0831264919252135e-05,singular,grande,s,[MASK] dólfres [MASK],"[CLS] , [MASK] , dó , ##l , ##fre , ##s , [MASK] , [SEP]",single-token,10.779055578694896
9,dólare,dólfres,plur,4,default,0.00364287500269711,plural,grandes,s,[MASK] dólfres [MASK],"[CLS] , [MASK] , dó , ##l , ##fre , ##s , [MASK] , [SEP]",single-token,5.614982073183921
10,dólare,dólare##s,plur,3,artificial,3.9671740523772314e-05,singular,grande,s,[MASK] dólare##s [MASK],"[CLS] , El , dólar , ##e , ##s , [MASK] , [SEP]",single-token,10.134871449336936
11,dólare,dólare##s,plur,3,artificial,1.1259874554525595e-05,plural,grandes,s,[MASK] dólare##s [MASK],"[CLS] , El , dólar , ##e , ##s , [MASK] , [SEP]",single-token,11.394265076120686
12,activo,activo,sing,1,default,8.77078218763927e-06,singular,grande,s,[MASK] activo [MASK],"[CLS] , [MASK] , activo , [MASK] , [SEP]",single-token,11.644084566544826
13,activo,activo,sing,1,default,3.352549526880466e-07,plural,grandes,s,[MASK] activo [MASK],"[CLS] , [MASK] , activo , [MASK] , [SEP]",single-token,14.908374541775038
14,activo,activis,plur,2,default,1.0283120900567155e-05,singular,grande,s,[MASK] activis [MASK],"[CLS] , [MASK] , activi , ##s , [MASK] , [SEP]",single-token,11.485006754461903
