,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,article_probs,article_number,article_type,article,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,spaio,spaio,sing,2,default,0.0002074273506877,plural,definite,Los,s,[MASK] spaio,"[CLS] , [MASK] , spa , ##io , [SEP]",nonmorphemic,8.480729396766103,5.363480051863781,-5.363480051864235
3,3,spaio,spaios,plur,2,default,0.0478968136012554,plural,definite,Los,s,[MASK] spaios,"[CLS] , [MASK] , spa , ##ios , [SEP]",nonmorphemic,3.038706298672406,-3.3329095581440034,3.3329095581440393
5,5,spaio,spaio##s,plur,3,artificial,0.0277621243149042,plural,definite,Los,s,[MASK] spaio##s,"[CLS] , [MASK] , spa , ##io , ##s , [SEP]",nonmorphemic,3.584082621959258,-2.8322724715492598,2.8322724715492966
7,7,spaio,spaio,sing,2,default,2.4600690267106984e-06,plural,indefinite,Unos,s,[MASK] spaio,"[CLS] , [MASK] , spa , ##io , [SEP]",nonmorphemic,12.915321148775172,8.12771791674096,-8.12771791674095
9,9,spaio,spaios,plur,2,default,8.521283598383889e-05,plural,indefinite,Unos,s,[MASK] spaios,"[CLS] , [MASK] , spa , ##ios , [SEP]",nonmorphemic,9.370358478389331,1.4410929489842834,-1.441092948984099
11,11,spaio,spaio##s,plur,3,artificial,5.687775410478935e-05,plural,indefinite,Unos,s,[MASK] spaio##s,"[CLS] , [MASK] , spa , ##io , ##s , [SEP]",nonmorphemic,9.774606258045084,2.2674379497999926,-2.2674379497998536
13,13,shrao,shrao,sing,3,default,0.0005873487680219,plural,definite,Los,s,[MASK] shrao,"[CLS] , [MASK] , sh , ##ra , ##o , [SEP]",nonmorphemic,7.439891761216097,2.991569029464591,-2.991569029464602
15,15,shrao,shraos,plur,3,default,0.1020480841398239,plural,definite,Los,s,[MASK] shraos,"[CLS] , [MASK] , sh , ##ra , ##os , [SEP]",nonmorphemic,2.282311163642601,-4.297973711583836,4.297973711583866
17,17,shrao,shrao##s,plur,4,artificial,0.0090284636244177,plural,definite,Los,s,[MASK] shrao##s,"[CLS] , [MASK] , sh , ##ra , ##o , ##s , [SEP]",nonmorphemic,4.707373067289399,-2.4209032641646377,2.4209032641646644
19,19,shrao,shrao,sing,3,default,3.9697929423709866e-06,plural,indefinite,Unos,s,[MASK] shrao,"[CLS] , [MASK] , sh , ##ra , ##o , [SEP]",nonmorphemic,12.436796620199384,7.1124601016770015,-7.11246010167698
21,21,shrao,shraos,plur,3,default,5.255487485555932e-05,plural,indefinite,Unos,s,[MASK] shraos,"[CLS] , [MASK] , sh , ##ra , ##os , [SEP]",nonmorphemic,9.853652698900824,2.0368190050562536,-2.036819005056234
