,lemma,word_form,word_number,n_tokens,tokenization_type,article_probs,article_number,article_type,article,affix,sentence,model_token_inputs,source,surprisal
0,patrono,patrono,sing,2,default,0.036679625511169434,singular,definite,El,s,[MASK] patrono,"[CLS] , [MASK] , patr , ##ono , [SEP]",non_morphemic,3.3055338412651456
1,patrono,patrono,sing,2,default,1.153880020865472e-05,plural,definite,Los,s,[MASK] patrono,"[CLS] , [MASK] , patr , ##ono , [SEP]",non_morphemic,11.369795270343557
2,patrono,patronos,plur,2,default,3.111121986876242e-05,singular,definite,El,s,[MASK] patronos,"[CLS] , [MASK] , patr , ##onos , [SEP]",non_morphemic,10.377942036355705
3,patrono,patronos,plur,2,default,0.0847540944814682,plural,definite,Los,s,[MASK] patronos,"[CLS] , [MASK] , patr , ##onos , [SEP]",non_morphemic,2.4680012214228855
4,patrono,patrono##s,plur,3,artificial,2.0214014512021095e-05,singular,definite,El,s,[MASK] patrono##s,"[CLS] , [MASK] , patr , ##ono , ##s , [SEP]",non_morphemic,10.809134406392744
5,patrono,patrono##s,plur,3,artificial,0.015555017627775669,plural,definite,Los,s,[MASK] patrono##s,"[CLS] , [MASK] , patr , ##ono , ##s , [SEP]",non_morphemic,4.163372015378555
6,patrono,patrono,sing,2,default,0.001474804594181478,singular,indefinite,Un,s,[MASK] patrono,"[CLS] , [MASK] , patr , ##ono , [SEP]",non_morphemic,6.51922977648744
7,patrono,patrono,sing,2,default,2.7947553604690256e-08,plural,indefinite,Unos,s,[MASK] patrono,"[CLS] , [MASK] , patr , ##ono , [SEP]",non_morphemic,17.39293616873634
8,patrono,patronos,plur,2,default,5.564344064623583e-06,singular,indefinite,Un,s,[MASK] patronos,"[CLS] , [MASK] , patr , ##onos , [SEP]",non_morphemic,12.099131448175912
9,patrono,patronos,plur,2,default,6.02986037847586e-05,plural,indefinite,Unos,s,[MASK] patronos,"[CLS] , [MASK] , patr , ##onos , [SEP]",non_morphemic,9.71620160898082
10,patrono,patrono##s,plur,3,artificial,6.718629720126046e-06,singular,indefinite,Un,s,[MASK] patrono##s,"[CLS] , [MASK] , patr , ##ono , ##s , [SEP]",non_morphemic,11.910626334917357
11,patrono,patrono##s,plur,3,artificial,3.991184348706156e-05,plural,indefinite,Unos,s,[MASK] patrono##s,"[CLS] , [MASK] , patr , ##ono , ##s , [SEP]",non_morphemic,10.128837448863878
12,premisa,premisa,sing,2,default,0.013308494351804256,singular,definite,La,s,[MASK] premisa,"[CLS] , [MASK] , premis , ##a , [SEP]",non_morphemic,4.3193527745512865
13,premisa,premisa,sing,2,default,1.0224446668871678e-05,plural,definite,Las,s,[MASK] premisa,"[CLS] , [MASK] , premis , ##a , [SEP]",non_morphemic,11.490728973013479
14,premisa,premisas,plur,2,default,3.507532164803706e-05,singular,definite,La,s,[MASK] premisas,"[CLS] , [MASK] , premis , ##as , [SEP]",non_morphemic,10.258012761724508
