,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,schwua,schwua,sing,4,default,0.0001104541515815,plural,plural,son,s,[MASK] schwua [MASK],"[CLS] , [MASK] , s , ##ch , ##w , ##ua , [MASK] , [SEP]",morphemic,9.110910040923097,2.369871125186523,-2.3698711251865308
3,3,schwua,schwuas,plur,5,default,0.0008038444793783,plural,plural,son,s,[MASK] schwuas [MASK],"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,7.126104741105065,0.3239499051885444,-0.3239499051884975
5,5,schwua,schwua##s,plur,5,artificial,0.0008038444793783,plural,plural,son,s,[MASK] schwua##s [MASK],"[CLS] , [MASK] , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,7.126104741105065,0.3239499051885444,-0.3239499051884975
7,7,mio,mio,sing,1,default,0.0007508373819291,plural,plural,son,s,[MASK] mio [MASK],"[CLS] , [MASK] , mio , [MASK] , [SEP]",morphemic,7.194321465027923,2.3841181302708554,-2.3841181302709287
9,9,mio,mios,plur,2,default,0.0182125177234411,plural,plural,son,s,[MASK] mios [MASK],"[CLS] , [MASK] , mio , ##s , [MASK] , [SEP]",morphemic,4.005646134314211,-1.9184803400939483,1.9184803400939805
11,11,mio,mio##s,plur,2,artificial,0.0182125177234411,plural,plural,son,s,[MASK] mio##s [MASK],"[CLS] , [MASK] , mio , ##s , [MASK] , [SEP]",morphemic,4.005646134314211,-1.9184803400939483,1.9184803400939805
13,13,srua,srua,sing,2,default,0.0006209837738424,plural,plural,son,s,[MASK] srua [MASK],"[CLS] , [MASK] , sr , ##ua , [MASK] , [SEP]",morphemic,7.384205605450339,2.9764875338812047,-2.976487533881288
15,15,srua,sruas,plur,3,default,0.0114161865785717,plural,plural,son,s,[MASK] sruas [MASK],"[CLS] , [MASK] , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,4.472723055338162,-0.7849635466733469,0.784963546673341
17,17,srua,srua##s,plur,3,artificial,0.0114161865785717,plural,plural,son,s,[MASK] srua##s [MASK],"[CLS] , [MASK] , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,4.472723055338162,-0.7849635466733469,0.784963546673341
19,19,qaa,qaa,sing,2,default,0.000267978903139,plural,plural,son,s,[MASK] qaa [MASK],"[CLS] , [MASK] , q , ##aa , [MASK] , [SEP]",morphemic,8.22460230018253,2.426661001673735,-2.426661001673762
21,21,qaa,qaas,plur,3,default,0.0059496434405446,plural,plural,son,s,[MASK] qaas [MASK],"[CLS] , [MASK] , q , ##aa , ##s , [MASK] , [SEP]",morphemic,5.124423987179121,-0.5500082633129892,0.5500082633130127
23,23,qaa,qaa##s,plur,3,artificial,0.0059496434405446,plural,plural,son,s,[MASK] qaa##s [MASK],"[CLS] , [MASK] , q , ##aa , ##s , [MASK] , [SEP]",morphemic,5.124423987179121,-0.5500082633129892,0.5500082633130127
25,25,gnio,gnio,sing,2,default,0.0007646082667633,plural,plural,son,s,[MASK] gnio [MASK],"[CLS] , [MASK] , g , ##nio , [MASK] , [SEP]",morphemic,7.176146924880487,1.908892103152672,-1.9088921031527715
27,27,gnio,gnios,plur,3,default,0.008406639099121,plural,plural,son,s,[MASK] gnios [MASK],"[CLS] , [MASK] , g , ##nio , ##s , [MASK] , [SEP]",morphemic,4.778733516366936,-1.5536718821245517,1.553671882124571
29,29,gnio,gnio##s,plur,3,artificial,0.008406639099121,plural,plural,son,s,[MASK] gnio##s [MASK],"[CLS] , [MASK] , g , ##nio , ##s , [MASK] , [SEP]",morphemic,4.778733516366936,-1.5536718821245517,1.553671882124571
31,31,sqaa,sqaa,sing,3,default,7.899913180153817e-05,plural,plural,son,s,[MASK] sqaa [MASK],"[CLS] , [MASK] , s , ##q , ##aa , [MASK] , [SEP]",morphemic,9.446073695411588,2.9965157523742674,-2.996515752374207
33,33,sqaa,sqaas,plur,4,default,0.0038683551829308,plural,plural,son,s,[MASK] sqaas [MASK],"[CLS] , [MASK] , s , ##q , ##aa , ##s , [MASK] , [SEP]",morphemic,5.554925879616448,-0.5197463549982837,0.5197463549983093
35,35,sqaa,sqaa##s,plur,4,artificial,0.0038683551829308,plural,plural,son,s,[MASK] sqaa##s [MASK],"[CLS] , [MASK] , s , ##q , ##aa , ##s , [MASK] , [SEP]",morphemic,5.554925879616448,-0.5197463549982837,0.5197463549983093
37,37,dynoa,dynoa,sing,3,default,0.000355776224751,plural,plural,son,s,[MASK] dynoa [MASK],"[CLS] , [MASK] , d , ##yn , ##oa , [MASK] , [SEP]",morphemic,7.941208606912877,2.363640773865196,-2.363640773865251
39,39,dynoa,dynoas,plur,4,default,0.0022011164110153,plural,plural,son,s,[MASK] dynoas [MASK],"[CLS] , [MASK] , d , ##yn , ##oa , ##s , [MASK] , [SEP]",morphemic,6.118790587779472,0.06776100018074782,-0.06776100018078876
41,41,dynoa,dynoa##s,plur,4,artificial,0.0022011164110153,plural,plural,son,s,[MASK] dynoa##s [MASK],"[CLS] , [MASK] , d , ##yn , ##oa , ##s , [MASK] , [SEP]",morphemic,6.118790587779472,0.06776100018074782,-0.06776100018078876
