,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal
0,remedio,remedio,sing,1,default,0.0002394837501924485,singular,grande,s,[MASK] remedio [MASK],"[CLS] , [MASK] , remedio , [MASK] , [SEP]",morphemic,8.33702499229845
1,remedio,remedio,sing,1,default,1.520472551419516e-06,plural,grandes,s,[MASK] remedio [MASK],"[CLS] , [MASK] , remedio , [MASK] , [SEP]",morphemic,13.396489382330302
2,remedio,reoedios,plur,3,default,1.2655332284339238e-05,singular,grande,s,[MASK] reoedios [MASK],"[CLS] , [MASK] , re , ##oe , ##dios , [MASK] , [SEP]",morphemic,11.277431907153524
3,remedio,reoedios,plur,3,default,0.003358157118782401,plural,grandes,s,[MASK] reoedios [MASK],"[CLS] , [MASK] , re , ##oe , ##dios , [MASK] , [SEP]",morphemic,5.696362932028167
4,remedio,remedio##s,plur,2,artificial,2.6648910989024444e-07,singular,grande,s,[MASK] remedio##s [MASK],"[CLS] , El , remedio , ##s , [MASK] , [SEP]",morphemic,15.137932457626686
5,remedio,remedio##s,plur,2,artificial,1.0940875654341653e-05,plural,grandes,s,[MASK] remedio##s [MASK],"[CLS] , El , remedio , ##s , [MASK] , [SEP]",morphemic,11.423004722643276
6,cierre,cierre,sing,1,default,0.00010528451821301132,singular,grande,s,[MASK] cierre [MASK],"[CLS] , [MASK] , cierre , [MASK] , [SEP]",morphemic,9.158844175151117
7,cierre,cierre,sing,1,default,1.3577995559899136e-05,plural,grandes,s,[MASK] cierre [MASK],"[CLS] , [MASK] , cierre , [MASK] , [SEP]",morphemic,11.207060049091858
8,cierre,cierrss,plur,3,default,3.3302439987892285e-05,singular,grande,s,[MASK] cierrss [MASK],"[CLS] , [MASK] , cier , ##rs , ##s , [MASK] , [SEP]",morphemic,10.309879890752526
9,cierre,cierrss,plur,3,default,0.00042245289660058916,plural,grandes,s,[MASK] cierrss [MASK],"[CLS] , [MASK] , cier , ##rs , ##s , [MASK] , [SEP]",morphemic,7.769432604718104
10,cierre,cierre##s,plur,2,artificial,4.114122589271574e-07,singular,grande,s,[MASK] cierre##s [MASK],"[CLS] , El , cierre , ##s , [MASK] , [SEP]",morphemic,14.70367006209869
11,cierre,cierre##s,plur,2,artificial,1.1720730981323868e-05,plural,grandes,s,[MASK] cierre##s [MASK],"[CLS] , El , cierre , ##s , [MASK] , [SEP]",morphemic,11.354151405340236
12,gestore,gestore,sing,2,default,1.8937300410470925e-05,singular,grande,s,[MASK] gestore [MASK],"[CLS] , [MASK] , gestor , ##e , [MASK] , [SEP]",morphemic,10.8743770141313
13,gestore,gestore,sing,2,default,2.0993318230466684e-06,plural,grandes,s,[MASK] gestore [MASK],"[CLS] , [MASK] , gestor , ##e , [MASK] , [SEP]",morphemic,13.073891443366321
