,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal
0,reserva,reserva,sing,1,default,0.04557560384273529,singular,singular,es,s,La reserva [MASK],"[CLS] , La , reserva , [MASK] , [SEP]",single-token,3.088382709075994
1,reserva,reserva,sing,1,default,0.0008567825425416231,plural,plural,son,s,La reserva [MASK],"[CLS] , La , reserva , [MASK] , [SEP]",single-token,7.0623264142231585
2,reserva,reservas,plur,1,default,0.000817839871160686,singular,singular,es,s,Las reservas [MASK],"[CLS] , Las , reservas , [MASK] , [SEP]",single-token,7.108843997051616
3,reserva,reservas,plur,1,default,0.10776879638433456,plural,plural,son,s,Las reservas [MASK],"[CLS] , Las , reservas , [MASK] , [SEP]",single-token,2.2277671208097583
4,reserva,reserva##s,plur,2,artificial,0.0005620967131108046,singular,singular,es,s,Las reserva##s [MASK],"[CLS] , [MASK] , reserva , ##s , [MASK] , [SEP]",single-token,7.483836635490145
5,reserva,reserva##s,plur,2,artificial,0.003639981849119067,plural,plural,son,s,Las reserva##s [MASK],"[CLS] , [MASK] , reserva , ##s , [MASK] , [SEP]",single-token,5.615776583851671
6,dólar,dólar,sing,1,default,0.005482513923197985,singular,singular,es,es,El dólar [MASK],"[CLS] , El , dólar , [MASK] , [SEP]",single-token,5.20619153810446
7,dólar,dólar,sing,1,default,0.00047081400407478213,plural,plural,son,es,El dólar [MASK],"[CLS] , El , dólar , [MASK] , [SEP]",single-token,7.661047437746995
8,dólar,dólares,plur,1,default,0.0017285419162362814,singular,singular,es,es,Los dólares [MASK],"[CLS] , Los , dólares , [MASK] , [SEP]",single-token,6.360477048832243
9,dólar,dólares,plur,1,default,0.1032208800315857,plural,plural,son,es,Los dólares [MASK],"[CLS] , Los , dólares , [MASK] , [SEP]",single-token,2.2708841205123385
10,dólar,dólar##es,plur,2,artificial,0.0021912280935794115,singular,singular,es,es,Los dólar##es [MASK],"[CLS] , [MASK] , dólar , ##es , [MASK] , [SEP]",single-token,6.123293119004399
11,dólar,dólar##es,plur,2,artificial,0.010045249946415424,plural,plural,son,es,Los dólar##es [MASK],"[CLS] , [MASK] , dólar , ##es , [MASK] , [SEP]",single-token,4.600655398355278
12,activo,activo,sing,1,default,0.029986700043082237,singular,singular,es,s,El activo [MASK],"[CLS] , El , activo , [MASK] , [SEP]",single-token,3.50700132751788
13,activo,activo,sing,1,default,0.001025193021632731,plural,plural,son,s,El activo [MASK],"[CLS] , El , activo , [MASK] , [SEP]",single-token,6.8828743703325515
14,activo,activos,plur,1,default,0.001461709151044488,singular,singular,es,s,Los activos [MASK],"[CLS] , Los , activos , [MASK] , [SEP]",single-token,6.528148876539614
15,activo,activos,plur,1,default,0.12223764508962631,plural,plural,son,s,Los activos [MASK],"[CLS] , Los , activos , [MASK] , [SEP]",single-token,2.101788218395874
16,activo,activo##s,plur,2,artificial,0.0004907673574052751,singular,singular,es,s,Los activo##s [MASK],"[CLS] , [MASK] , activo , ##s , [MASK] , [SEP]",single-token,7.619540356293544
17,activo,activo##s,plur,2,artificial,0.0024928573984652758,plural,plural,son,s,Los activo##s [MASK],"[CLS] , [MASK] , activo , ##s , [MASK] , [SEP]",single-token,5.994325676852806
18,permiso,permiso,sing,1,default,0.027180250734090805,singular,singular,es,s,El permiso [MASK],"[CLS] , El , permiso , [MASK] , [SEP]",single-token,3.6052646453535355
19,permiso,permiso,sing,1,default,0.0005311091081239283,plural,plural,son,s,El permiso [MASK],"[CLS] , El , permiso , [MASK] , [SEP]",single-token,7.5405430811368825
20,permiso,permisos,plur,1,default,0.00021012796787545085,singular,singular,es,s,Los permisos [MASK],"[CLS] , Los , permisos , [MASK] , [SEP]",single-token,8.46779384200234
21,permiso,permisos,plur,1,default,0.018083199858665466,plural,plural,son,s,Los permisos [MASK],"[CLS] , Los , permisos , [MASK] , [SEP]",single-token,4.012771956344542
22,permiso,permiso##s,plur,2,artificial,0.00027810546453110874,singular,singular,es,s,Los permiso##s [MASK],"[CLS] , [MASK] , permiso , ##s , [MASK] , [SEP]",single-token,8.187510147398854
23,permiso,permiso##s,plur,2,artificial,0.0009355170768685639,plural,plural,son,s,Los permiso##s [MASK],"[CLS] , [MASK] , permiso , ##s , [MASK] , [SEP]",single-token,6.974411158147828
24,cálculo,cálculo,sing,1,default,0.08334746956825256,singular,singular,es,s,El cálculo [MASK],"[CLS] , El , cálculo , [MASK] , [SEP]",single-token,2.4847370293553284
25,cálculo,cálculo,sing,1,default,0.001644919509999454,plural,plural,son,s,El cálculo [MASK],"[CLS] , El , cálculo , [MASK] , [SEP]",single-token,6.4100638260534355
26,cálculo,cálculos,plur,1,default,0.0006853737286292017,singular,singular,es,s,Los cálculos [MASK],"[CLS] , Los , cálculos , [MASK] , [SEP]",single-token,7.285546279242035
27,cálculo,cálculos,plur,1,default,0.07312431186437607,plural,plural,son,s,Los cálculos [MASK],"[CLS] , Los , cálculos , [MASK] , [SEP]",single-token,2.6155943838760893
28,cálculo,cálculo##s,plur,2,artificial,0.0004659965052269399,singular,singular,es,s,Los cálculo##s [MASK],"[CLS] , [MASK] , cálculo , ##s , [MASK] , [SEP]",single-token,7.671332423379754
29,cálculo,cálculo##s,plur,2,artificial,0.000791902479249984,plural,plural,son,s,Los cálculo##s [MASK],"[CLS] , [MASK] , cálculo , ##s , [MASK] , [SEP]",single-token,7.1410723059913686
30,empleo,empleo,sing,1,default,0.014852171763777733,singular,singular,es,s,El empleo [MASK],"[CLS] , El , empleo , [MASK] , [SEP]",single-token,4.209609177707398
31,empleo,empleo,sing,1,default,0.0008143489249050617,plural,plural,son,s,El empleo [MASK],"[CLS] , El , empleo , [MASK] , [SEP]",single-token,7.11312162913338
32,empleo,empleos,plur,1,default,0.0016332096420228481,singular,singular,es,s,Los empleos [MASK],"[CLS] , Los , empleos , [MASK] , [SEP]",single-token,6.417208094775046
33,empleo,empleos,plur,1,default,0.13558578491210938,plural,plural,son,s,Los empleos [MASK],"[CLS] , Los , empleos , [MASK] , [SEP]",single-token,1.9981507400026404
