,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal
0,spaio,spaio,sing,2,default,0.024148063734173775,singular,singular,es,s,El spaio [MASK],"[CLS] , El , spa , ##io , [MASK] , [SEP]",nonmorphemic,3.723551078736641
1,spaio,spaio,sing,2,default,0.0004715564427897334,plural,plural,son,s,El spaio [MASK],"[CLS] , El , spa , ##io , [MASK] , [SEP]",nonmorphemic,7.6594717540633
2,spaio,spaios,plur,2,default,0.00039463589200749993,singular,singular,es,s,Los spaios [MASK],"[CLS] , Los , spa , ##ios , [MASK] , [SEP]",nonmorphemic,7.837547010561093
3,spaio,spaios,plur,2,default,0.14171670377254486,plural,plural,son,s,Los spaios [MASK],"[CLS] , Los , spa , ##ios , [MASK] , [SEP]",nonmorphemic,1.9539252579870445
4,spaio,spaio##s,plur,3,artificial,0.0004662900173570961,singular,singular,es,s,Los spaio##s [MASK],"[CLS] , Los , spa , ##io , ##s , [MASK] , [SEP]",nonmorphemic,7.670702762577537
5,spaio,spaio##s,plur,3,artificial,0.11885646730661392,plural,plural,son,s,Los spaio##s [MASK],"[CLS] , Los , spa , ##io , ##s , [MASK] , [SEP]",nonmorphemic,2.129838670950787
6,shrao,shrao,sing,3,default,0.03702878952026367,singular,singular,es,s,El shrao [MASK],"[CLS] , El , sh , ##ra , ##o , [MASK] , [SEP]",nonmorphemic,3.2960595737547402
7,shrao,shrao,sing,3,default,0.0012108455412089825,plural,plural,son,s,El shrao [MASK],"[CLS] , El , sh , ##ra , ##o , [MASK] , [SEP]",nonmorphemic,6.7164363690290125
8,shrao,shraos,plur,3,default,0.00015764840645715594,singular,singular,es,s,Los shraos [MASK],"[CLS] , Los , sh , ##ra , ##os , [MASK] , [SEP]",nonmorphemic,8.755143280129868
9,shrao,shraos,plur,3,default,0.10808133333921432,plural,plural,son,s,Los shraos [MASK],"[CLS] , Los , sh , ##ra , ##os , [MASK] , [SEP]",nonmorphemic,2.2248712488110414
10,shrao,shrao##s,plur,4,artificial,0.0001560768869239837,singular,singular,es,s,Los shrao##s [MASK],"[CLS] , Los , sh , ##ra , ##o , ##s , [MASK] , [SEP]",nonmorphemic,8.765161807235415
11,shrao,shrao##s,plur,4,artificial,0.10604971647262573,plural,plural,son,s,Los shrao##s [MASK],"[CLS] , Los , sh , ##ra , ##o , ##s , [MASK] , [SEP]",nonmorphemic,2.2438472715004725
12,mceo,mceo,sing,3,default,0.05735424906015396,singular,singular,es,s,El mceo [MASK],"[CLS] , El , m , ##ce , ##o , [MASK] , [SEP]",nonmorphemic,2.858508348174755
13,mceo,mceo,sing,3,default,0.0008541918941773474,plural,plural,son,s,El mceo [MASK],"[CLS] , El , m , ##ce , ##o , [MASK] , [SEP]",nonmorphemic,7.065354688975209
14,mceo,mceos,plur,3,default,0.0007775253034196794,singular,singular,es,s,Los mceos [MASK],"[CLS] , Los , m , ##ce , ##os , [MASK] , [SEP]",nonmorphemic,7.159394369849221
15,mceo,mceos,plur,3,default,0.07475149631500244,plural,plural,son,s,Los mceos [MASK],"[CLS] , Los , m , ##ce , ##os , [MASK] , [SEP]",nonmorphemic,2.5935860493196845
16,mceo,mceo##s,plur,4,artificial,0.001141444663517177,singular,singular,es,s,Los mceo##s [MASK],"[CLS] , Los , m , ##ce , ##o , ##s , [MASK] , [SEP]",nonmorphemic,6.775460570158366
17,mceo,mceo##s,plur,4,artificial,0.11076194047927856,plural,plural,son,s,Los mceo##s [MASK],"[CLS] , Los , m , ##ce , ##o , ##s , [MASK] , [SEP]",nonmorphemic,2.2003720611571613
18,lia,lia,sing,2,default,0.028038794174790382,singular,singular,es,s,La lia [MASK],"[CLS] , La , li , ##a , [MASK] , [SEP]",nonmorphemic,3.5741662214925616
19,lia,lia,sing,2,default,0.0004378003941383213,plural,plural,son,s,La lia [MASK],"[CLS] , La , li , ##a , [MASK] , [SEP]",nonmorphemic,7.733747472605653
20,lia,lias,plur,2,default,0.001125018228776753,singular,singular,es,s,Las lias [MASK],"[CLS] , Las , li , ##as , [MASK] , [SEP]",nonmorphemic,6.789956040099913
21,lia,lias,plur,2,default,0.1061323806643486,plural,plural,son,s,Las lias [MASK],"[CLS] , Las , li , ##as , [MASK] , [SEP]",nonmorphemic,2.243068089872799
22,lia,lia##s,plur,3,artificial,0.0024081424344331026,singular,singular,es,s,Las lia##s [MASK],"[CLS] , Las , li , ##a , ##s , [MASK] , [SEP]",nonmorphemic,6.028899602772799
23,lia,lia##s,plur,3,artificial,0.0896255373954773,plural,plural,son,s,Las lia##s [MASK],"[CLS] , Las , li , ##a , ##s , [MASK] , [SEP]",nonmorphemic,2.4121149840359517
24,krio,krio,sing,2,default,0.025958336889743805,singular,singular,es,s,El krio [MASK],"[CLS] , El , k , ##rio , [MASK] , [SEP]",nonmorphemic,3.6512624535380622
25,krio,krio,sing,2,default,0.0002138869749614969,plural,plural,son,s,El krio [MASK],"[CLS] , El , k , ##rio , [MASK] , [SEP]",nonmorphemic,8.450062836850607
26,krio,krios,plur,2,default,0.002303363988175988,singular,singular,es,s,Los krios [MASK],"[CLS] , Los , k , ##rios , [MASK] , [SEP]",nonmorphemic,6.073384621055039
27,krio,krios,plur,2,default,0.059185754507780075,plural,plural,son,s,Los krios [MASK],"[CLS] , Los , k , ##rios , [MASK] , [SEP]",nonmorphemic,2.827074399363544
28,krio,krio##s,plur,3,artificial,0.003035670844838023,singular,singular,es,s,Los krio##s [MASK],"[CLS] , Los , k , ##rio , ##s , [MASK] , [SEP]",nonmorphemic,5.797322842705123
29,krio,krio##s,plur,3,artificial,0.09813874214887619,plural,plural,son,s,Los krio##s [MASK],"[CLS] , Los , k , ##rio , ##s , [MASK] , [SEP]",nonmorphemic,2.321373065308201
30,floa,floa,sing,2,default,0.00479430565610528,singular,singular,es,s,La floa [MASK],"[CLS] , La , flo , ##a , [MASK] , [SEP]",nonmorphemic,5.34032638694957
31,floa,floa,sing,2,default,0.00018627943063620478,plural,plural,son,s,La floa [MASK],"[CLS] , La , flo , ##a , [MASK] , [SEP]",nonmorphemic,8.588262696349268
32,floa,floas,plur,2,default,0.0009381264680996537,singular,singular,es,s,Las floas [MASK],"[CLS] , Las , flo , ##as , [MASK] , [SEP]",nonmorphemic,6.971625790648095
33,floa,floas,plur,2,default,0.051186397671699524,plural,plural,son,s,Las floas [MASK],"[CLS] , Las , flo , ##as , [MASK] , [SEP]",nonmorphemic,2.972281452707946
34,floa,floa##s,plur,3,artificial,0.0011162025621160865,singular,singular,es,s,Las floa##s [MASK],"[CLS] , Las , flo , ##a , ##s , [MASK] , [SEP]",nonmorphemic,6.797822924220991
35,floa,floa##s,plur,3,artificial,0.054271385073661804,plural,plural,son,s,Las floa##s [MASK],"[CLS] , Las , flo , ##a , ##s , [MASK] , [SEP]",nonmorphemic,2.91375816932976
36,cea,cea,sing,2,default,0.012420776300132275,singular,singular,es,s,La cea [MASK],"[CLS] , La , ce , ##a , [MASK] , [SEP]",nonmorphemic,4.3883847003936856
37,cea,cea,sing,2,default,0.0002551608195062727,plural,plural,son,s,La cea [MASK],"[CLS] , La , ce , ##a , [MASK] , [SEP]",nonmorphemic,8.273616546860794
38,cea,ceas,plur,2,default,0.0005612503737211227,singular,singular,es,s,Las ceas [MASK],"[CLS] , Las , ce , ##as , [MASK] , [SEP]",nonmorphemic,7.485343453035207
39,cea,ceas,plur,2,default,0.05855431407690048,plural,plural,son,s,Las ceas [MASK],"[CLS] , Las , ce , ##as , [MASK] , [SEP]",nonmorphemic,2.837800509724516
40,cea,cea##s,plur,3,artificial,0.0009397219400852919,singular,singular,es,s,Las cea##s [MASK],"[CLS] , Las , ce , ##a , ##s , [MASK] , [SEP]",nonmorphemic,6.969926534880067
41,cea,cea##s,plur,3,artificial,0.05567216873168945,plural,plural,son,s,Las cea##s [MASK],"[CLS] , Las , ce , ##a , ##s , [MASK] , [SEP]",nonmorphemic,2.888274920626365
42,thro,thro,sing,2,default,0.01552803535014391,singular,singular,es,s,El thro [MASK],"[CLS] , El , th , ##ro , [MASK] , [SEP]",nonmorphemic,4.165108156576037
43,thro,thro,sing,2,default,0.0002173388347728178,plural,plural,son,s,El thro [MASK],"[CLS] , El , th , ##ro , [MASK] , [SEP]",nonmorphemic,8.434052971654248
44,thro,thros,plur,2,default,0.00018127114162780344,singular,singular,es,s,Los thros [MASK],"[CLS] , Los , th , ##ros , [MASK] , [SEP]",nonmorphemic,8.615516627568066
45,thro,thros,plur,2,default,0.011128837242722511,plural,plural,son,s,Los thros [MASK],"[CLS] , Los , th , ##ros , [MASK] , [SEP]",nonmorphemic,4.498215589707143
46,thro,thro##s,plur,3,artificial,0.0010011843405663967,singular,singular,es,s,Los thro##s [MASK],"[CLS] , Los , th , ##ro , ##s , [MASK] , [SEP]",nonmorphemic,6.906571639193777
47,thro,thro##s,plur,3,artificial,0.09351682662963867,plural,plural,son,s,Los thro##s [MASK],"[CLS] , Los , th , ##ro , ##s , [MASK] , [SEP]",nonmorphemic,2.3696138949257106
48,caio,caio,sing,2,default,0.0226986613124609,singular,singular,es,s,El caio [MASK],"[CLS] , El , ca , ##io , [MASK] , [SEP]",nonmorphemic,3.7854493292531006
49,caio,caio,sing,2,default,0.0005720322951674461,plural,plural,son,s,El caio [MASK],"[CLS] , El , ca , ##io , [MASK] , [SEP]",nonmorphemic,7.466315108095339
50,caio,caios,plur,2,default,0.000293298828182742,singular,singular,es,s,Los caios [MASK],"[CLS] , Los , ca , ##ios , [MASK] , [SEP]",nonmorphemic,8.13431857727442
51,caio,caios,plur,2,default,0.0529467947781086,plural,plural,son,s,Los caios [MASK],"[CLS] , Los , ca , ##ios , [MASK] , [SEP]",nonmorphemic,2.9384677417582563
52,caio,caio##s,plur,3,artificial,0.0003951710823457688,singular,singular,es,s,Los caio##s [MASK],"[CLS] , Los , ca , ##io , ##s , [MASK] , [SEP]",nonmorphemic,7.83619176696978
