,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal
0,remedio,remedio,sing,1,default,0.026565013453364372,singular,singular,es,s,[MASK] remedio [MASK],"[CLS] , [MASK] , remedio , [MASK] , [SEP]",morphemic,3.628160212647423
1,remedio,remedio,sing,1,default,0.0013473744038492441,plural,plural,son,s,[MASK] remedio [MASK],"[CLS] , [MASK] , remedio , [MASK] , [SEP]",morphemic,6.609597466316059
2,remedio,remedios,plur,2,default,0.0011118417605757713,singular,singular,es,s,[MASK] remedios [MASK],"[CLS] , [MASK] , remedio , ##s , [MASK] , [SEP]",morphemic,6.801737394920079
3,remedio,remedios,plur,2,default,0.01831604726612568,plural,plural,son,s,[MASK] remedios [MASK],"[CLS] , [MASK] , remedio , ##s , [MASK] , [SEP]",morphemic,3.9999777035984754
4,remedio,remedio##s,plur,2,artificial,0.0011118417605757713,singular,singular,es,s,[MASK] remedio##s [MASK],"[CLS] , [MASK] , remedio , ##s , [MASK] , [SEP]",morphemic,6.801737394920079
5,remedio,remedio##s,plur,2,artificial,0.01831604726612568,plural,plural,son,s,[MASK] remedio##s [MASK],"[CLS] , [MASK] , remedio , ##s , [MASK] , [SEP]",morphemic,3.9999777035984754
6,cierre,cierre,sing,1,default,0.005292949732393026,singular,singular,es,s,[MASK] cierre [MASK],"[CLS] , [MASK] , cierre , [MASK] , [SEP]",morphemic,5.241379583148733
7,cierre,cierre,sing,1,default,0.0005168923526071012,plural,plural,son,s,[MASK] cierre [MASK],"[CLS] , [MASK] , cierre , [MASK] , [SEP]",morphemic,7.567675920595846
8,cierre,cierres,plur,2,default,0.0009106348152272403,singular,singular,es,s,[MASK] cierres [MASK],"[CLS] , [MASK] , cierre , ##s , [MASK] , [SEP]",morphemic,7.001368602511751
9,cierre,cierres,plur,2,default,0.005515621043741703,plural,plural,son,s,[MASK] cierres [MASK],"[CLS] , [MASK] , cierre , ##s , [MASK] , [SEP]",morphemic,5.200171022690727
10,cierre,cierre##s,plur,2,artificial,0.0009106348152272403,singular,singular,es,s,[MASK] cierre##s [MASK],"[CLS] , [MASK] , cierre , ##s , [MASK] , [SEP]",morphemic,7.001368602511751
11,cierre,cierre##s,plur,2,artificial,0.005515621043741703,plural,plural,son,s,[MASK] cierre##s [MASK],"[CLS] , [MASK] , cierre , ##s , [MASK] , [SEP]",morphemic,5.200171022690727
12,gestor,gestor,sing,1,default,0.0014250206295400858,singular,singular,es,es,[MASK] gestor [MASK],"[CLS] , [MASK] , gestor , [MASK] , [SEP]",morphemic,6.553568988496076
13,gestor,gestor,sing,1,default,8.806231198832393e-05,plural,plural,son,es,[MASK] gestor [MASK],"[CLS] , [MASK] , gestor , [MASK] , [SEP]",morphemic,9.337465903287653
14,gestor,gestores,plur,2,default,0.0004902317887172103,singular,singular,es,es,[MASK] gestores [MASK],"[CLS] , [MASK] , gestor , ##es , [MASK] , [SEP]",morphemic,7.620632240508511
15,gestor,gestores,plur,2,default,0.0015578694874420762,plural,plural,son,es,[MASK] gestores [MASK],"[CLS] , [MASK] , gestor , ##es , [MASK] , [SEP]",morphemic,6.464436104335058
16,gestor,gestor##es,plur,2,artificial,0.0004902317887172103,singular,singular,es,es,[MASK] gestor##es [MASK],"[CLS] , [MASK] , gestor , ##es , [MASK] , [SEP]",morphemic,7.620632240508511
17,gestor,gestor##es,plur,2,artificial,0.0015578694874420762,plural,plural,son,es,[MASK] gestor##es [MASK],"[CLS] , [MASK] , gestor , ##es , [MASK] , [SEP]",morphemic,6.464436104335058
18,monopolio,monopolio,sing,1,default,0.01946229860186577,singular,singular,es,s,[MASK] monopolio [MASK],"[CLS] , [MASK] , monopolio , [MASK] , [SEP]",morphemic,3.9392760898850274
19,monopolio,monopolio,sing,1,default,0.0020413221791386604,plural,plural,son,s,[MASK] monopolio [MASK],"[CLS] , [MASK] , monopolio , [MASK] , [SEP]",morphemic,6.1941575540408715
20,monopolio,monopolios,plur,2,default,0.0011822107480838895,singular,singular,es,s,[MASK] monopolios [MASK],"[CLS] , [MASK] , monopolio , ##s , [MASK] , [SEP]",morphemic,6.740369078020096
21,monopolio,monopolios,plur,2,default,0.022476091980934143,plural,plural,son,s,[MASK] monopolios [MASK],"[CLS] , [MASK] , monopolio , ##s , [MASK] , [SEP]",morphemic,3.7953031133338078
22,monopolio,monopolio##s,plur,2,artificial,0.0011822107480838895,singular,singular,es,s,[MASK] monopolio##s [MASK],"[CLS] , [MASK] , monopolio , ##s , [MASK] , [SEP]",morphemic,6.740369078020096
23,monopolio,monopolio##s,plur,2,artificial,0.022476091980934143,plural,plural,son,s,[MASK] monopolio##s [MASK],"[CLS] , [MASK] , monopolio , ##s , [MASK] , [SEP]",morphemic,3.7953031133338078
24,retorno,retorno,sing,1,default,0.005341362673789263,singular,singular,es,s,[MASK] retorno [MASK],"[CLS] , [MASK] , retorno , [MASK] , [SEP]",morphemic,5.232274476205974
25,retorno,retorno,sing,1,default,0.0004439382173586637,plural,plural,son,s,[MASK] retorno [MASK],"[CLS] , [MASK] , retorno , [MASK] , [SEP]",morphemic,7.719825155307421
26,retorno,retornos,plur,2,default,0.002026717644184828,singular,singular,es,s,[MASK] retornos [MASK],"[CLS] , [MASK] , retorno , ##s , [MASK] , [SEP]",morphemic,6.20133771860784
27,retorno,retornos,plur,2,default,0.011994372121989727,plural,plural,son,s,[MASK] retornos [MASK],"[CLS] , [MASK] , retorno , ##s , [MASK] , [SEP]",morphemic,4.423317729038455
28,retorno,retorno##s,plur,2,artificial,0.002026717644184828,singular,singular,es,s,[MASK] retorno##s [MASK],"[CLS] , [MASK] , retorno , ##s , [MASK] , [SEP]",morphemic,6.20133771860784
29,retorno,retorno##s,plur,2,artificial,0.011994372121989727,plural,plural,son,s,[MASK] retorno##s [MASK],"[CLS] , [MASK] , retorno , ##s , [MASK] , [SEP]",morphemic,4.423317729038455
30,planteamiento,planteamiento,sing,1,default,0.006535456981509924,singular,singular,es,s,[MASK] planteamiento [MASK],"[CLS] , [MASK] , planteamiento , [MASK] , [SEP]",morphemic,5.030513006040199
31,planteamiento,planteamiento,sing,1,default,0.0003775744989980012,plural,plural,son,s,[MASK] planteamiento [MASK],"[CLS] , [MASK] , planteamiento , [MASK] , [SEP]",morphemic,7.881742660406741
32,planteamiento,planteamientos,plur,2,default,0.0008337426697835326,singular,singular,es,s,[MASK] planteamientos [MASK],"[CLS] , [MASK] , planteamiento , ##s , [MASK] , [SEP]",morphemic,7.089585752636919
33,planteamiento,planteamientos,plur,2,default,0.0021060514263808727,plural,plural,son,s,[MASK] planteamientos [MASK],"[CLS] , [MASK] , planteamiento , ##s , [MASK] , [SEP]",morphemic,6.162940446584222
34,planteamiento,planteamiento##s,plur,2,artificial,0.0008337426697835326,singular,singular,es,s,[MASK] planteamiento##s [MASK],"[CLS] , [MASK] , planteamiento , ##s , [MASK] , [SEP]",morphemic,7.089585752636919
35,planteamiento,planteamiento##s,plur,2,artificial,0.0021060514263808727,plural,plural,son,s,[MASK] planteamiento##s [MASK],"[CLS] , [MASK] , planteamiento , ##s , [MASK] , [SEP]",morphemic,6.162940446584222
36,plantilla,plantilla,sing,1,default,0.003017810406163335,singular,singular,es,s,[MASK] plantilla [MASK],"[CLS] , [MASK] , plantilla , [MASK] , [SEP]",morphemic,5.803223741629242
37,plantilla,plantilla,sing,1,default,0.00017959032265935093,plural,plural,son,s,[MASK] plantilla [MASK],"[CLS] , [MASK] , plantilla , [MASK] , [SEP]",morphemic,8.624832286290937
38,plantilla,plantillas,plur,2,default,0.0013610596070066094,singular,singular,es,s,[MASK] plantillas [MASK],"[CLS] , [MASK] , plantilla , ##s , [MASK] , [SEP]",morphemic,6.599491759793808
39,plantilla,plantillas,plur,2,default,0.003562414087355137,plural,plural,son,s,[MASK] plantillas [MASK],"[CLS] , [MASK] , plantilla , ##s , [MASK] , [SEP]",morphemic,5.637316849508297
40,plantilla,plantilla##s,plur,2,artificial,0.0013610596070066094,singular,singular,es,s,[MASK] plantilla##s [MASK],"[CLS] , [MASK] , plantilla , ##s , [MASK] , [SEP]",morphemic,6.599491759793808
41,plantilla,plantilla##s,plur,2,artificial,0.003562414087355137,plural,plural,son,s,[MASK] plantilla##s [MASK],"[CLS] , [MASK] , plantilla , ##s , [MASK] , [SEP]",morphemic,5.637316849508297
42,gesto,gesto,sing,1,default,0.013867521658539772,singular,singular,es,s,[MASK] gesto [MASK],"[CLS] , [MASK] , gesto , [MASK] , [SEP]",morphemic,4.278205744216038
43,gesto,gesto,sing,1,default,0.0008575412211939692,plural,plural,son,s,[MASK] gesto [MASK],"[CLS] , [MASK] , gesto , [MASK] , [SEP]",morphemic,7.061441308716341
44,gesto,gestos,plur,2,default,0.0010802787728607655,singular,singular,es,s,[MASK] gestos [MASK],"[CLS] , [MASK] , gesto , ##s , [MASK] , [SEP]",morphemic,6.830536148134796
45,gesto,gestos,plur,2,default,0.008313331753015518,plural,plural,son,s,[MASK] gestos [MASK],"[CLS] , [MASK] , gesto , ##s , [MASK] , [SEP]",morphemic,4.789894817492739
46,gesto,gesto##s,plur,2,artificial,0.0010802787728607655,singular,singular,es,s,[MASK] gesto##s [MASK],"[CLS] , [MASK] , gesto , ##s , [MASK] , [SEP]",morphemic,6.830536148134796
