,POS,whole_word,root,affix
0,NOUN,remedios,remedio,s
1,NOUN,cierres,cierre,s
2,NOUN,gestores,gestor,es
3,NOUN,monopolios,monopolio,s
4,NOUN,retornos,retorno,s
5,NOUN,planteamientos,planteamiento,s
6,NOUN,plantillas,plantilla,s
7,NOUN,gestos,gesto,s
8,NOUN,trazados,trazado,s
9,NOUN,ciclistas,ciclista,s
10,NOUN,coincidencias,coincidencia,s
11,NOUN,arterias,arteria,s
12,NOUN,curiosos,curioso,s
13,NOUN,legítimas,legítima,s
14,NOUN,cancilleres,canciller,es
15,NOUN,árbitros,árbitro,s
16,NOUN,bloqueos,bloqueo,s
17,NOUN,aranceles,arancel,es
18,NOUN,televisores,televisor,es
19,NOUN,suscritos,suscrito,s
20,NOUN,cordilleras,cordillera,s
21,NOUN,naranjas,naranja,s
22,NOUN,consumos,consumo,s
23,NOUN,décimas,décima,s
24,NOUN,funerales,funeral,es
25,NOUN,peruanos,peruano,s
26,NOUN,venezolanos,venezolano,s
27,NOUN,cuarteles,cuartel,es
28,NOUN,derechas,derecha,s
29,NOUN,inventos,invento,s
30,NOUN,absurdos,absurdo,s
31,NOUN,tristezas,tristeza,s
32,NOUN,monarcas,monarca,s
33,NOUN,subidas,subida,s
34,NOUN,quesos,queso,s
35,NOUN,pesas,pesa,s
36,NOUN,soledades,soledad,es
37,NOUN,mientes,miente,s
38,NOUN,miserias,miseria,s
39,NOUN,interferencias,interferencia,s
40,NOUN,coherencias,coherencia,s
41,NOUN,posturas,postura,s
42,NOUN,intestinos,intestino,s
43,NOUN,vertidos,vertido,s
44,NOUN,fracasos,fracaso,s
45,NOUN,secuelas,secuela,s
46,NOUN,villas,villa,s
47,NOUN,latas,lata,s
48,NOUN,hielos,hielo,s
49,NOUN,milenios,milenio,s
50,NOUN,embajadas,embajada,s
51,NOUN,capitalistas,capitalista,s
52,NOUN,tambores,tambor,es
53,NOUN,albas,alba,s
54,NOUN,palacios,palacio,s
55,NOUN,cretinos,cretino,s
56,NOUN,princesas,princesa,s
57,NOUN,genios,genio,s
58,NOUN,muñecos,muñeco,s
59,NOUN,desperdicios,desperdicio,s
60,NOUN,chavales,chaval,es
61,NOUN,manadas,manada,s
62,NOUN,nacionalidades,nacionalidad,es
63,NOUN,norteamericanas,norteamericana,s
64,NOUN,ideologías,ideología,s
65,NOUN,futbolistas,futbolista,s
66,NOUN,palmas,palma,s
67,NOUN,editoriales,editorial,es
68,NOUN,encantos,encanto,s
69,NOUN,altares,altar,es
70,NOUN,tutores,tutor,es
71,NOUN,ancianas,anciana,s
72,NOUN,puñetas,puñeta,s
73,NOUN,paraísos,paraíso,s
74,NOUN,galas,gala,s
75,NOUN,teles,tele,s
