,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,no,no,sing,1,default,0.0027770358137786,plural,plural,son,s,[MASK] no [MASK],"[CLS] , [MASK] , no , [MASK] , [SEP]",single-token,5.886371174169285,3.0681200801128465,-3.0681200801128603
3,3,no,nos,plur,1,default,0.0021494152024388,plural,plural,son,s,[MASK] nos [MASK],"[CLS] , [MASK] , nos , [MASK] , [SEP]",single-token,6.142559472706626,0.9748015098338652,-0.9748015098338766
5,5,no,no##s,plur,2,artificial,0.0038556503131985,plural,plural,son,s,[MASK] no##s [MASK],"[CLS] , [MASK] , no , ##s , [MASK] , [SEP]",single-token,5.558215592757259,0.8936978087427709,-0.8936978087427819
7,7,gra,gra,sing,1,default,1.0225179721601307e-05,plural,plural,son,s,[MASK] gra [MASK],"[CLS] , [MASK] , gra , [MASK] , [SEP]",single-token,11.490657279505152,2.69675451852069,-2.6967545185201693
9,9,gra,gras,plur,1,default,0.0001075100226444,plural,plural,son,s,[MASK] gras [MASK],"[CLS] , [MASK] , gras , [MASK] , [SEP]",single-token,9.137926480840992,2.9490537644779575,-2.949053764478094
11,11,gra,gra##s,plur,2,artificial,6.429780569305876e-06,plural,plural,son,s,[MASK] gra##s [MASK],"[CLS] , [MASK] , gra , ##s , [MASK] , [SEP]",single-token,11.95457014637701,2.491750707990475,-2.4917507079904757
13,13,crea,crea,sing,1,default,0.0007557522621937,plural,plural,son,s,[MASK] crea [MASK],"[CLS] , [MASK] , crea , [MASK] , [SEP]",single-token,7.187796930999614,1.7641347995867873,-1.7641347995867964
15,15,crea,creas,plur,1,default,0.0008334101294167,plural,plural,son,s,[MASK] creas [MASK],"[CLS] , [MASK] , creas , [MASK] , [SEP]",single-token,7.08998468472205,0.8738918187986933,-0.873891818798717
17,17,crea,crea##s,plur,2,artificial,0.0035041545052081,plural,plural,son,s,[MASK] crea##s [MASK],"[CLS] , [MASK] , crea , ##s , [MASK] , [SEP]",single-token,5.653806012928008,-0.347421617809629,0.34742161780964886
19,19,pla,pla,sing,1,default,0.0003652713785413,plural,plural,son,s,[MASK] pla [MASK],"[CLS] , [MASK] , pla , [MASK] , [SEP]",single-token,7.914869977790047,2.0524535890110576,-2.052453589011234
21,21,pla,plas,plur,1,default,2.0836927433265373e-05,plural,plural,son,s,[MASK] plas [MASK],"[CLS] , [MASK] , plas , [MASK] , [SEP]",single-token,10.778783787972602,3.1711826877559544,-3.1711826877557545
