,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal
0,schwua,schwua,sing,4,default,6.672742165392265e-05,singular,singular,grande,s,La schwua [MASK],"[CLS] , La , s , ##ch , ##w , ##ua , [MASK] , [SEP]",morphemic,9.614894570279844
1,schwua,schwua,sing,4,default,3.1859212867857423e-07,plural,plural,grandes,s,La schwua [MASK],"[CLS] , La , s , ##ch , ##w , ##ua , [MASK] , [SEP]",morphemic,14.959354145743726
2,schwua,schwuas,plur,5,default,2.5627548438933445e-06,singular,singular,grande,s,Las schwuas [MASK],"[CLS] , Las , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,12.874427767169246
3,schwua,schwuas,plur,5,default,3.458478386164643e-05,plural,plural,grandes,s,Las schwuas [MASK],"[CLS] , Las , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,10.272096745413792
4,schwua,schwua##s,plur,5,artificial,2.5627548438933445e-06,singular,singular,grande,s,Las schwua##s [MASK],"[CLS] , Las , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,12.874427767169246
5,schwua,schwua##s,plur,5,artificial,3.458478386164643e-05,plural,plural,grandes,s,Las schwua##s [MASK],"[CLS] , Las , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,10.272096745413792
6,mio,mio,sing,1,default,0.00012341240653768182,singular,singular,grande,s,El mio [MASK],"[CLS] , El , mio , [MASK] , [SEP]",morphemic,8.999978912343458
7,mio,mio,sing,1,default,6.265788101700309e-07,plural,plural,grandes,s,El mio [MASK],"[CLS] , El , mio , [MASK] , [SEP]",morphemic,14.282991276156164
8,mio,mios,plur,2,default,1.1504996564326575e-06,singular,singular,grande,s,Los mios [MASK],"[CLS] , Los , mio , ##s , [MASK] , [SEP]",morphemic,13.67531422609541
9,mio,mios,plur,2,default,0.0001111523451982066,plural,plural,grandes,s,Los mios [MASK],"[CLS] , Los , mio , ##s , [MASK] , [SEP]",morphemic,9.104608818377589
10,mio,mio##s,plur,2,artificial,1.1504996564326575e-06,singular,singular,grande,s,Los mio##s [MASK],"[CLS] , Los , mio , ##s , [MASK] , [SEP]",morphemic,13.67531422609541
11,mio,mio##s,plur,2,artificial,0.0001111523451982066,plural,plural,grandes,s,Los mio##s [MASK],"[CLS] , Los , mio , ##s , [MASK] , [SEP]",morphemic,9.104608818377589
12,srua,srua,sing,2,default,4.440359407453798e-05,singular,singular,grande,s,La srua [MASK],"[CLS] , La , sr , ##ua , [MASK] , [SEP]",morphemic,10.022190144177449
13,srua,srua,sing,2,default,2.3303046248202008e-07,plural,plural,grandes,s,La srua [MASK],"[CLS] , La , sr , ##ua , [MASK] , [SEP]",morphemic,15.272096651660293
14,srua,sruas,plur,3,default,1.8221976461063605e-07,singular,singular,grande,s,Las sruas [MASK],"[CLS] , Las , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,15.518052380448186
15,srua,sruas,plur,3,default,1.0932430996035691e-05,plural,plural,grandes,s,Las sruas [MASK],"[CLS] , Las , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,11.423776865498537
16,srua,srua##s,plur,3,artificial,1.8221976461063605e-07,singular,singular,grande,s,Las srua##s [MASK],"[CLS] , Las , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,15.518052380448186
17,srua,srua##s,plur,3,artificial,1.0932430996035691e-05,plural,plural,grandes,s,Las srua##s [MASK],"[CLS] , Las , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,11.423776865498537
18,qaa,qaa,sing,2,default,2.2326708858599886e-05,singular,singular,grande,s,La qaa [MASK],"[CLS] , La , q , ##aa , [MASK] , [SEP]",morphemic,10.709726889512964
19,qaa,qaa,sing,2,default,1.2434732354904554e-07,plural,plural,grandes,s,La qaa [MASK],"[CLS] , La , q , ##aa , [MASK] , [SEP]",morphemic,15.900187190458624
20,qaa,qaas,plur,3,default,5.119240498174804e-08,singular,singular,grande,s,Las qaas [MASK],"[CLS] , Las , q , ##aa , ##s , [MASK] , [SEP]",morphemic,16.787674656104677
21,qaa,qaas,plur,3,default,1.2402369975461625e-06,plural,plural,grandes,s,Las qaas [MASK],"[CLS] , Las , q , ##aa , ##s , [MASK] , [SEP]",morphemic,13.60020806955642
22,qaa,qaa##s,plur,3,artificial,5.119240498174804e-08,singular,singular,grande,s,Las qaa##s [MASK],"[CLS] , Las , q , ##aa , ##s , [MASK] , [SEP]",morphemic,16.787674656104677
23,qaa,qaa##s,plur,3,artificial,1.2402369975461625e-06,plural,plural,grandes,s,Las qaa##s [MASK],"[CLS] , Las , q , ##aa , ##s , [MASK] , [SEP]",morphemic,13.60020806955642
24,gnio,gnio,sing,2,default,3.409510827623308e-05,singular,singular,grande,s,El gnio [MASK],"[CLS] , El , g , ##nio , [MASK] , [SEP]",morphemic,10.28635663627495
