,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,remedio,remedio,sing,1,default,0.0010668471222743,plural,plural,son,s,El remedio [MASK],"[CLS] , El , remedio , [MASK] , [SEP]",morphemic,6.84304759502121,4.8525967682773405,-4.852596768277377
3,3,remedio,remedios,plur,2,default,0.1142090409994125,plural,plural,son,s,Los remedios [MASK],"[CLS] , Los , remedio , ##s , [MASK] , [SEP]",morphemic,2.169724816772907,-4.689104525038255,4.689104525038321
5,5,remedio,remedio##s,plur,2,artificial,0.1142090409994125,plural,plural,son,s,Los remedio##s [MASK],"[CLS] , Los , remedio , ##s , [MASK] , [SEP]",morphemic,2.169724816772907,-4.689104525038255,4.689104525038321
7,7,cierre,cierre,sing,1,default,0.0007966100238263,plural,plural,son,s,El cierre [MASK],"[CLS] , El , cierre , [MASK] , [SEP]",morphemic,7.1351453040340855,4.144574132178169,-4.144574132178246
9,9,cierre,cierres,plur,2,default,0.0387058295309543,plural,plural,son,s,Los cierres [MASK],"[CLS] , Los , cierre , ##s , [MASK] , [SEP]",morphemic,3.251765056415754,-4.542959264039419,4.542959264039579
11,11,cierre,cierre##s,plur,2,artificial,0.0387058295309543,plural,plural,son,s,Los cierre##s [MASK],"[CLS] , Los , cierre , ##s , [MASK] , [SEP]",morphemic,3.251765056415754,-4.542959264039419,4.542959264039579
13,13,gestor,gestor,sing,1,default,0.0003987706732004,plural,plural,son,es,El gestor [MASK],"[CLS] , El , gestor , [MASK] , [SEP]",morphemic,7.827124060192228,4.587041298140114,-4.587041298140333
15,15,gestor,gestores,plur,2,default,0.0410032011568546,plural,plural,son,es,Los gestores [MASK],"[CLS] , Los , gestor , ##es , [MASK] , [SEP]",morphemic,3.194105138329225,-5.153953511617899,5.15395351161804
17,17,gestor,gestor##es,plur,2,artificial,0.0410032011568546,plural,plural,son,es,Los gestor##es [MASK],"[CLS] , Los , gestor , ##es , [MASK] , [SEP]",morphemic,3.194105138329225,-5.153953511617899,5.15395351161804
19,19,monopolio,monopolio,sing,1,default,0.0005856319330632,plural,plural,son,s,El monopolio [MASK],"[CLS] , El , monopolio , [MASK] , [SEP]",morphemic,7.44281906629969,2.8819595516507945,-2.8819595516509025
21,21,monopolio,monopolios,plur,2,default,0.0095815481618046,plural,plural,son,s,Los monopolios [MASK],"[CLS] , Los , monopolio , ##s , [MASK] , [SEP]",morphemic,4.64791609652714,-5.546690917658603,5.546690917658595
23,23,monopolio,monopolio##s,plur,2,artificial,0.0095815481618046,plural,plural,son,s,Los monopolio##s [MASK],"[CLS] , Los , monopolio , ##s , [MASK] , [SEP]",morphemic,4.64791609652714,-5.546690917658603,5.546690917658595
25,25,retorno,retorno,sing,1,default,0.0006596212042495,plural,plural,son,s,El retorno [MASK],"[CLS] , El , retorno , [MASK] , [SEP]",morphemic,7.323844820661577,2.680104726532072,-2.6801047265321545
27,27,retorno,retornos,plur,2,default,0.0589436702430248,plural,plural,son,s,Los retornos [MASK],"[CLS] , Los , retorno , ##s , [MASK] , [SEP]",morphemic,2.831173032776168,-4.874495900536545,4.874495900536677
29,29,retorno,retorno##s,plur,2,artificial,0.0589436702430248,plural,plural,son,s,Los retorno##s [MASK],"[CLS] , Los , retorno , ##s , [MASK] , [SEP]",morphemic,2.831173032776168,-4.874495900536545,4.874495900536677
31,31,planteamiento,planteamiento,sing,1,default,8.154082752298564e-05,plural,plural,son,s,El planteamiento [MASK],"[CLS] , El , planteamiento , [MASK] , [SEP]",morphemic,9.414406711949344,4.4064468558413505,-4.406446855841349
33,33,planteamiento,planteamientos,plur,2,default,0.0038475622422993,plural,plural,son,s,Los planteamientos [MASK],"[CLS] , Los , planteamiento , ##s , [MASK] , [SEP]",morphemic,5.560315515046336,-1.4793048486401714,1.4793048486402747
35,35,planteamiento,planteamiento##s,plur,2,artificial,0.0038475622422993,plural,plural,son,s,Los planteamiento##s [MASK],"[CLS] , Los , planteamiento , ##s , [MASK] , [SEP]",morphemic,5.560315515046336,-1.4793048486401714,1.4793048486402747
37,37,plantilla,plantilla,sing,1,default,0.0037663918919861,plural,plural,son,s,La plantilla [MASK],"[CLS] , La , plantilla , [MASK] , [SEP]",morphemic,5.581637793623092,3.6575537252857684,-3.657553725285777
39,39,plantilla,plantillas,plur,2,default,0.0208102483302354,plural,plural,son,s,Las plantillas [MASK],"[CLS] , Las , plantilla , ##s , [MASK] , [SEP]",morphemic,3.872309705431289,-3.975715186495896,3.975715186495964
41,41,plantilla,plantilla##s,plur,2,artificial,0.0208102483302354,plural,plural,son,s,Las plantilla##s [MASK],"[CLS] , Las , plantilla , ##s , [MASK] , [SEP]",morphemic,3.872309705431289,-3.975715186495896,3.975715186495964
43,43,gesto,gesto,sing,1,default,0.001022728276439,plural,plural,son,s,El gesto [MASK],"[CLS] , El , gesto , [MASK] , [SEP]",morphemic,6.885281441723527,3.386661138925486,-3.386661138925494
45,45,gesto,gestos,plur,2,default,0.0392783991992473,plural,plural,son,s,Los gestos [MASK],"[CLS] , Los , gesto , ##s , [MASK] , [SEP]",morphemic,3.2370805499096376,-4.540707561765892,4.540707561766095
47,47,gesto,gesto##s,plur,2,artificial,0.0392783991992473,plural,plural,son,s,Los gesto##s [MASK],"[CLS] , Los , gesto , ##s , [MASK] , [SEP]",morphemic,3.2370805499096376,-4.540707561765892,4.540707561766095
49,49,trazado,trazado,sing,1,default,0.000597798556555,plural,plural,son,s,El trazado [MASK],"[CLS] , El , trazado , [MASK] , [SEP]",morphemic,7.422256722712429,5.587145360972535,-5.58714536097264
51,51,trazado,trazados,plur,2,default,0.1217854917049408,plural,plural,son,s,Los trazados [MASK],"[CLS] , Los , trazado , ##s , [MASK] , [SEP]",morphemic,2.1054940465241634,-5.11127523276571,5.111275232765712
53,53,trazado,trazado##s,plur,2,artificial,0.1217854917049408,plural,plural,son,s,Los trazado##s [MASK],"[CLS] , Los , trazado , ##s , [MASK] , [SEP]",morphemic,2.1054940465241634,-5.11127523276571,5.111275232765712
55,55,ciclista,ciclista,sing,1,default,0.0001716830302029,plural,plural,son,s,El ciclista [MASK],"[CLS] , El , ciclista , [MASK] , [SEP]",morphemic,8.669860628940675,4.4619122234199615,-4.46191222342045
57,57,ciclista,ciclistas,plur,2,default,0.0292395520955324,plural,plural,son,s,Los ciclistas [MASK],"[CLS] , Los , ciclista , ##s , [MASK] , [SEP]",morphemic,3.53223296242813,-5.898104632817498,5.898104632817499
59,59,ciclista,ciclista##s,plur,2,artificial,0.0292395520955324,plural,plural,son,s,Los ciclista##s [MASK],"[CLS] , Los , ciclista , ##s , [MASK] , [SEP]",morphemic,3.53223296242813,-5.898104632817498,5.898104632817499
61,61,coincidencia,coincidencia,sing,1,default,0.0006483337492682,plural,plural,son,s,La coincidencia [MASK],"[CLS] , La , coincidencia , [MASK] , [SEP]",morphemic,7.341104949035255,4.869109652101709,-4.869109652101715
63,63,coincidencia,coincidencias,plur,2,default,0.0721561461687088,plural,plural,son,s,Las coincidencias [MASK],"[CLS] , Las , coincidencia , ##s , [MASK] , [SEP]",morphemic,2.628922811406887,-4.95008331424499,4.950083314245092
65,65,coincidencia,coincidencia##s,plur,2,artificial,0.0721561461687088,plural,plural,son,s,Las coincidencia##s [MASK],"[CLS] , Las , coincidencia , ##s , [MASK] , [SEP]",morphemic,2.628922811406887,-4.95008331424499,4.950083314245092
67,67,arteria,arteria,sing,1,default,0.0004369677335489,plural,plural,son,s,La arteria [MASK],"[CLS] , La , arteria , [MASK] , [SEP]",morphemic,7.735651201867132,5.362383380029246,-5.36238338002937
69,69,arteria,arterias,plur,2,default,0.0998937860131263,plural,plural,son,s,Las arterias [MASK],"[CLS] , Las , arteria , ##s , [MASK] , [SEP]",morphemic,2.303647797333065,-6.715827049534354,6.715827049534612
71,71,arteria,arteria##s,plur,2,artificial,0.0998937860131263,plural,plural,son,s,Las arteria##s [MASK],"[CLS] , Las , arteria , ##s , [MASK] , [SEP]",morphemic,2.303647797333065,-6.715827049534354,6.715827049534612
73,73,curioso,curioso,sing,1,default,0.0003031900268979,plural,plural,son,s,El curioso [MASK],"[CLS] , El , curioso , [MASK] , [SEP]",morphemic,8.101150797553869,4.133760021807371,-4.133760021807491
75,75,curioso,curiosos,plur,2,default,0.035557385534048,plural,plural,son,s,Los curiosos [MASK],"[CLS] , Los , curioso , ##s , [MASK] , [SEP]",morphemic,3.3366073937039213,-4.286211841405031,4.286211841405159
77,77,curioso,curioso##s,plur,2,artificial,0.035557385534048,plural,plural,son,s,Los curioso##s [MASK],"[CLS] , Los , curioso , ##s , [MASK] , [SEP]",morphemic,3.3366073937039213,-4.286211841405031,4.286211841405159
79,79,legítima,legítima,sing,1,default,0.0006134225986897,plural,plural,son,s,La legítima [MASK],"[CLS] , La , legítima , [MASK] , [SEP]",morphemic,7.39645646527741,3.7565426785802742,-3.7565426785804275
81,81,legítima,legítimas,plur,2,default,0.0738779082894325,plural,plural,son,s,Las legítimas [MASK],"[CLS] , Las , legítima , ##s , [MASK] , [SEP]",morphemic,2.6053414363227083,-4.9977756665959046,4.997775666596079
83,83,legítima,legítima##s,plur,2,artificial,0.0738779082894325,plural,plural,son,s,Las legítima##s [MASK],"[CLS] , Las , legítima , ##s , [MASK] , [SEP]",morphemic,2.6053414363227083,-4.9977756665959046,4.997775666596079
85,85,canciller,canciller,sing,1,default,0.0121527947485446,plural,plural,son,es,El canciller [MASK],"[CLS] , El , canciller , [MASK] , [SEP]",morphemic,4.410196115189875,1.9818372170867944,-1.9818372170868017
87,87,canciller,cancilleres,plur,2,default,0.1631516963243484,plural,plural,son,es,Los cancilleres [MASK],"[CLS] , Los , canciller , ##es , [MASK] , [SEP]",morphemic,1.8130748586671108,-6.664222663825276,6.66422266382542
89,89,canciller,canciller##es,plur,2,artificial,0.1631516963243484,plural,plural,son,es,Los canciller##es [MASK],"[CLS] , Los , canciller , ##es , [MASK] , [SEP]",morphemic,1.8130748586671108,-6.664222663825276,6.66422266382542
91,91,árbitro,árbitro,sing,1,default,0.0015350345056504,plural,plural,son,s,El árbitro [MASK],"[CLS] , El , árbitro , [MASK] , [SEP]",morphemic,6.479202418944555,4.297173004594839,-4.29717300459484
93,93,árbitro,árbitros,plur,2,default,0.1879368275403976,plural,plural,son,s,Los árbitros [MASK],"[CLS] , Los , árbitro , ##s , [MASK] , [SEP]",morphemic,1.6716493963420975,-6.768979033600644,6.768979033601055
95,95,árbitro,árbitro##s,plur,2,artificial,0.1879368275403976,plural,plural,son,s,Los árbitro##s [MASK],"[CLS] , Los , árbitro , ##s , [MASK] , [SEP]",morphemic,1.6716493963420975,-6.768979033600644,6.768979033601055
97,97,bloqueo,bloqueo,sing,1,default,0.0010933545418083,plural,plural,son,s,El bloqueo [MASK],"[CLS] , El , bloqueo , [MASK] , [SEP]",morphemic,6.818504747446876,4.150886948630113,-4.150886948630173
99,99,bloqueo,bloqueos,plur,2,default,0.0512519553303718,plural,plural,son,s,Los bloqueos [MASK],"[CLS] , Los , bloqueo , ##s , [MASK] , [SEP]",morphemic,2.971001508903675,-4.586387579461883,4.586387579462027
101,101,bloqueo,bloqueo##s,plur,2,artificial,0.0512519553303718,plural,plural,son,s,Los bloqueo##s [MASK],"[CLS] , Los , bloqueo , ##s , [MASK] , [SEP]",morphemic,2.971001508903675,-4.586387579461883,4.586387579462027
103,103,arancel,arancel,sing,1,default,0.0023998708929866,plural,plural,son,es,El arancel [MASK],"[CLS] , El , arancel , [MASK] , [SEP]",morphemic,6.032340337664111,3.1839932232943724,-3.183993223294395
105,105,arancel,aranceles,plur,2,default,0.0666586011648178,plural,plural,son,es,Los aranceles [MASK],"[CLS] , Los , arancel , ##es , [MASK] , [SEP]",morphemic,2.7081711909489194,-4.749350080899124,4.749350080899223
107,107,arancel,arancel##es,plur,2,artificial,0.0666586011648178,plural,plural,son,es,Los arancel##es [MASK],"[CLS] , Los , arancel , ##es , [MASK] , [SEP]",morphemic,2.7081711909489194,-4.749350080899124,4.749350080899223
109,109,televisor,televisor,sing,1,default,0.0008309088880196,plural,plural,son,es,El televisor [MASK],"[CLS] , El , televisor , [MASK] , [SEP]",morphemic,7.0929904104921775,1.908416711253965,-1.9084167112539763
