,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,schwua,schwua,sing,4,default,0.0004550403973553,plural,plural,son,s,La schwua [MASK],"[CLS] , La , s , ##ch , ##w , ##ua , [MASK] , [SEP]",morphemic,7.695124357558178,3.9805955867290286,-3.9805955867291005
3,3,schwua,schwuas,plur,5,default,0.102113276720047,plural,plural,son,s,Las schwuas [MASK],"[CLS] , Las , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,2.281672525830193,-2.8666749162574057,2.866674916257412
5,5,schwua,schwua##s,plur,5,artificial,0.102113276720047,plural,plural,son,s,Las schwua##s [MASK],"[CLS] , Las , s , ##ch , ##w , ##ua , ##s , [MASK] , [SEP]",morphemic,2.281672525830193,-2.8666749162574057,2.866674916257412
7,7,mio,mio,sing,1,default,0.0013544923858717,plural,plural,son,s,El mio [MASK],"[CLS] , El , mio , [MASK] , [SEP]",morphemic,6.604328517812098,4.435578835006647,-4.435578835006654
9,9,mio,mios,plur,2,default,0.1605019867420196,plural,plural,son,s,Los mios [MASK],"[CLS] , Los , mio , ##s , [MASK] , [SEP]",morphemic,1.829448958033728,-5.416359841523005,5.416359841523024
11,11,mio,mio##s,plur,2,artificial,0.1605019867420196,plural,plural,son,s,Los mio##s [MASK],"[CLS] , Los , mio , ##s , [MASK] , [SEP]",morphemic,1.829448958033728,-5.416359841523005,5.416359841523024
13,13,srua,srua,sing,2,default,0.0001307446218561,plural,plural,son,s,La srua [MASK],"[CLS] , La , sr , ##ua , [MASK] , [SEP]",morphemic,8.942264588896677,4.183893090309682,-4.1838930903099705
15,15,srua,sruas,plur,3,default,0.0239738561213016,plural,plural,son,s,Las sruas [MASK],"[CLS] , Las , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,3.7307913706625695,-3.880845480609437,3.8808454806095294
17,17,srua,srua##s,plur,3,artificial,0.0239738561213016,plural,plural,son,s,Las srua##s [MASK],"[CLS] , Las , sr , ##ua , ##s , [MASK] , [SEP]",morphemic,3.7307913706625695,-3.880845480609437,3.8808454806095294
19,19,qaa,qaa,sing,2,default,0.0005918624228797,plural,plural,son,s,La qaa [MASK],"[CLS] , La , q , ##aa , [MASK] , [SEP]",morphemic,7.432236343872034,4.4472513304811025,-4.447251330481248
21,21,qaa,qaas,plur,3,default,0.0777981802821159,plural,plural,son,s,Las qaas [MASK],"[CLS] , Las , q , ##aa , ##s , [MASK] , [SEP]",morphemic,2.5536372377613605,-4.073270890429438,4.0732708904294554
23,23,qaa,qaa##s,plur,3,artificial,0.0777981802821159,plural,plural,son,s,Las qaa##s [MASK],"[CLS] , Las , q , ##aa , ##s , [MASK] , [SEP]",morphemic,2.5536372377613605,-4.073270890429438,4.0732708904294554
25,25,gnio,gnio,sing,2,default,0.0005726164090447,plural,plural,son,s,El gnio [MASK],"[CLS] , El , g , ##nio , [MASK] , [SEP]",morphemic,7.465294508629634,4.600221626240715,-4.600221626240739
27,27,gnio,gnios,plur,3,default,0.1176596209406852,plural,plural,son,s,Los gnios [MASK],"[CLS] , Los , g , ##nio , ##s , [MASK] , [SEP]",morphemic,2.1399593912008106,-6.329596542832857,6.329596542832929
