,lemma,word_form,word_number,n_tokens,tokenization_type,article_probs,article_number,article_type,article,affix,sentence,model_token_inputs,source,surprisal
0,cao,cao,sing,2,default,0.008594295009970665,singular,definite,El,s,[MASK] cao,"[CLS] , [MASK] , ca , ##o , [SEP]",single-token,4.756656666784172
1,cao,cao,sing,2,default,0.0002734629961196333,plural,definite,Los,s,[MASK] cao,"[CLS] , [MASK] , ca , ##o , [SEP]",single-token,8.204344242807393
2,cao,caos,plur,1,default,0.1167030930519104,singular,definite,El,s,[MASK] caos,"[CLS] , [MASK] , caos , [SEP]",single-token,2.1481222357399994
3,cao,caos,plur,1,default,9.737581422086805e-05,plural,definite,Los,s,[MASK] caos,"[CLS] , [MASK] , caos , [SEP]",single-token,9.236932692104926
4,cao,cao##s,plur,3,artificial,0.0033590495586395264,singular,definite,El,s,[MASK] cao##s,"[CLS] , [MASK] , ca , ##o , ##s , [SEP]",single-token,5.696097214474656
5,cao,cao##s,plur,3,artificial,0.0009391533676534891,plural,definite,Los,s,[MASK] cao##s,"[CLS] , [MASK] , ca , ##o , ##s , [SEP]",single-token,6.970531761258653
6,cao,cao,sing,2,default,0.0014583207666873932,singular,indefinite,Un,s,[MASK] cao,"[CLS] , [MASK] , ca , ##o , [SEP]",single-token,6.530469665006441
7,cao,cao,sing,2,default,7.796411409799475e-06,plural,indefinite,Unos,s,[MASK] cao,"[CLS] , [MASK] , ca , ##o , [SEP]",single-token,11.761847005802744
8,cao,caos,plur,1,default,0.012318764813244343,singular,indefinite,Un,s,[MASK] caos,"[CLS] , [MASK] , caos , [SEP]",single-token,4.396631584568231
9,cao,caos,plur,1,default,2.4063410819508135e-06,plural,indefinite,Unos,s,[MASK] caos,"[CLS] , [MASK] , caos , [SEP]",single-token,12.937403187387396
10,cao,cao##s,plur,3,artificial,0.0004691067442763597,singular,indefinite,Un,s,[MASK] cao##s,"[CLS] , [MASK] , ca , ##o , ##s , [SEP]",single-token,7.664680215678511
11,cao,cao##s,plur,3,artificial,1.752120442688465e-05,plural,indefinite,Unos,s,[MASK] cao##s,"[CLS] , [MASK] , ca , ##o , ##s , [SEP]",single-token,10.952098728992166
