,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal
0,reserva,reserva,sing,1,default,0.04557560384273529,singular,es,s,La reserva [MASK],"[CLS] , La , reserva , [MASK] , [SEP]",single-token,3.088382709075994
1,reserva,reserva,sing,1,default,0.0008567825425416231,plural,son,s,La reserva [MASK],"[CLS] , La , reserva , [MASK] , [SEP]",single-token,7.0623264142231585
2,reserva,resedvas,plur,3,default,0.0004237228713463992,singular,es,s,Las resedvas [MASK],"[CLS] , Las , rese , ##d , ##vas , [MASK] , [SEP]",single-token,7.766430921740485
3,reserva,resedvas,plur,3,default,0.09553379565477371,plural,son,s,Las resedvas [MASK],"[CLS] , Las , rese , ##d , ##vas , [MASK] , [SEP]",single-token,2.3482752128948174
4,reserva,reserva##s,plur,2,artificial,0.0025355196557939053,singular,es,s,La reserva##s [MASK],"[CLS] , La , reserva , ##s , [MASK] , [SEP]",single-token,5.977356670523435
5,reserva,reserva##s,plur,2,artificial,0.023157106712460518,plural,son,s,La reserva##s [MASK],"[CLS] , La , reserva , ##s , [MASK] , [SEP]",single-token,3.765453560140816
6,dólare,dólare,sing,2,default,0.022352615371346474,singular,es,s,El dólare [MASK],"[CLS] , El , dólar , ##e , [MASK] , [SEP]",single-token,3.8008119459165397
7,dólare,dólare,sing,2,default,0.0003992595593445003,plural,son,s,El dólare [MASK],"[CLS] , El , dólar , ##e , [MASK] , [SEP]",single-token,7.825898827900934
8,dólare,dólfres,plur,4,default,1.9220584363210946e-05,singular,es,s,Los dólfres [MASK],"[CLS] , Los , dó , ##l , ##fre , ##s , [MASK] , [SEP]",single-token,10.859528750971156
9,dólare,dólfres,plur,4,default,0.008991953916847706,plural,son,s,Los dólfres [MASK],"[CLS] , Los , dó , ##l , ##fre , ##s , [MASK] , [SEP]",single-token,4.711425110749661
10,dólare,dólare##s,plur,3,artificial,0.026820410043001175,singular,es,s,El dólare##s [MASK],"[CLS] , El , dólar , ##e , ##s , [MASK] , [SEP]",single-token,3.618592112542971
11,dólare,dólare##s,plur,3,artificial,0.000975844741333276,plural,son,s,El dólare##s [MASK],"[CLS] , El , dólar , ##e , ##s , [MASK] , [SEP]",single-token,6.932207060707982
12,activo,activo,sing,1,default,0.029986700043082237,singular,es,s,El activo [MASK],"[CLS] , El , activo , [MASK] , [SEP]",single-token,3.50700132751788
13,activo,activo,sing,1,default,0.001025193021632731,plural,son,s,El activo [MASK],"[CLS] , El , activo , [MASK] , [SEP]",single-token,6.8828743703325515
14,activo,activis,plur,2,default,0.007989861071109772,singular,es,s,Los activis [MASK],"[CLS] , Los , activi , ##s , [MASK] , [SEP]",single-token,4.82958190720121
15,activo,activis,plur,2,default,0.05074179172515869,plural,son,s,Los activis [MASK],"[CLS] , Los , activi , ##s , [MASK] , [SEP]",single-token,2.9810054135472086
