,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,remedio,remedio,sing,1,default,4.8095298410544274e-08,plural,plural,grandes,s,El remedio [MASK],"[CLS] , El , remedio , [MASK] , [SEP]",morphemic,16.85008141075469,6.566433865309804,-6.566433865309805
3,3,remedio,remedios,plur,2,default,6.2087619880912825e-06,plural,plural,grandes,s,Los remedios [MASK],"[CLS] , Los , remedio , ##s , [MASK] , [SEP]",morphemic,11.989549039688578,-5.9013470777447825,5.901347077744783
5,5,remedio,remedio##s,plur,2,artificial,6.2087619880912825e-06,plural,plural,grandes,s,Los remedio##s [MASK],"[CLS] , Los , remedio , ##s , [MASK] , [SEP]",morphemic,11.989549039688578,-5.9013470777447825,5.901347077744783
7,7,cierre,cierre,sing,1,default,1.4756552957351232e-07,plural,plural,grandes,s,El cierre [MASK],"[CLS] , El , cierre , [MASK] , [SEP]",morphemic,15.728993491529478,5.173440861731915,-5.1734408617319145
9,9,cierre,cierres,plur,2,default,3.6310161704022895e-06,plural,plural,grandes,s,Los cierres [MASK],"[CLS] , Los , cierre , ##s , [MASK] , [SEP]",morphemic,12.525998012112554,-5.620218241827066,5.620218241827068
11,11,cierre,cierre##s,plur,2,artificial,3.6310161704022895e-06,plural,plural,grandes,s,Los cierre##s [MASK],"[CLS] , Los , cierre , ##s , [MASK] , [SEP]",morphemic,12.525998012112554,-5.620218241827066,5.620218241827068
13,13,gestor,gestor,sing,1,default,1.8610089025372643e-09,plural,plural,grandes,es,El gestor [MASK],"[CLS] , El , gestor , [MASK] , [SEP]",morphemic,20.102147075559284,6.104733420171717,-6.104733420171718
15,15,gestor,gestores,plur,2,default,9.822426818573149e-07,plural,plural,grandes,es,Los gestores [MASK],"[CLS] , Los , gestor , ##es , [MASK] , [SEP]",morphemic,13.833427428922652,-5.337936290123478,5.3379362901234835
17,17,gestor,gestor##es,plur,2,artificial,9.822426818573149e-07,plural,plural,grandes,es,Los gestor##es [MASK],"[CLS] , Los , gestor , ##es , [MASK] , [SEP]",morphemic,13.833427428922652,-5.337936290123478,5.3379362901234835
19,19,monopolio,monopolio,sing,1,default,5.86885136044657e-08,plural,plural,grandes,s,El monopolio [MASK],"[CLS] , El , monopolio , [MASK] , [SEP]",morphemic,16.651021808911473,5.163659014510362,-5.16365901451036
21,21,monopolio,monopolios,plur,2,default,4.769534371007467e-06,plural,plural,grandes,s,Los monopolios [MASK],"[CLS] , Los , monopolio , ##s , [MASK] , [SEP]",morphemic,12.253261873969782,-6.333719197539869,6.333719197539869
23,23,monopolio,monopolio##s,plur,2,artificial,4.769534371007467e-06,plural,plural,grandes,s,Los monopolio##s [MASK],"[CLS] , Los , monopolio , ##s , [MASK] , [SEP]",morphemic,12.253261873969782,-6.333719197539869,6.333719197539869
25,25,retorno,retorno,sing,1,default,1.821462518591943e-07,plural,plural,grandes,s,El retorno [MASK],"[CLS] , El , retorno , [MASK] , [SEP]",morphemic,15.518455890924557,3.9824876481128335,-3.98248764811283
27,27,retorno,retornos,plur,2,default,5.404357216320932e-05,plural,plural,grandes,s,Los retornos [MASK],"[CLS] , Los , retorno , ##s , [MASK] , [SEP]",morphemic,9.825719944850984,-5.51239768431285,5.51239768431285
29,29,retorno,retorno##s,plur,2,artificial,5.404357216320932e-05,plural,plural,grandes,s,Los retorno##s [MASK],"[CLS] , Los , retorno , ##s , [MASK] , [SEP]",morphemic,9.825719944850984,-5.51239768431285,5.51239768431285
31,31,planteamiento,planteamiento,sing,1,default,2.7847130823488442e-08,plural,plural,grandes,s,El planteamiento [MASK],"[CLS] , El , planteamiento , [MASK] , [SEP]",morphemic,17.396535898376225,4.261200868174257,-4.261200868174259
33,33,planteamiento,planteamientos,plur,2,default,1.0672297321434598e-05,plural,plural,grandes,s,Los planteamientos [MASK],"[CLS] , Los , planteamiento , ##s , [MASK] , [SEP]",morphemic,11.447859209224571,-8.628871945212378,8.62887194521238
35,35,planteamiento,planteamiento##s,plur,2,artificial,1.0672297321434598e-05,plural,plural,grandes,s,Los planteamiento##s [MASK],"[CLS] , Los , planteamiento , ##s , [MASK] , [SEP]",morphemic,11.447859209224571,-8.628871945212378,8.62887194521238
37,37,plantilla,plantilla,sing,1,default,1.3566497614192485e-07,plural,plural,grandes,s,La plantilla [MASK],"[CLS] , La , plantilla , [MASK] , [SEP]",morphemic,15.813077401119896,5.474773415946219,-5.474773415946219
39,39,plantilla,plantillas,plur,2,default,1.8671821635507515e-06,plural,plural,grandes,s,Las plantillas [MASK],"[CLS] , Las , plantilla , ##s , [MASK] , [SEP]",morphemic,13.191080127971125,-5.724010504660937,5.724010504660938
41,41,plantilla,plantilla##s,plur,2,artificial,1.8671821635507515e-06,plural,plural,grandes,s,Las plantilla##s [MASK],"[CLS] , Las , plantilla , ##s , [MASK] , [SEP]",morphemic,13.191080127971125,-5.724010504660937,5.724010504660938
43,43,gesto,gesto,sing,1,default,2.1412068917925358e-07,plural,plural,grandes,s,El gesto [MASK],"[CLS] , El , gesto , [MASK] , [SEP]",morphemic,15.356726012767464,5.3378257505844555,-5.3378257505844555
45,45,gesto,gestos,plur,2,default,1.0209067113464698e-05,plural,plural,grandes,s,Los gestos [MASK],"[CLS] , Los , gesto , ##s , [MASK] , [SEP]",morphemic,11.492234299848109,-6.451239521020122,6.451239521020122
47,47,gesto,gesto##s,plur,2,artificial,1.0209067113464698e-05,plural,plural,grandes,s,Los gesto##s [MASK],"[CLS] , Los , gesto , ##s , [MASK] , [SEP]",morphemic,11.492234299848109,-6.451239521020122,6.451239521020122
49,49,trazado,trazado,sing,1,default,7.949375913085532e-08,plural,plural,grandes,s,El trazado [MASK],"[CLS] , El , trazado , [MASK] , [SEP]",morphemic,16.347587319866204,3.555196803018342,-3.555196803018342
51,51,trazado,trazados,plur,2,default,2.9152835850254636e-05,plural,plural,grandes,s,Los trazados [MASK],"[CLS] , Los , trazado , ##s , [MASK] , [SEP]",morphemic,10.442958365156755,-6.067334155657004,6.0673341556570035
53,53,trazado,trazado##s,plur,2,artificial,2.9152835850254636e-05,plural,plural,grandes,s,Los trazado##s [MASK],"[CLS] , Los , trazado , ##s , [MASK] , [SEP]",morphemic,10.442958365156755,-6.067334155657004,6.0673341556570035
55,55,ciclista,ciclista,sing,1,default,6.278801834014304e-08,plural,plural,grandes,s,El ciclista [MASK],"[CLS] , El , ciclista , [MASK] , [SEP]",morphemic,16.583501572437186,4.03362756681779,-4.033627566817787
57,57,ciclista,ciclistas,plur,2,default,2.7952573873335496e-05,plural,plural,grandes,s,Los ciclistas [MASK],"[CLS] , Los , ciclista , ##s , [MASK] , [SEP]",morphemic,10.48500127411162,-7.3908386272046105,7.3908386272046105
59,59,ciclista,ciclista##s,plur,2,artificial,2.7952573873335496e-05,plural,plural,grandes,s,Los ciclista##s [MASK],"[CLS] , Los , ciclista , ##s , [MASK] , [SEP]",morphemic,10.48500127411162,-7.3908386272046105,7.3908386272046105
61,61,coincidencia,coincidencia,sing,1,default,6.400581753496226e-08,plural,plural,grandes,s,La coincidencia [MASK],"[CLS] , La , coincidencia , [MASK] , [SEP]",morphemic,16.564291858734016,5.883830024527381,-5.88383002452738
63,63,coincidencia,coincidencias,plur,2,default,6.411765753000509e-06,plural,plural,grandes,s,Las coincidencias [MASK],"[CLS] , Las , coincidencia , ##s , [MASK] , [SEP]",morphemic,11.957375856479354,-5.339834268320372,5.339834268320373
65,65,coincidencia,coincidencia##s,plur,2,artificial,6.411765753000509e-06,plural,plural,grandes,s,Las coincidencia##s [MASK],"[CLS] , Las , coincidencia , ##s , [MASK] , [SEP]",morphemic,11.957375856479354,-5.339834268320372,5.339834268320373
67,67,arteria,arteria,sing,1,default,4.717030606116168e-07,plural,plural,grandes,s,La arteria [MASK],"[CLS] , La , arteria , [MASK] , [SEP]",morphemic,14.566916158206572,5.627553849569942,-5.627553849569852
69,69,arteria,arterias,plur,2,default,6.72832247801125e-05,plural,plural,grandes,s,Las arterias [MASK],"[CLS] , Las , arteria , ##s , [MASK] , [SEP]",morphemic,9.606599612709331,-6.713787116288387,6.713787116288385
71,71,arteria,arteria##s,plur,2,artificial,6.72832247801125e-05,plural,plural,grandes,s,Las arteria##s [MASK],"[CLS] , Las , arteria , ##s , [MASK] , [SEP]",morphemic,9.606599612709331,-6.713787116288387,6.713787116288385
73,73,curioso,curioso,sing,1,default,1.1491854223777409e-07,plural,plural,grandes,s,El curioso [MASK],"[CLS] , El , curioso , [MASK] , [SEP]",morphemic,15.979042287933408,5.9612760583498225,-5.961276058349822
75,75,curioso,curiosos,plur,2,default,4.9697599024511874e-05,plural,plural,grandes,s,Los curiosos [MASK],"[CLS] , Los , curioso , ##s , [MASK] , [SEP]",morphemic,9.909553935394584,-4.427075345529492,4.427075345529493
77,77,curioso,curioso##s,plur,2,artificial,4.9697599024511874e-05,plural,plural,grandes,s,Los curioso##s [MASK],"[CLS] , Los , curioso , ##s , [MASK] , [SEP]",morphemic,9.909553935394584,-4.427075345529492,4.427075345529493
79,79,legítima,legítima,sing,1,default,2.984514857473641e-09,plural,plural,grandes,s,La legítima [MASK],"[CLS] , La , legítima , [MASK] , [SEP]",morphemic,19.629828630120254,6.189414969107235,-6.189414969107239
81,81,legítima,legítimas,plur,2,default,1.4784077393414918e-06,plural,plural,grandes,s,Las legítimas [MASK],"[CLS] , Las , legítima , ##s , [MASK] , [SEP]",morphemic,13.424544901128504,-4.7534036031097475,4.753403603109755
83,83,legítima,legítima##s,plur,2,artificial,1.4784077393414918e-06,plural,plural,grandes,s,Las legítima##s [MASK],"[CLS] , Las , legítima , ##s , [MASK] , [SEP]",morphemic,13.424544901128504,-4.7534036031097475,4.753403603109755
85,85,canciller,canciller,sing,1,default,3.740092324733269e-07,plural,plural,grandes,es,El canciller [MASK],"[CLS] , El , canciller , [MASK] , [SEP]",morphemic,14.79898535407901,3.792979337584537,-3.792979337584536
87,87,canciller,cancilleres,plur,2,default,1.330745726590976e-05,plural,plural,grandes,es,Los cancilleres [MASK],"[CLS] , Los , canciller , ##es , [MASK] , [SEP]",morphemic,11.227185983183276,-6.440407780710476,6.440407780710475
89,89,canciller,canciller##es,plur,2,artificial,1.330745726590976e-05,plural,plural,grandes,es,Los canciller##es [MASK],"[CLS] , Los , canciller , ##es , [MASK] , [SEP]",morphemic,11.227185983183276,-6.440407780710476,6.440407780710475
91,91,árbitro,árbitro,sing,1,default,1.2891198331033138e-08,plural,plural,grandes,s,El árbitro [MASK],"[CLS] , El , árbitro , [MASK] , [SEP]",morphemic,18.16672105837122,4.42865275644427,-4.4286527564442695
93,93,árbitro,árbitros,plur,2,default,5.249415153230075e-06,plural,plural,grandes,s,Los árbitros [MASK],"[CLS] , Los , árbitro , ##s , [MASK] , [SEP]",morphemic,12.157393886950862,-7.0206193985873515,7.020619398587351
95,95,árbitro,árbitro##s,plur,2,artificial,5.249415153230075e-06,plural,plural,grandes,s,Los árbitro##s [MASK],"[CLS] , Los , árbitro , ##s , [MASK] , [SEP]",morphemic,12.157393886950862,-7.0206193985873515,7.020619398587351
97,97,bloqueo,bloqueo,sing,1,default,1.8045018634893492e-07,plural,plural,grandes,s,El bloqueo [MASK],"[CLS] , El , bloqueo , [MASK] , [SEP]",morphemic,15.527811073168012,4.511939058898152,-4.511939058898152
99,99,bloqueo,bloqueos,plur,2,default,1.613639688002877e-05,plural,plural,grandes,s,Los bloqueos [MASK],"[CLS] , Los , bloqueo , ##s , [MASK] , [SEP]",morphemic,11.0344331616785,-6.039653881497703,6.039653881497702
