,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal
0,remedio,remedio,sing,1,default,3.418760024942458e-05,singular,grande,s,El remedio [MASK],"[CLS] , El , remedio , [MASK] , [SEP]",morphemic,10.283647545444886
1,remedio,remedio,sing,1,default,4.8095298410544274e-08,plural,grandes,s,El remedio [MASK],"[CLS] , El , remedio , [MASK] , [SEP]",morphemic,16.85008141075469
2,remedio,reoedios,plur,3,default,3.771362742099882e-07,singular,grande,s,Los reoedios [MASK],"[CLS] , Los , re , ##oe , ##dios , [MASK] , [SEP]",morphemic,14.790659244759942
3,remedio,reoedios,plur,3,default,4.0256174543173984e-05,plural,grandes,s,Los reoedios [MASK],"[CLS] , Los , re , ##oe , ##dios , [MASK] , [SEP]",morphemic,10.120247161065661
4,remedio,remedio##s,plur,2,artificial,2.6648910989024444e-07,singular,grande,s,El remedio##s [MASK],"[CLS] , El , remedio , ##s , [MASK] , [SEP]",morphemic,15.137932457626686
5,remedio,remedio##s,plur,2,artificial,1.0940875654341653e-05,plural,grandes,s,El remedio##s [MASK],"[CLS] , El , remedio , ##s , [MASK] , [SEP]",morphemic,11.423004722643276
6,cierre,cierre,sing,1,default,2.6048441213788465e-05,singular,grande,s,El cierre [MASK],"[CLS] , El , cierre , [MASK] , [SEP]",morphemic,10.555552629797562
7,cierre,cierre,sing,1,default,1.4756552957351232e-07,plural,grandes,s,El cierre [MASK],"[CLS] , El , cierre , [MASK] , [SEP]",morphemic,15.728993491529478
8,cierre,cierrss,plur,3,default,2.42090749225099e-07,singular,grande,s,Los cierrss [MASK],"[CLS] , Los , cier , ##rs , ##s , [MASK] , [SEP]",morphemic,15.233953184285522
9,cierre,cierrss,plur,3,default,7.332813765970059e-06,plural,grandes,s,Los cierrss [MASK],"[CLS] , Los , cier , ##rs , ##s , [MASK] , [SEP]",morphemic,11.823151245879046
10,cierre,cierre##s,plur,2,artificial,4.114122589271574e-07,singular,grande,s,El cierre##s [MASK],"[CLS] , El , cierre , ##s , [MASK] , [SEP]",morphemic,14.70367006209869
11,cierre,cierre##s,plur,2,artificial,1.1720730981323868e-05,plural,grandes,s,El cierre##s [MASK],"[CLS] , El , cierre , ##s , [MASK] , [SEP]",morphemic,11.354151405340236
12,gestore,gestore,sing,2,default,2.685346316866344e-06,singular,grande,s,El gestore [MASK],"[CLS] , El , gestor , ##e , [MASK] , [SEP]",morphemic,12.827700856247793
13,gestore,gestore,sing,2,default,2.401870702328779e-08,plural,grandes,s,El gestore [MASK],"[CLS] , El , gestor , ##e , [MASK] , [SEP]",morphemic,17.54443285091545
14,gestore,gestobes,plur,2,default,4.498317593970569e-07,singular,grande,s,Los gestobes [MASK],"[CLS] , Los , gesto , ##bes , [MASK] , [SEP]",morphemic,14.614392192094654
15,gestore,gestobes,plur,2,default,1.9043334759771824e-05,plural,grandes,s,Los gestobes [MASK],"[CLS] , Los , gesto , ##bes , [MASK] , [SEP]",morphemic,10.86879339899114
16,gestore,gestore##s,plur,3,artificial,2.4710177513043163e-06,singular,grande,s,El gestore##s [MASK],"[CLS] , El , gestor , ##e , ##s , [MASK] , [SEP]",morphemic,12.910880447129166
17,gestore,gestore##s,plur,3,artificial,1.844476287260477e-06,plural,grandes,s,El gestore##s [MASK],"[CLS] , El , gestor , ##e , ##s , [MASK] , [SEP]",morphemic,13.203315175909653
18,monopolio,monopolio,sing,1,default,1.0258921975037083e-05,singular,grande,s,El monopolio [MASK],"[CLS] , El , monopolio , [MASK] , [SEP]",morphemic,11.487362794401113
19,monopolio,monopolio,sing,1,default,5.86885136044657e-08,plural,grandes,s,El monopolio [MASK],"[CLS] , El , monopolio , [MASK] , [SEP]",morphemic,16.651021808911473
20,monopolio,mynopolios,plur,4,default,5.979370598652167e-08,singular,grande,s,Los mynopolios [MASK],"[CLS] , Los , my , ##no , ##poli , ##os , [MASK] , [SEP]",morphemic,16.632365432590618
21,monopolio,mynopolios,plur,4,default,9.178923392028082e-06,plural,grandes,s,Los mynopolios [MASK],"[CLS] , Los , my , ##no , ##poli , ##os , [MASK] , [SEP]",morphemic,11.59860063776628
22,monopolio,monopolio##s,plur,2,artificial,1.549986734517006e-07,singular,grande,s,El monopolio##s [MASK],"[CLS] , El , monopolio , ##s , [MASK] , [SEP]",morphemic,15.679849278439912
23,monopolio,monopolio##s,plur,2,artificial,7.66564789955737e-06,plural,grandes,s,El monopolio##s [MASK],"[CLS] , El , monopolio , ##s , [MASK] , [SEP]",morphemic,11.778761522199348
24,retorno,retorno,sing,1,default,9.772206794878002e-06,singular,grande,s,El retorno [MASK],"[CLS] , El , retorno , [MASK] , [SEP]",morphemic,11.535968242811725
25,retorno,retorno,sing,1,default,1.821462518591943e-07,plural,grandes,s,El retorno [MASK],"[CLS] , El , retorno , [MASK] , [SEP]",morphemic,15.518455890924555
26,retorno,retoknos,plur,3,default,1.223461708832474e-06,singular,grande,s,Los retoknos [MASK],"[CLS] , Los , reto , ##k , ##nos , [MASK] , [SEP]",morphemic,13.613826250971512
27,retorno,retoknos,plur,3,default,2.4533468604204245e-05,plural,grandes,s,Los retoknos [MASK],"[CLS] , Los , reto , ##k , ##nos , [MASK] , [SEP]",morphemic,10.615472307154429
28,retorno,retorno##s,plur,2,artificial,5.73942088522017e-06,singular,grande,s,El retorno##s [MASK],"[CLS] , El , retorno , ##s , [MASK] , [SEP]",morphemic,12.068152243799272
29,retorno,retorno##s,plur,2,artificial,0.00013061004574410617,plural,grandes,s,El retorno##s [MASK],"[CLS] , El , retorno , ##s , [MASK] , [SEP]",morphemic,8.943294424140573
30,planteamiento,planteamiento,sing,1,default,1.9742242329812143e-06,singular,grande,s,El planteamiento [MASK],"[CLS] , El , planteamiento , [MASK] , [SEP]",morphemic,13.135335030201967
31,planteamiento,planteamiento,sing,1,default,2.7847130823488442e-08,plural,grandes,s,El planteamiento [MASK],"[CLS] , El , planteamiento , [MASK] , [SEP]",morphemic,17.396535898376225
32,planteamiento,plantnamientos,plur,3,default,5.0678572449669446e-09,singular,grande,s,Los plantnamientos [MASK],"[CLS] , Los , plan , ##tn , ##amientos , [MASK] , [SEP]",morphemic,19.100347742807102
33,planteamiento,plantnamientos,plur,3,default,2.1692785594495945e-06,plural,grandes,s,Los plantnamientos [MASK],"[CLS] , Los , plan , ##tn , ##amientos , [MASK] , [SEP]",morphemic,13.04111590677248
