,lemma,word_form,word_number,n_tokens,tokenization_type,article_probs,article_number,article_type,article,affix,sentence,model_token_inputs,source,surprisal
0,remedio,remedio,sing,1,default,0.0846824049949646,singular,definite,El,s,[MASK] remedio,"[CLS] , [MASK] , remedio , [SEP]",morphemic,2.46884743213903
1,remedio,remedio,sing,1,default,4.816816363018006e-05,plural,definite,Los,s,[MASK] remedio,"[CLS] , [MASK] , remedio , [SEP]",morphemic,9.940812260735566
2,remedio,remedios,plur,2,default,3.076528082601726e-05,singular,definite,El,s,[MASK] remedios,"[CLS] , [MASK] , remedio , ##s , [SEP]",morphemic,10.389123749712807
3,remedio,remedios,plur,2,default,0.07571046054363251,plural,definite,Los,s,[MASK] remedios,"[CLS] , [MASK] , remedio , ##s , [SEP]",morphemic,2.5808389438893524
4,remedio,remedio##s,plur,2,artificial,3.076528082601726e-05,singular,definite,El,s,[MASK] remedio##s,"[CLS] , [MASK] , remedio , ##s , [SEP]",morphemic,10.389123749712807
5,remedio,remedio##s,plur,2,artificial,0.07571046054363251,plural,definite,Los,s,[MASK] remedio##s,"[CLS] , [MASK] , remedio , ##s , [SEP]",morphemic,2.5808389438893524
6,remedio,remedio,sing,1,default,0.03249149024486542,singular,indefinite,Un,s,[MASK] remedio,"[CLS] , [MASK] , remedio , [SEP]",morphemic,3.4267770625516873
7,remedio,remedio,sing,1,default,4.820724370802054e-06,plural,indefinite,Unos,s,[MASK] remedio,"[CLS] , [MASK] , remedio , [SEP]",morphemic,12.242586356794568
8,remedio,remedios,plur,2,default,1.8058297428069636e-05,singular,indefinite,Un,s,[MASK] remedios,"[CLS] , [MASK] , remedio , ##s , [SEP]",morphemic,10.921905287505266
9,remedio,remedios,plur,2,default,0.0019722264260053635,plural,indefinite,Unos,s,[MASK] remedios,"[CLS] , [MASK] , remedio , ##s , [SEP]",morphemic,6.228592208903526
10,remedio,remedio##s,plur,2,artificial,1.8058297428069636e-05,singular,indefinite,Un,s,[MASK] remedio##s,"[CLS] , [MASK] , remedio , ##s , [SEP]",morphemic,10.921905287505266
