,lemma,word_form,word_number,n_tokens,tokenization_type,article_probs,article_number,article_type,article,affix,sentence,model_token_inputs,source,surprisal
0,reserva,reserva,sing,1,default,0.020460743457078934,singular,definite,La,s,[MASK] reserva,"[CLS] , [MASK] , reserva , [SEP]",single-token,3.889247182018201
1,reserva,reserva,sing,1,default,6.493130786111578e-05,plural,definite,Las,s,[MASK] reserva,"[CLS] , [MASK] , reserva , [SEP]",single-token,9.642180649014431
2,reserva,resedvas,plur,3,default,0.00011875436030095443,singular,definite,La,s,[MASK] resedvas,"[CLS] , [MASK] , rese , ##d , ##vas , [SEP]",single-token,9.038453397399797
3,reserva,resedvas,plur,3,default,0.006131508853286505,plural,definite,Las,s,[MASK] resedvas,"[CLS] , [MASK] , rese , ##d , ##vas , [SEP]",single-token,5.094314416861009
4,reserva,reserva##s,plur,2,artificial,0.0002446707512717694,singular,definite,La,s,[MASK] reserva##s,"[CLS] , [MASK] , reserva , ##s , [SEP]",single-token,8.315597123585956
5,reserva,reserva##s,plur,2,artificial,0.04960987716913223,plural,definite,Las,s,[MASK] reserva##s,"[CLS] , [MASK] , reserva , ##s , [SEP]",single-token,3.003565328601851
6,reserva,reserva,sing,1,default,0.005777936894446611,singular,indefinite,Una,s,[MASK] reserva,"[CLS] , [MASK] , reserva , [SEP]",single-token,5.15370859869268
7,reserva,reserva,sing,1,default,3.2249399737338535e-06,plural,indefinite,Unas,s,[MASK] reserva,"[CLS] , [MASK] , reserva , [SEP]",single-token,12.644596220685463
8,reserva,resedvas,plur,3,default,5.1400511438259855e-05,singular,indefinite,Una,s,[MASK] resedvas,"[CLS] , [MASK] , rese , ##d , ##vas , [SEP]",single-token,9.87586243539196
9,reserva,resedvas,plur,3,default,0.00016983381647150964,plural,indefinite,Unas,s,[MASK] resedvas,"[CLS] , [MASK] , rese , ##d , ##vas , [SEP]",single-token,8.68069014919538
10,reserva,reserva##s,plur,2,artificial,2.421926546958275e-05,singular,indefinite,Una,s,[MASK] reserva##s,"[CLS] , [MASK] , reserva , ##s , [SEP]",single-token,10.628362147731801
11,reserva,reserva##s,plur,2,artificial,0.00022552984592039138,plural,indefinite,Unas,s,[MASK] reserva##s,"[CLS] , [MASK] , reserva , ##s , [SEP]",single-token,8.39705805336546
12,dólare,dólare,sing,2,default,0.014424636960029602,singular,definite,El,s,[MASK] dólare,"[CLS] , [MASK] , dólar , ##e , [SEP]",single-token,4.238817634320304
13,dólare,dólare,sing,2,default,0.00023739533207844943,plural,definite,Los,s,[MASK] dólare,"[CLS] , [MASK] , dólar , ##e , [SEP]",single-token,8.345783738667574
14,dólare,dólfres,plur,4,default,0.0007746380870230496,singular,definite,El,s,[MASK] dólfres,"[CLS] , [MASK] , dó , ##l , ##fre , ##s , [SEP]",single-token,7.163114622168528
15,dólare,dólfres,plur,4,default,0.14389380812644958,plural,definite,Los,s,[MASK] dólfres,"[CLS] , [MASK] , dó , ##l , ##fre , ##s , [SEP]",single-token,1.9386796950177192
16,dólare,dólare##s,plur,3,artificial,0.0007228126050904393,singular,definite,El,s,[MASK] dólare##s,"[CLS] , [MASK] , dólar , ##e , ##s , [SEP]",single-token,7.232360560147517
17,dólare,dólare##s,plur,3,artificial,0.012754306197166443,plural,definite,Los,s,[MASK] dólare##s,"[CLS] , [MASK] , dólar , ##e , ##s , [SEP]",single-token,4.361886323445108
18,dólare,dólare,sing,2,default,0.0015038264682516456,singular,indefinite,Un,s,[MASK] dólare,"[CLS] , [MASK] , dólar , ##e , [SEP]",single-token,6.499742440263122
