,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,article_probs,article_number,article_type,article,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,no,no,sing,1,default,0.0001460266066715,plural,definite,Los,s,[MASK] no,"[CLS] , [MASK] , no , [SEP]",single-token,8.83172171538306,1.814796467718133,-1.814796467718212
3,3,no,nos,plur,1,default,0.0040138578042387,plural,definite,Los,s,[MASK] nos,"[CLS] , [MASK] , nos , [SEP]",single-token,5.5180024541884345,0.14301288614756746,-0.1430128861475906
5,5,no,no##s,plur,2,artificial,0.0012295539490878,plural,definite,Los,s,[MASK] no##s,"[CLS] , [MASK] , no , ##s , [SEP]",single-token,6.701103818386693,-1.3411026238882133,1.3411026238882193
7,7,no,no,sing,1,default,6.592060799448518e-06,plural,indefinite,Unos,s,[MASK] no,"[CLS] , [MASK] , no , [SEP]",single-token,11.929644542182324,4.22547915735287,-4.225479157352736
9,9,no,nos,plur,1,default,4.9884256441146135e-05,plural,indefinite,Unos,s,[MASK] nos,"[CLS] , [MASK] , nos , [SEP]",single-token,9.905805107169526,1.855495820999952,-1.8554958209998336
11,11,no,no##s,plur,2,artificial,1.6447711459477432e-05,plural,indefinite,Unos,s,[MASK] no##s,"[CLS] , [MASK] , no , ##s , [SEP]",single-token,11.01532421143553,2.265403152685945,-2.2654031526855993
13,13,gra,gra,sing,1,default,9.750299068400636e-05,plural,definite,Las,s,[MASK] gra,"[CLS] , [MASK] , gra , [SEP]",single-token,9.235627506748784,2.790076299344089,-2.7900762993440624
15,15,gra,gras,plur,1,default,3.3336877095280215e-05,plural,definite,Las,s,[MASK] gras,"[CLS] , [MASK] , gras , [SEP]",single-token,10.308846353436698,3.5220775438161924,-3.5220775438161795
17,17,gra,gra##s,plur,2,artificial,3.4862576285377145e-05,plural,definite,Las,s,[MASK] gra##s,"[CLS] , [MASK] , gra , ##s , [SEP]",single-token,10.26409661683444,1.5673108060318324,-1.5673108060315386
19,19,gra,gra,sing,1,default,2.1889748040848644e-06,plural,indefinite,Unas,s,[MASK] gra,"[CLS] , [MASK] , gra , [SEP]",single-token,13.032077249729689,4.603540520467952,-4.603540520467909
21,21,gra,gras,plur,1,default,8.449038659819053e-07,plural,indefinite,Unas,s,[MASK] gras,"[CLS] , [MASK] , gras , [SEP]",single-token,13.984042984130069,3.74468990235488,-3.7446899023548794
23,23,gra,gra##s,plur,2,artificial,1.5435887235071275e-06,plural,indefinite,Unas,s,[MASK] gra##s,"[CLS] , [MASK] , gra , ##s , [SEP]",single-token,13.381400512630227,3.049129494522827,-3.0491294945228264
25,25,crea,crea,sing,1,default,0.0042181028984487,plural,definite,Las,s,[MASK] crea,"[CLS] , [MASK] , crea , [SEP]",single-token,5.468369802142809,0.19213105153995969,-0.1921310515399605
27,27,crea,creas,plur,1,default,0.0042395335622131,plural,definite,Las,s,[MASK] creas,"[CLS] , [MASK] , creas , [SEP]",single-token,5.46330202470168,-0.948781000790949,0.9487810007909561
29,29,crea,crea##s,plur,2,artificial,0.0114431697875261,plural,definite,Las,s,[MASK] crea##s,"[CLS] , [MASK] , crea , ##s , [SEP]",single-token,4.470362252080666,-2.0459761743978486,2.045976174397869
31,31,crea,crea,sing,1,default,3.270438355684746e-06,plural,indefinite,Unas,s,[MASK] crea,"[CLS] , [MASK] , crea , [SEP]",single-token,12.630586528313287,2.2550221013499456,-2.255022101349946
