,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,patrono,patrono,sing,2,default,6.492314241768328e-08,plural,plural,grandes,s,El patrono [MASK],"[CLS] , El , patr , ##ono , [MASK] , [SEP]",non_morphemic,16.550061691009322,5.5089272305312065,-5.5089272305312065
3,3,patrono,patronos,plur,2,default,4.734197602829227e-07,plural,plural,grandes,s,Los patronos [MASK],"[CLS] , Los , patr , ##onos , [MASK] , [SEP]",non_morphemic,14.563283399540111,-4.455324214716519,4.4553242147165175
5,5,patrono,patrono##s,plur,3,artificial,1.2769255590683317e-05,plural,plural,grandes,s,Los patrono##s [MASK],"[CLS] , Los , patr , ##ono , ##s , [MASK] , [SEP]",non_morphemic,11.268470183222464,-5.786500904489861,5.786500904489861
7,7,premisa,premisa,sing,2,default,1.6084255705095533e-08,plural,plural,grandes,s,La premisa [MASK],"[CLS] , La , premis , ##a , [MASK] , [SEP]",non_morphemic,17.94542494993433,6.135877533359581,-6.135877533359579
9,9,premisa,premisas,plur,2,default,1.2708459280474926e-06,plural,plural,grandes,s,Las premisas [MASK],"[CLS] , Las , premis , ##as , [MASK] , [SEP]",non_morphemic,13.575827794153216,-6.58303450648954,6.583034506489539
11,11,premisa,premisa##s,plur,3,artificial,1.9402932593948208e-06,plural,plural,grandes,s,Las premisa##s [MASK],"[CLS] , Las , premis , ##a , ##s , [MASK] , [SEP]",non_morphemic,13.152671431676756,-6.0586414552038566,6.05864145520386
13,13,kilo,kilo,sing,2,default,7.378550321845978e-07,plural,plural,grandes,s,El kilo [MASK],"[CLS] , El , k , ##ilo , [MASK] , [SEP]",non_morphemic,14.1195184649957,3.8443994619655673,-3.8443994619655686
15,15,kilo,kilos,plur,2,default,4.157525472692214e-05,plural,plural,grandes,s,Los kilos [MASK],"[CLS] , Los , k , ##ilos , [MASK] , [SEP]",non_morphemic,10.088005405978684,-3.663024956421431,3.6630249564214292
17,17,kilo,kilo##s,plur,3,artificial,2.6194709789706397e-05,plural,plural,grandes,s,Los kilo##s [MASK],"[CLS] , Los , k , ##ilo , ##s , [MASK] , [SEP]",non_morphemic,10.549953084008507,-3.951313969399491,3.9513139693994894
19,19,bebedor,bebedor,sing,2,default,4.842436140961581e-08,plural,plural,grandes,es,El bebedor [MASK],"[CLS] , El , bebe , ##dor , [MASK] , [SEP]",non_morphemic,16.843262814944932,5.743721012604443,-5.743721012604443
21,21,bebedor,bebedores,plur,2,default,3.396915417397395e-05,plural,plural,grandes,es,Los bebedores [MASK],"[CLS] , Los , bebe , ##dores , [MASK] , [SEP]",non_morphemic,10.29005767530772,-4.344088470366351,4.344088470366351
23,23,bebedor,bebedor##es,plur,3,artificial,1.3725325516134037e-05,plural,plural,grandes,es,Los bebedor##es [MASK],"[CLS] , Los , bebe , ##dor , ##es , [MASK] , [SEP]",non_morphemic,11.196267853827408,-4.820682561711742,4.820682561711743
25,25,rumano,rumano,sing,2,default,3.2566973118264286e-08,plural,plural,grandes,s,El rumano [MASK],"[CLS] , El , rum , ##ano , [MASK] , [SEP]",non_morphemic,17.23996715663265,4.695592856300989,-4.695592856300989
27,27,rumano,rumanos,plur,2,default,9.71052395470906e-06,plural,plural,grandes,s,Los rumanos [MASK],"[CLS] , Los , rum , ##anos , [MASK] , [SEP]",non_morphemic,11.542300316796654,-4.7143307466166835,4.714330746616683
29,29,rumano,rumano##s,plur,3,artificial,7.097817160683917e-06,plural,plural,grandes,s,Los rumano##s [MASK],"[CLS] , Los , rum , ##ano , ##s , [MASK] , [SEP]",non_morphemic,11.855723263344228,-5.225089011406162,5.225089011406162
31,31,mandatario,mandatario,sing,2,default,8.170858478706577e-08,plural,plural,grandes,s,El mandatario [MASK],"[CLS] , El , manda , ##tario , [MASK] , [SEP]",non_morphemic,16.32010676364758,4.666400878812835,-4.666400878812838
33,33,mandatario,mandatarios,plur,2,default,2.538242915761657e-05,plural,plural,grandes,s,Los mandatarios [MASK],"[CLS] , Los , manda , ##tarios , [MASK] , [SEP]",non_morphemic,10.58145338876807,-5.86972243133429,5.869722431334289
35,35,mandatario,mandatario##s,plur,3,artificial,1.7382519217790104e-05,plural,plural,grandes,s,Los mandatario##s [MASK],"[CLS] , Los , manda , ##tario , ##s , [MASK] , [SEP]",non_morphemic,10.960045499391216,-5.753030701854426,5.7530307018544224
37,37,negociador,negociador,sing,2,default,2.2501880914127528e-10,plural,plural,grandes,es,El negociador [MASK],"[CLS] , El , negociado , ##r , [MASK] , [SEP]",non_morphemic,22.21483712103465,6.197848301809561,-6.197848301809562
39,39,negociador,negociadores,plur,2,default,1.2428883700010829e-08,plural,plural,grandes,es,Los negociadores [MASK],"[CLS] , Los , negociado , ##res , [MASK] , [SEP]",non_morphemic,18.20324274237455,-4.2272186342554186,4.227218634255419
41,41,negociador,negociador##es,plur,3,artificial,1.6687527804037927e-08,plural,plural,grandes,es,Los negociador##es [MASK],"[CLS] , Los , negociado , ##r , ##es , [MASK] , [SEP]",non_morphemic,17.908604234627756,-4.630331171264068,4.63033117126407
43,43,comicio,comicio,sing,2,default,7.852815286923942e-08,plural,plural,grandes,s,El comicio [MASK],"[CLS] , El , com , ##icio , [MASK] , [SEP]",non_morphemic,16.359808641175373,4.844140085013837,-4.844140085013837
45,45,comicio,comicios,plur,2,default,7.879710210545454e-06,plural,plural,grandes,s,Los comicios [MASK],"[CLS] , Los , com , ##icios , [MASK] , [SEP]",non_morphemic,11.751219430082203,-5.571978514077484,5.571978514077484
47,47,comicio,comicio##s,plur,3,artificial,8.592608537583146e-06,plural,plural,grandes,s,Los comicio##s [MASK],"[CLS] , Los , com , ##icio , ##s , [MASK] , [SEP]",non_morphemic,11.66460819663701,-5.3888921163152315,5.388892116315231
49,49,sondeo,sondeo,sing,2,default,2.1500137847851877e-07,plural,plural,grandes,s,El sondeo [MASK],"[CLS] , El , son , ##deo , [MASK] , [SEP]",non_morphemic,15.352621397311308,4.813302031387362,-4.813302031387361
51,51,sondeo,sondeos,plur,2,default,3.9140631997725e-05,plural,plural,grandes,s,Los sondeos [MASK],"[CLS] , Los , son , ##deos , [MASK] , [SEP]",non_morphemic,10.148349449020806,-5.1491689354398,5.149168935439801
53,53,sondeo,sondeo##s,plur,3,artificial,5.5544958740938455e-05,plural,plural,grandes,s,Los sondeo##s [MASK],"[CLS] , Los , son , ##deo , ##s , [MASK] , [SEP]",non_morphemic,9.798317797735104,-5.807395905584004,5.807395905584003
55,55,insulto,insulto,sing,2,default,1.989211853015149e-07,plural,plural,grandes,s,El insulto [MASK],"[CLS] , El , insul , ##to , [MASK] , [SEP]",non_morphemic,15.430357144433156,6.4737062892705275,-6.47370628927001
57,57,insulto,insultos,plur,2,default,4.2664130887715146e-05,plural,plural,grandes,s,Los insultos [MASK],"[CLS] , Los , insul , ##tos , [MASK] , [SEP]",non_morphemic,10.062152016798112,-4.671043393831175,4.671043393831175
59,59,insulto,insulto##s,plur,3,artificial,3.477012069197372e-05,plural,plural,grandes,s,Los insulto##s [MASK],"[CLS] , Los , insul , ##to , ##s , [MASK] , [SEP]",non_morphemic,10.266752140797992,-4.503673607257047,4.503673607257047
61,61,analista,analista,sing,2,default,8.314764876615754e-09,plural,plural,grandes,s,El analista [MASK],"[CLS] , El , anal , ##ista , [MASK] , [SEP]",non_morphemic,18.605233001716865,5.19828136909744,-5.198281369097442
63,63,analista,analistas,plur,2,default,1.1161641850776505e-05,plural,plural,grandes,s,Los analistas [MASK],"[CLS] , Los , anal , ##istas , [MASK] , [SEP]",non_morphemic,11.403027492586878,-6.5276117248636805,6.527611724863681
65,65,analista,analista##s,plur,3,artificial,2.386534788456629e-06,plural,plural,grandes,s,Los analista##s [MASK],"[CLS] , Los , anal , ##ista , ##s , [MASK] , [SEP]",non_morphemic,12.945668123419768,-5.590676317860165,5.590676317860167
67,67,nexo,nexo,sing,2,default,2.4763467720845256e-08,plural,plural,grandes,s,El nexo [MASK],"[CLS] , El , ne , ##xo , [MASK] , [SEP]",non_morphemic,17.513896345590638,6.1696930584314185,-6.169693058431419
69,69,nexo,nexos,plur,2,default,4.436783638084307e-05,plural,plural,grandes,s,Los nexos [MASK],"[CLS] , Los , ne , ##xos , [MASK] , [SEP]",non_morphemic,10.022995756871651,-6.043622975761011,6.043622975761009
71,71,nexo,nexo##s,plur,3,artificial,1.7500575268059038e-05,plural,plural,grandes,s,Los nexo##s [MASK],"[CLS] , Los , ne , ##xo , ##s , [MASK] , [SEP]",non_morphemic,10.953276805114577,-5.967794449645297,5.967794449645297
73,73,cautivo,cautivo,sing,2,default,2.4105429474730045e-07,plural,plural,grandes,s,El cautivo [MASK],"[CLS] , El , cautiv , ##o , [MASK] , [SEP]",non_morphemic,15.238243639421718,6.025324813908545,-6.025324813908545
75,75,cautivo,cautivos,plur,2,default,7.906959945103154e-05,plural,plural,grandes,s,Los cautivos [MASK],"[CLS] , Los , cautiv , ##os , [MASK] , [SEP]",non_morphemic,9.445182087645737,-4.57810595917778,4.578105959177781
77,77,cautivo,cautivo##s,plur,3,artificial,8.587934280512854e-05,plural,plural,grandes,s,Los cautivo##s [MASK],"[CLS] , Los , cautiv , ##o , ##s , [MASK] , [SEP]",non_morphemic,9.362567237461684,-4.3815850710537845,4.3815850710537845
79,79,millar,millar,sing,2,default,3.527875378495082e-07,plural,plural,grandes,es,El millar [MASK],"[CLS] , El , milla , ##r , [MASK] , [SEP]",non_morphemic,14.857399836993482,6.450471896463229,-6.450471896463138
81,81,millar,millares,plur,2,default,7.60152397560887e-05,plural,plural,grandes,es,Los millares [MASK],"[CLS] , Los , milla , ##res , [MASK] , [SEP]",non_morphemic,9.484576714673585,-3.468329463369283,3.4683294633692845
83,83,millar,millar##es,plur,3,artificial,6.59859724692069e-05,plural,plural,grandes,es,Los millar##es [MASK],"[CLS] , Los , milla , ##r , ##es , [MASK] , [SEP]",non_morphemic,9.626068376872674,-3.6489180749386367,3.6489180749386367
85,85,reformista,reformista,sing,2,default,3.1857052107397976e-08,plural,plural,grandes,s,El reformista [MASK],"[CLS] , El , reform , ##ista , [MASK] , [SEP]",non_morphemic,17.262007063192364,4.6698436378004935,-4.6698436378004935
87,87,reformista,reformistas,plur,2,default,1.0097292033606207e-05,plural,plural,grandes,s,Los reformistas [MASK],"[CLS] , Los , reform , ##istas , [MASK] , [SEP]",non_morphemic,11.503243285550976,-6.2368593085777455,6.236859308577745
89,89,reformista,reformista##s,plur,3,artificial,6.380007562256651e-06,plural,plural,grandes,s,Los reformista##s [MASK],"[CLS] , Los , reform , ##ista , ##s , [MASK] , [SEP]",non_morphemic,11.962341275301592,-5.523841910506851,5.5238419105068495
91,91,uruguaya,uruguaya,sing,2,default,1.4203324383288418e-07,plural,plural,grandes,s,La uruguaya [MASK],"[CLS] , La , uruguay , ##a , [MASK] , [SEP]",non_morphemic,15.767204695245788,4.436422393985271,-4.4364223939852705
93,93,uruguaya,uruguayas,plur,2,default,1.0183863196289169e-05,plural,plural,grandes,s,Las uruguayas [MASK],"[CLS] , Las , uruguay , ##as , [MASK] , [SEP]",non_morphemic,11.494706129999594,-4.411233925471967,4.411233925471967
95,95,uruguaya,uruguaya##s,plur,3,artificial,5.008997959521366e-06,plural,plural,grandes,s,Las uruguaya##s [MASK],"[CLS] , Las , uruguay , ##a , ##s , [MASK] , [SEP]",non_morphemic,12.204274670951351,-4.091302854235648,4.091302854235647
97,97,mejoría,mejoría,sing,2,default,1.921096099977149e-07,plural,plural,grandes,s,La mejoría [MASK],"[CLS] , La , mejor , ##ía , [MASK] , [SEP]",non_morphemic,15.465199742406943,4.035513853438642,-4.035513853438644
99,99,mejoría,mejorías,plur,2,default,1.4297151210485026e-05,plural,plural,grandes,s,Las mejorías [MASK],"[CLS] , Las , mejor , ##ías , [MASK] , [SEP]",non_morphemic,11.155450256594564,-6.63179777738697,6.6317977773869705
101,101,mejoría,mejoría##s,plur,3,artificial,7.479275154764764e-06,plural,plural,grandes,s,Las mejoría##s [MASK],"[CLS] , Las , mejor , ##ía , ##s , [MASK] , [SEP]",non_morphemic,11.80337467511664,-6.619946470618231,6.61994647061823
103,103,urna,urna,sing,2,default,3.157305741297023e-07,plural,plural,grandes,s,La urna [MASK],"[CLS] , La , ur , ##na , [MASK] , [SEP]",non_morphemic,14.968376600554736,5.385753683932641,-5.3857536839326405
105,105,urna,urnas,plur,2,default,0.0001275537360925,plural,plural,grandes,s,Las urnas [MASK],"[CLS] , Las , ur , ##nas , [MASK] , [SEP]",non_morphemic,8.966972822605724,-5.68044648517656,5.680446485176381
107,107,urna,urna##s,plur,3,artificial,4.931624062010087e-05,plural,plural,grandes,s,Las urna##s [MASK],"[CLS] , Las , ur , ##na , ##s , [MASK] , [SEP]",non_morphemic,9.9172571068211,-5.7981385786931146,5.79813857869312
109,109,injerencia,injerencia,sing,2,default,1.8802602141931857e-08,plural,plural,grandes,s,La injerencia [MASK],"[CLS] , La , injer , ##encia , [MASK] , [SEP]",non_morphemic,17.78927056488365,3.7318764063532974,-3.731876406353298
111,111,injerencia,injerencias,plur,2,default,6.956929041734838e-07,plural,plural,grandes,s,Las injerencias [MASK],"[CLS] , Las , injer , ##encias , [MASK] , [SEP]",non_morphemic,14.17835750361823,-5.783317687789619,5.783317687789618
113,113,injerencia,injerencia##s,plur,3,artificial,1.0462395039212424e-06,plural,plural,grandes,s,Las injerencia##s [MASK],"[CLS] , Las , injer , ##encia , ##s , [MASK] , [SEP]",non_morphemic,13.77030824728744,-6.13936994094693,6.13936994094693
115,115,pollito,pollito,sing,2,default,7.058106916701945e-07,plural,plural,grandes,s,El pollito [MASK],"[CLS] , El , pol , ##lito , [MASK] , [SEP]",non_morphemic,14.163918777519898,6.076858551850901,-6.076858551850592
117,117,pollito,pollitos,plur,2,default,8.722308120923117e-05,plural,plural,grandes,s,Los pollitos [MASK],"[CLS] , Los , pol , ##litos , [MASK] , [SEP]",non_morphemic,9.347041569307878,-3.732361866564597,3.7323618665645983
119,119,pollito,pollito##s,plur,3,artificial,7.970423030201346e-05,plural,plural,grandes,s,Los pollito##s [MASK],"[CLS] , Los , pol , ##lito , ##s , [MASK] , [SEP]",non_morphemic,9.4371878957597,-4.318937308210833,4.318937308210833
121,121,indefinido,indefinido,sing,2,default,2.6076394377128054e-08,plural,plural,grandes,s,El indefinido [MASK],"[CLS] , El , indefin , ##ido , [MASK] , [SEP]",non_morphemic,17.46223536185644,3.977623939769096,-3.977623939769094
123,123,indefinido,indefinidos,plur,2,default,8.478069162265456e-07,plural,plural,grandes,s,Los indefinidos [MASK],"[CLS] , Los , indefin , ##idos , [MASK] , [SEP]",non_morphemic,13.980612920209598,-4.641874360813173,4.6418743608131745
125,125,indefinido,indefinido##s,plur,3,artificial,1.279650518881681e-06,plural,plural,grandes,s,Los indefinido##s [MASK],"[CLS] , Los , indefin , ##ido , ##s , [MASK] , [SEP]",non_morphemic,13.56892354943649,-4.9715242287286365,4.971524228728636
127,127,retoque,retoque,sing,2,default,7.404806723343428e-08,plural,plural,grandes,s,El retoque [MASK],"[CLS] , El , reto , ##que , [MASK] , [SEP]",non_morphemic,16.418551397404645,4.49407775577817,-4.494077755778168
129,129,retoque,retoques,plur,2,default,6.25934171694098e-06,plural,plural,grandes,s,Los retoques [MASK],"[CLS] , Los , reto , ##ques , [MASK] , [SEP]",non_morphemic,11.981435535419838,-6.555296847289203,6.555296847289197
