,lemma,word_form,word_number,n_tokens,tokenization_type,article_probs,article_number,article_type,article,affix,sentence,model_token_inputs,source,surprisal
0,schnea,schnea,sing,3,default,0.016576075926423073,singular,definite,La,s,[MASK] schnea,"[CLS] , [MASK] , s , ##ch , ##nea , [SEP]",morphemic,4.099794832412233
1,schnea,schnea,sing,3,default,0.00027001326088793576,plural,definite,Las,s,[MASK] schnea,"[CLS] , [MASK] , s , ##ch , ##nea , [SEP]",morphemic,8.21703948577221
2,schnea,schneas,plur,4,default,3.464271503617056e-05,singular,definite,La,s,[MASK] schneas,"[CLS] , [MASK] , s , ##ch , ##nea , ##s , [SEP]",morphemic,10.270423098699148
3,schnea,schneas,plur,4,default,0.0013362300815060735,plural,definite,Las,s,[MASK] schneas,"[CLS] , [MASK] , s , ##ch , ##nea , ##s , [SEP]",morphemic,6.617903001999113
4,schnea,schnea##s,plur,4,artificial,3.464271503617056e-05,singular,definite,La,s,[MASK] schnea##s,"[CLS] , [MASK] , s , ##ch , ##nea , ##s , [SEP]",morphemic,10.270423098699148
5,schnea,schnea##s,plur,4,artificial,0.0013362300815060735,plural,definite,Las,s,[MASK] schnea##s,"[CLS] , [MASK] , s , ##ch , ##nea , ##s , [SEP]",morphemic,6.617903001999113
6,schnea,schnea,sing,3,default,0.0011078041279688478,singular,indefinite,Una,s,[MASK] schnea,"[CLS] , [MASK] , s , ##ch , ##nea , [SEP]",morphemic,6.805375486095947
7,schnea,schnea,sing,3,default,5.834410785610089e-06,plural,indefinite,Unas,s,[MASK] schnea,"[CLS] , [MASK] , s , ##ch , ##nea , [SEP]",morphemic,12.051737276654402
8,schnea,schneas,plur,4,default,7.214582183223683e-06,singular,indefinite,Una,s,[MASK] schneas,"[CLS] , [MASK] , s , ##ch , ##nea , ##s , [SEP]",morphemic,11.839406276878364
9,schnea,schneas,plur,4,default,1.524405070085777e-05,plural,indefinite,Unas,s,[MASK] schneas,"[CLS] , [MASK] , s , ##ch , ##nea , ##s , [SEP]",morphemic,11.091321249003208
10,schnea,schnea##s,plur,4,artificial,7.214582183223683e-06,singular,indefinite,Una,s,[MASK] schnea##s,"[CLS] , [MASK] , s , ##ch , ##nea , ##s , [SEP]",morphemic,11.839406276878364
11,schnea,schnea##s,plur,4,artificial,1.524405070085777e-05,plural,indefinite,Unas,s,[MASK] schnea##s,"[CLS] , [MASK] , s , ##ch , ##nea , ##s , [SEP]",morphemic,11.091321249003208
12,scea,scea,sing,2,default,0.04507523030042648,singular,definite,La,s,[MASK] scea,"[CLS] , [MASK] , s , ##cea , [SEP]",morphemic,3.099422400634006
13,scea,scea,sing,2,default,0.0006473477696999907,plural,definite,Las,s,[MASK] scea,"[CLS] , [MASK] , s , ##cea , [SEP]",morphemic,7.342626896742465
14,scea,sceas,plur,3,default,0.0014412361197173595,singular,definite,La,s,[MASK] sceas,"[CLS] , [MASK] , s , ##cea , ##s , [SEP]",morphemic,6.5422541171525435
15,scea,sceas,plur,3,default,0.023456748574972153,plural,definite,Las,s,[MASK] sceas,"[CLS] , [MASK] , s , ##cea , ##s , [SEP]",morphemic,3.7525970397791157
16,scea,scea##s,plur,3,artificial,0.0014412361197173595,singular,definite,La,s,[MASK] scea##s,"[CLS] , [MASK] , s , ##cea , ##s , [SEP]",morphemic,6.5422541171525435
17,scea,scea##s,plur,3,artificial,0.023456748574972153,plural,definite,Las,s,[MASK] scea##s,"[CLS] , [MASK] , s , ##cea , ##s , [SEP]",morphemic,3.7525970397791157
18,scea,scea,sing,2,default,0.003614986315369606,singular,indefinite,Una,s,[MASK] scea,"[CLS] , [MASK] , s , ##cea , [SEP]",morphemic,5.622667208891823
19,scea,scea,sing,2,default,1.0489537999092136e-05,plural,indefinite,Unas,s,[MASK] scea,"[CLS] , [MASK] , s , ##cea , [SEP]",morphemic,11.465132178557202
20,scea,sceas,plur,3,default,0.00014273729175329208,singular,indefinite,Una,s,[MASK] sceas,"[CLS] , [MASK] , s , ##cea , ##s , [SEP]",morphemic,8.854504737886398
21,scea,sceas,plur,3,default,0.0002069134934572503,plural,indefinite,Unas,s,[MASK] sceas,"[CLS] , [MASK] , s , ##cea , ##s , [SEP]",morphemic,8.483209758049577
22,scea,scea##s,plur,3,artificial,0.00014273729175329208,singular,indefinite,Una,s,[MASK] scea##s,"[CLS] , [MASK] , s , ##cea , ##s , [SEP]",morphemic,8.854504737886398
23,scea,scea##s,plur,3,artificial,0.0002069134934572503,plural,indefinite,Unas,s,[MASK] scea##s,"[CLS] , [MASK] , s , ##cea , ##s , [SEP]",morphemic,8.483209758049577
24,cro,cro,sing,1,default,0.00346032134257257,singular,definite,El,s,[MASK] cro,"[CLS] , [MASK] , cro , [SEP]",morphemic,5.6663938206491
25,cro,cro,sing,1,default,0.00015717936912551522,plural,definite,Los,s,[MASK] cro,"[CLS] , [MASK] , cro , [SEP]",morphemic,8.758122926241418
26,cro,cros,plur,2,default,0.007297915872186422,singular,definite,El,s,[MASK] cros,"[CLS] , [MASK] , cro , ##s , [SEP]",morphemic,4.920166468550572
27,cro,cros,plur,2,default,0.00018146840739063919,plural,definite,Los,s,[MASK] cros,"[CLS] , [MASK] , cro , ##s , [SEP]",morphemic,8.61442898337368
28,cro,cro##s,plur,2,artificial,0.007297915872186422,singular,definite,El,s,[MASK] cro##s,"[CLS] , [MASK] , cro , ##s , [SEP]",morphemic,4.920166468550572
29,cro,cro##s,plur,2,artificial,0.00018146840739063919,plural,definite,Los,s,[MASK] cro##s,"[CLS] , [MASK] , cro , ##s , [SEP]",morphemic,8.61442898337368
30,cro,cro,sing,1,default,0.00027357408544048667,singular,indefinite,Un,s,[MASK] cro,"[CLS] , [MASK] , cro , [SEP]",morphemic,8.203938093659099
31,cro,cro,sing,1,default,1.9587598671932938e-06,plural,indefinite,Unos,s,[MASK] cro,"[CLS] , [MASK] , cro , [SEP]",morphemic,13.143199005793887
32,cro,cros,plur,2,default,0.0006998793105594814,singular,indefinite,Un,s,[MASK] cros,"[CLS] , [MASK] , cro , ##s , [SEP]",morphemic,7.264602651272239
33,cro,cros,plur,2,default,3.615907871790114e-06,plural,indefinite,Unos,s,[MASK] cros,"[CLS] , [MASK] , cro , ##s , [SEP]",morphemic,12.530167593693061
