,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal
0,remedio,remedio,sing,1,default,4.931704097543843e-05,singular,singular,grande,s,[MASK] remedio [MASK],"[CLS] , [MASK] , remedio , [MASK] , [SEP]",morphemic,9.917240877910844
1,remedio,remedio,sing,1,default,1.7891794357183244e-07,plural,plural,grandes,s,[MASK] remedio [MASK],"[CLS] , [MASK] , remedio , [MASK] , [SEP]",morphemic,15.53633855201012
2,remedio,remedios,plur,2,default,4.449837476272478e-08,singular,singular,grande,s,[MASK] remedios [MASK],"[CLS] , [MASK] , remedio , ##s , [MASK] , [SEP]",morphemic,16.92781317062713
3,remedio,remedios,plur,2,default,5.448900083138142e-06,plural,plural,grandes,s,[MASK] remedios [MASK],"[CLS] , [MASK] , remedio , ##s , [MASK] , [SEP]",morphemic,12.12009678926512
4,remedio,remedio##s,plur,2,artificial,4.449837476272478e-08,singular,singular,grande,s,[MASK] remedio##s [MASK],"[CLS] , [MASK] , remedio , ##s , [MASK] , [SEP]",morphemic,16.92781317062713
5,remedio,remedio##s,plur,2,artificial,5.448900083138142e-06,plural,plural,grandes,s,[MASK] remedio##s [MASK],"[CLS] , [MASK] , remedio , ##s , [MASK] , [SEP]",morphemic,12.12009678926512
6,cierre,cierre,sing,1,default,4.2219136958010495e-05,singular,singular,grande,s,[MASK] cierre [MASK],"[CLS] , [MASK] , cierre , [MASK] , [SEP]",morphemic,10.072636957297075
7,cierre,cierre,sing,1,default,2.591363454484963e-06,plural,plural,grandes,s,[MASK] cierre [MASK],"[CLS] , [MASK] , cierre , [MASK] , [SEP]",morphemic,12.863326390465575
8,cierre,cierres,plur,2,default,5.241720373305725e-07,singular,singular,grande,s,[MASK] cierres [MASK],"[CLS] , [MASK] , cierre , ##s , [MASK] , [SEP]",morphemic,14.461445890992755
9,cierre,cierres,plur,2,default,5.174598845769651e-05,plural,plural,grandes,s,[MASK] cierres [MASK],"[CLS] , [MASK] , cierre , ##s , [MASK] , [SEP]",morphemic,9.86916364654912
10,cierre,cierre##s,plur,2,artificial,5.241720373305725e-07,singular,singular,grande,s,[MASK] cierre##s [MASK],"[CLS] , [MASK] , cierre , ##s , [MASK] , [SEP]",morphemic,14.461445890992755
11,cierre,cierre##s,plur,2,artificial,5.174598845769651e-05,plural,plural,grandes,s,[MASK] cierre##s [MASK],"[CLS] , [MASK] , cierre , ##s , [MASK] , [SEP]",morphemic,9.86916364654912
12,gestor,gestor,sing,1,default,6.997326636337675e-06,singular,singular,grande,es,[MASK] gestor [MASK],"[CLS] , [MASK] , gestor , [MASK] , [SEP]",morphemic,11.86998239094943
13,gestor,gestor,sing,1,default,2.6515439799368323e-07,plural,plural,grandes,es,[MASK] gestor [MASK],"[CLS] , [MASK] , gestor , [MASK] , [SEP]",morphemic,15.142953546687016
14,gestor,gestores,plur,2,default,9.605656714484212e-08,singular,singular,grande,es,[MASK] gestores [MASK],"[CLS] , [MASK] , gestor , ##es , [MASK] , [SEP]",morphemic,16.158328577920837
15,gestor,gestores,plur,2,default,1.4705045941809658e-05,plural,plural,grandes,es,[MASK] gestores [MASK],"[CLS] , [MASK] , gestor , ##es , [MASK] , [SEP]",morphemic,11.127319861732685
16,gestor,gestor##es,plur,2,artificial,9.605656714484212e-08,singular,singular,grande,es,[MASK] gestor##es [MASK],"[CLS] , [MASK] , gestor , ##es , [MASK] , [SEP]",morphemic,16.158328577920837
17,gestor,gestor##es,plur,2,artificial,1.4705045941809658e-05,plural,plural,grandes,es,[MASK] gestor##es [MASK],"[CLS] , [MASK] , gestor , ##es , [MASK] , [SEP]",morphemic,11.127319861732685
18,monopolio,monopolio,sing,1,default,1.4076596016820986e-05,singular,singular,grande,s,[MASK] monopolio [MASK],"[CLS] , [MASK] , monopolio , [MASK] , [SEP]",morphemic,11.170996996632043
19,monopolio,monopolio,sing,1,default,1.259373760831295e-07,plural,plural,grandes,s,[MASK] monopolio [MASK],"[CLS] , [MASK] , monopolio , [MASK] , [SEP]",morphemic,15.887481068761192
20,monopolio,monopolios,plur,2,default,2.1327464594378398e-07,singular,singular,grande,s,[MASK] monopolios [MASK],"[CLS] , [MASK] , monopolio , ##s , [MASK] , [SEP]",morphemic,15.360685084245475
21,monopolio,monopolios,plur,2,default,1.894625893328339e-05,plural,plural,grandes,s,[MASK] monopolios [MASK],"[CLS] , [MASK] , monopolio , ##s , [MASK] , [SEP]",morphemic,10.873904063693978
22,monopolio,monopolio##s,plur,2,artificial,2.1327464594378398e-07,singular,singular,grande,s,[MASK] monopolio##s [MASK],"[CLS] , [MASK] , monopolio , ##s , [MASK] , [SEP]",morphemic,15.360685084245475
23,monopolio,monopolio##s,plur,2,artificial,1.894625893328339e-05,plural,plural,grandes,s,[MASK] monopolio##s [MASK],"[CLS] , [MASK] , monopolio , ##s , [MASK] , [SEP]",morphemic,10.873904063693978
24,retorno,retorno,sing,1,default,6.560358087881468e-06,singular,singular,grande,s,[MASK] retorno [MASK],"[CLS] , [MASK] , retorno , [MASK] , [SEP]",morphemic,11.934465369930772
25,retorno,retorno,sing,1,default,5.58127908334427e-07,plural,plural,grandes,s,[MASK] retorno [MASK],"[CLS] , [MASK] , retorno , [MASK] , [SEP]",morphemic,14.398677674427676
26,retorno,retornos,plur,2,default,3.7602708857775724e-07,singular,singular,grande,s,[MASK] retornos [MASK],"[CLS] , [MASK] , retorno , ##s , [MASK] , [SEP]",morphemic,14.793604652061788
27,retorno,retornos,plur,2,default,5.3824318456463516e-05,plural,plural,grandes,s,[MASK] retornos [MASK],"[CLS] , [MASK] , retorno , ##s , [MASK] , [SEP]",morphemic,9.82978517700556
28,retorno,retorno##s,plur,2,artificial,3.7602708857775724e-07,singular,singular,grande,s,[MASK] retorno##s [MASK],"[CLS] , [MASK] , retorno , ##s , [MASK] , [SEP]",morphemic,14.793604652061788
