,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,reserva,reserva,sing,1,default,0.0008567825425416,plural,plural,son,s,La reserva [MASK],"[CLS] , La , reserva , [MASK] , [SEP]",single-token,7.062326414223159,3.9739437051471653,-3.9739437051471898
3,3,reserva,reservas,plur,1,default,0.1077687963843345,plural,plural,son,s,Las reservas [MASK],"[CLS] , Las , reservas , [MASK] , [SEP]",single-token,2.2277671208097583,-4.881076876241858,4.881076876241962
5,5,reserva,reserva##s,plur,2,artificial,0.0720559731125831,plural,plural,son,s,Las reserva##s [MASK],"[CLS] , Las , reserva , ##s , [MASK] , [SEP]",single-token,2.630312057646885,-5.1440634472474756,5.144063447247641
7,7,dólar,dólar,sing,1,default,0.0004708140040747,plural,plural,son,es,El dólar [MASK],"[CLS] , El , dólar , [MASK] , [SEP]",single-token,7.661047437746995,2.454855899642535,-2.454855899642695
9,9,dólar,dólares,plur,1,default,0.1032208800315857,plural,plural,son,es,Los dólares [MASK],"[CLS] , Los , dólares , [MASK] , [SEP]",single-token,2.2708841205123385,-4.089592928319904,4.089592928319951
11,11,dólar,dólar##es,plur,2,artificial,0.1115634143352508,plural,plural,son,es,Los dólar##es [MASK],"[CLS] , Los , dólar , ##es , [MASK] , [SEP]",single-token,2.193162111319627,-5.210843568099856,5.21084356809988
13,13,activo,activo,sing,1,default,0.0010251930216327,plural,plural,son,s,El activo [MASK],"[CLS] , El , activo , [MASK] , [SEP]",single-token,6.882874370332552,3.375873042814672,-3.3758730428146997
15,15,activo,activos,plur,1,default,0.1222376450896263,plural,plural,son,s,Los activos [MASK],"[CLS] , Los , activos , [MASK] , [SEP]",single-token,2.101788218395874,-4.42636065814374,4.426360658143801
17,17,activo,activo##s,plur,2,artificial,0.0760523751378059,plural,plural,son,s,Los activo##s [MASK],"[CLS] , Los , activo , ##s , [MASK] , [SEP]",single-token,2.5763330294981706,-4.818376993292668,4.818376993292801
19,19,permiso,permiso,sing,1,default,0.0005311091081239,plural,plural,son,s,El permiso [MASK],"[CLS] , El , permiso , [MASK] , [SEP]",single-token,7.540543081136882,3.9352784357833457,-3.9352784357834
21,21,permiso,permisos,plur,1,default,0.0180831998586654,plural,plural,son,s,Los permisos [MASK],"[CLS] , Los , permisos , [MASK] , [SEP]",single-token,4.012771956344542,-4.455021885657798,4.455021885658037
23,23,permiso,permiso##s,plur,2,artificial,0.0180134940892457,plural,plural,son,s,Los permiso##s [MASK],"[CLS] , Los , permiso , ##s , [MASK] , [SEP]",single-token,4.016634130324617,-4.046060601456066,4.046060601456302
25,25,cálculo,cálculo,sing,1,default,0.0016449195099994,plural,plural,son,s,El cálculo [MASK],"[CLS] , El , cálculo , [MASK] , [SEP]",single-token,6.410063826053436,3.925326796698108,-3.9253267966981387
27,27,cálculo,cálculos,plur,1,default,0.073124311864376,plural,plural,son,s,Los cálculos [MASK],"[CLS] , Los , cálculos , [MASK] , [SEP]",single-token,2.6155943838760893,-4.669951895365946,4.669951895365947
29,29,cálculo,cálculo##s,plur,2,artificial,0.0252154059708118,plural,plural,son,s,Los cálculo##s [MASK],"[CLS] , Los , cálculo , ##s , [MASK] , [SEP]",single-token,3.68030012321376,-3.2535515452478023,3.2535515452478734
31,31,empleo,empleo,sing,1,default,0.000814348924905,plural,plural,son,s,El empleo [MASK],"[CLS] , El , empleo , [MASK] , [SEP]",single-token,7.11312162913338,2.903512451425982,-2.9035124514260553
33,33,empleo,empleos,plur,1,default,0.1355857849121093,plural,plural,son,s,Los empleos [MASK],"[CLS] , Los , empleos , [MASK] , [SEP]",single-token,1.9981507400026404,-4.419057354772406,4.419057354772435
35,35,empleo,empleo##s,plur,2,artificial,0.0424185208976268,plural,plural,son,s,Los empleo##s [MASK],"[CLS] , Los , empleo , ##s , [MASK] , [SEP]",single-token,3.160170198496248,-2.806294373760325,2.8062943737603616
37,37,sector,sector,sing,1,default,3.229148933314718e-05,plural,plural,son,es,El sector [MASK],"[CLS] , El , sector , [MASK] , [SEP]",single-token,10.34070685059262,2.8564228630405992,-2.856422863040565
39,39,sector,sectores,plur,1,default,0.0107783488929271,plural,plural,son,es,Los sectores [MASK],"[CLS] , Los , sectores , [MASK] , [SEP]",single-token,4.53021588915349,-2.1297058332672316,2.129705833267244
41,41,sector,sector##es,plur,2,artificial,0.0842224732041359,plural,plural,son,es,Los sector##es [MASK],"[CLS] , Los , sector , ##es , [MASK] , [SEP]",single-token,2.4742934906840883,-3.512901338571128,3.5129013385711594
43,43,empresario,empresario,sing,1,default,0.0003660064248833,plural,plural,son,s,El empresario [MASK],"[CLS] , El , empresario , [MASK] , [SEP]",single-token,7.912859670390807,3.8849467991028126,-3.8849467991030298
45,45,empresario,empresarios,plur,1,default,0.0118422769010066,plural,plural,son,s,Los empresarios [MASK],"[CLS] , Los , empresarios , [MASK] , [SEP]",single-token,4.436079362186405,-5.442054694226439,5.44205469422643
47,47,empresario,empresario##s,plur,2,artificial,0.0135880783200263,plural,plural,son,s,Los empresario##s [MASK],"[CLS] , Los , empresario , ##s , [MASK] , [SEP]",single-token,4.2985624647891365,-3.732388507632165,3.7323885076322307
49,49,sindicato,sindicato,sing,1,default,0.0036229528486728,plural,plural,son,s,El sindicato [MASK],"[CLS] , El , sindicato , [MASK] , [SEP]",single-token,5.6204658815969255,3.485649584683009,-3.485649584683027
51,51,sindicato,sindicatos,plur,1,default,0.0321293845772743,plural,plural,son,s,Los sindicatos [MASK],"[CLS] , Los , sindicatos , [MASK] , [SEP]",single-token,3.4379842601842703,-4.8279636926260565,4.827963692626166
53,53,sindicato,sindicato##s,plur,2,artificial,0.0406429693102836,plural,plural,son,s,Los sindicato##s [MASK],"[CLS] , Los , sindicato , ##s , [MASK] , [SEP]",single-token,3.2029294146436404,-4.233966810421018,4.233966810421159
55,55,mes,mes,sing,1,default,0.0005104852607473,plural,plural,son,es,El mes [MASK],"[CLS] , El , mes , [MASK] , [SEP]",single-token,7.580148792965643,3.3369545671307286,-3.3369545671308667
57,57,mes,meses,plur,1,default,0.040477268397808,plural,plural,son,es,Los meses [MASK],"[CLS] , Los , meses , [MASK] , [SEP]",single-token,3.207014736571127,-3.0347776724508657,3.034777672450871
59,59,mes,mes##es,plur,2,artificial,0.0801142901182174,plural,plural,son,es,Los mes##es [MASK],"[CLS] , Los , mes , ##es , [MASK] , [SEP]",single-token,2.5243010373464543,-4.1718459467718985,4.1718459467718985
61,61,comarca,comarca,sing,1,default,0.0020441187079995,plural,plural,son,s,La comarca [MASK],"[CLS] , La , comarca , [MASK] , [SEP]",single-token,6.192788532006306,4.0413097846512525,-4.041309784651294
63,63,comarca,comarcas,plur,1,default,0.0289748944342136,plural,plural,son,s,Las comarcas [MASK],"[CLS] , Las , comarcas , [MASK] , [SEP]",single-token,3.541325533103299,-4.258106713449639,4.258106713449846
