,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,article_probs,article_number,article_type,article,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,neia,neia,sing,2,default,6.589334952877834e-05,plural,definite,Las,s,[MASK] neia,"[CLS] , [MASK] , ne , ##ia , [SEP]",nonmorphemic,9.627473039169304,5.251645642436368,-5.251645642436364
3,3,neia,neias,plur,2,default,0.0142955612391233,plural,definite,Las,s,[MASK] neias,"[CLS] , [MASK] , ne , ##ias , [SEP]",nonmorphemic,4.247806192759722,-3.9918379390019965,3.9918379390020142
5,5,neia,neia##s,plur,3,artificial,0.0062634046189486,plural,definite,Las,s,[MASK] neia##s,"[CLS] , [MASK] , ne , ##ia , ##s , [SEP]",nonmorphemic,5.073031372871541,-2.2599348839042044,2.259934883904202
7,7,neia,neia,sing,2,default,2.3850166144256946e-06,plural,indefinite,Unas,s,[MASK] neia,"[CLS] , [MASK] , ne , ##ia , [SEP]",nonmorphemic,12.94630446743201,6.147562587337667,-6.147562587337617
9,9,neia,neias,plur,2,default,8.699826139491051e-05,plural,indefinite,Unas,s,[MASK] neias,"[CLS] , [MASK] , ne , ##ias , [SEP]",nonmorphemic,9.349622423475918,-1.6212043518329349,1.621204351832934
11,11,neia,neia##s,plur,3,artificial,6.952833064133301e-05,plural,indefinite,Unas,s,[MASK] neia##s,"[CLS] , [MASK] , ne , ##ia , ##s , [SEP]",nonmorphemic,9.57377625332706,-0.2202528989763799,0.22025289897638037
13,13,mcco,mcco,sing,3,default,7.063813882268732e-06,plural,definite,Los,s,[MASK] mcco,"[CLS] , [MASK] , m , ##c , ##co , [SEP]",nonmorphemic,11.860525442366914,3.8061418574020376,-3.806141857401809
15,15,mcco,mccos,plur,3,default,0.0030856563244014,plural,definite,Los,s,[MASK] mccos,"[CLS] , [MASK] , m , ##c , ##cos , [SEP]",nonmorphemic,5.780990897282522,-2.732429947468405,2.732429947468435
17,17,mcco,mcco##s,plur,4,artificial,0.0001712765952106,plural,definite,Los,s,[MASK] mcco##s,"[CLS] , [MASK] , m , ##c , ##co , ##s , [SEP]",nonmorphemic,8.67223079237963,-1.2128325391972705,1.2128325391969406
19,19,mcco,mcco,sing,3,default,2.9104307941452134e-07,plural,indefinite,Unos,s,[MASK] mcco,"[CLS] , [MASK] , m , ##c , ##co , [SEP]",nonmorphemic,15.049794541506484,5.607445770405336,-5.607445770405336
21,21,mcco,mccos,plur,3,default,2.4280450816149823e-05,plural,indefinite,Unos,s,[MASK] mccos,"[CLS] , [MASK] , m , ##c , ##cos , [SEP]",nonmorphemic,10.625839024558616,0.24003410936548164,-0.24003410936548286
23,23,mcco,mcco##s,plur,4,artificial,2.7572514227358624e-06,plural,indefinite,Unos,s,[MASK] mcco##s,"[CLS] , [MASK] , m , ##c , ##co , ##s , [SEP]",nonmorphemic,12.80127623576215,1.5550125835048672,-1.5550125835048658
25,25,spia,spia,sing,2,default,0.0003119146858807,plural,definite,Las,s,[MASK] spia,"[CLS] , [MASK] , sp , ##ia , [SEP]",nonmorphemic,8.072780850236915,3.2858959369989655,-3.285895936999166
27,27,spia,spias,plur,2,default,0.0179194435477256,plural,definite,Las,s,[MASK] spias,"[CLS] , [MASK] , sp , ##ias , [SEP]",nonmorphemic,4.021868923941714,-3.563569390432419,3.563569390432592
29,29,spia,spia##s,plur,3,artificial,0.0027480465359985,plural,definite,Las,s,[MASK] spia##s,"[CLS] , [MASK] , sp , ##ia , ##s , [SEP]",nonmorphemic,5.89686497026812,-0.042339756528466665,0.042339756528459886
31,31,spia,spia,sing,2,default,2.390210465819109e-05,plural,indefinite,Unas,s,[MASK] spia,"[CLS] , [MASK] , sp , ##ia , [SEP]",nonmorphemic,10.641544041891771,3.899423672291608,-3.8994236722915696
