,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,reserva,reserva,sing,1,default,1.1478942951725914e-07,plural,plural,grandes,s,La reserva [MASK],"[CLS] , La , reserva , [MASK] , [SEP]",single-token,15.980166434676118,6.7453356578338575,-6.745335657833859
3,3,reserva,reservas,plur,1,default,3.4855384001275524e-06,plural,plural,grandes,s,Las reservas [MASK],"[CLS] , Las , reservas , [MASK] , [SEP]",single-token,12.56688803497333,-5.37583157717914,5.375831577179139
5,5,reserva,reserva##s,plur,2,artificial,1.3696097084903158e-05,plural,plural,grandes,s,Las reserva##s [MASK],"[CLS] , Las , reserva , ##s , [MASK] , [SEP]",single-token,11.198399650031078,-5.835624694081083,5.835624694081083
7,7,dólar,dólar,sing,1,default,8.182553301594454e-08,plural,plural,grandes,es,El dólar [MASK],"[CLS] , El , dólar , [MASK] , [SEP]",single-token,16.318676502483903,4.988802914548923,-4.9888029145489226
9,9,dólar,dólares,plur,1,default,0.0001312498934566,plural,plural,grandes,es,Los dólares [MASK],"[CLS] , Los , dólares , [MASK] , [SEP]",single-token,8.938407468251366,-4.701657366673382,4.70165736667264
11,11,dólar,dólar##es,plur,2,artificial,0.000129331354401,plural,plural,grandes,es,Los dólar##es [MASK],"[CLS] , Los , dólar , ##es , [MASK] , [SEP]",single-token,8.953132808148792,-4.732016477647592,4.732016477647016
13,13,activo,activo,sing,1,default,3.1155071411603785e-08,plural,plural,grandes,s,El activo [MASK],"[CLS] , El , activo , [MASK] , [SEP]",single-token,17.284288798813428,5.008654667211324,-5.008654667211324
15,15,activo,activos,plur,1,default,4.398460532684112e-06,plural,plural,grandes,s,Los activos [MASK],"[CLS] , Los , activos , [MASK] , [SEP]",single-token,12.334255957197405,-6.016652020013046,6.0166520200130496
17,17,activo,activo##s,plur,2,artificial,3.810613861787715e-06,plural,plural,grandes,s,Los activo##s [MASK],"[CLS] , Los , activo , ##s , [MASK] , [SEP]",single-token,12.477720263224416,-5.4733677466891315,5.4733677466891315
19,19,permiso,permiso,sing,1,default,7.2858803434883165e-09,plural,plural,grandes,s,El permiso [MASK],"[CLS] , El , permiso , [MASK] , [SEP]",single-token,18.737327561293643,5.523521460950171,-5.523521460950171
21,21,permiso,permisos,plur,1,default,1.3270260978970327e-06,plural,plural,grandes,s,Los permisos [MASK],"[CLS] , Los , permisos , [MASK] , [SEP]",single-token,13.532570135967328,-6.133900702421409,6.133900702421407
23,23,permiso,permiso##s,plur,2,artificial,9.03090096926462e-07,plural,plural,grandes,s,Los permiso##s [MASK],"[CLS] , Los , permiso , ##s , [MASK] , [SEP]",single-token,13.91744351339427,-5.403701759835085,5.403701759835085
25,25,cálculo,cálculo,sing,1,default,2.498447493337608e-08,plural,plural,grandes,s,El cálculo [MASK],"[CLS] , El , cálculo , [MASK] , [SEP]",single-token,17.50501120764519,4.479404473381466,-4.479404473381464
27,27,cálculo,cálculos,plur,1,default,7.23354060028214e-06,plural,plural,grandes,s,Los cálculos [MASK],"[CLS] , Los , cálculos , [MASK] , [SEP]",single-token,11.836781932079614,-6.676625216949123,6.676625216949121
29,29,cálculo,cálculo##s,plur,2,artificial,3.93356231143116e-06,plural,plural,grandes,s,Los cálculo##s [MASK],"[CLS] , Los , cálculo , ##s , [MASK] , [SEP]",single-token,12.445965102084545,-6.125813512146143,6.125813512146144
31,31,empleo,empleo,sing,1,default,5.151947313208893e-09,plural,plural,grandes,s,El empleo [MASK],"[CLS] , El , empleo , [MASK] , [SEP]",single-token,19.08389107467008,3.7402382363937043,-3.7402382363937026
33,33,empleo,empleos,plur,1,default,8.074112884060014e-06,plural,plural,grandes,s,Los empleos [MASK],"[CLS] , Los , empleos , [MASK] , [SEP]",single-token,11.726847554449687,-4.602585696737734,4.602585696737732
35,35,empleo,empleo##s,plur,2,artificial,2.5431734229641734e-06,plural,plural,grandes,s,Los empleo##s [MASK],"[CLS] , Los , empleo , ##s , [MASK] , [SEP]",single-token,12.882097877638705,-5.109333034364804,5.109333034364803
37,37,sector,sector,sing,1,default,2.840766022416119e-08,plural,plural,grandes,es,El sector [MASK],"[CLS] , El , sector , [MASK] , [SEP]",single-token,17.376607001945963,6.038082125985236,-6.038082125985237
39,39,sector,sectores,plur,1,default,4.906264803139493e-05,plural,plural,grandes,es,Los sectores [MASK],"[CLS] , Los , sectores , [MASK] , [SEP]",single-token,9.922412545225791,-5.665557837271553,5.665557837271552
41,41,sector,sector##es,plur,2,artificial,1.575963688082993e-05,plural,plural,grandes,es,Los sector##es [MASK],"[CLS] , Los , sector , ##es , [MASK] , [SEP]",single-token,11.058058514356455,-5.912250585351982,5.912250585351983
