,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,spaio,spaio,sing,2,default,1.200523684019572e-06,plural,plural,grandes,s,El spaio [MASK],"[CLS] , El , spa , ##io , [MASK] , [SEP]",nonmorphemic,13.632752693016922,4.536751737283874,-4.536751737283526
3,3,spaio,spaios,plur,2,default,2.9630409699166197e-05,plural,plural,grandes,s,Los spaios [MASK],"[CLS] , Los , spa , ##ios , [MASK] , [SEP]",nonmorphemic,10.426709369300376,-4.276381528136998,4.276381528136998
5,5,spaio,spaio##s,plur,3,artificial,6.380328704835847e-05,plural,plural,grandes,s,Los spaio##s [MASK],"[CLS] , Los , spa , ##io , ##s , [MASK] , [SEP]",nonmorphemic,9.659705847806553,-4.639473055884723,4.639473055884722
7,7,shrao,shrao,sing,3,default,2.716121514367842e-07,plural,plural,grandes,s,El shrao [MASK],"[CLS] , El , sh , ##ra , ##o , [MASK] , [SEP]",nonmorphemic,15.118890702068338,4.502510989813089,-4.50251098981309
9,9,shrao,shraos,plur,3,default,9.216822945745662e-06,plural,plural,grandes,s,Los shraos [MASK],"[CLS] , Los , sh , ##ra , ##os , [MASK] , [SEP]",nonmorphemic,11.594480162669024,-3.714419326713081,3.7144193267130783
11,11,shrao,shrao##s,plur,4,artificial,1.9475042790872976e-05,plural,plural,grandes,s,Los shrao##s [MASK],"[CLS] , Los , sh , ##ra , ##o , ##s , [MASK] , [SEP]",nonmorphemic,10.846376768989185,-3.9381132018100082,3.9381132018100082
13,13,mceo,mceo,sing,3,default,3.203801668405504e-07,plural,plural,grandes,s,El mceo [MASK],"[CLS] , El , m , ##ce , ##o , [MASK] , [SEP]",nonmorphemic,14.95375752491489,5.493618888033971,-5.4936188880339705
15,15,mceo,mceos,plur,3,default,5.5867629271233454e-05,plural,plural,grandes,s,Los mceos [MASK],"[CLS] , Los , m , ##ce , ##os , [MASK] , [SEP]",nonmorphemic,9.792525428340836,-5.047568261108408,5.047568261108408
17,17,mceo,mceo##s,plur,4,artificial,8.35551691125147e-05,plural,plural,grandes,s,Los mceo##s [MASK],"[CLS] , Los , m , ##ce , ##o , ##s , [MASK] , [SEP]",nonmorphemic,9.39000343634455,-4.999729254985581,4.999729254985583
19,19,lia,lia,sing,2,default,1.1594737543418887e-06,plural,plural,grandes,s,La lia [MASK],"[CLS] , La , li , ##a , [MASK] , [SEP]",nonmorphemic,13.66754431583095,5.32931663413277,-5.329316634132702
21,21,lia,lias,plur,2,default,5.025475547881797e-05,plural,plural,grandes,s,Las lias [MASK],"[CLS] , Las , li , ##as , [MASK] , [SEP]",nonmorphemic,9.898405379108445,-3.8731995069135596,3.873199506913561
23,23,lia,lia##s,plur,3,artificial,4.548284050542861e-05,plural,plural,grandes,s,Las lia##s [MASK],"[CLS] , Las , li , ##a , ##s , [MASK] , [SEP]",nonmorphemic,9.998175434888251,-3.8821564410452645,3.8821564410452623
25,25,krio,krio,sing,2,default,3.3399749099771725e-07,plural,plural,grandes,s,El krio [MASK],"[CLS] , El , k , ##rio , [MASK] , [SEP]",nonmorphemic,14.912132355980807,4.171920737094977,-4.171920737094978
27,27,krio,krios,plur,2,default,4.4861488277092576e-05,plural,plural,grandes,s,Los krios [MASK],"[CLS] , Los , k , ##rios , [MASK] , [SEP]",nonmorphemic,10.011930853383902,-3.812402642205612,3.812402642205612
29,29,krio,krio##s,plur,3,artificial,3.250349982408807e-05,plural,plural,grandes,s,Los krio##s [MASK],"[CLS] , Los , k , ##rio , ##s , [MASK] , [SEP]",nonmorphemic,10.334162787531382,-3.698275584283394,3.6982755842833934
31,31,floa,floa,sing,2,default,2.4899486561480444e-07,plural,plural,grandes,s,La floa [MASK],"[CLS] , La , flo , ##a , [MASK] , [SEP]",nonmorphemic,15.205833560715163,4.228279188573504,-4.228279188573504
33,33,floa,floas,plur,2,default,3.1685587600804865e-05,plural,plural,grandes,s,Las floas [MASK],"[CLS] , Las , flo , ##as , [MASK] , [SEP]",nonmorphemic,10.359648630282486,-4.175000250174799,4.175000250174798
35,35,floa,floa##s,plur,3,artificial,1.8458928025211208e-05,plural,plural,grandes,s,Las floa##s [MASK],"[CLS] , Las , flo , ##a , ##s , [MASK] , [SEP]",nonmorphemic,10.899962400715944,-3.9340219335882978,3.9340219335883
37,37,cea,cea,sing,2,default,8.317219624132123e-08,plural,plural,grandes,s,La cea [MASK],"[CLS] , La , ce , ##a , [MASK] , [SEP]",nonmorphemic,16.30235272476157,5.389247948067615,-5.389247948067615
39,39,cea,ceas,plur,2,default,3.2223410926235374e-06,plural,plural,grandes,s,Las ceas [MASK],"[CLS] , Las , ce , ##as , [MASK] , [SEP]",nonmorphemic,12.645402415180268,-5.504355466894101,5.5043554668941015
41,41,cea,cea##s,plur,3,artificial,4.551302026811754e-06,plural,plural,grandes,s,Las cea##s [MASK],"[CLS] , Las , ce , ##a , ##s , [MASK] , [SEP]",nonmorphemic,12.300097206198457,-5.234932915628052,5.234932915628052
43,43,thro,thro,sing,2,default,8.435028320263882e-08,plural,plural,grandes,s,El thro [MASK],"[CLS] , El , th , ##ro , [MASK] , [SEP]",nonmorphemic,16.288287670489545,3.767184238430051,-3.767184238430051
45,45,thro,thros,plur,2,default,3.1905865398584865e-06,plural,plural,grandes,s,Los thros [MASK],"[CLS] , Los , th , ##ros , [MASK] , [SEP]",nonmorphemic,12.655305789775028,-4.941381443684978,4.9413814436849774
47,47,thro,thro##s,plur,3,artificial,2.2771891963202503e-05,plural,plural,grandes,s,Los thro##s [MASK],"[CLS] , Los , th , ##ro , ##s , [MASK] , [SEP]",nonmorphemic,10.689983591169035,-4.5056934381117735,4.505693438111771
49,49,caio,caio,sing,2,default,3.859572075270989e-07,plural,plural,grandes,s,El caio [MASK],"[CLS] , El , ca , ##io , [MASK] , [SEP]",nonmorphemic,14.767539334955911,4.951877630805308,-4.951877630805308
51,51,caio,caios,plur,2,default,1.2663779671129303e-05,plural,plural,grandes,s,Los caios [MASK],"[CLS] , Los , ca , ##ios , [MASK] , [SEP]",nonmorphemic,11.276764633584186,-3.6443013581471533,3.644301358147154
53,53,caio,caio##s,plur,3,artificial,2.2578064090339467e-05,plural,plural,grandes,s,Los caio##s [MASK],"[CLS] , Los , ca , ##io , ##s , [MASK] , [SEP]",nonmorphemic,10.698531738509962,-4.278873431242019,4.278873431242019
55,55,physoo,physoo,sing,4,default,6.843939672762644e-07,plural,plural,grandes,s,El physoo [MASK],"[CLS] , El , p , ##hy , ##so , ##o , [MASK] , [SEP]",nonmorphemic,14.194732109584018,4.845846141197542,-4.8458461411975415
57,57,physoo,physoos,plur,4,default,3.5814100556308404e-05,plural,plural,grandes,s,Los physoos [MASK],"[CLS] , Los , p , ##hy , ##so , ##os , [MASK] , [SEP]",nonmorphemic,10.237168871816216,-5.135760281974505,5.135760281974506
