,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,patrono,patrono,sing,2,default,0.0018395003862679,plural,plural,son,s,El patrono [MASK],"[CLS] , El , patr , ##ono , [MASK] , [SEP]",non_morphemic,6.298261273434199,3.9015694092828466,-3.901569409282846
3,3,patrono,patronos,plur,2,default,0.0400437973439693,plural,plural,son,s,Los patronos [MASK],"[CLS] , Los , patr , ##onos , [MASK] , [SEP]",non_morphemic,3.217781490271555,-6.462071427811189,6.462071427811189
5,5,patrono,patrono##s,plur,3,artificial,0.0139778517186641,plural,plural,son,s,Los patrono##s [MASK],"[CLS] , Los , patr , ##ono , ##s , [MASK] , [SEP]",non_morphemic,4.270281222177474,-5.023324960622985,5.023324960622983
7,7,premisa,premisa,sing,2,default,0.0003444455505814,plural,plural,son,s,La premisa [MASK],"[CLS] , La , premis , ##a , [MASK] , [SEP]",non_morphemic,7.97357453346694,5.843119599280271,-5.843119599280388
9,9,premisa,premisas,plur,2,default,0.0551614128053188,plural,plural,son,s,Las premisas [MASK],"[CLS] , Las , premis , ##as , [MASK] , [SEP]",non_morphemic,2.8974916135257427,-3.76641848955356,3.766418489553584
11,11,premisa,premisa##s,plur,3,artificial,0.0933344960212707,plural,plural,son,s,Las premisa##s [MASK],"[CLS] , Las , premis , ##a , ##s , [MASK] , [SEP]",non_morphemic,2.371565507187832,-3.995005071115178,3.9950050711152065
13,13,kilo,kilo,sing,2,default,0.0012378573883324,plural,plural,son,s,El kilo [MASK],"[CLS] , El , k , ##ilo , [MASK] , [SEP]",non_morphemic,6.694373306563218,4.4323777706470295,-4.4323777706471
15,15,kilo,kilos,plur,2,default,0.0344152860343456,plural,plural,son,s,Los kilos [MASK],"[CLS] , Los , k , ##ilos , [MASK] , [SEP]",non_morphemic,3.3692544518385663,-4.074809091961393,4.074809091961493
17,17,kilo,kilo##s,plur,3,artificial,0.0400391332805156,plural,plural,son,s,Los kilo##s [MASK],"[CLS] , Los , k , ##ilo , ##s , [MASK] , [SEP]",non_morphemic,3.2178979711101703,-4.392379284627802,4.392379284627857
19,19,bebedor,bebedor,sing,2,default,0.0001119657172239,plural,plural,son,es,El bebedor [MASK],"[CLS] , El , bebe , ##dor , [MASK] , [SEP]",non_morphemic,9.097317829741025,3.411659728166014,-3.4116597281663386
21,21,bebedor,bebedores,plur,2,default,0.0258750859647989,plural,plural,son,es,Los bebedores [MASK],"[CLS] , Los , bebe , ##dores , [MASK] , [SEP]",non_morphemic,3.654474705091053,-5.062802274209128,5.06280227420973
23,23,bebedor,bebedor##es,plur,3,artificial,0.0210320185869932,plural,plural,son,es,Los bebedor##es [MASK],"[CLS] , Los , bebe , ##dor , ##es , [MASK] , [SEP]",non_morphemic,3.861709307806696,-5.274801357426608,5.274801357427278
25,25,rumano,rumano,sing,2,default,0.0002013001649174,plural,plural,son,s,El rumano [MASK],"[CLS] , El , rum , ##ano , [MASK] , [SEP]",non_morphemic,8.510713406056649,4.407559382903849,-4.407559382904264
27,27,rumano,rumanos,plur,2,default,0.0555065274238586,plural,plural,son,s,Los rumanos [MASK],"[CLS] , Los , rum , ##anos , [MASK] , [SEP]",non_morphemic,2.891254653904712,-5.78467983317165,5.784679833171883
29,29,rumano,rumano##s,plur,3,artificial,0.0370744094252586,plural,plural,son,s,Los rumano##s [MASK],"[CLS] , Los , rum , ##ano , ##s , [MASK] , [SEP]",non_morphemic,3.294828320275609,-5.701873743214076,5.701873743214712
31,31,mandatario,mandatario,sing,2,default,0.0011757798492908,plural,plural,son,s,El mandatario [MASK],"[CLS] , El , manda , ##tario , [MASK] , [SEP]",non_morphemic,6.745823650014341,2.9318671183497207,-2.9318671183497598
33,33,mandatario,mandatarios,plur,2,default,0.0297583434730768,plural,plural,son,s,Los mandatarios [MASK],"[CLS] , Los , manda , ##tarios , [MASK] , [SEP]",non_morphemic,3.514645733433523,-5.799115069136077,5.799115069136074
35,35,mandatario,mandatario##s,plur,3,artificial,0.0371252968907356,plural,plural,son,s,Los mandatario##s [MASK],"[CLS] , Los , manda , ##tario , ##s , [MASK] , [SEP]",non_morphemic,3.2934566848343976,-5.406593349456646,5.4065933494572285
37,37,negociador,negociador,sing,2,default,0.0002856683859135,plural,plural,son,es,El negociador [MASK],"[CLS] , El , negociado , ##r , [MASK] , [SEP]",non_morphemic,8.160678909685402,4.199581172173767,-4.199581172174098
39,39,negociador,negociadores,plur,2,default,0.0038540030363947,plural,plural,son,es,Los negociadores [MASK],"[CLS] , Los , negociado , ##res , [MASK] , [SEP]",non_morphemic,5.558642921134872,-4.825349807191852,4.825349807191847
41,41,negociador,negociador##es,plur,3,artificial,0.0102623365819454,plural,plural,son,es,Los negociador##es [MASK],"[CLS] , Los , negociado , ##r , ##es , [MASK] , [SEP]",non_morphemic,4.579274728135938,-5.066655170419886,5.066655170419885
43,43,comicio,comicio,sing,2,default,0.0004926609108224,plural,plural,son,s,El comicio [MASK],"[CLS] , El , com , ##icio , [MASK] , [SEP]",non_morphemic,7.615689428232164,4.695200354096212,-4.695200354096314
45,45,comicio,comicios,plur,2,default,0.0209731515496969,plural,plural,son,s,Los comicios [MASK],"[CLS] , Los , com , ##icios , [MASK] , [SEP]",non_morphemic,3.864512156867554,-5.322126385147842,5.322126385148135
47,47,comicio,comicio##s,plur,3,artificial,0.0569499917328357,plural,plural,son,s,Los comicio##s [MASK],"[CLS] , Los , com , ##icio , ##s , [MASK] , [SEP]",non_morphemic,2.8655817342542638,-6.141861854350468,6.1418618543505765
49,49,sondeo,sondeo,sing,2,default,0.0007932824082672,plural,plural,son,s,El sondeo [MASK],"[CLS] , El , son , ##deo , [MASK] , [SEP]",non_morphemic,7.139331273286968,2.3514580774413565,-2.351458077441422
51,51,sondeo,sondeos,plur,2,default,0.0541860088706016,plural,plural,son,s,Los sondeos [MASK],"[CLS] , Los , son , ##deos , [MASK] , [SEP]",non_morphemic,2.915332542778911,-5.563250053977621,5.563250053977621
