,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal
0,patrono,patrono,sing,2,default,0.0020794973243027925,singular,es,s, [MASK] patrono [MASK],"[CLS] , [MASK] , patr , ##ono , [MASK] , [SEP]",nonmorphemic,6.175629085484327
1,patrono,patrono,sing,2,default,2.3998110918910243e-05,plural,son,s, [MASK] patrono [MASK],"[CLS] , [MASK] , patr , ##ono , [MASK] , [SEP]",nonmorphemic,10.637535442426332
2,patrono,patyonos,plur,3,default,0.0016589965671300888,singular,es,s, [MASK] patyonos [MASK],"[CLS] , [MASK] , pa , ##ty , ##onos , [MASK] , [SEP]",nonmorphemic,6.401542337016424
3,patrono,patyonos,plur,3,default,0.004314015153795481,plural,son,s, [MASK] patyonos [MASK],"[CLS] , [MASK] , pa , ##ty , ##onos , [MASK] , [SEP]",nonmorphemic,5.445886218319561
4,patrono,patrono##s,plur,3,artificial,0.01282034907490015,singular,es,s, [MASK] patrono##s [MASK],"[CLS] , El , patr , ##ono , ##s , [MASK] , [SEP]",nonmorphemic,4.356721598928945
5,patrono,patrono##s,plur,3,artificial,0.07454094290733337,plural,son,s, [MASK] patrono##s [MASK],"[CLS] , El , patr , ##ono , ##s , [MASK] , [SEP]",nonmorphemic,2.5964067353285336
6,premisa,premisa,sing,2,default,0.0021719953510910273,singular,es,s, [MASK] premisa [MASK],"[CLS] , [MASK] , premis , ##a , [MASK] , [SEP]",nonmorphemic,6.132109017294402
7,premisa,premisa,sing,2,default,0.00016354775289073586,plural,son,s, [MASK] premisa [MASK],"[CLS] , [MASK] , premis , ##a , [MASK] , [SEP]",nonmorphemic,8.71840554366011
8,premisa,pkemisas,plur,4,default,0.001723808003589511,singular,es,s, [MASK] pkemisas [MASK],"[CLS] , [MASK] , p , ##k , ##emi , ##sas , [MASK] , [SEP]",nonmorphemic,6.363219479769811
9,premisa,pkemisas,plur,4,default,0.0035360073670744896,plural,son,s, [MASK] pkemisas [MASK],"[CLS] , [MASK] , p , ##k , ##emi , ##sas , [MASK] , [SEP]",nonmorphemic,5.6447570507602425
10,premisa,premisa##s,plur,3,artificial,0.08084769546985626,singular,es,s, [MASK] premisa##s [MASK],"[CLS] , La , premis , ##a , ##s , [MASK] , [SEP]",nonmorphemic,2.5151881971394574
11,premisa,premisa##s,plur,3,artificial,0.002242735354229808,plural,son,s, [MASK] premisa##s [MASK],"[CLS] , La , premis , ##a , ##s , [MASK] , [SEP]",nonmorphemic,6.100059017819391
12,kilo,kilo,sing,2,default,0.014648396521806717,singular,es,s, [MASK] kilo [MASK],"[CLS] , [MASK] , k , ##ilo , [MASK] , [SEP]",nonmorphemic,4.223424401945818
13,kilo,kilo,sing,2,default,0.00046316342195495963,plural,son,s, [MASK] kilo [MASK],"[CLS] , [MASK] , k , ##ilo , [MASK] , [SEP]",nonmorphemic,7.677430602969234
14,kilo,kdlos,plur,3,default,0.0029511284083127975,singular,es,s, [MASK] kdlos [MASK],"[CLS] , [MASK] , k , ##d , ##los , [MASK] , [SEP]",nonmorphemic,5.825567670476729
15,kilo,kdlos,plur,3,default,0.005267662461847067,plural,son,s, [MASK] kdlos [MASK],"[CLS] , [MASK] , k , ##d , ##los , [MASK] , [SEP]",nonmorphemic,5.246168570455504
16,kilo,kilo##s,plur,3,artificial,0.03885582461953163,singular,es,s, [MASK] kilo##s [MASK],"[CLS] , El , k , ##ilo , ##s , [MASK] , [SEP]",nonmorphemic,3.2478972875495686
17,kilo,kilo##s,plur,3,artificial,0.005051862448453903,plural,son,s, [MASK] kilo##s [MASK],"[CLS] , El , k , ##ilo , ##s , [MASK] , [SEP]",nonmorphemic,5.28799830201145
18,bebedore,bebedore,sing,2,default,0.00997388269752264,singular,es,s, [MASK] bebedore [MASK],"[CLS] , [MASK] , bebe , ##dore , [MASK] , [SEP]",nonmorphemic,4.607785332753249
19,bebedore,bebedore,sing,2,default,0.000669701024889946,plural,son,s, [MASK] bebedore [MASK],"[CLS] , [MASK] , bebe , ##dore , [MASK] , [SEP]",nonmorphemic,7.308679176677713
20,bebedore,bebxdores,plur,3,default,0.001226082444190979,singular,es,s, [MASK] bebxdores [MASK],"[CLS] , [MASK] , beb , ##x , ##dores , [MASK] , [SEP]",nonmorphemic,6.70393119724376
21,bebedore,bebxdores,plur,3,default,0.006312647368758917,plural,son,s, [MASK] bebxdores [MASK],"[CLS] , [MASK] , beb , ##x , ##dores , [MASK] , [SEP]",nonmorphemic,5.065200139107195
22,bebedore,bebedore##s,plur,3,artificial,0.004527638200670481,singular,es,s, [MASK] bebedore##s [MASK],"[CLS] , El , bebe , ##dore , ##s , [MASK] , [SEP]",nonmorphemic,5.397554843952425
23,bebedore,bebedore##s,plur,3,artificial,0.0017228001961484551,plural,son,s, [MASK] bebedore##s [MASK],"[CLS] , El , bebe , ##dore , ##s , [MASK] , [SEP]",nonmorphemic,6.36380429092987
24,rumano,rumano,sing,2,default,0.0072944993153214455,singular,es,s, [MASK] rumano [MASK],"[CLS] , [MASK] , rum , ##ano , [MASK] , [SEP]",nonmorphemic,4.920634733314629
25,rumano,rumano,sing,2,default,7.870703120715916e-05,plural,son,s, [MASK] rumano [MASK],"[CLS] , [MASK] , rum , ##ano , [MASK] , [SEP]",nonmorphemic,9.449778064636378
26,rumano,rumhnos,plur,3,default,0.0035012345761060715,singular,es,s, [MASK] rumhnos [MASK],"[CLS] , [MASK] , rum , ##hn , ##os , [MASK] , [SEP]",nonmorphemic,5.654639636653191
27,rumano,rumhnos,plur,3,default,0.0034836039412766695,plural,son,s, [MASK] rumhnos [MASK],"[CLS] , [MASK] , rum , ##hn , ##os , [MASK] , [SEP]",nonmorphemic,5.659687905765956
