,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal
0,reserva,reserva,sing,1,default,9.758070518728346e-05,singular,grande,s,La reserva [MASK],"[CLS] , La , reserva , [MASK] , [SEP]",single-token,9.234830776842259
1,reserva,reserva,sing,1,default,1.1478942951725912e-07,plural,grandes,s,La reserva [MASK],"[CLS] , La , reserva , [MASK] , [SEP]",single-token,15.980166434676118
2,reserva,resedvas,plur,3,default,6.723134049479995e-08,singular,grande,s,Las resedvas [MASK],"[CLS] , Las , rese , ##d , ##vas , [MASK] , [SEP]",single-token,16.51512632172627
3,reserva,resedvas,plur,3,default,7.1156341618916485e-06,plural,grandes,s,Las resedvas [MASK],"[CLS] , Las , rese , ##d , ##vas , [MASK] , [SEP]",single-token,11.85321620012143
4,reserva,reserva##s,plur,2,artificial,1.887934558908455e-06,singular,grande,s,La reserva##s [MASK],"[CLS] , La , reserva , ##s , [MASK] , [SEP]",single-token,13.18002715243679
5,reserva,reserva##s,plur,2,artificial,5.4140960855875164e-05,plural,grandes,s,La reserva##s [MASK],"[CLS] , La , reserva , ##s , [MASK] , [SEP]",single-token,9.823919526320623
6,dólare,dólare,sing,2,default,2.246477743028663e-05,singular,grande,s,El dólare [MASK],"[CLS] , El , dólar , ##e , [MASK] , [SEP]",single-token,10.70356192289
7,dólare,dólare,sing,2,default,1.073753992386628e-06,plural,grandes,s,El dólare [MASK],"[CLS] , El , dólar , ##e , [MASK] , [SEP]",single-token,13.744349645483377
8,dólare,dólfres,plur,4,default,2.3741267796140164e-07,singular,grande,s,Los dólfres [MASK],"[CLS] , Los , dó , ##l , ##fre , ##s , [MASK] , [SEP]",single-token,15.253465952821008
9,dólare,dólfres,plur,4,default,8.141632133629173e-05,plural,grandes,s,Los dólfres [MASK],"[CLS] , Los , dó , ##l , ##fre , ##s , [MASK] , [SEP]",single-token,9.415934797237933
10,dólare,dólare##s,plur,3,artificial,3.9671740523772314e-05,singular,grande,s,El dólare##s [MASK],"[CLS] , El , dólar , ##e , ##s , [MASK] , [SEP]",single-token,10.134871449336936
11,dólare,dólare##s,plur,3,artificial,1.1259874554525595e-05,plural,grandes,s,El dólare##s [MASK],"[CLS] , El , dólar , ##e , ##s , [MASK] , [SEP]",single-token,11.394265076120686
12,activo,activo,sing,1,default,4.66401388621307e-06,singular,grande,s,El activo [MASK],"[CLS] , El , activo , [MASK] , [SEP]",single-token,12.275634131602104
13,activo,activo,sing,1,default,3.1155071411603785e-08,plural,grandes,s,El activo [MASK],"[CLS] , El , activo , [MASK] , [SEP]",single-token,17.284288798813428
14,activo,activis,plur,2,default,3.335206244514666e-08,singular,grande,s,Los activis [MASK],"[CLS] , Los , activi , ##s , [MASK] , [SEP]",single-token,17.21614622406376
15,activo,activis,plur,2,default,5.806505669170292e-06,plural,grandes,s,Los activis [MASK],"[CLS] , Los , activi , ##s , [MASK] , [SEP]",single-token,12.056531601912106
16,activo,activo##s,plur,2,artificial,4.919741627418261e-07,singular,grande,s,El activo##s [MASK],"[CLS] , El , activo , ##s , [MASK] , [SEP]",single-token,14.524839636585437
17,activo,activo##s,plur,2,artificial,9.878294804366305e-06,plural,grandes,s,El activo##s [MASK],"[CLS] , El , activo , ##s , [MASK] , [SEP]",single-token,11.525170651751163
18,permiso,permiso,sing,1,default,1.825227172957966e-06,singular,grande,s,El permiso [MASK],"[CLS] , El , permiso , [MASK] , [SEP]",single-token,13.213806100343472
19,permiso,permiso,sing,1,default,7.285880343488316e-09,plural,grandes,s,El permiso [MASK],"[CLS] , El , permiso , [MASK] , [SEP]",single-token,18.737327561293643
20,permiso,pevmisos,plur,3,default,1.123357584731366e-08,singular,grande,s,Los pevmisos [MASK],"[CLS] , Los , pe , ##v , ##misos , [MASK] , [SEP]",single-token,18.304358699707606
21,permiso,pevmisos,plur,3,default,4.378749963507289e-06,plural,grandes,s,Los pevmisos [MASK],"[CLS] , Los , pe , ##v , ##misos , [MASK] , [SEP]",single-token,12.338747270768762
22,permiso,permiso##s,plur,2,artificial,4.689771770927109e-08,singular,grande,s,El permiso##s [MASK],"[CLS] , El , permiso , ##s , [MASK] , [SEP]",single-token,16.875296825593583
23,permiso,permiso##s,plur,2,artificial,2.1442181150632678e-06,plural,grandes,s,El permiso##s [MASK],"[CLS] , El , permiso , ##s , [MASK] , [SEP]",single-token,13.0527355871581
24,cálculo,cálculo,sing,1,default,2.2031845219316892e-06,singular,grande,s,El cálculo [MASK],"[CLS] , El , cálculo , [MASK] , [SEP]",single-token,13.025606734263723
